RIC;Name;Country;SEDOL;Isin;Size;Segment;Internal_Number
UCB.BR;UCB SA ORD;BELGIUM;5596991;BE0003739530;STANDARD;Developed;491062
MUVGn.DE;MUENCHENER RUECKVERSICHERUNGS GESELLSCHAFT AG IN MUENCHEN ORD;GERMANY;5294121;DE0008430026;STANDARD;Developed;461075
CAPP.PA;CAPGEMINI SE ORD;FRANCE;4163437;FR0000125338;STANDARD;Developed;416343
SCOR.PA;SCOR SE ORD;FRANCE;B1LB9P6;FR0010411983;STANDARD;Developed;479736
AXAF.PA;AXA SA ORD;FRANCE;7088429;FR0000120628;STANDARD;Developed;458887
SGEF.PA;VINCI SA ORD;FRANCE;B1XH026;FR0000125486;STANDARD;Developed;481808
ORRON.ST;ORRON ENERGY AB ORD;SWEDEN;7187627;SE0000825820;STANDARD;Developed;718762
SGOB.PA;COMPAGNIE DE SAINT GOBAIN SA ORD;FRANCE;7380482;FR0000125007;STANDARD;Developed;476837
BAB.L;BABCOCK INTERNATIONAL GROUP PLC ORD;UNITED KINGDOM;969703;GB0009697037;STANDARD;Developed;96970
DGE.L;DIAGEO PLC ORD;UNITED KINGDOM;237400;GB0002374006;STANDARD;Developed;39600
WPP.L;WPP PLC ORD;UNITED KINGDOM;B8KF9B4;JE00B8KF9B49;STANDARD;Developed;97404
SRG.MI;SNAM SPA ORD;ITALY;7251470;IT0003153415;STANDARD;Developed;725147
PRU.N;PRUDENTIAL FINANCIAL INC ORD;UNITED STATES;2819118;US7443201022;STANDARD;Developed;PRU
7762.T;CITIZEN WATCH CO LTD ORD;JAPAN;6197304;JP3352400000;STANDARD;Developed;619730
7201.T;NISSAN MOTOR CO LTD ORD;JAPAN;6642860;JP3672400003;STANDARD;Developed;664286
SPMI.MI;SAIPEM SPA ORD;ITALY;BMY36H7;IT0005495657;STANDARD;Developed;476876
SPG.N;SIMON PROPERTY GROUP INC ORD;UNITED STATES;2812452;US8288061091;STANDARD;Developed;SPG
SAND.ST;SANDVIK AB ORD;SWEDEN;B1VQ252;SE0000667891;STANDARD;Developed;477472
0003.HK;HONG KONG AND CHINA GAS CO LTD ORD;HONG KONG;6436557;HK0003000038;STANDARD;Developed;643655
HIG.N;HARTFORD FINANCIAL SERVICES GROUP INC ORD;UNITED STATES;2476193;US4165151048;STANDARD;Developed;HIG
AMD.O;ADVANCED MICRO DEVICES INC ORD;UNITED STATES;2007849;US0079031078;STANDARD;Developed;AMD
ETR.N;ENTERGY CORP ORD;UNITED STATES;2317087;US29364G1031;STANDARD;Developed;ETR
ADI.OQ;ANALOG DEVICES INC ORD;UNITED STATES;2032067;US0326541051;STANDARD;Developed;ADI
DKS.N;DICK'S SPORTING GOODS INC ORD;UNITED STATES;2969637;US2533931026;STANDARD;Developed;DKS
CAH.N;CARDINAL HEALTH INC ORD;UNITED STATES;2175672;US14149Y1082;STANDARD;Developed;CDIC
CCL.N;CARNIVAL CORP ORD;UNITED STATES;2523044;PA1436583006;STANDARD;Developed;CCL
CLF.N;CLEVELAND-CLIFFS INC ORD;UNITED STATES;BYVZ186;US1858991011;STANDARD;Developed;US91FB
KO.N;COCA-COLA CO ORD;UNITED STATES;2206657;US1912161007;STANDARD;Developed;KO
CMI.N;CUMMINS INC ORD;UNITED STATES;2240202;US2310211063;STANDARD;Developed;CUM
BA.N;BOEING CO ORD;UNITED STATES;2108601;US0970231058;STANDARD;Developed;BA
EQT.N;EQT CORP ORD;UNITED STATES;2319414;US26884L1098;STANDARD;Developed;EQT
FDX.N;FEDEX CORP ORD;UNITED STATES;2142784;US31428X1063;STANDARD;Developed;FDX
IPL.AX;INCITEC PIVOT LTD ORD;AUSTRALIA;6673042;AU000000IPL1;STANDARD;Developed;667304
USB.N;US BANCORP ORD;UNITED STATES;2736035;US9029733048;STANDARD;Developed;STB
5233.T;TAIHEIYO CEMENT CORP ORD;JAPAN;6660204;JP3449020001;STANDARD;Developed;666020
GIS.N;GENERAL MILLS INC ORD;UNITED STATES;2367026;US3703341046;STANDARD;Developed;GIS
LEG.N;LEGGETT & PLATT INC ORD;UNITED STATES;2510682;US5246601075;STANDARD;Developed;LEG
STEL.SI;SINGAPORE TELECOMMUNICATIONS LTD ORD;SINGAPORE;B02PY11;SG1T75931496;STANDARD;Developed;681075
RRC.N;RANGE RESOURCES CORP ORD;UNITED STATES;2523334;US75281A1097;STANDARD;Developed;RRC
MAN.N;MANPOWERGROUP INC ORD;UNITED STATES;2562490;US56418H1005;STANDARD;Developed;MAN
MDT.N;MEDTRONIC PLC ORD;IRELAND;BTN1Y11;IE00BTN1Y115;STANDARD;Developed;MDT
CVS.N;CVS HEALTH CORP ORD;UNITED STATES;2577609;US1266501006;STANDARD;Developed;MES
MUR.N;MURPHY OIL CORP ORD;UNITED STATES;2611206;US6267171022;STANDARD;Developed;MUR
JWN.N;NORDSTROM INC ORD;UNITED STATES;2641827;US6556641008;STANDARD;Developed;NOBE
NSC.N;NORFOLK SOUTHERN CORP ORD;UNITED STATES;2641894;US6558441084;STANDARD;Developed;NSC
OMC.N;OMNICOM GROUP INC ORD;UNITED STATES;2279303;US6819191064;STANDARD;Developed;OMC
ONEX.TO;ONEX CORP ORD;CANADA;2659518;CA68272K1030;STANDARD;Developed;TOCX
PPG.N;PPG INDUSTRIES INC ORD;UNITED STATES;2698470;US6935061076;STANDARD;Developed;PPG
PH.N;PARKER-HANNIFIN CORP ORD;UNITED STATES;2671501;US7010941042;STANDARD;Developed;PH
EXC.O;EXELON CORP ORD;UNITED STATES;2670519;US30161N1019;STANDARD;Developed;PE
PGR.N;PROGRESSIVE CORP ORD;UNITED STATES;2705024;US7433151039;STANDARD;Developed;PGR
SYK.N;STRYKER CORP ORD;UNITED STATES;2853688;US8636671013;STANDARD;Developed;STRY
TXT.N;TEXTRON INC ORD;UNITED STATES;2885937;US8832031012;STANDARD;Developed;TXT
VMC.N;VULCAN MATERIALS CO ORD;UNITED STATES;2931205;US9291601097;STANDARD;Developed;VMC
WM.N;WASTE MANAGEMENT INC ORD;UNITED STATES;2937667;US94106L1098;STANDARD;Developed;UW
