STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
B0704T;B0704T9;AT0000606306;20201221;1;1.0
494340;4943402;AT0000937503;20201221;1;1.0
463508;4635088;AT0000720008;20201221;1;1.0
714131;B1WVF68;AT0000730007;20201221;1;1.0
AT701B;BZ1GZ06;AT0000BAWAG2;20201221;1;1.0
568104;5681046;AT0000641352;20201221;1;1.0
496960;5699373;AT0000831706;20201221;1;1.0
429537;4295374;AT0000741053;20201221;1;1.0
B0BKSS;B0BKSS2;AT0000908504;20201221;1;1.0
B1577G;B1577G7;AT0000APOST4;20201221;1;1.0
AT1015;4422332;AT0000821103;20201221;1;1.0
567991;BFZ5BQ7;AT0000A21KS2;20201221;1;1.0
AT2027;4512330;AT0000644505;20201221;1;1.0
AT1048;7390801;AT0000652250;20201221;1;1.0
AT502A;B2RK5K1;AT0000969985;20201221;1;1.0
AT5019;5492345;AT0000818802;20201221;1;1.0
578808;7571305;AT0000946652;20201221;1;1.0
653323;6533232;AU000000BSL0;20201221;1;1.0
678385;B432QW4;AU000000SVW5;20201221;1;1.0
PA040;BPXR7J0;AU000000AST5;20201221;1;1.0
682180;6821807;AU000000SOL3;20201221;1;1.0
AU80HT;BDB6DD1;AU000000IEL5;20201221;1;1.0
656247;6562474;AU000000WOR2;20201221;1;1.0
B08KZD;B15F6S6;AU000000CHC0;20201221;1;1.0
AU01X2;B07SFG7;AU000000DMP0;20201221;1;1.0
PA095;BZ03TZ1;AU0000013559;20201221;1;1.0
B17ZL5;B17ZL56;AU000000MIN4;20201221;1;1.0
621481;6218670;AU000000BLD2;20201221;1;1.0
611571;6709958;AU000000AMP6;20201221;1;1.0
617350;6173508;AU000000HVN7;20201221;1;1.0
AU10MR;B1L4BC6;AU000000QUB5;20201221;1;1.0
639782;6397825;AU000000OZL8;20201221;1;1.0
670262;6702623;AU000000JBH7;20201221;1;1.0
AU01W1;6168838;AU000000SAR9;20201221;1;1.0
AU705G;B5LMKP4;AU000000NXT8;20201221;1;1.0
695498;6954985;AU000000AWC3;20201221;1;1.0
AU0048;BW0BGZ3;AU000000CAR3;20201221;1;1.0
AU0059;BYQ8KW7;AU000000CWY3;20201221;1;1.0
628661;6286611;AU000000ANN9;20201221;1;1.0
609128;6091280;AU000000BEN6;20201221;1;1.0
AU609J;6167697;AU000000ALU8;20201221;1;1.0
616172;B86SZR5;AU000000ALQ6;20201221;1;1.0
667304;6673042;AU000000IPL1;20201221;1;1.0
608820;6088204;AU000000BPT9;20201221;1;1.0
AU80KW;BF52PL1;AU000000NWL7;20201221;1;1.0
AU406E;BGQV183;AU000000NEC4;20201221;1;1.0
672630;6726300;AU000000CGF5;20201221;1;1.0
AU803F;BTPJH25;AU000000APX3;20201221;1;1.0
646557;6465573;AU000000DOW2;20201221;1;1.0
PA086;6699781;AU000000PMV2;20201221;1;1.0
AU10GL;BD5ZR98;AU000000SGR6;20201221;1;1.0
AU2039;B0T9JZ5;AU000000SKI7;20201221;1;1.0
607624;6076243;AU000000BOQ8;20201221;1;1.0
635214;6352147;AU000000FLT9;20201221;1;1.0
AU503C;6296201;AU000000APE3;20201221;1;1.0
AU50JS;BCT5FD7;AU000000SDF8;20201221;1;1.0
AU408G;6158709;AU000000BRG2;20201221;1;1.0
AU60KU;BD1DM79;AU000000RWC7;20201221;1;1.0
PA004;6121176;AU000000LYC6;20201221;1;1.0
AU80P1;BYQM3N1;AU0000016875;20201221;1;1.0
AU903G;6292782;AU000000PME8;20201221;1;1.0
624439;B0744W4;AU000000MTS0;20201221;1;1.0
AU50KT;6302410;AU000000TNE8;20201221;1;1.0
631559;6315593;AU000000BKW4;20201221;1;1.0
AU60BL;B1Y9BC8;AU000000GOZ8;20201221;1;1.0
643956;6439567;AU000000IGO4;20201221;1;1.0
612745;6127453;AU000000BWP3;20201221;1;1.0
AU205B;B8K7J65;AU000000SCP9;20201221;1;1.0
AU50EN;B3R1D52;AU000000CTD3;20201221;1;1.0
AU703E;BF17Y13;AU000000DHG9;20201221;1;1.0
AU605F;BYZBCY3;AU000000LNK2;20201221;1;1.0
AU30SZ;BH4TCW7;AU000000ORA8;20201221;1;1.0
PA018;B1XK7G8;AU000000PTM6;20201221;1;1.0
AU01PU;B04SF48;AU000000MSB8;20201221;1;1.0
AU603D;BLD2CY7;AU000000BAP9;20201221;1;1.0
AU904H;BDB46J2;AU000000CLW0;20201221;1;1.0
AU029F;BYVLXJ9;AU000000Z1P6;20201221;1;1.0
PA053;B28ZM60;AU000000NHF0;20201221;1;1.0
623864;6238645;AU000000CSR5;20201221;1;1.0
AU02V1;BZ7NDP2;AU0000018236;20201221;1;1.0
611776;BFZYRL1;AU0000033359;20201221;1;1.0
681071;B0LCW75;AU000000SGM7;20201221;1;1.0
AU504D;BFY6LL6;AU0000009789;20201221;1;1.0
695757;6957575;AU000000ILU1;20201221;1;1.0
622547;6225476;AU000000CMW8;20201221;1;1.0
B01C7R;B01C7R0;AU000000SUL0;20201221;1;1.0
AU00LP;BWV03W5;AU000000ARB5;20201221;1;1.0
622559;6225595;AU000000CQR9;20201221;1;1.0
AU02GM;BLD1SB3;AU000000CIA2;20201221;1;1.0
AU905I;BSJBZM6;AU000000PNV0;20201221;1;1.0
AU60R1;BLBQ285;AU0000088064;20201221;1;1.0
656570;6565707;AU000000ABP9;20201221;1;1.0
600688;6006886;AU000000ABC7;20201221;1;1.0
629749;6297497;AU000000IRE2;20201221;1;1.0
AU60PZ;B1WF979;AU000000NAN9;20201221;1;1.0
AU024A;BZ5ZWZ3;AU000000MP15;20201221;1;1.0
AU60LV;6015815;AU000000WEB7;20201221;1;1.0
AU60HR;BGP6479;AU000000NSR2;20201221;1;1.0
671439;6714394;AU000000IFL2;20201221;1;1.0
AU02CI;6712611;AU000000CDA3;20201221;1;1.0
