Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
DK,7,26,28,28,25,28,27,30,31,34,34,33,33,34,33,33,34,34,33,36,36,36,37,37,36,36,36,36,37,38,36,38,37,37,38,40,39,40,39,41,42,41,42,43,43,41,42,40,40,39
BE,36,32,32,34,34,31,33,33,35,35,37,37,36,37,38,39,39,38,38,38,37,37,38,38,37,38,39,39,41,41,41,41,42,41,44,44,45,41,43,41,44,39,41,39,41,31,34,32,38,35
NZ,3,18,18,25,18,23,20,25,19,22,24,27,27,27,26,26,27,26,27,29,29,28,28,26,27,29,33,28,29,26,27,26,28,22,21,25,27,28,32,30,31,21,20,13,18,13,13,13,15,13
DE,29,99,103,106,110,117,115,119,117,121,116,122,117,121,120,121,119,122,122,130,128,135,140,140,142,141,138,140,143,140,140,141,138,139,138,141,142,143,142,140,142,139,139,136,137,134,136,132,135,135
JP,44,538,733,868,839,886,881,902,913,924,920,920,921,929,935,933,946,937,952,967,971,980,1004,1003,1005,1001,1005,1014,1003,1001,1017,1026,1021,1023,1016,828,823,898,927,926,930,959,798,822,987,1019,1030,1047,862,889
SE,17,67,70,78,72,79,75,76,74,76,74,80,78,85,86,88,90,102,102,99,99,103,106,112,112,114,115,121,119,130,130,133,131,138,143,146,144,153,158,159,155,155,150,148,147,145,147,146,154,151
GR,3,7,13,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI,6,27,31,35,34,34,34,35,32,33,33,32,32,33,33,32,33,31,31,32,35,35,35,35,37,36,35,37,35,32,29,31,29,30,38,37,38,38,42,32,35,36,40,30,36,28,27,29,35,35
GB,6,257,285,286,283,293,290,302,296,297,293,298,290,290,294,285,287,285,289,287,292,293,293,289,284,289,284,294,291,283,278,275,275,275,275,279,275,250,247,247,250,245,238,235,233,234,235,230,225,231
NL,9,38,44,43,43,43,42,43,43,41,40,41,39,42,42,43,42,42,42,44,43,44,46,46,48,48,48,51,47,46,48,46,46,45,44,41,41,38,40,43,43,43,41,42,42,43,42,44,42,44
CH,20,69,69,76,71,79,76,83,82,84,81,89,82,87,83,93,92,96,97,98,96,95,95,100,98,99,100,100,99,100,95,100,98,100,95,101,97,95,95,96,97,99,98,99,97,96,100,95,100,96
NO,7,27,29,35,35,34,34,33,34,37,39,40,39,38,41,43,40,46,43,47,36,38,40,49,50,53,51,53,50,51,49,51,48,51,41,51,51,54,46,53,58,60,63,59,65,48,56,47,58,51
US,324,1490,1703,1703,1730,1778,1771,1790,1778,1771,1768,1815,1817,1814,1821,1805,1786,1780,1767,1797,1764,1746,1736,1735,1752,1824,1818,1832,1819,1810,1793,1827,1811,1808,1790,1877,1869,1938,1937,1955,1946,1932,1937,1930,1913,1899,1878,1864,1853,1848
IL,59,41,43,42,43,50,49,48,48,44,46,45,46,50,48,51,49,53,53,55,55,61,58,60,58,61,54,54,52,57,58,66,68,71,73,76,80,76,78,88,93,99,80,63,65,65,71,79,84,86
IT,14,66,74,79,76,79,77,78,80,82,80,84,82,80,77,81,82,81,81,80,79,77,80,80,80,81,79,77,80,78,78,80,81,81,82,80,78,80,80,81,82,79,80,80,80,81,81,81,77,78
PT,3,16,15,13,10,12,12,11,12,14,13,13,14,13,13,14,14,13,14,13,13,13,14,14,14,14,13,13,13,12,11,13,11,11,11,11,11,12,12,11,10,12,13,13,12,12,14,14,14,11
AU,23,150,173,192,189,195,187,186,182,179,170,172,171,168,165,167,166,168,176,175,175,179,180,176,182,179,176,176,178,175,177,180,182,184,184,191,194,199,204,202,211,204,205,210,219,215,216,220,224,225
SG,12,69,70,83,81,101,80,87,87,91,85,88,86,86,85,90,83,84,80,78,75,73,76,76,73,76,71,73,69,66,65,67,67,64,63,65,63,63,65,64,61,63,64,65,55,54,54,61,62,60
CA,45,223,257,270,271,271,270,273,267,273,268,269,269,264,263,264,265,267,265,265,259,259,259,255,251,245,245,238,239,238,236,231,230,219,218,217,212,222,245,244,244,243,243,249,248,243,245,240,241,243
IE,3,13,14,16,13,15,13,12,11,12,11,13,12,16,17,16,16,16,18,18,18,17,17,15,14,13,14,15,16,17,15,14,14,14,14,14,14,10,10,12,10,11,11,11,11,10,10,10,11,10
FR,41,104,111,113,110,113,111,117,111,114,118,121,123,122,124,119,119,115,116,117,118,124,124,127,124,124,124,125,122,125,122,127,121,124,120,122,119,118,117,119,113,115,114,114,112,115,116,115,115,115
HK,22,136,166,201,186,184,169,171,166,162,157,170,163,141,138,137,137,139,135,145,139,141,143,146,138,146,137,136,136,127,117,118,119,114,113,114,113,106,94,97,98,93,86,90,90,89,93,89,88,89
AT,7,21,20,20,19,21,22,23,24,24,20,25,22,24,22,24,20,23,20,23,20,22,21,21,17,21,22,22,18,21,18,22,21,20,19,20,21,17,20,17,21,19,20,20,22,20,18,18,18,17
ES,10,41,41,45,44,44,44,49,47,48,48,51,49,54,52,56,54,54,53,56,52,60,57,63,60,58,59,59,58,58,57,58,54,57,55,55,54,50,48,47,45,45,47,45,44,42,42,42,42,45
