Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
AT,3,5,9,10,6,8,10,10,10,9,9,9,9,9,8,7,5,5,5,6,6,7,7,9,8,9,6,7,6,7,7,8,5,5,6,8,6,7,7,7,5,5,6,6,23,5,5,3,22,24
SG,3,26,27,31,31,32,32,32,31,31,30,31,31,30,31,30,30,29,30,30,31,30,31,29,29,28,29,28,29,28,28,27,18,22,21,21,20,20,20,20,20,20,20,21,21,22,22,21,19,19
BE,3,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,13,14,14,13,14,14,14,15,16,16,16,16,16,16,16,17,15,12,14,14,14,13,13,14,14,14,13
SE,3,30,27,30,28,31,28,31,27,29,27,29,27,30,32,35,35,37,37,36,36,39,38,41,40,43,42,45,44,50,49,50,49,54,54,54,53,59,58,54,42,46,45,51,35,43,45,43,45,44
GR,3,3,3,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,3,11,12,13,13,13,13,13,13,14,8,9,11,11,11,7,10,13,14,15,14,14,15,14,18,18,17,17,17,12,13,16,11,12,15,19,19,18,13,19,10,12,12,12,10,12,12,12,13,14
FR,3,57,60,58,56,62,60,66,67,62,61,63,61,62,60,57,61,61,59,59,66,63,67,63,65,64,65,62,64,61,63,60,56,55,53,54,55,51,49,48,47,46,44,44,43,42,40,39,39,39
AU,3,48,48,51,51,51,50,50,50,50,48,48,47,48,48,50,51,53,53,52,52,52,52,53,55,55,55,55,55,55,55,54,55,58,58,60,59,65,65,62,61,60,60,60,59,59,58,58,58,58
HK,3,34,39,43,50,47,46,48,49,48,46,48,46,49,49,50,49,50,50,50,51,51,53,54,53,51,53,53,54,54,49,48,46,44,44,44,43,41,39,39,38,37,34,34,34,35,32,31,29,29
DK,3,9,8,9,8,10,9,10,10,11,11,11,11,13,13,13,13,13,13,14,16,16,16,16,16,17,18,18,18,18,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,14,14,14
NZ,3,32,3,31,6,5,6,6,6,5,5,7,6,3,5,5,8,8,7,7,7,7,8,7,7,7,7,7,8,8,7,7,7,7,7,8,30,6,5,6,7,7,7,6,5,26,5,3,5,3
US,3,554,551,563,559,574,571,595,595,610,607,625,621,623,621,612,602,613,620,627,624,618,617,613,620,633,629,626,624,615,610,604,602,603,603,643,642,633,627,621,622,622,615,615,615,614,598,596,593,594
ES,3,18,16,20,19,20,19,22,21,22,20,20,20,22,22,22,22,22,22,22,21,22,22,22,22,22,23,23,23,23,23,23,21,21,21,21,21,20,20,20,19,19,19,18,18,18,18,18,17,17
GB,3,94,95,95,95,96,95,101,102,102,101,101,100,104,104,103,104,102,101,101,101,100,100,98,97,97,95,94,94,93,93,92,91,93,93,93,91,92,90,86,87,84,85,82,82,82,82,82,81,80
DE,3,39,40,43,43,44,44,47,46,46,42,44,43,48,50,48,48,46,46,46,54,56,56,58,58,60,60,60,60,59,60,59,58,56,55,56,57,56,55,55,53,55,52,52,51,50,51,50,50,48
IT,3,19,19,20,20,21,21,22,22,23,23,25,25,25,24,26,27,28,28,28,27,27,26,25,25,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,26,24,24,24,24,23,22,22,22
NL,3,21,21,21,20,20,19,19,19,21,20,20,19,22,20,21,20,21,19,19,19,19,19,19,19,17,17,18,18,18,18,19,19,17,17,20,19,19,17,17,18,19,19,19,18,17,19,18,16,16
FI,3,9,15,16,16,15,14,14,14,14,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,11,13
CH,3,29,27,30,29,28,30,33,31,30,29,33,31,35,34,36,35,33,34,35,34,35,37,37,37,36,34,34,33,36,34,37,34,35,35,35,35,35,34,33,32,31,32,32,32,32,32,32,32,30
IL,3,3,5,6,6,7,7,8,7,8,5,7,7,10,10,10,10,11,10,11,12,11,12,12,11,13,10,10,9,9,8,9,9,8,8,9,9,9,9,10,10,12,11,10,8,8,8,8,9,9
PT,3,16,15,7,7,7,6,6,6,14,7,7,6,6,6,5,5,5,5,5,6,6,6,6,13,7,6,6,5,3,3,3,3,3,3,3,3,11,11,12,5,13,13,14,14,14,5,3,5,5
IE,3,5,8,8,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,8,8,7,7,7,8,7,6,6,6,7,6,6,8,7,7,6,6,7,5
JP,3,143,251,253,253,254,254,258,269,273,273,272,271,275,282,290,295,294,295,301,302,310,310,310,310,311,311,311,310,310,309,309,305,239,268,267,266,208,241,244,193,239,190,230,230,184,223,177,203,202
CA,3,86,84,82,81,81,81,81,79,79,78,77,76,75,75,74,74,74,74,74,74,74,74,73,72,72,72,72,71,71,71,69,68,67,67,67,67,69,69,68,68,68,68,68,67,67,67,67,67,66
