Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
NL,0.006016167018770832,0.009989319633066098,0.010659232002319387,0.010034622828570709,0.010115332412256971,0.010865509221277003,0.01058774162091541,0.0102686605003529,0.010131710212108814,0.010040060074152243,0.009749000503374126,0.009992574202804331,0.010081755268300343,0.010593687214503125,0.010667091899324134,0.011192685987339067,0.010901354475918374,0.011074061674440536,0.010800095165753337,0.01163707711590255,0.012142645344415339,0.012745313498678228,0.012146964573717528,0.012563225452289953,0.012017873819710199,0.010408622492344637,0.010790241250180273,0.010781282720827835,0.010747978179786802,0.01091338688805144,0.01157504246324941,0.012719344979029051,0.013104517819189216,0.012843015581378632,0.011940071714802596,0.012475176896921254,0.012760979535891103,0.0139722190609085,0.012393477178291208,0.011342785555428048,0.010779999721092481,0.010059409116748207,0.011381737987394093,0.011823853041179184,0.011576246290818356,0.010306089053069043,0.011198615360094012,0.011866665295661905,0.01211304732035635,0.010588313108602648
GB,0.004913240478734835,0.09365532104643193,0.09469181335872599,0.08972240442820187,0.08738528146998423,0.08955083230536694,0.08938529919794239,0.08519045940969991,0.08688529557632736,0.08423969642435851,0.07913851096774008,0.07818645542212999,0.08052407164784499,0.07804685437167858,0.07463637904485682,0.0728234897324243,0.07474261629394255,0.070228316853434,0.06546200065406674,0.06546625583790483,0.06644384345615417,0.0668958016290831,0.06511041082541558,0.0634895381706427,0.06427285743795681,0.06117729897161575,0.06385281880662409,0.060597348951719844,0.05773672333419268,0.05542399695096995,0.05579407157500944,0.04751076823613774,0.04668800435473582,0.04285563268953795,0.04467777285507277,0.04540256794370611,0.0451621769978141,0.04249346048763242,0.04202662469697947,0.043164104314640545,0.0460080178142719,0.041415932681855075,0.04464299863541343,0.04323914829876283,0.04202663418855642,0.04132847993883829,0.0403994674611567,0.03838868666080668,0.038822822888643506,0.03827117693706237
SG,0.007764278752816406,0.009447935940720185,0.009843443211669273,0.009256333544313728,0.008586903120362505,0.008542491761820493,0.0077447292602217345,0.0077209329321406275,0.007602764974547894,0.007735047993637685,0.007449727652468777,0.007508045922656811,0.007251783250839447,0.00677284273471341,0.006987061913250849,0.007915367052967255,0.007475877656475928,0.007602352381388079,0.007213219895162674,0.007863890079624309,0.007948277797453262,0.008110663140553373,0.008235142947403134,0.008250390841152238,0.005659052616954339,0.005416121259997513,0.006274967459894978,0.005745097842462535,0.005779748385395653,0.005568158238245437,0.0054373784641917585,0.005332245582564522,0.0051576060777917595,0.005000668236697214,0.005206722265756591,0.005349389261055529,0.005231553920428735,0.005277760178263613,0.004805070719442649,0.00490118946087719,0.005137070720363119,0.005048773873221532,0.005271343303383095,0.005209909735308331,0.004664476664927788,0.004411323574077067,0.0041031821073212885,0.004003096102311796,0.004071247988198183,0.004426741576223644
IE,0.0014643777861754984,0.0016533654027682913,0.001548807544534297,0.001847829252521309,0.0015150783615791729,0.0018642759522309134,0.0015923797972461984,0.0017044034402291354,0.001547896040575609,0.0015619139456094194,0.0016312219897090454,0.0017687238363102713,0.001915980203433143,0.0022046717307815647,0.002138713010465677,0.0022741019635826444,0.002314761506617629,0.002257721760529569,0.0021842965860760137,0.0022153265305248733,0.0022730567498730763,0.0022562753973944106,0.0021740850756138087,0.002164360342949553,0.0022207092672024867,0.002112302722449547,0.002183339817221619,0.002135090651480188,0.002100083408226495,0.0020403840487037976,0.002250914142749396,0.0020272955970433077,0.0022533984618084146,0.0023169828731672004,0.0024267582658253186,0.002340979653887513,0.0022598362599751463,0.002188512904002534,0.0019407182168848993,0.0018114969442602218,0.0017542826712566547,0.001748449599755999,0.001966802714763273,0.0022084138116382026,0.002190667289626557,0.0015008765968519125,0.0009847535569464348,0.0010207502908832252,0.0009532241314561595,0.0008354161038483872
GR,0.00024958285608959536,0.0004011350936996157,0.000322933423401169,0.0005297948717352784,0.0005704234125653478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT,0.0007680608605641432,0.0008694574636190071,0.0009374153222770237,0.0009040560836007755,0.0008077042016169072,0.0009305919222411819,0.000964789230074042,0.001062073946061718,0.0010854874472408464,0.0009566131876824939,0.0007433858849167719,0.0007714181820776086,0.0007925634404906265,0.0007395251581454118,0.0007458238480375874,0.0007933291436921345,0.0007465281471977812,0.0007086709779771181,0.0006833432413659344,0.000666629664261887,0.0007388182737190432,0.0007676027952827603,0.0007260381770968769,0.0007441542438284993,0.0007236302520785589,0.0006999014075142902,0.0007119031188715499,0.0006788975123464024,0.0006215447844899366,0.0006292874079365965,0.000597894833036714,0.0006662509768186055,0.0006295031217576497,0.0006023212272864487,0.0006070209331500803,0.0005655651828211214,0.000560649662297938,0.0005499591656926204,0.000555528677763733,0.0005501081641121345,0.0006602826297736281,0.0006299493129521223,0.0006470286375894279,0.0006221945222946889,0.0006237957738153833,0.0005743735723253125,0.0005965704514319291,0.0004924225889779007,0.000509382665837587,0.0004883389226574239
HK,0.012331241790457593,0.015346896690497228,0.016561855209458305,0.01622981529095714,0.015147114118084056,0.0135424768976141,0.012639360543604788,0.012316140354844695,0.01182793532684349,0.012427018828310247,0.011949202780008347,0.012422743093208018,0.012263525153502567,0.011705311925556872,0.011793590802566364,0.012133656395629576,0.011770764463002096,0.01316742489643467,0.01156524614988624,0.012474339543019262,0.012756536023707963,0.013313760954646873,0.01300783858745003,0.01400046880406939,0.013253978700715208,0.012188325118283017,0.013534752468237649,0.013881167676476997,0.01343196443578843,0.011995334674801475,0.011499242106550744,0.013074121021079393,0.011509499526663355,0.01234285680724657,0.012009907241315355,0.012759510946012633,0.012160197498493836,0.010674658362525548,0.00896413874531024,0.00879326347310756,0.010533854026869897,0.009267010953909936,0.00954026354727171,0.00905615475327542,0.00837828126458205,0.007460835529295715,0.006604880805170988,0.005868045463658011,0.005597616728444624,0.005656928969996032
CA,0.046659064323974646,0.05037691819962005,0.04972656772822263,0.04615059692552003,0.0425584245740324,0.04236045299681633,0.041464662752189206,0.041354858728876995,0.0432438586184304,0.0424858080839925,0.03883934465542638,0.035863810076844374,0.036510277833257054,0.03431425943833705,0.03078185223243774,0.03417498961595738,0.03639852550838994,0.03615343543871747,0.03661364949100336,0.03608661155764927,0.03429482080934272,0.03665125448486042,0.034681449894185486,0.03322876753736925,0.03435994710909844,0.034008751752019416,0.03347649459113857,0.03462242244339231,0.03446290022058402,0.034827235840924224,0.033291190728260985,0.02843021860717126,0.029791940138058685,0.02954596058280454,0.02890309968329753,0.030044864252401136,0.03057565359475277,0.029143562240566807,0.0299835067885971,0.035174882213498085,0.03672225949532414,0.035299644831639214,0.03408967870866579,0.033483405582120374,0.03163828377799729,0.03206230587146417,0.030524378237423207,0.02999393853655737,0.028808047628874976,0.030504158534754352
JP,0.054235953328748275,0.08785856505492069,0.09026440634925605,0.095128827458731,0.09936442409573727,0.09952992864833092,0.09420617074486107,0.08778601440433917,0.09371874641402395,0.09283498715706723,0.09072106533579141,0.09817407168946624,0.09818135688247889,0.09777058001594686,0.1022733003341671,0.09753665226476353,0.09883415252363527,0.10125138007337153,0.1009552609503185,0.09955673521476456,0.09948637168365394,0.09790966250702066,0.10266000222105137,0.1027060789529372,0.10107256061046477,0.09876110574179267,0.10303271464085663,0.09470331893236532,0.09255557140413884,0.09638836301151969,0.09443748955022081,0.10161593416312335,0.09360082878091433,0.09423865299696152,0.08950911674713752,0.0875448116174821,0.07848895852290101,0.08464356495870348,0.07537363825209699,0.07188751737079481,0.0733642161365829,0.07132841956236524,0.07442322597892483,0.07390346517355494,0.07447392982460631,0.07602888959050641,0.07075325282488437,0.07397909993813084,0.0670749279194397,0.06816048541961159
AU,0.03300901969345067,0.035935849619460204,0.037642414701119765,0.03851481870486951,0.03241279318690237,0.03344694889726048,0.03000975658681841,0.030911211089187627,0.030992428823842486,0.0289966100976568,0.02723435643675129,0.027816219097713892,0.02552251889180758,0.023718553173129413,0.024254485127809377,0.026040360613694833,0.02583332911511091,0.02591352622019197,0.025735749744403007,0.027003341995882876,0.02563486634184337,0.02601800047820368,0.025048567226610814,0.024699586743057174,0.024121974629269495,0.023305311224076013,0.024580348436199863,0.023480369571589825,0.024514010344559568,0.024105885368839352,0.023148238655224466,0.01916014933873434,0.022040471735900204,0.021616855261778162,0.02277357030805724,0.02223033941497665,0.021954562977657736,0.020728296562610094,0.020445162439778265,0.02292386964537035,0.023146977245063167,0.022738805436223992,0.024270793824203864,0.022828070085378845,0.02250624008909375,0.02107186639851179,0.02120861045650138,0.019991616845158506,0.019876480883768997,0.020283934478408452
