Date;MSCI;SAMCO@20241018
3/15/2019;1000.00;1000.00
3/18/2019;1007.54;1007.93
3/19/2019;1005.48;1007.52
3/20/2019;1006.18;1007.12
3/21/2019;1004.52;1005.13
3/22/2019;996.87;992.67
3/25/2019;985.59;981.97
3/26/2019;990.90;986.41
3/27/2019;987.32;981.15
3/28/2019;985.15;979.42
3/29/2019;994.03;990.64
4/1/2019;1004.71;1000.45
4/2/2019;1005.28;1000.67
4/3/2019;1010.06;1006.73
4/4/2019;1009.47;1005.65
4/5/2019;1011.82;1008.34
4/8/2019;1010.47;1008.10
4/9/2019;1014.56;1011.59
4/10/2019;1017.50;1014.88
4/11/2019;1014.06;1010.10
4/12/2019;1013.85;1010.99
4/15/2019;1017.03;1011.72
4/16/2019;1018.29;1013.40
4/17/2019;1019.96;1014.13
4/18/2019;1013.31;1008.24
4/22/2019;1012.36;1008.43
4/23/2019;1009.98;1005.69
4/24/2019;1005.62;1001.60
4/25/2019;999.48;994.11
4/26/2019;996.64;992.08
4/29/2019;995.61;992.82
4/30/2019;994.45;992.22
5/1/2019;995.14;992.74
5/2/2019;995.01;977.58
5/3/2019;996.88;980.58
5/6/2019;982.57;963.21
5/7/2019;980.24;960.16
5/8/2019;973.74;953.60
5/9/2019;955.98;934.92
5/10/2019;960.09;939.88
5/13/2019;939.74;921.52
5/14/2019;940.27;919.81
5/15/2019;943.19;924.40
5/16/2019;937.44;920.11
5/17/2019;926.58;908.74
5/20/2019;928.96;907.55
5/21/2019;932.64;913.45
5/22/2019;933.83;914.38
5/23/2019;923.97;903.57
5/24/2019;928.34;906.49
5/28/2019;938.15;915.74
5/29/2019;932.33;910.22
5/30/2019;938.85;916.69
5/31/2019;942.84;920.51
6/3/2019;945.77;922.61
6/4/2019;946.76;922.98
6/5/2019;949.13;925.03
6/6/2019;945.16;921.09
6/7/2019;948.80;925.42
6/10/2019;955.71;934.19
6/11/2019;963.56;942.62
6/12/2019;960.10;938.05
6/13/2019;960.26;939.46
6/14/2019;953.10;932.24
6/17/2019;948.09;927.44
6/18/2019;952.77;933.83
6/19/2019;959.08;943.03
6/20/2019;973.59;957.50
6/21/2019;973.18;957.33
6/24/2019;973.61;958.43
6/25/2019;970.47;953.84
6/26/2019;971.61;955.41
6/27/2019;976.08;960.29
6/28/2019;977.44;961.74
7/1/2019;985.10;969.90
7/2/2019;984.11;969.34
7/3/2019;983.20;968.82
7/5/2019;986.17;971.85
7/8/2019;974.25;959.75
7/9/2019;970.01;954.46
7/10/2019;975.92;960.03
7/11/2019;984.15;967.62
7/12/2019;982.32;965.23
7/15/2019;982.85;966.02
7/16/2019;984.26;966.88
7/17/2019;979.30;961.60
7/18/2019;977.72;959.61
7/19/2019;980.11;963.77
7/22/2019;975.99;958.55
7/23/2019;974.08;957.35
7/24/2019;971.37;954.76
7/25/2019;969.66;952.76
7/26/2019;966.98;949.56
7/29/2019;961.14;944.64
7/30/2019;956.98;941.83
7/31/2019;957.82;942.47
8/1/2019;947.61;931.88
8/2/2019;932.35;913.99
8/5/2019;903.48;885.59
8/6/2019;903.94;884.45
8/7/2019;905.81;886.52
8/8/2019;920.00;901.52
8/9/2019;919.39;899.35
8/12/2019;911.25;894.18
8/13/2019;901.51;885.20
8/14/2019;900.79;882.84
8/15/2019;895.58;878.47
8/16/2019;899.30;882.54
8/19/2019;903.84;888.35
8/20/2019;905.78;889.48
8/21/2019;911.35;895.18
8/22/2019;905.85;890.70
8/23/2019;902.20;888.05
8/26/2019;887.40;873.16
8/27/2019;891.01;876.64
8/28/2019;894.01;879.45
8/29/2019;896.56;881.80
8/30/2019;907.36;893.23
9/3/2019;902.39;888.86
9/4/2019;913.79;901.05
9/5/2019;919.84;908.11
9/6/2019;922.24;910.92
9/9/2019;920.70;908.50
9/10/2019;919.59;908.72
9/11/2019;927.54;917.43
9/12/2019;934.25;923.03
9/13/2019;936.91;926.45
9/16/2019;936.17;926.59
9/17/2019;929.80;920.54
9/18/2019;933.98;924.39
9/19/2019;930.42;920.89
9/20/2019;937.49;926.30
9/23/2019;938.45;922.76
9/24/2019;935.97;917.45
9/25/2019;927.48;908.34
9/26/2019;929.89;910.58
9/27/2019;925.07;904.66
9/30/2019;923.72;903.11
10/1/2019;921.93;900.38
10/2/2019;916.87;894.53
10/3/2019;920.21;898.28
10/4/2019;922.84;901.06
10/7/2019;922.33;899.73
10/8/2019;922.81;900.44
10/9/2019;921.32;899.29
10/10/2019;920.87;900.22
10/11/2019;927.42;909.36
10/14/2019;933.82;916.57
10/15/2019;933.74;916.91
10/16/2019;935.05;918.76
10/17/2019;941.28;923.60
10/18/2019;944.98;925.60
10/21/2019;947.16;928.38
10/22/2019;952.85;933.74
10/23/2019;952.16;931.41
10/24/2019;956.16;936.41
10/25/2019;952.62;933.66
10/28/2019;957.76;938.57
10/29/2019;957.26;938.45
10/30/2019;955.31;935.29
10/31/2019;958.38;937.83
11/1/2019;961.83;943.13
11/4/2019;969.83;953.05
11/5/2019;969.78;955.18
11/6/2019;967.53;952.69
11/7/2019;968.02;955.18
11/8/2019;964.46;952.73
11/11/2019;955.60;943.13
11/12/2019;957.03;944.27
11/13/2019;949.13;935.23
11/14/2019;949.61;934.95
11/15/2019;954.91;938.93
11/18/2019;956.48;940.77
11/19/2019;956.58;942.76
11/20/2019;952.75;938.35
11/21/2019;946.69;931.25
11/22/2019;948.60;933.22
11/25/2019;953.87;938.95
11/26/2019;953.39;937.36
11/27/2019;954.74;937.50
11/29/2019;952.16;933.10
12/2/2019;949.77;931.45
12/3/2019;947.51;930.46
12/4/2019;948.57;929.17
12/5/2019;949.95;931.42
12/6/2019;954.51;935.79
12/9/2019;956.13;936.30
12/10/2019;953.61;935.06
12/11/2019;958.50;941.32
12/12/2019;967.45;949.89
12/13/2019;975.98;958.19
12/16/2019;979.97;962.42
12/17/2019;985.74;969.21
12/18/2019;986.81;970.36
12/19/2019;988.52;971.20
12/20/2019;986.98;969.62
12/23/2019;988.93;971.30
12/24/2019;988.33;970.25
12/26/2019;994.52;975.67
12/27/2019;1000.18;982.20
12/30/2019;1006.28;990.37
12/31/2019;1007.64;991.63
1/2/2020;1015.77;1001.62
1/3/2020;1009.55;996.87
1/6/2020;993.67;983.38
1/7/2020;997.37;986.04
1/8/2020;988.07;976.85
1/9/2020;1005.35;993.36
1/10/2020;1009.76;997.20
1/13/2020;1018.20;1005.40
