Date;V130_MCAP_Cutoff;MSCI
3/15/2019;1000;1000
3/18/2019;1008.007894;1007.618785
3/19/2019;1007.154301;1005.823369
3/20/2019;1008.336354;1006.692473
3/21/2019;1006.55977;1005.057676
3/22/2019;998.5786532;997.4359576
3/25/2019;988.1996289;986.1911356
3/26/2019;993.2911765;991.5077097
3/27/2019;988.2680988;987.9843517
3/28/2019;986.7193865;985.8632961
3/29/2019;997.4909118;994.7494338
4/1/2019;1006.864438;1005.466192
4/2/2019;1007.711306;1006.162209
4/3/2019;1013.66441;1011.088603
4/4/2019;1012.990371;1010.506266
4/5/2019;1014.843164;1012.881819
4/8/2019;1013.641269;1011.592464
4/9/2019;1018.591799;1015.716494
4/10/2019;1022.344851;1018.735992
4/11/2019;1017.724729;1015.338782
4/12/2019;1017.073842;1015.160561
4/15/2019;1018.788833;1018.367814
4/16/2019;1019.535045;1019.695307
4/17/2019;1020.63964;1021.37411
4/18/2019;1013.603095;1014.730776
4/19/2019;1015.929519;1017.470839
4/22/2019;1014.198357;1013.970217
4/23/2019;1011.366694;1011.685609
4/24/2019;1008.160539;1007.365021
4/25/2019;1001.794709;1001.383967
4/26/2019;999.9421686;998.5918303
4/29/2019;999.0037772;997.8034019
4/30/2019;998.9138007;997.0252414
5/1/2019;999.7474779;997.7205252
5/2/2019;984.8713428;997.8092693
5/3/2019;987.0508404;999.826179
5/6/2019;970.4202482;985.5875295
5/7/2019;969.4629994;983.365995
5/8/2019;963.1843794;977.1091742
5/9/2019;943.3247095;959.4476454
5/10/2019;948.5553749;963.7322952
5/13/2019;931.4526355;943.426781
5/14/2019;929.7773507;944.0993288
5/15/2019;934.8003463;947.1811669
5/16/2019;929.3378987;941.4663447
5/17/2019;916.6865322;930.7180492
5/20/2019;916.5211496;933.3040943
5/21/2019;922.4575177;937.0159417
5/22/2019;924.0524516;938.2473567
5/23/2019;913.9514234;928.4965148
5/24/2019;916.5296462;933.0569311
5/27/2019;922.1989969;939.712
5/28/2019;926.0588834;943.2001537
5/29/2019;920.9175198;937.3914536
5/30/2019;927.5090549;944.0802598
5/31/2019;932.2434525;948.3143035
6/3/2019;934.6174906;951.5596947
6/4/2019;933.212119;952.6796297
6/5/2019;936.1163734;955.2495394
6/6/2019;932.8182034;951.4064095
6/7/2019;936.3088358;955.1233909
6/10/2019;944.9894451;962.2170459
6/11/2019;953.0048633;970.1673375
6/12/2019;949.3582618;966.8119331
6/13/2019;950.3857287;967.1273044
6/14/2019;943.5114506;960.0622528
6/17/2019;939.5960618;955.1248577
6/18/2019;944.3087171;960.0263152
6/19/2019;954.1222198;966.5977739
6/20/2019;968.9530015;981.299946
6/21/2019;969.0400327;980.995576
6/24/2019;970.2675969;981.534641
6/25/2019;967.736341;978.4109978
6/26/2019;968.1911117;979.7450919
6/27/2019;972.8963498;984.4375242
6/28/2019;974.4134303;985.8794313
7/1/2019;982.9943011;994.0108781
7/2/2019;982.6414958;993.2283171
7/3/2019;980.8362186;992.7339909
7/4/2019;985.6559782;998.2148515
7/5/2019;982.9683419;996.2786181
7/8/2019;972.384348;984.355381
7/9/2019;966.401218;980.5767922
7/10/2019;972.7770715;986.7023305
7/11/2019;981.043977;995.6691447
7/12/2019;978.6734833;993.8979312
7/15/2019;979.2169276;994.714963
7/16/2019;980.235073;996.5551181
