Date;MSCIPriceUSD;Close
3/15/2019;1000.00;1000.00
3/18/2019;1010.90;1010.78
3/19/2019;1012.09;1012.11
3/20/2019;1010.08;1009.98
3/21/2019;1010.92;1010.90
3/22/2019;1001.62;1000.08
3/25/2019;990.35;989.34
3/26/2019;993.23;992.22
3/27/2019;987.50;986.11
3/28/2019;988.20;987.15
3/29/2019;1000.04;999.27
4/1/2019;1011.28;1010.86
4/2/2019;1012.23;1011.49
4/3/2019;1020.04;1019.37
4/4/2019;1020.76;1020.22
4/5/2019;1024.74;1024.57
4/8/2019;1027.41;1026.55
4/9/2019;1032.02;1031.06
4/10/2019;1034.54;1033.63
4/11/2019;1026.96;1026.19
4/12/2019;1028.28;1027.54
4/15/2019;1026.22;1025.08
4/16/2019;1032.53;1031.71
4/17/2019;1035.10;1034.22
4/18/2019;1031.11;1030.03
4/19/2019;1031.41;1030.36
4/22/2019;1028.06;1027.16
4/23/2019;1028.42;1028.38
4/24/2019;1023.52;1023.23
4/25/2019;1016.28;1015.73
4/26/2019;1017.11;1016.48
4/29/2019;1021.07;1021.14
4/30/2019;1017.85;1017.91
5/1/2019;1018.97;1019.23
5/2/2019;1017.67;1016.48
5/3/2019;1021.09;1019.83
5/6/2019;1002.58;1001.67
5/7/2019;997.62;996.10
5/8/2019;991.75;990.89
5/9/2019;970.83;970.24
5/10/2019;975.52;975.00
5/13/2019;959.02;958.70
5/14/2019;957.39;957.70
5/15/2019;958.96;959.73
5/16/2019;954.26;955.39
5/17/2019;940.65;941.40
5/20/2019;938.97;939.53
5/21/2019;943.49;944.67
5/22/2019;942.80;944.13
5/23/2019;930.62;932.19
5/24/2019;932.64;934.09
5/27/2019;935.46;937.12
5/28/2019;934.99;936.88
5/29/2019;932.06;933.80
5/30/2019;940.75;942.16
5/31/2019;943.78;944.86
6/3/2019;952.79;954.29
6/4/2019;950.46;952.01
6/5/2019;950.10;951.41
6/6/2019;948.03;949.60
6/7/2019;952.33;954.05
6/10/2019;965.40;966.40
6/11/2019;974.53;975.64
6/12/2019;969.43;970.03
6/13/2019;965.96;967.24
6/14/2019;959.27;960.27
6/17/2019;955.26;956.80
6/18/2019;966.65;968.43
6/19/2019;979.41;981.62
6/20/2019;994.07;996.47
6/21/2019;993.55;996.06
6/24/2019;993.46;996.69
6/25/2019;986.60;989.58
6/26/2019;988.91;992.30
6/27/2019;995.25;998.95
6/28/2019;995.40;998.69
7/1/2019;1004.01;1008.71
7/2/2019;1003.53;1006.77
7/3/2019;1000.06;1002.80
7/4/2019;1004.82;1007.99
7/5/2019;1000.64;1003.46
7/8/2019;987.81;990.13
7/9/2019;984.17;986.52
7/10/2019;990.27;992.43
