Date;MSCI-Net;STOXX-Net;MSCI-Price;STOXX-Price;;;
1/31/2019;1000.00;1000.00;1000.00;1000.00;;;
2/1/2019;1004.81;1001.42;1004.80;1001.42;;;
2/4/2019;1006.51;1003.96;1006.51;1003.96;;;
2/5/2019;1019.36;1018.89;1019.36;1018.89;;;
2/6/2019;1020.60;1019.05;1020.60;1019.05;;;
2/7/2019;1003.94;999.09;1003.85;998.98;;;
2/8/2019;995.14;989.35;995.05;989.24;;;
2/11/2019;1006.64;1001.77;1006.53;1001.66;;;
2/12/2019;1009.66;1004.61;1009.55;1004.50;;;
2/13/2019;1018.00;1011.15;1017.72;1011.04;;;
2/14/2019;1016.39;1009.37;1016.09;1009.21;;;
2/15/2019;1026.22;1020.83;1025.93;1020.67;;;
2/18/2019;1029.86;1027.11;1029.49;1026.96;;;
2/19/2019;1028.30;1025.97;1027.93;1025.81;;;
2/20/2019;1034.51;1031.18;1034.09;1031.02;;;
2/21/2019;1032.74;1027.99;1032.28;1027.78;;;
2/22/2019;1036.51;1031.59;1035.97;1031.37;;;
2/25/2019;1039.65;1035.20;1039.11;1034.98;;;
2/26/2019;1044.57;1041.58;1044.03;1041.36;;;
2/27/2019;1039.63;1037.03;1039.10;1036.81;;;
2/28/2019;1040.82;1041.22;1039.99;1040.69;;;
3/1/2019;1050.00;1049.54;1049.16;1049.00;;;
3/4/2019;1054.56;1053.16;1053.66;1052.54;;;
3/5/2019;1051.50;1051.26;1050.60;1050.64;;;
3/6/2019;1048.95;1049.63;1048.06;1049.00;;;
3/7/2019;1040.45;1041.84;1039.04;1040.45;;;
3/8/2019;1029.70;1031.83;1028.25;1030.46;;;
3/11/2019;1038.05;1041.02;1036.59;1039.64;;;
3/12/2019;1039.47;1041.19;1038.00;1039.81;;;
3/13/2019;1045.97;1046.16;1044.49;1044.77;;;
3/14/2019;1055.14;1055.97;1053.47;1054.33;;;
3/15/2019;1062.87;1062.02;1061.05;1060.36;;;
3/18/2019;1064.55;1064.46;1062.67;1062.77;;;
3/19/2019;1072.05;1071.88;1070.14;1070.14;;;
3/20/2019;1059.36;1059.21;1057.47;1057.50;;;
3/21/2019;1058.52;1057.38;1056.30;1055.32;;;
3/22/2019;1046.50;1045.39;1044.32;1043.25;;;
3/25/2019;1038.93;1038.19;1036.76;1036.06;;;
3/26/2019;1045.28;1047.74;1043.07;1045.55;;;
3/27/2019;1045.18;1047.19;1042.85;1044.85;;;
3/28/2019;1043.52;1045.20;1040.80;1042.31;;;
3/29/2019;1051.54;1052.85;1048.45;1049.78;;;
4/1/2019;1067.52;1067.96;1064.14;1064.85;;;
4/2/2019;1072.32;1072.27;1068.74;1069.14;;;
4/3/2019;1087.30;1087.09;1083.57;1083.87;;;
4/4/2019;1082.85;1082.43;1077.91;1078.09;;;
4/5/2019;1086.62;1085.54;1081.17;1081.00;;;
4/8/2019;1081.74;1080.21;1076.31;1075.68;;;
4/9/2019;1072.85;1071.78;1067.30;1067.15;;;
4/10/2019;1079.23;1078.31;1073.46;1073.41;;;
4/11/2019;1084.59;1083.48;1077.61;1077.30;;;
4/12/2019;1089.70;1088.48;1082.23;1081.63;;;
4/15/2019;1093.26;1092.59;1085.53;1085.47;;;
4/16/2019;1096.67;1096.20;1088.92;1089.06;;;
4/17/2019;1096.38;1095.43;1088.63;1088.30;;;
4/18/2019;1099.67;1098.23;1091.81;1090.98;;;
4/19/2019;1099.67;1098.23;1091.81;1090.98;;;
4/22/2019;1098.07;1096.77;1090.21;1089.52;;;
4/23/2019;1102.11;1101.28;1093.62;1093.55;;;
4/24/2019;1101.89;1102.45;1093.10;1094.58;;;
4/25/2019;1097.82;1098.59;1088.59;1090.50;;;
4/26/2019;1101.44;1103.04;1092.03;1094.74;;;
4/29/2019;1102.72;1105.48;1093.05;1096.96;;;
4/30/2019;1098.20;1100.50;1088.43;1091.54;;;
5/1/2019;1098.94;1100.66;1089.17;1091.70;;;
5/2/2019;1093.94;1095.55;1083.70;1086.41;;;
5/3/2019;1097.04;1098.66;1086.79;1089.11;;;
5/6/2019;1086.25;1088.60;1075.53;1078.78;;;
5/7/2019;1075.94;1079.27;1064.98;1069.31;;;
5/8/2019;1076.34;1080.09;1064.94;1069.93;;;
5/9/2019;1059.11;1062.46;1047.13;1052.08;;;
5/10/2019;1064.36;1066.25;1052.09;1055.38;;;
5/13/2019;1047.29;1048.56;1035.07;1037.61;;;
5/14/2019;1060.91;1061.66;1048.21;1050.27;;;
5/15/2019;1064.11;1065.09;1051.34;1053.59;;;
5/16/2019;1075.87;1076.42;1062.82;1064.73;;;
5/17/2019;1071.17;1071.40;1057.92;1059.44;;;
5/20/2019;1058.83;1059.98;1045.31;1047.48;;;
5/21/2019;1068.18;1068.96;1054.18;1055.96;;;
5/22/2019;1066.37;1066.16;1052.24;1052.91;;;
5/23/2019;1047.06;1047.47;1032.46;1033.73;;;
5/24/2019;1051.37;1052.30;1036.58;1038.29;;;
5/27/2019;1052.53;1054.52;1037.43;1040.08;;;
5/28/2019;1054.87;1055.74;1039.74;1041.26;;;
5/29/2019;1036.92;1037.82;1022.01;1023.50;;;
5/30/2019;1042.55;1043.73;1027.17;1028.85;;;
5/31/2019;1037.16;1036.72;1021.59;1021.59;;;
6/3/2019;1037.87;1037.30;1022.05;1022.09;;;
6/4/2019;1042.40;1042.95;1026.51;1027.56;;;
6/5/2019;1050.23;1050.37;1034.09;1034.84;;;
6/6/2019;1046.95;1046.18;1030.54;1030.25;;;
6/7/2019;1057.69;1055.51;1041.06;1039.36;;;
6/10/2019;1059.26;1058.03;1042.60;1041.83;;;
6/11/2019;1068.85;1066.73;1052.04;1050.40;;;
6/12/2019;1066.05;1063.56;1049.29;1047.28;;;
6/13/2019;1067.89;1065.54;1050.56;1048.40;;;
6/14/2019;1062.00;1060.14;1044.69;1042.95;;;
6/17/2019;1060.91;1059.16;1043.50;1041.88;;;
6/18/2019;1078.18;1075.33;1060.49;1057.78;;;
6/19/2019;1078.76;1075.26;1060.79;1057.47;;;
6/20/2019;1083.38;1077.70;1065.14;1059.48;;;
6/21/2019;1079.06;1073.92;1060.85;1055.70;;;
6/24/2019;1077.15;1070.54;1058.64;1051.95;;;
6/25/2019;1078.49;1070.10;1059.96;1051.25;;;
6/26/2019;1073.32;1065.69;1054.87;1046.92;;;
6/27/2019;1072.64;1065.86;1053.78;1046.65;;;
6/28/2019;1082.31;1075.46;1063.28;1055.87;;;
7/1/2019;1091.41;1084.81;1072.06;1064.82;;;
7/2/2019;1092.16;1086.07;1072.73;1066.03;;;
7/3/2019;1103.28;1097.38;1083.63;1077.03;;;
7/4/2019;1104.69;1099.56;1084.78;1078.88;;;
7/5/2019;1093.46;1090.79;1073.76;1070.27;;;
7/8/2019;1091.26;1088.01;1071.50;1067.41;;;
7/9/2019;1083.50;1080.23;1063.87;1059.77;;;
7/10/2019;1081.46;1077.78;1061.87;1057.37;;;
7/11/2019;1081.36;1078.26;1061.67;1057.79;;;
7/12/2019;1086.71;1084.47;1066.92;1063.85;;;
7/15/2019;1090.87;1089.07;1071.18;1068.36;;;
7/16/2019;1096.15;1093.53;1076.36;1072.74;;;
7/17/2019;1092.08;1088.78;1072.36;1068.08;;;
7/18/2019;1086.53;1084.21;1066.91;1063.60;;;
7/19/2019;1090.89;1088.69;1071.19;1067.99;;;
7/22/2019;1091.35;1090.13;1071.64;1069.41;;;
7/23/2019;1102.87;1099.03;1082.96;1078.14;;;
7/24/2019;1109.23;1103.92;1089.20;1082.93;;;
7/25/2019;1101.45;1098.54;1081.50;1077.50;;;
7/26/2019;1103.06;1100.59;1083.00;1079.40;;;
7/29/2019;1103.49;1099.62;1083.42;1078.46;;;
7/30/2019;1085.22;1080.71;1065.48;1059.90;;;
7/31/2019;1087.51;1081.16;1067.72;1060.35;;;
8/1/2019;1094.86;1086.90;1074.92;1065.96;;;
8/2/2019;1068.66;1062.10;1049.19;1041.64;;;
8/5/2019;1040.34;1034.59;1021.39;1014.56;;;
8/6/2019;1038.05;1032.87;1019.14;1012.88;;;
8/7/2019;1041.81;1036.03;1022.83;1015.98;;;
8/8/2019;1059.35;1052.20;1039.89;1031.72;;;
8/9/2019;1049.98;1043.45;1030.69;1023.13;;;
8/12/2019;1044.52;1036.56;1025.32;1016.38;;;
8/13/2019;1047.36;1039.69;1028.06;1019.39;;;
8/14/2019;1028.73;1020.78;1009.78;1000.84;;;
8/15/2019;1023.93;1015.18;1004.54;994.86;;;
8/16/2019;1038.07;1029.87;1018.41;1009.25;;;
8/19/2019;1051.94;1043.76;1031.89;1022.65;;;
8/20/2019;1043.84;1036.32;1023.94;1015.37;;;
8/21/2019;1060.98;1052.21;1040.75;1030.93;;;
8/22/2019;1058.87;1050.16;1038.43;1028.63;;;
8/23/2019;1051.60;1043.37;1031.13;1021.79;;;
8/26/2019;1050.17;1041.48;1029.73;1019.95;;;
8/27/2019;1058.87;1050.52;1038.20;1028.73;;;
8/28/2019;1052.68;1044.28;1032.13;1022.62;;;
8/29/2019;1063.35;1054.20;1042.40;1032.10;;;
8/30/2019;1075.54;1065.03;1054.24;1042.63;;;
9/2/2019;1078.05;1067.55;1056.69;1045.10;;;
9/3/2019;1074.55;1063.97;1053.26;1041.60;;;
9/4/2019;1085.50;1075.11;1063.99;1052.50;;;
9/5/2019;1098.03;1086.92;1075.82;1063.49;;;
9/6/2019;1101.75;1089.41;1079.38;1065.93;;;
9/9/2019;1098.78;1086.30;1076.47;1062.88;;;
9/10/2019;1098.82;1087.76;1076.51;1064.32;;;
9/11/2019;1111.77;1098.98;1089.20;1075.29;;;
9/12/2019;1112.24;1097.67;1089.57;1073.91;;;
9/13/2019;1118.84;1105.39;1096.03;1081.47;;;
9/16/2019;1113.31;1099.48;1090.59;1075.68;;;
9/17/2019;1110.68;1096.86;1088.02;1073.12;;;
9/18/2019;1109.04;1096.58;1086.42;1072.85;;;
9/19/2019;1114.31;1100.59;1091.53;1076.73;;;
9/20/2019;1114.88;1101.92;1092.08;1077.99;;;
9/23/2019;1104.26;1089.96;1081.66;1066.27;;;
9/24/2019;1107.06;1091.71;1084.41;1067.97;;;
9/25/2019;1098.48;1083.01;1076.00;1059.46;;;
9/26/2019;1105.45;1089.88;1082.61;1066.04;;;
9/27/2019;1112.22;1096.86;1089.13;1072.87;;;
9/30/2019;1114.19;1099.39;1091.06;1075.35;;;
10/1/2019;1103.00;1087.45;1080.03;1063.62;;;
10/2/2019;1073.68;1058.67;1051.32;1035.47;;;
10/3/2019;1072.90;1055.67;1050.28;1032.15;;;
10/4/2019;1081.72;1064.24;1058.92;1040.52;;;
10/7/2019;1088.92;1070.18;1065.97;1046.33;;;
10/8/2019;1073.89;1056.44;1051.25;1032.90;;;
10/9/2019;1076.62;1058.68;1053.93;1035.04;;;
10/10/2019;1083.86;1065.56;1060.56;1041.37;;;
10/11/2019;1115.14;1095.45;1091.14;1070.57;;;
10/14/2019;1109.77;1090.87;1085.89;1066.10;;;
10/15/2019;1127.40;1106.63;1103.15;1081.50;;;
10/16/2019;1124.04;1104.43;1099.85;1079.35;;;
10/17/2019;1124.92;1104.26;1100.60;1079.06;;;
10/18/2019;1121.58;1101.10;1097.33;1075.98;;;
10/21/2019;1127.99;1108.55;1103.60;1083.26;;;
10/22/2019;1126.00;1107.51;1101.66;1082.24;;;
10/23/2019;1125.43;1108.58;1101.10;1083.29;;;
10/24/2019;1132.90;1113.93;1108.13;1088.42;;;
10/25/2019;1132.79;1113.92;1108.02;1088.41;;;
10/28/2019;1140.86;1120.38;1115.89;1094.68;;;
10/29/2019;1139.62;1119.29;1114.63;1093.62;;;
10/30/2019;1140.43;1117.35;1115.43;1091.72;;;
10/31/2019;1135.26;1113.84;1110.34;1088.29;;;
11/1/2019;1144.77;1121.74;1119.65;1096.01;;;
11/4/2019;1154.92;1130.80;1129.57;1104.86;;;
11/5/2019;1155.99;1132.68;1130.57;1106.69;;;
11/6/2019;1154.94;1132.72;1129.54;1106.71;;;
11/7/2019;1161.58;1138.88;1135.96;1112.65;;;
11/8/2019;1158.96;1134.43;1133.34;1108.30;;;
11/11/2019;1159.34;1134.37;1133.72;1108.24;;;
11/12/2019;1162.52;1139.02;1136.82;1112.79;;;
11/13/2019;1159.70;1135.46;1134.34;1109.31;;;
11/14/2019;1156.47;1132.91;1131.03;1106.65;;;
11/15/2019;1162.95;1139.83;1137.36;1113.41;;;
11/18/2019;1163.70;1140.02;1137.83;1113.32;;;
11/19/2019;1161.95;1140.41;1136.12;1113.70;;;
11/20/2019;1159.02;1136.41;1133.24;1109.79;;;
11/21/2019;1152.87;1130.33;1127.06;1103.65;;;
11/22/2019;1158.92;1135.70;1132.97;1108.89;;;
11/25/2019;1173.30;1149.90;1147.02;1122.76;;;
11/26/2019;1182.92;1157.98;1156.43;1130.65;;;
11/27/2019;1186.22;1161.53;1159.66;1134.12;;;
11/28/2019;1184.58;1160.91;1157.84;1133.26;;;
11/29/2019;1177.46;1154.53;1150.88;1127.03;;;
12/2/2019;1160.33;1137.42;1134.10;1110.29;;;
12/3/2019;1153.51;1131.27;1127.44;1104.29;;;
12/4/2019;1166.83;1145.00;1140.42;1117.69;;;
12/5/2019;1169.46;1147.17;1142.90;1119.69;;;
12/6/2019;1181.50;1160.00;1154.67;1132.20;;;
12/9/2019;1180.26;1158.82;1153.46;1131.05;;;
12/10/2019;1174.48;1153.68;1147.81;1126.03;;;
12/11/2019;1174.90;1154.02;1148.22;1126.36;;;
12/12/2019;1177.42;1156.18;1150.55;1128.31;;;
12/13/2019;1196.25;1174.54;1168.95;1146.23;;;
12/16/2019;1211.29;1190.34;1183.62;1161.65;;;
12/17/2019;1203.45;1180.66;1175.96;1152.20;;;
12/18/2019;1199.51;1176.26;1172.12;1147.91;;;
12/19/2019;1201.31;1177.27;1173.65;1148.63;;;
12/20/2019;1208.14;1183.18;1180.32;1154.32;;;
12/23/2019;1210.55;1185.31;1182.65;1156.37;;;
12/24/2019;1214.51;1189.30;1186.50;1160.24;;;
12/25/2019;1214.51;1189.30;1186.50;1160.24;;;
12/26/2019;1214.97;1189.98;1186.94;1160.90;;;
12/27/2019;1216.43;1192.74;1188.37;1163.59;;;
12/30/2019;1206.86;1185.15;1179.02;1156.19;;;
12/31/2019;1205.72;1184.09;1177.91;1155.16;;;
1/2/2020;1215.99;1194.94;1187.85;1165.69;;;
1/3/2020;1208.75;1187.45;1180.71;1158.31;;;
1/6/2020;1202.16;1181.09;1174.25;1152.07;;;
1/7/2020;1206.27;1186.35;1178.25;1157.20;;;
1/8/2020;1207.19;1188.24;1179.16;1159.05;;;
1/9/2020;1208.88;1189.84;1180.80;1160.60;;;
1/10/2020;1207.18;1187.30;1179.14;1158.12;;;
1/13/2020;1206.35;1186.35;1178.33;1157.19;;;
1/14/2020;1212.41;1192.63;1184.24;1163.32;;;
1/15/2020;1211.41;1191.52;1183.28;1162.23;;;
1/16/2020;1214.86;1194.83;1186.56;1165.46;;;
1/17/2020;1224.94;1203.44;1196.40;1173.86;;;
1/20/2020;1225.84;1204.28;1197.29;1174.68;;;
1/21/2020;1225.11;1203.05;1196.57;1173.48;;;
1/22/2020;1229.05;1204.87;1200.43;1175.25;;;
1/23/2020;1219.02;1195.14;1190.60;1165.74;;;
1/24/2020;1229.96;1206.09;1201.28;1176.42;;;
1/27/2020;1204.10;1180.70;1176.03;1151.65;;;
1/28/2020;1212.57;1189.72;1184.30;1160.46;;;
1/29/2020;1219.24;1195.53;1190.82;1166.12;;;
1/30/2020;1208.22;1184.91;1179.92;1155.62;;;
1/31/2020;1194.16;1172.81;1166.19;1143.82;;;
2/3/2020;1198.87;1175.99;1170.80;1146.93;;;
2/4/2020;1216.54;1190.78;1188.05;1161.35;;;
2/5/2020;1232.02;1205.05;1203.17;1175.27;;;
2/6/2020;1232.44;1204.34;1203.48;1174.45;;;
2/7/2020;1225.49;1199.42;1196.69;1169.65;;;
2/10/2020;1228.51;1202.92;1199.64;1173.07;;;
2/11/2020;1242.74;1215.84;1213.53;1185.67;;;
2/12/2020;1250.13;1224.55;1220.63;1194.17;;;
2/13/2020;1251.03;1226.48;1221.45;1196.02;;;
2/14/2020;1252.62;1228.25;1223.00;1197.74;;;
2/17/2020;1255.77;1231.37;1226.02;1200.78;;;
2/18/2020;1251.80;1226.99;1222.15;1196.44;;;
2/19/2020;1263.59;1238.81;1233.65;1207.94;;;
2/20/2020;1256.18;1230.32;1226.37;1199.60;;;
2/21/2020;1251.35;1225.00;1221.59;1194.41;;;
2/24/2020;1204.10;1179.34;1175.47;1149.89;;;
2/25/2020;1184.84;1158.45;1156.67;1129.53;;;
2/26/2020;1182.91;1155.75;1154.77;1126.89;;;
2/27/2020;1138.66;1113.79;1111.46;1085.87;;;
2/28/2020;1101.73;1075.76;1075.41;1048.79;;;
3/2/2020;1098.14;1074.71;1071.90;1047.77;;;
3/3/2020;1118.90;1093.41;1092.17;1066.00;;;
3/4/2020;1127.43;1103.16;1100.39;1075.39;;;
3/5/2020;1109.50;1085.26;1082.33;1057.27;;;
3/6/2020;1070.44;1048.43;1044.19;1021.40;;;
3/9/2020;994.24;972.69;969.75;947.46;;;
3/10/2020;982.43;960.70;958.22;935.79;;;
3/11/2020;966.07;945.62;942.27;921.10;;;
3/12/2020;852.11;832.20;830.92;810.43;;;
3/13/2020;861.33;840.41;839.91;818.42;;;
3/16/2020;809.78;787.38;789.62;766.78;;;
3/17/2020;815.66;793.58;795.33;772.82;;;
3/18/2020;788.26;769.53;768.61;749.40;;;
3/19/2020;807.27;784.49;786.90;763.61;;;
3/20/2020;825.43;805.54;804.60;784.04;;;
3/23/2020;783.25;768.00;763.49;747.46;;;
3/24/2020;852.25;832.90;830.70;810.58;;;
3/25/2020;878.24;855.53;856.02;832.59;;;
3/26/2020;909.31;886.63;886.28;862.63;;;
3/27/2020;879.47;856.94;857.15;833.68;;;
3/30/2020;883.67;861.06;861.09;837.69;;;
3/31/2020;902.19;876.57;879.17;852.70;;;
4/1/2020;874.24;847.13;851.56;823.99;;;
4/2/2020;873.66;850.69;850.43;826.97;;;
4/3/2020;862.70;838.85;839.32;814.94;;;
4/6/2020;895.85;873.71;871.62;848.80;;;
4/7/2020;922.51;897.45;897.63;871.87;;;
4/8/2020;928.84;904.63;903.70;878.84;;;
4/9/2020;949.37;925.75;923.77;899.33;;;
4/10/2020;949.37;925.75;923.77;899.33;;;
4/13/2020;950.71;926.61;925.08;900.16;;;
4/14/2020;952.66;928.20;927.15;901.71;;;
4/15/2020;918.32;893.53;893.73;868.03;;;
4/16/2020;917.87;892.99;892.76;867.30;;;
4/17/2020;947.85;923.25;921.75;896.50;;;
4/20/2020;949.55;925.65;923.38;898.82;;;
4/21/2020;923.55;900.55;898.02;874.45;;;
4/22/2020;937.47;916.22;911.29;889.43;;;
4/23/2020;951.58;930.15;924.74;902.78;;;
4/24/2020;943.02;922.08;916.42;894.94;;;
4/27/2020;960.67;939.58;933.34;911.64;;;
4/28/2020;979.56;953.80;951.57;925.29;;;
4/29/2020;1001.93;975.25;972.96;945.81;;;
4/30/2020;983.70;957.99;954.83;928.85;;;
5/1/2020;975.77;950.04;947.14;921.29;;;
5/4/2020;951.07;925.51;923.54;897.47;;;
5/5/2020;973.28;946.28;944.90;917.62;;;
5/6/2020;971.14;942.67;942.78;914.11;;;
5/7/2020;985.80;958.27;956.61;928.68;;;
5/8/2020;996.69;968.97;967.04;939.01;;;
5/11/2020;990.98;962.64;961.50;932.87;;;
5/12/2020;994.19;963.03;964.43;933.03;;;
5/13/2020;975.20;944.21;945.87;914.68;;;
5/14/2020;949.09;920.54;920.53;891.73;;;
5/15/2020;957.21;929.10;928.17;899.71;;;
5/18/2020;994.92;966.77;964.48;935.72;;;
5/19/2020;986.21;958.47;955.95;927.69;;;
5/20/2020;995.54;966.15;964.89;935.01;;;
