Date;MSCI_Price;SAMCO_Price;MSCI_Gross;SAMCO_Gross;V25_Gross
3/15/2019;1000;1000;1000;1000;1000
3/18/2019;1007.5;1007.9;1007.62;1007.86;1008.757501
3/19/2019;1005.5;1007.5;1005.82;1007.68;1009.252089
3/20/2019;1006.2;1007.1;1006.69;1007.34;1007.734095
3/21/2019;1004.5;1005.1;1005.06;1005.39;1006.200158
3/22/2019;996.9;992.7;997.44;992.91;991.8425939
3/25/2019;985.6;982;986.19;982.25;982.898563
3/26/2019;990.9;986.4;991.51;986.71;986.8857396
3/27/2019;987.3;981.1;987.98;981.53;979.6160928
3/28/2019;985.2;979.4;985.86;980.01;979.3628927
3/29/2019;994;990.6;994.75;991.25;991.9648
4/1/2019;1004.7;1000.5;1005.47;1001.08;1003.190894
4/2/2019;1005.3;1000.7;1006.16;1001.38;1003.486835
4/3/2019;1010.1;1006.7;1011.09;1007.56;1010.409518
4/4/2019;1009.5;1005.7;1010.51;1006.6;1009.273315
4/5/2019;1011.8;1008.3;1012.88;1009.31;1012.293177
4/8/2019;1010.5;1008.1;1011.59;1009.14;1011.66107
4/9/2019;1014.6;1011.6;1015.72;1012.63;1014.751705
4/10/2019;1017.5;1014.9;1018.74;1016.04;1019.762092
4/11/2019;1014.1;1010.1;1015.34;1011.29;1014.632132
4/12/2019;1013.8;1011;1015.16;1012.22;1014.74399
4/15/2019;1017;1011.7;1018.37;1012.98;1015.149987
4/16/2019;1018.3;1013.4;1019.7;1014.66;1016.360945
4/17/2019;1020;1014.1;1021.37;1015.57;1017.600374
4/18/2019;1013.3;1008.2;1014.73;1009.67;1012.10229
4/19/2019;1016;1010.6;1017.47;1012.07;1014.148503
4/22/2019;1012.4;1008.4;1013.97;1010.09;1012.422141
4/23/2019;1010;1005.7;1011.69;1007.51;1009.796718
4/24/2019;1005.6;1001.6;1007.37;1003.47;1005.021968
4/25/2019;999.5;994.1;1001.38;996.18;999.0152707
4/26/2019;996.6;992.1;998.59;994.19;997.8280417
4/29/2019;995.6;992.8;997.8;994.99;998.2312808
4/30/2019;994.5;992.2;997.03;994.75;997.693222
5/1/2019;995.1;992.7;997.72;995.28;998.4377433
5/2/2019;995;977.6;997.81;980.2;987.1706737
5/3/2019;996.9;980.6;999.83;983.27;990.4301353
5/6/2019;982.6;963.2;985.59;965.94;974.5953081
5/7/2019;980.2;960.2;983.37;962.99;970.1811801
5/8/2019;973.7;953.6;977.11;956.75;965.1029334
5/9/2019;956;934.9;959.45;938.1;944.8667653
5/10/2019;960.1;939.9;963.73;943.22;949.9172003
5/13/2019;939.7;921.5;943.43;925.1;931.0865373
