Date;MSCIPriceUSD;SAMCOPriceUSD
6/15/2012;1000.00;1000.00
6/18/2012;1009.56;1010.05
6/19/2012;1019.69;1020.39
6/20/2012;1024.92;1025.26
6/21/2012;1007.72;1008.15
6/22/2012;991.31;992.04
6/25/2012;977.23;977.42
6/26/2012;980.15;980.32
6/27/2012;986.98;986.90
6/28/2012;980.00;979.66
6/29/2012;1013.12;1013.88
7/2/2012;1017.49;1018.61
7/3/2012;1034.10;1035.08
7/4/2012;1033.55;1034.43
7/5/2012;1032.38;1032.64
7/6/2012;1022.47;1021.97
7/9/2012;1011.29;1011.33
7/10/2012;1009.76;1008.23
7/11/2012;1007.74;1006.58
7/12/2012;987.95;986.73
7/13/2012;1000.99;1000.31
7/16/2012;1001.64;1000.77
7/17/2012;1008.56;1008.13
7/18/2012;1006.14;1006.04
7/19/2012;1017.20;1018.18
7/20/2012;1012.59;1013.12
7/23/2012;986.22;986.06
7/24/2012;982.94;982.62
7/25/2012;978.85;979.37
7/26/2012;990.52;991.14
7/27/2012;1017.88;1018.86
7/30/2012;1025.67;1026.86
7/31/2012;1029.47;1030.97
8/1/2012;1031.35;1033.26
8/2/2012;1021.32;1022.98
8/3/2012;1029.80;1032.08
8/6/2012;1045.64;1048.30
8/7/2012;1046.08;1049.22
8/8/2012;1049.05;1052.86
8/9/2012;1058.43;1061.82
8/10/2012;1058.40;1061.13
8/13/2012;1051.20;1054.85
8/14/2012;1056.24;1059.79
8/15/2012;1052.97;1056.52
8/16/2012;1054.69;1058.21
8/17/2012;1049.54;1053.05
8/20/2012;1047.55;1050.90
8/21/2012;1054.31;1057.66
8/22/2012;1047.78;1051.59
8/23/2012;1052.82;1055.80
8/24/2012;1043.50;1046.48
8/27/2012;1038.52;1041.40
8/28/2012;1034.09;1037.13
8/29/2012;1029.93;1032.24
8/30/2012;1020.72;1022.97
8/31/2012;1023.90;1026.47
9/3/2012;1029.84;1032.42
9/4/2012;1023.94;1026.72
9/5/2012;1015.45;1018.41
9/6/2012;1027.27;1030.36
9/7/2012;1047.13;1050.24
9/10/2012;1048.37;1051.63
9/11/2012;1051.74;1055.35
9/12/2012;1057.57;1061.79
9/13/2012;1061.37;1066.27
9/14/2012;1096.03;1101.72
9/17/2012;1094.48;1099.62
9/18/2012;1088.22;1093.29
9/19/2012;1091.02;1095.35
9/20/2012;1078.96;1083.87
9/21/2012;1087.96;1092.20
9/24/2012;1085.55;1089.85
9/25/2012;1082.83;1086.18
9/26/2012;1070.42;1073.64
9/27/2012;1079.05;1081.66
9/28/2012;1083.70;1085.72
10/1/2012;1086.32;1089.17
10/2/2012;1087.56;1090.59
10/3/2012;1083.53;1086.27
10/4/2012;1086.79;1089.46
10/5/2012;1090.73;1093.74
10/8/2012;1078.59;1082.74
10/9/2012;1077.14;1081.05
10/10/2012;1072.27;1075.99
10/11/2012;1076.45;1080.34
10/12/2012;1077.25;1080.88
10/15/2012;1075.66;1079.90
10/16/2012;1084.44;1088.78
10/17/2012;1092.55;1096.49
10/18/2012;1095.27;1099.13
10/19/2012;1087.38;1091.10
10/22/2012;1088.73;1093.00
10/23/2012;1077.39;1080.77
10/24/2012;1074.93;1078.31
10/25/2012;1079.88;1083.10
10/26/2012;1070.77;1073.89
10/29/2012;1070.27;1073.08
10/30/2012;1073.42;1075.99
10/31/2012;1075.77;1077.81
11/1/2012;1080.42;1082.74
11/2/2012;1085.89;1087.99
11/5/2012;1081.69;1083.76
11/6/2012;1087.61;1090.10
11/7/2012;1088.88;1090.16
11/8/2012;1075.75;1077.18
11/9/2012;1071.08;1072.49
11/12/2012;1069.22;1070.31
11/13/2012;1061.55;1061.81
11/14/2012;1059.88;1060.37
11/15/2012;1053.08;1054.66
11/16/2012;1048.21;1049.72
11/19/2012;1057.03;1059.23
11/20/2012;1058.65;1060.70
11/21/2012;1060.11;1061.77
11/22/2012;1065.40;1066.98
11/23/2012;1076.44;1078.74
11/26/2012;1075.53;1077.34
11/27/2012;1076.97;1078.12
11/28/2012;1071.39;1072.03
11/29/2012;1084.93;1085.00
11/30/2012;1088.42;1089.09
12/3/2012;1089.12;1090.88
12/4/2012;1088.69;1090.21
12/5/2012;1099.60;1100.74
12/6/2012;1103.81;1104.87
12/7/2012;1106.83;1108.05
12/10/2012;1112.23;1112.98
12/11/2012;1118.17;1118.87
12/12/2012;1125.54;1126.76
12/13/2012;1126.82;1128.61
12/14/2012;1127.10;1129.19
12/17/2012;1124.08;1125.48
12/18/2012;1130.81;1132.33
12/19/2012;1138.29;1140.22
12/20/2012;1137.77;1139.68
12/21/2012;1127.34;1129.56
12/24/2012;1128.09;1130.48
12/25/2012;1129.91;1132.51
12/26/2012;1131.24;1133.85
12/27/2012;1134.27;1136.41
12/28/2012;1140.46;1142.24
12/31/2012;1140.48;1142.02
1/2/2013;1165.31;1166.75
1/3/2013;1170.19;1171.90
1/4/2013;1165.02;1166.49
1/7/2013;1162.71;1164.52
1/8/2013;1156.33;1158.51
1/9/2013;1159.76;1162.28
1/10/2013;1164.04;1166.50
1/11/2013;1159.77;1162.71
1/14/2013;1168.06;1171.44
1/15/2013;1160.25;1163.34
1/16/2013;1157.79;1160.18
1/17/2013;1159.89;1162.75
1/18/2013;1168.09;1171.61
1/21/2013;1165.18;1168.79
1/22/2013;1166.29;1170.07
1/23/2013;1163.54;1168.10
1/24/2013;1158.93;1163.75
1/25/2013;1155.53;1160.46
1/28/2013;1147.90;1153.31
1/29/2013;1156.36;1161.54
1/30/2013;1154.54;1159.32
1/31/2013;1155.41;1160.55
2/1/2013;1159.53;1164.86
2/4/2013;1159.43;1164.35
2/5/2013;1153.90;1158.89
2/6/2013;1149.73;1154.93
2/7/2013;1145.20;1150.10
2/8/2013;1146.62;1151.00
2/11/2013;1144.32;1148.91
2/12/2013;1144.62;1149.61
2/13/2013;1150.95;1156.32
2/14/2013;1151.98;1157.06
2/15/2013;1152.72;1157.73
