Date,GMSR_Developed,GMSR_Developed_Upper,GMSR_Developed_Lower,GMSR_Emerging,GMSR_Emerging_Upper,GMSR_Emerging_Lower,Rank
2012-06-18,330000000.0,379500000.0,165000000.0,165000000.0,189750000.0,82500000.0,4690
2012-09-24,360092536.0769,414106416.488435,180046268.03845,180046268.03845,207053208.2442175,90023134.019225,5001
2012-12-24,356818259.90185255,410340998.8871304,178409129.95092627,178409129.95092627,205170499.4435652,89204564.97546314,5001
2013-03-18,395868400.26804,455248660.30824596,197934200.13402,197934200.13402,227624330.15412298,98967100.06701,5001
2013-06-24,389117589.7523462,447485228.2151981,194558794.8761731,194558794.8761731,223742614.10759905,97279397.43808655,5001
2013-09-23,411400138.80874884,473110159.63006115,205700069.40437442,205700069.40437442,236555079.81503057,102850034.70218721,5001
2013-12-23,425173821.671106,488949894.9217718,212586910.835553,212586910.835553,244474947.4608859,106293455.4177765,5001
2014-03-24,467951123.188209,538143791.6664402,233975561.5941045,233975561.5941045,269071895.8332201,116987780.79705225,5001
2014-06-23,455882784.12092376,524265201.7390623,227941392.06046188,227941392.06046188,262132600.86953115,113970696.03023094,5001
2014-09-22,541242364.06457,622428718.6742554,270621182.032285,270621182.032285,311214359.3371277,135310591.0161425,5001
2014-12-22,470906313.5062275,541542260.5321616,235453156.75311375,235453156.75311375,270771130.2660808,117726578.37655687,5001
2015-03-23,510409840.93994176,586971317.080933,255204920.46997088,255204920.46997088,293485658.5404665,127602460.23498544,5001
2015-06-22,513685645.50627005,590738492.3322105,256842822.75313503,256842822.75313503,295369246.1661053,128421411.37656751,5001
2015-09-21,507869481.8877121,584049904.1708689,253934740.94385606,253934740.94385606,292024952.08543444,126967370.47192803,5001
2015-12-21,495752055.33935285,570114863.6402557,247876027.66967642,247876027.66967642,285057431.82012784,123938013.83483821,5001
2016-03-21,453153079.9198,521126041.9077699,226576539.9599,226576539.9599,260563020.95388496,113288269.97995,5001
2016-06-20,482762369.3952001,555176724.8044801,241381184.69760004,241381184.69760004,277588362.40224004,120690592.34880002,5001
2016-09-19,536147913.10451305,616570100.07019,268073956.55225652,268073956.55225652,308285050.035095,134036978.27612826,5001
2016-12-19,530310840.08456236,609857466.0972466,265155420.04228118,265155420.04228118,304928733.0486233,132577710.02114059,5001
2017-03-20,587718070.15457,675875780.6777555,293859035.077285,293859035.077285,337937890.33887774,146929517.5386425,5001
2017-06-19,578570957.126312,665356600.6952587,289285478.563156,289285478.563156,332678300.34762937,144642739.281578,5001
2017-09-18,641647748.5266595,737894910.8056583,320823874.26332974,320823874.26332974,368947455.4028292,160411937.13166487,5040
2017-12-18,654238298.8149519,752374043.6371946,327119149.40747595,327119149.40747595,376187021.8185973,163559574.70373797,5040
2018-03-19,675440279.877132,776756321.8587018,337720139.938566,337720139.938566,388378160.9293509,168860069.969283,5040
2018-06-18,653888293.4920199,751971537.5158228,326944146.74600995,326944146.74600995,375985768.7579114,163472073.37300497,5040
2018-09-24,703680615.8242087,809232708.19784,351840307.91210437,351840307.91210437,404616354.09892,175920153.95605218,5040
2018-12-24,598467707.2387687,688237863.324584,299233853.61938435,299233853.61938435,344118931.662292,149616926.80969217,5040
2019-03-18,604652219.7007521,695350052.655865,302326109.85037607,302326109.85037607,347675026.3279325,151163054.92518803,5040
2019-06-24,552391806.8592,635250577.88808,276195903.4296,276195903.4296,317625288.94404,138097951.7148,5040
2019-09-23,572867202.7116549,658797283.1184031,286433601.35582745,286433601.35582745,329398641.55920154,143216800.67791373,5040
2019-12-23,601025784.14778,691179651.7699469,300512892.07389,300512892.07389,345589825.88497347,150256446.036945,5040
2020-03-23,529388792.4,608797111.2599999,264694396.2,264694396.2,304398555.62999994,132347198.1,5040
2020-06-22,482176612.45546126,554503104.3237804,241088306.22773063,241088306.22773063,277251552.1618902,120544153.11386532,5040
2020-09-21,572308101.8631,658154317.142565,286154050.93155,286154050.93155,329077158.5712825,143077025.465775,5040
2020-12-21,604216700.4300001,694849205.4945,302108350.21500003,302108350.21500003,347424602.74725,151054175.10750002,5040
2021-03-22,781062405.865269,898221766.7450593,390531202.9326345,390531202.9326345,449110883.3725296,195265601.46631724,5040
2021-06-21,777798807.7147901,894468628.8720086,388899403.85739505,388899403.85739505,447234314.4360043,194449701.92869753,5040
2021-09-20,846758423.04,973772186.4959999,423379211.52,423379211.52,486886093.24799997,211689605.76,5074
2021-12-20,726220236.8169188,835153272.3394566,363110118.4084594,363110118.4084594,417576636.1697283,181555059.2042297,5074
2022-03-21,726713038.4391721,835719994.205048,363356519.2195861,363356519.2195861,417859997.102524,181678259.60979304,5074
2022-06-20,614136708.1375554,706257214.3581886,307068354.0687777,307068354.0687777,353128607.1790943,153534177.03438884,5074
2022-09-19,579267094.0,666157158.0999999,289633547.0,289633547.0,333078579.04999995,144816773.5,5074
2022-12-19,536862246.5525,617391583.535375,268431123.27625,268431123.27625,308695791.7676875,134215561.638125,5074
2023-03-20,556054894.5915189,639463128.7802466,278027447.29575944,278027447.29575944,319731564.3901233,139013723.64787972,5074
2023-06-19,493260465.7865992,567249535.654589,246630232.8932996,246630232.8932996,283624767.8272945,123315116.4466498,5074
2023-09-18,517590183.0168638,595228710.4693934,258795091.5084319,258795091.5084319,297614355.2346967,129397545.75421596,5074
2023-12-18,478932793.1930425,550772712.1719989,239466396.59652126,239466396.59652126,275386356.0859994,119733198.29826063,5074
2024-03-18,558043681.450337,641750233.6678876,279021840.7251685,279021840.7251685,320875116.8339438,139510920.36258426,5074
2024-06-24,542292196.9025506,623636026.4379331,271146098.4512753,271146098.4512753,311818013.21896654,135573049.22563764,5074
2024-09-23,601736328.5920403,691996777.8808463,300868164.29602015,300868164.29602015,345998388.94042313,150434082.14801008,4379
