Country;6/18/2012;9/24/2012;12/24/2012;3/18/2013;6/24/2013;9/23/2013;12/23/2013;3/24/2014;6/23/2014;9/22/2014;12/22/2014;3/23/2015;6/22/2015;9/21/2015;12/21/2015;3/21/2016;6/20/2016;9/19/2016;12/19/2016;3/20/2017;6/19/2017;9/18/2017;12/18/2017;3/19/2018;6/18/2018;9/24/2018;12/24/2018;3/18/2019;6/24/2019;9/23/2019;12/23/2019;3/23/2020;6/22/2020;9/21/2020;12/21/2020;3/22/2021;6/21/2021;9/20/2021;12/20/2021;3/21/2022;6/20/2022;9/19/2022;12/19/2022;3/20/2023;6/19/2023;9/18/2023;12/18/2023;3/18/2024;6/24/2024;9/23/2024
AE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;6;9;11;14;17;20;23
BR;93;91;153;154;153;148;146;144;146;138;132;118;114;108;105;102;98;103;105;106;106;104;107;108;110;103;106;111;118;119;125;124;125;117;124;116;117;99;102;99;100;104;109;107;110;114;116;115;113;110
CL;19;11;23;38;38;36;39;36;36;34;32;32;32;31;31;32;30;28;29;29;30;30;31;31;30;29;31;32;31;30;29;29;29;30;31;30;30;27;27;25;27;28;28;28;29;29;30;28;28;29
CN;148;125;199;206;228;215;248;261;264;250;281;296;305;301;384;388;385;358;362;359;371;354;357;361;355;331;354;190;436;603;644;659;664;661;775;738;743;597;635;657;667;323;352;356;366;591;728;710;722;776
CO;3;3;3;6;8;11;17;15;16;14;15;16;17;16;17;18;18;17;17;17;17;16;16;16;17;15;15;15;15;14;14;13;13;13;13;13;13;11;11;9;8;8;9;7;7;6;6;6;6;6
CZ;5;5;6;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;5;4;4;4;4;5
EG;5;4;21;22;20;18;20;20;20;19;20;20;20;18;18;19;18;17;16;14;14;9;9;10;12;11;11;12;11;10;12;12;12;12;13;9;8;8;9;8;8;9;9;9;10;11;16;18;11;9
GR;;;;;;3;3;5;7;18;18;18;18;17;17;18;20;19;19;18;18;19;21;21;20;19;19;20;20;20;21;19;19;17;17;16;16;16;16;17;17;16;17;19;20;22;22;23;24;22
HU;3;3;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5
ID;49;47;74;74;77;75;81;79;79;73;76;77;70;60;58;64;68;66;68;62;64;58;64;66;63;55;60;63;66;68;66;59;59;51;53;52;51;44;55;61;68;69;72;69;74;75;75;73;71;73
IN;80;79;199;191;203;174;173;161;163;168;186;174;173;175;204;206;205;208;225;223;228;228;246;240;243;224;237;231;231;215;228;228;225;227;252;250;260;256;305;307;322;335;401;415;436;454;474;491;504;515
KR;208;202;274;280;285;267;286;284;286;272;295;283;292;293;325;324;334;315;335;323;319;296;306;300;308;294;308;321;323;305;295;297;310;304;332;318;312;308;331;333;346;356;374;378;382;398;424;431;428;460
KW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;26;26;26;27;29;30;30
MA;;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MX;29;29;40;42;40;39;44;46;48;48;52;52;53;54;59;58;57;53;53;53;56;54;57;54;53;51;55;53;52;50;49;49;48;46;48;48;48;35;36;35;35;36;36;36;37;36;36;37;38;36
MY;62;60;95;99;100;102;104;106;107;101;116;99;97;86;91;97;98;95;95;91;90;86;94;97;92;89;87;83;86;82;80;82;85;82;86;79;77;74;83;87;94;94;97;98;97;92;98;102;104;111
PH;21;21;38;40;43;40;38;38;39;38;42;43;44;42;42;43;42;41;42;43;45;44;44;40;40;38;38;38;39;39;40;38;37;36;38;35;36;33;34;33;32;32;33;34;36;34;35;33;32;33
PK;;;;;;;;;;;;;;;;;;;;;;3;3;18;19;13;12;12;12;9;9;10;10;11;11;11;11;11;12;12;12;;;;;;;;;
PL;26;25;33;36;37;34;34;35;36;34;41;41;40;37;36;36;37;37;37;38;38;35;35;34;35;33;34;34;34;33;33;33;34;37;40;35;34;33;37;35;35;34;35;37;38;41;42;41;41;46
QA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;5;7;9;11;13;15;17
RU;26;20;37;43;45;44;45;44;45;40;41;42;43;39;42;39;39;37;40;41;41;38;39;40;42;38;41;46;45;42;43;41;41;39;44;41;40;36;39;;;;;;;;;;;
SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;12;21;30;82;85;85
TH;3;3;85;88;91;85;95;91;94;97;99;97;100;91;98;107;110;106;108;110;106;101;106;107;107;102;109;112;111;108;108;100;102;96;99;96;96;97;108;113;117;118;121;120;124;121;123;113;115;117
TR;39;37;66;69;73;67;67;53;55;48;48;49;47;46;45;46;46;45;46;42;41;41;40;40;37;32;32;36;37;34;35;39;42;38;37;40;38;35;36;37;36;45;52;79;79;80;89;92;92;97
TW;247;224;304;356;359;348;349;317;312;275;284;286;281;249;248;272;291;267;262;268;270;251;252;254;245;233;231;243;253;256;262;268;285;275;285;274;272;258;278;291;290;290;298;301;306;315;319;322;325;340
ZA;64;63;106;105;106;103;105;104;104;98;103;102;103;99;100;97;96;94;97;98;100;98;100;100;99;88;89;91;91;90;90;86;76;66;70;67;68;67;72;70;72;73;74;73;71;71;70;67;68;68
