Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
EG,5,23,18,20,13,13,13,15,17,18,17,19,18,15,14,15,14,14,13,13,14,10,11,11,13,10,10,10,11,10,11,9,11,11,12,8,8,7,8,8,9,9,10,10,11,12,18,16,11,10
MY,62,104,91,102,98,98,93,98,97,103,102,95,93,87,89,90,89,84,82,82,81,86,85,90,84,82,77,77,79,76,74,79,81,84,87,80,75,76,78,80,89,89,98,88,89,99,104,102,104,114
HU,3,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,4,5,4,4,3,4,3,4,3,4,5,4,5,5,4,5,5
PL,26,33,33,36,34,36,35,35,34,36,40,40,39,37,34,37,38,37,38,38,40,34,35,34,35,35,34,34,32,32,31,31,33,40,41,34,36,36,37,38,38,35,37,35,38,32,41,41,42,40
CZ,5,6,5,5,5,5,5,5,5,4,4,4,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,4,4,5,5,3,4,4,4,3,4,4,4
CO,3,6,6,10,11,14,13,15,14,14,13,14,15,17,15,17,15,15,13,14,13,14,13,15,13,13,13,14,14,13,13,10,12,10,11,11,11,9,8,7,6,9,4,6,4,4,3,5,4,6
CL,19,24,36,35,38,36,37,36,35,31,30,26,29,28,29,28,28,26,27,26,28,30,30,32,30,29,31,29,29,28,27,29,29,30,28,30,28,26,25,26,24,29,27,26,28,28,30,26,28,24
MX,29,36,39,43,43,47,48,48,48,51,50,55,49,54,53,56,49,53,52,54,52,57,50,53,49,52,48,51,48,49,44,50,45,47,45,48,43,36,33,34,33,34,33,36,35,35,36,34,37,34
BR,94,151,144,155,148,149,145,145,144,140,133,117,115,106,102,96,97,102,107,106,105,114,107,116,112,110,112,117,118,125,124,128,125,128,126,123,127,123,116,122,119,123,120,114,117,119,117,121,113,112
TH,3,81,86,96,90,97,94,94,94,96,93,98,96,101,98,108,105,109,106,108,108,101,107,106,105,108,106,109,105,110,102,106,106,101,99,98,99,106,112,119,126,133,132,139,134,130,127,114,116,112
KR,208,278,314,315,314,300,306,303,303,301,298,308,315,334,351,347,354,351,353,331,330,311,319,325,342,318,326,338,337,313,318,323,339,349,368,338,346,371,389,396,422,447,444,429,443,463,481,471,461,520
IN,80,207,207,221,211,178,179,165,193,186,198,177,185,201,217,212,213,230,235,234,255,254,258,255,258,242,237,229,243,229,232,243,235,256,265,266,265,297,313,360,374,452,462,461,468,512,531,595,588,606
CN,150,202,208,231,234,270,278,280,275,296,304,320,341,391,395,412,408,404,389,387,381,355,359,367,352,364,359,462,578,616,752,757,772,812,854,832,845,715,767,801,798,841,849,875,872,1008,1014,1053,886,934
ZA,64,106,93,101,97,101,97,100,90,101,91,105,97,100,93,96,93,97,96,97,97,97,97,97,98,86,88,89,91,89,88,82,75,70,69,69,70,70,73,71,74,72,71,74,71,70,71,71,68,71
ID,49,77,76,85,82,88,84,83,80,78,73,74,70,61,59,61,67,65,64,61,63,66,59,62,59,60,57,64,63,71,64,59,57,54,54,54,51,52,57,63,69,78,71,75,76,81,81,82,74,78
PH,21,40,32,42,37,41,40,41,40,43,41,43,40,41,38,39,38,41,41,43,40,42,38,40,32,34,33,36,33,35,28,31,27,30,31,35,31,33,33,34,33,36,32,35,29,29,26,28,28,28
RU,26,38,42,41,40,41,44,39,44,41,42,40,41,40,40,37,37,37,36,40,36,38,38,43,40,42,42,44,41,40,42,38,41,43,42,41,40,38,40,,,,,,,,,,,
TR,39,70,70,79,71,69,65,54,54,49,52,48,46,45,46,45,46,46,42,43,43,43,40,42,38,32,34,36,34,34,38,42,42,40,39,41,39,41,38,38,38,42,88,87,88,108,116,116,112,104
TW,247,289,325,349,345,339,334,306,305,274,278,277,273,239,237,257,270,252,246,251,253,244,246,245,247,234,231,241,258,260,271,283,301,294,300,278,277,285,302,316,318,325,331,331,345,358,355,377,371,372
MA,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,3,5,7,9,11,13,14,15,16,13,19,18,17,15,16,16,18,19,21,19,18,17,19,18,19,18,19,17,17,18,16,16,16,18,17,19,18,19,20,21,22,24,27,27,25
PK,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,8,9,10,12,12,12,11,10,10,11,11,11,,,,,,,,,
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,9,11,14,17,21,24,25
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,7,9,11,13,16,18,21
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,24,26,24,28,29,31,33
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,21,30,40,50,60,70,82
