Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
ID,0.028027268696805347,0.02845209776272395,0.02829526586227734,0.030504119600749804,0.031199089490996902,0.024820488110652968,0.020902190005652323,0.02699829884368403,0.02354460896387294,0.02591187920275205,0.026338014793780753,0.026581290721667337,0.022455725146978023,0.02343479024121338,0.02212777444610483,0.024781706530413724,0.024415938139311654,0.025564441694210197,0.02621141497604748,0.023046956185123656,0.023420242359667165,0.02145877489585838,0.019505036123830956,0.01904530905565936,0.01818257591294715,0.018716245760337508,0.02184456688900272,0.02194498110525105,0.021897018556526395,0.02216520914584152,0.02023574431205731,0.014299437927558783,0.015572964348895485,0.01375666003803161,0.01530169541308156,0.01377697318581057,0.012233497615890272,0.013527663421079479,0.015691751577368827,0.018518548651827893,0.019658941070200376,0.023975074708473893,0.01985768748143701,0.020551205202530353,0.020026200444527825,0.020565235656592084,0.01953562055788739,0.020239366013482796,0.016817237992253282,0.019710803270275242
RU,0.0769570085870766,0.0739666782356828,0.07052322088832538,0.06212015328393666,0.06785045233239849,0.05859736909238018,0.06934893165812465,0.0529843113996647,0.06185106486551587,0.04986518991480348,0.04043668445999191,0.03833447241595358,0.04677176515758586,0.03522793193445236,0.031100181304445862,0.03584862029770184,0.035408666363119255,0.032118235946521224,0.03676827349890502,0.03668162995269051,0.026833749905135363,0.03115626485393686,0.026403841077734955,0.030474529316883076,0.025745068575313973,0.031432706205049156,0.043347044310398944,0.03937941773529785,0.046667579931919896,0.04267337617952245,0.048237144780956726,0.03526076975391638,0.041165510924016734,0.035201436809325456,0.0374332184585261,0.03705419226409106,0.0403252834971833,0.04096710690906853,0.037149661138133144,,,,,,,,,,,
CZ,0.0035333792376802996,0.0031159681899511045,0.0027456682963626186,0.0023292639271871437,0.0024089311850715362,0.0023114619211218276,0.002217466601553679,0.0025020236527289103,0.0022984092808361087,0.0021704386796290945,0.0019518159759833132,0.001825141718648016,0.0015973315908018881,0.0015967903702185707,0.0015436829628389034,0.0016473406684858174,0.0015364277379366763,0.0013238539628121332,0.0013931080896056075,0.0014793244701021132,0.0015610744807253198,0.0015949243777737272,0.0015858158877833457,0.0015973730348982466,0.0015795213507739329,0.0017488115560909193,0.0017163681201238848,0.0016551494726877764,0.0016168351766633266,0.0014325549417224916,0.001269943298028315,0.0012265561978561245,0.0010725188108118642,0.0009452491918209712,0.0009420315946145068,0.0010188959277431938,0.0010050711779548314,0.0011587924544870006,0.0013170837217440642,0.0013959714440200466,0.0017266534524118778,0.0013646641055128214,0.0011742338715517058,0.0015303503876592244,0.0014389365716537946,0.0012993306096907903,0.0012380921936373218,0.00118732269017625,0.0011449433260514125,0.0010899335761260097
BR,0.1429936178717491,0.15053441764341266,0.13276701175572278,0.14413590694426884,0.11489180255372629,0.12531208420956483,0.1016769805036774,0.10485693240284855,0.10937602226963902,0.10355538029316232,0.09472774409847536,0.07572176049272188,0.07679047692529277,0.054872773197295464,0.05273174863130435,0.06393596695044534,0.0718679650294972,0.07277735435047084,0.07320893306456941,0.07485190847082922,0.06502761900487751,0.07381388625839776,0.06704627457594713,0.07041884515689889,0.05424083671812574,0.059134911393002566,0.07405439085673712,0.07977643414867817,0.08162759581842899,0.07954674978705893,0.08093196385648041,0.05299647566211659,0.05684529078085483,0.05164119651594512,0.057539597503624806,0.04930126372794565,0.06032046223376481,0.04963477543158086,0.043814686571190656,0.057865898496927075,0.051813052007658296,0.05590128791005379,0.04893575295979844,0.04698296550458367,0.05432636139610138,0.053812656179525464,0.05511900110960689,0.0495883749067001,0.04087223599732611,0.04077866085758651
HU,0.002222539322648474,0.002513222646553347,0.002442836795026714,0.002389503282387929,0.0030119585000200075,0.0025695794942690526,0.0024756587528833884,0.002218070099924609,0.0022708324140641705,0.0020109509187713356,0.0018194905824690422,0.002062196571003514,0.002217170982016359,0.00223567707173092,0.0026771888991340693,0.0029392564846327006,0.0029326090099075965,0.002869328836527265,0.0031129258915805836,0.0026847965799233764,0.002958169772841922,0.0029945351079838137,0.0028598697168984505,0.0028588624579495973,0.002459135559903336,0.002796597926654296,0.0033982162679980213,0.003374838019770955,0.0029670128192323363,0.002977325606071138,0.0031155810086419063,0.002646141833502944,0.0025337144607887854,0.001868204531140055,0.002201195814043887,0.002059645615883252,0.0023686034077150904,0.0025201113119348896,0.0023500224319181525,0.0018368135145932852,0.001654928285612885,0.00157714693110813,0.0018563242826007576,0.0017486447672277624,0.0020126016651284217,0.0022197173355342683,0.002375366063099349,0.0023055974390454215,0.0022507048743923798,0.0023377504281817062
TH,0.000250082028036339,0.023227527003005524,0.024684739962174462,0.029591976693160563,0.023976655064204638,0.024431254834109815,0.022113080767790002,0.023302313207842637,0.02533866248587128,0.02633606874982937,0.026922748634891237,0.025944008365849213,0.02421648024075553,0.02244949153462139,0.02254736062830513,0.024986597874693914,0.025662421748311876,0.02502523507444853,0.02754540288999722,0.02334687401887451,0.024034927705228408,0.022831184379542513,0.023543745460097614,0.024007798735311763,0.022858125147915787,0.026607207737245855,0.026181601048520013,0.025215670296674902,0.027288022568273555,0.02627786501602432,0.024058929712743045,0.020346853189343483,0.020710846529479205,0.017670198464130097,0.01790205571347873,0.017840043779411688,0.0175655267991836,0.018482881168703693,0.019680123308066733,0.021777563587903965,0.02188641737783348,0.018200728981955107,0.017331475109408183,0.018127373321385306,0.01610215399358948,0.015033473767676886,0.012205367264244517,0.010373136015915593,0.009733406631701112,0.010892888740896993
MX,0.041123814209617304,0.04671701537169505,0.0499657357789255,0.051184118987570554,0.05224264547644692,0.05075518538287599,0.051025162535634806,0.047201689677344054,0.046138880472142124,0.04866216107461721,0.04520283786134131,0.046341952305393,0.043012641818900535,0.04225313018888769,0.042237841696975455,0.04419554655334605,0.03943593159555251,0.03376155532905493,0.03480658453920573,0.034080791137178976,0.0350981430565421,0.03377713998340358,0.02835637332329469,0.027019492279818348,0.02350139328163978,0.03070910248942946,0.02701854913436173,0.02679004821878806,0.02630038143098028,0.02683286094560718,0.02369288083002629,0.020558389227827958,0.018189345066068504,0.01658932090597336,0.01816073306189086,0.0174643310852229,0.018104280225114636,0.017133194685626872,0.017544608933709675,0.021385499423513848,0.020085548277008324,0.019920413049674263,0.021075072393955174,0.023692002682778362,0.024406857830727192,0.022865939665666822,0.025320086760624576,0.022761961569888915,0.020559600296260465,0.017046598857309355
TW,0.14908287536377712,0.13058953125230352,0.1274912275031032,0.12767103454975642,0.1487538794948618,0.13592787680224167,0.1308669548078296,0.13352050381270889,0.1342024575048035,0.13065314028634373,0.13464316303104687,0.14289380132295953,0.13550652260876905,0.1319310180756304,0.11811409620202333,0.12533475667223365,0.13189876326349376,0.12335824074995999,0.13272297663527288,0.12438957475293391,0.125330203432697,0.12570814000908523,0.11996953026165667,0.12072578637158723,0.12389146190784862,0.12886332108460377,0.12073407258165622,0.12146740248400421,0.1248740722981088,0.12809948887966935,0.132377132780788,0.1435521300064623,0.14036214641349823,0.1415769167683973,0.14220916436806652,0.14576273071978602,0.15311790771899267,0.16555641831962453,0.1809616856670101,0.18111212628640555,0.1735034746499625,0.14961115471328598,0.15006136428060607,0.1596704323708799,0.16471211940764083,0.15420895343083696,0.16448648602269839,0.1766255319519028,0.1931750545630005,0.18294367821955745
CO,0.0022349938559516453,0.0081221152199254,0.00727391974644801,0.00959285231135819,0.009078514554952658,0.010475188650214568,0.009448907837230954,0.0095478581308697,0.008354284407237652,0.008152784577898172,0.0061787435713356684,0.0054085024510856835,0.0053380842379232634,0.005253083982354704,0.004147723312862675,0.006727993222689746,0.005937842342797383,0.005454250159815904,0.005320380702222532,0.004822944118969613,0.004570935987827098,0.00471122238818882,0.003865019726627623,0.004522626952513686,0.004311250186043768,0.0051714280292527014,0.004423606628921164,0.005294628077232298,0.004683260460531655,0.004516570810972654,0.004244507276068482,0.0022084147862885934,0.0028911017173005927,0.0022294623804789827,0.0026881494342020297,0.0023216603532020675,0.0018615586233468229,0.001951501048464377,0.0016170247156933755,0.0020843803927573686,0.001594884322275689,0.0019131416215100883,0.000906826919778075,0.001079365609155907,0.0007814135271515016,0.0007410388101937035,0.0008235041903643345,0.0009863072468792216,0.0009254690000718142,0.001045917209985749
TR,0.01738060943512432,0.017661765532006796,0.01974942514643141,0.02262425519252717,0.019625085588405988,0.018683342205249552,0.015201215586190616,0.014047371130781854,0.016167508214626473,0.014930541623464993,0.0169239724216736,0.014828817282467013,0.013976407049148864,0.012260695048321384,0.013969304167725592,0.015691763143691577,0.014410359823456525,0.012852795749477718,0.01187881265106906,0.011182079801062469,0.011957209564969429,0.01154574448418722,0.010389636448389148,0.009920306774450887,0.007036467722089554,0.006194369166054384,0.007347670135255424,0.007474195964038896,0.0063719415191888,0.006744118851834269,0.006494345437672398,0.006633015173691008,0.006344398677014176,0.00453735935995788,0.00495902909136835,0.00431153814206325,0.0038664882166802067,0.004308323879397784,0.003229696101288059,0.004318530977454079,0.004612225334924728,0.005575665846072955,0.01091019662968132,0.010271618265739439,0.008011214231362678,0.01121343594383723,0.010611560118424271,0.010247649031331777,0.011698961189635718,0.009984902373175631
