Date,Internal_Number,Instrument_Name,ENTITY_QID,Country,Free_Float_MCAP_USD_Cutoff_Company,Full_MCAP_USD_Cutoff_Company,Weight_Cutoff,CumWeight_Cutoff,Size,Case,Shadow_Company
2019-03-18,BR0013,Petroleo Brasileiro SA,E004YQRXX,BR,55783397829.17673,99679744865.695,0.12083652489684554,0.12083652489684554,Standard,Inside,
2019-03-18,BR0079,BANCO BRADESCO SA - PREF,E004YR7FY,BR,47835008381.1559,73286563268.94504,0.10361893334089985,0.22445545823774538,Standard,Inside,
2019-03-18,BR01UX,AMBEV,E004YRDL2,BR,20153119927.922726,72233404759.57965,0.043655156779385605,0.26811061501713096,Standard,Inside,
2019-03-18,BR0024,Vale SA,E004YR7B3,BR,40843333093.08269,66368757057.33294,0.08847375076157636,0.35658436577870734,Standard,Inside,
2019-03-18,BR0035,ITAU UNIBANCO HOLDING SA -PREF,E004YQN58,BR,45522185927.51314,45522185927.51314,0.09860895835053789,0.45519332412924524,Standard,Inside,
2019-03-18,BR0046,Banco do Brasil SA,E004YNL02,BR,11598466580.333647,38661553463.57299,0.025124292356509578,0.48031761648575483,Standard,Inside,
2019-03-18,BR00AC,ITAUSA - PREF,E004YOSXA,BR,14697744945.74509,18221850912.156075,0.031837867397440746,0.5121554838831955,Standard,Inside,
2019-03-18,BR00BD,B3 SA - Brasil Bolsa Balcao,E004YMIQ0,BR,17091154559.430971,18003955082.09309,0.03702240816812208,0.5491778920513176,Standard,Inside,
2019-03-18,BR306B,BBSEGURIDADE ON NM,E004YO06P,BR,4913685627.464251,14559068525.82,0.01064389619070142,0.559821788242019,Standard,Inside,
2019-03-18,BR00PR,TELEFONICA BRASIL PREF.,E004YOCU4,BR,5660214557.888284,13965493604.461592,0.012261007467494553,0.5720827957095136,Standard,Inside,
2019-03-18,BR00GI,Eletrobras SA,E004YQRWY,BR,5493548251.00491,13477323151.724722,0.011899979309926057,0.5839827750194396,Standard,Inside,
2019-03-18,BR708H,ATACADAO DISTRIBUICAO,E004YRK56,BR,1993772420.693742,10319733026.365124,0.004318857225039692,0.5883016322444793,Standard,Inside,
2019-03-18,BR00SU,Weg SA,E004YSDX5,BR,3655200313.2091675,10307953505.948019,0.007917798499879865,0.5962194307443591,Standard,Inside,
2019-03-18,BR00IK,JBS SA,E004YRCCW,BR,4070008373.0713205,9771928866.917936,0.008816344777151068,0.6050357755215102,Standard,Inside,
2019-03-18,BR00MO,Engie Brasil Energia SA,E004YR8A2,BR,1906530132.095295,8955049939.386072,0.004129875280795877,0.6091656508023061,Standard,Inside,true
2019-03-18,BR704D,MAGAZINE LUIZA ON,E004YOX0I,BR,3746559771.4552975,8815434756.365406,0.008115698948409853,0.6172813497507159,Standard,Inside,
2019-03-18,BR00HJ,CPFL Energia SA,E004YP34V,BR,436496261.7578502,8330081331.256682,0.0009455266881160672,0.618226876438832,Standard,Inside,true
2019-03-18,BR03X2,LOJAS RENNER,E004YP3SG,BR,8285754075.359438,8285754075.359438,0.017948381912523716,0.6361752583513557,Standard,Inside,
2019-03-18,BR01RU,RUMO S.A.,E004YMUIG,BR,5786587870.211481,8089735593.752942,0.012534754003114363,0.64871001235447,Standard,Inside,
2019-03-18,BR05IP,ULTRAPAR PARTICIPACOES SA,E004YRE5L,BR,5608738378.529273,7924185332.762466,0.012149501125629944,0.6608595134801,Standard,Inside,
2019-03-18,BR00EG,Cielo SA,E004YQ96G,BR,3362470189.288772,7874637445.641153,0.007283694227216459,0.6681432077073164,Standard,Inside,
2019-03-18,BR03SX,Lojas Americanas,E004YRBR0,BR,4566258264.509463,7790940796.965033,0.009891308201671225,0.6780345159089877,Standard,Inside,
2019-03-18,BR00KM,CCR - CIA DE CONCESSOES ROD.,E004YM86A,BR,4731441708.575447,7664736284.748819,0.010249124220920343,0.6882836401299081,Standard,Inside,
2019-03-18,BR1025,TIM PARTICIPACOES SA,E004YNK2B,BR,2550148583.851874,7630606175.499322,0.0055240645933206,0.6938077047232286,Standard,Inside,
2019-03-18,BR805F,PETROBRAS DISTRIBUIDORA ON,E004YO0NC,BR,2183652792.147786,7595314059.644475,0.004730171076929655,0.6985378758001582,Standard,Inside,
2019-03-18,BR709I,IRB BRASIL RESSEGUROS ON,E004YS8SB,BR,3458560804.8487797,7404326278.8456,0.007491843183919074,0.7060297189840773,Standard,Inside,
2019-03-18,BR04U0,CIA DE SANEAMENTO BASICO SP,E004YRC3N,BR,3567272243.703803,7171838045.242868,0.007727331035125337,0.7137570500192026,Standard,Inside,
2019-03-18,BR04NT,Localiza Rnt Car,E004YQE3M,BR,4822981853.199684,6146274822.479527,0.010447416067516355,0.724204466086719,Standard,Inside,
2019-03-18,BR00TV,CEMIG - PREF,E004YMUPO,BR,4316753138.63769,5906803056.089351,0.009350836779571403,0.7335553028662903,Standard,Inside,
2019-03-18,BR02AE,B2W DIGITAL,E004YPZQ0,BR,2269092577.0443587,5895278194.451438,0.00491524848520176,0.7384705513514921,Standard,Inside,
2019-03-18,BR808I,HAPVIDA PARTP.E INVMS.ON,E004YRWH5,BR,1268900397.323735,5839394373.325978,0.002748658569030907,0.741219209920523,Standard,Inside,true
2019-03-18,BR206A,RAIA DROGASIL,E004YPX0F,BR,3746741215.00406,5762444194.1003685,0.008116091986638978,0.749335301907162,Standard,Inside,
2019-03-18,BR00JL,Natura Cosmeticos SA,E004YON8Q,BR,3097592857.5532193,5563205563.134374,0.0067099239382698,0.7560452258454318,Standard,Inside,
2019-03-18,BR15V3,KLABIN UNITS,E004YQ1KU,BR,5204618807.628743,5204618807.628743,0.011274107971201418,0.7673193338166332,Standard,Inside,
2019-03-18,BR027B,Braskem,E004YRBVO,BR,2760367591.702107,5005199622.306631,0.0059794354628698665,0.773298769279503,Standard,Inside,
2019-03-18,BR008A,Cia Siderurgica Nacional SA,E004YRAZN,BR,2457918185.518842,4839374257.7649975,0.005324277537348434,0.7786230468168515,Standard,Inside,
2019-03-18,BR04KQ,Porto Seguro,E004YR22H,BR,1409680535.659429,4830981959.079607,0.003053612791128954,0.7816766596079804,Standard,Inside,true
2019-03-18,BR3038,KROTON ON,E004YNGT4,BR,4809666367.794474,4809666367.794474,0.010418572414273727,0.7920952320222541,Standard,Inside,
2019-03-18,BR02KO,COSAN SA INDUSTRIA E COMERCIO,E004YRB0V,BR,2011529395.007918,4753141292.55179,0.004357321914397236,0.7964525539366513,Standard,Inside,
