Date,Segment,EMS,Rank,FreeFloatMCAP_Minimum_Size
2012-06-18,Developed,130000000.0,6004,65000000.0
2012-09-24,Developed,139895441.31198266,6004,69947720.65599133
2012-12-24,Developed,63772830.0,6004,31886415.0
2013-03-18,Developed,118475094.67383601,6004,59237547.336918004
2013-06-24,Developed,46209050.3113644,6004,23104525.1556822
2013-09-23,Developed,171781296.199904,5828,85890648.099952
2013-12-23,Developed,144455358.41182426,5747,72227679.20591213
2014-03-24,Developed,258233728.5,5747,129116864.25
2014-06-23,Developed,218563671.424448,5747,109281835.712224
2014-09-22,Developed,329362555.8053757,5747,164681277.90268785
2014-12-22,Developed,260276247.8298802,5747,130138123.9149401
2015-03-23,Developed,304941223.29999995,5747,152470611.64999998
2015-06-22,Developed,277914906.9,5747,138957453.45
2015-09-21,Developed,289262490.0,5747,144631245.0
2015-12-21,Developed,236583864.0941933,5747,118291932.04709665
2016-03-21,Developed,208512442.81169257,5747,104256221.40584628
2016-06-20,Developed,208070337.69722968,5747,104035168.84861484
2016-09-19,Developed,301340948.00845796,5747,150670474.00422898
2016-12-19,Developed,258998527.5,5747,129499263.75
2017-03-20,Developed,330793021.254826,5747,165396510.627413
2017-06-19,Developed,263784764.6646866,5747,131892382.3323433
2017-09-18,Developed,386905793.75280005,5747,193452896.87640002
2017-12-18,Developed,374620555.183032,5747,187310277.591516
2018-03-19,Developed,420672773.477562,5747,210336386.738781
2018-06-18,Developed,380622116.8,5747,190311058.4
2018-09-24,Developed,452188463.1165582,5757,226094231.5582791
2018-12-24,Developed,369949123.916628,5757,184974561.958314
2019-03-18,Developed,379931914.26773924,5757,189965957.13386962
2019-06-24,Developed,339516538.1428326,5757,169758269.0714163
2019-09-23,Developed,346244696.65966773,5757,173122348.32983387
2019-12-23,Developed,324088520.4,5757,162044260.2
2020-03-23,Developed,298952076.44661456,5757,149476038.22330728
2020-06-22,Developed,206279364.90448052,5757,103139682.45224026
2020-09-21,Developed,253454048.91,5665,126727024.455
2020-12-21,Developed,49433911.01481836,5665,24716955.50740918
2021-03-22,Developed,475305317.2177,5665,237652658.60885
2021-06-21,Developed,457257076.04451555,5665,228628538.02225778
2021-09-20,Developed,487332737.8881864,5812,243666368.9440932
2021-12-20,Developed,393293151.7248981,5812,196646575.86244905
2022-03-21,Developed,424781392.75425225,5812,212390696.37712613
2022-06-20,Developed,329639172.41141564,5812,164819586.20570782
2022-09-19,Developed,315511603.5715551,5812,157755801.78577754
2022-12-19,Developed,276925566.2799795,5812,138462783.13998976
2023-03-20,Developed,318585517.0600123,5812,159292758.53000614
2023-06-19,Developed,269016884.01,5812,134508442.005
2023-09-18,Developed,271908661.2578056,5812,135954330.6289028
2023-12-18,Developed,230399669.85000002,5812,115199834.92500001
2024-03-18,Developed,296541146.45,5915,148270573.225
2024-06-24,Developed,285157940.80019957,5915,142578970.40009978
