Date,GMSR_Developed,GMSR_Developed_Upper,GMSR_Developed_Lower,GMSR_Emerging,GMSR_Emerging_Upper,GMSR_Emerging_Lower,Rank
2012-06-18,3592000000.0,4130799999.9999995,1796000000.0,1796000000.0,2065399999.9999998,898000000.0,1387
2012-09-24,3851989090.56,4429787454.144,1925994545.28,1925994545.28,2214893727.072,962997272.64,1387
2012-12-24,4079597310.0,4691536906.5,2039798655.0,2039798655.0,2345768453.25,1019899327.5,1387
2013-03-18,4404101068.129218,5064716228.3486,2202050534.064609,2202050534.064609,2532358114.1743,1101025267.0323045,1324
2013-06-24,4645263995.714775,5342053595.071991,2322631997.8573875,2322631997.8573875,2671026797.5359955,1161315998.9286938,1387
2013-09-23,4651684945.4800005,5349437687.302,2325842472.7400002,2325842472.7400002,2674718843.651,1162921236.3700001,1329
2013-12-23,5193098626.167239,5972063420.092324,2596549313.0836196,2596549313.0836196,2986031710.046162,1298274656.5418098,1321
2014-03-24,5367733741.799999,6172893803.069999,2683866870.8999996,2683866870.8999996,3086446901.5349994,1341933435.4499998,1341
2014-06-23,5394276627.35,6203418121.4525,2697138313.675,2697138313.675,3101709060.72625,1348569156.8375,1335
2014-09-22,5437756416.001494,6253419878.401718,2718878208.000747,2718878208.000747,3126709939.200859,1359439104.0003736,1357
2014-12-22,5480112649.799999,6302129547.269999,2740056324.8999996,2740056324.8999996,3151064773.6349993,1370028162.4499998,1387
2015-03-23,5528882120.0,6358214437.999999,2764441060.0,2764441060.0,3179107218.9999995,1382220530.0,1334
2015-06-22,5552082321.494814,6384894669.719035,2776041160.747407,2776041160.747407,3192447334.8595176,1388020580.3737035,1363
2015-09-21,5036436619.2,5791902112.079999,2518218309.6,2518218309.6,2895951056.0399995,1259109154.8,1381
2015-12-21,5234647960.160387,6019845154.184444,2617323980.0801935,2617323980.0801935,3009922577.092222,1308661990.0400968,1353
2016-03-21,4898138068.436866,5632858778.702395,2449069034.218433,2449069034.218433,2816429389.3511977,1224534517.1092165,1331
2016-06-20,5218606235.54,6001397170.870999,2609303117.77,2609303117.77,3000698585.4354997,1304651558.885,1364
2016-09-19,5212988465.61,5994936735.451499,2606494232.805,2606494232.805,2997468367.7257495,1303247116.4025,1373
2016-12-19,5167303842.400001,5942399418.76,2583651921.2000003,2583651921.2000003,2971199709.38,1291825960.6000001,1373
2017-03-20,5493110561.73,6317077145.989499,2746555280.865,2746555280.865,3158538572.9947495,1373277640.4325,1374
2017-06-19,5879467314.525517,6761387411.704345,2939733657.2627587,2939733657.2627587,3380693705.8521724,1469866828.6313794,1373
2017-09-18,5893181579.6,6777158816.54,2946590789.8,2946590789.8,3388579408.27,1473295394.9,1395
