Date,GMSR_Developed,GMSR_Developed_Upper,GMSR_Developed_Lower,GMSR_Emerging,GMSR_Emerging_Upper,GMSR_Emerging_Lower,Rank
2012-06-18,3592000000.0,4130799999.9999995,1796000000.0,1796000000.0,2065399999.9999998,898000000.0,1387
2012-09-24,3863304187.128002,4442799815.197202,1931652093.564001,1931652093.564001,2221399907.598601,965826046.7820005,1387
2012-12-24,4092347193.048555,4706199272.005837,2046173596.5242774,2046173596.5242774,2353099636.0029187,1023086798.2621387,1387
2013-03-18,4344466065.913974,4996135975.801069,2172233032.956987,2172233032.956987,2498067987.9005346,1086116516.4784935,1340
2013-06-24,4633869686.540382,5328950139.52144,2316934843.270191,2316934843.270191,2664475069.76072,1158467421.6350956,1326
2013-09-23,4627912812.45,5322099734.317499,2313956406.225,2313956406.225,2661049867.1587496,1156978203.1125,1342
2013-12-23,5158396899.485343,5932156434.408144,2579198449.7426715,2579198449.7426715,2966078217.204072,1289599224.8713357,1331
2014-03-24,5284051327.626579,6076659026.770566,2642025663.8132896,2642025663.8132896,3038329513.385283,1321012831.9066448,1354
2014-06-23,5317737200.66325,6115397780.762737,2658868600.331625,2658868600.331625,3057698890.3813686,1329434300.1658125,1346
2014-09-22,5414528698.646704,6226708003.443708,2707264349.323352,2707264349.323352,3113354001.721854,1353632174.661676,1367
2014-12-22,5473054800.0,6294013019.999999,2736527400.0,2736527400.0,3147006509.9999995,1368263700.0,1322
2015-03-23,5484678118.46,6307379836.228999,2742339059.23,2742339059.23,3153689918.1144996,1371169529.615,1339
2015-06-22,5533494791.716629,6363519010.474123,2766747395.8583145,2766747395.8583145,3181759505.2370615,1383373697.9291573,1370
2015-09-21,5016907029.0554285,5769443083.413742,2508453514.5277143,2508453514.5277143,2884721541.706871,1254226757.2638571,1388
2015-12-21,5218089168.88171,6000802544.213966,2609044584.440855,2609044584.440855,3000401272.106983,1304522292.2204275,1360
