Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
EG,22,23,26,24,18,17,17,16,19,21,20,20,20,18,17,15,15,14,14,13,14,9,15,13,16,12,11,11,10,14,13,10,12,12,16,9,8,7,10,7,10,9,10,10,11,16,23,19,11
RU,40,47,46,43,43,44,43,40,44,44,42,42,42,42,41,40,39,42,42,42,41,43,41,42,43,42,44,45,46,44,44,42,43,42,44,40,41,41,41,,,,,,,,,,
PH,27,37,39,41,41,42,43,41,42,45,43,43,42,42,40,41,40,41,44,43,41,39,38,36,35,34,33,37,35,38,33,31,31,31,35,33,33,33,33,32,32,34,35,36,35,31,31,31,30
CO,5,15,14,14,18,16,15,15,15,15,14,16,17,18,17,16,17,15,16,16,16,14,14,15,15,13,13,14,14,13,14,12,12,11,11,11,11,9,9,8,8,9,8,6,6,5,5,5,5
CZ,5,6,6,6,6,5,5,5,5,5,5,4,3,3,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,3,3,3,3,4,3
ZA,86,102,104,103,104,100,104,100,99,98,104,103,104,100,100,97,100,98,102,100,100,99,98,101,99,90,92,92,92,90,92,87,77,72,77,69,71,75,76,75,78,73,74,72,70,70,74,72,70
IN,203,226,256,249,273,183,208,163,199,187,203,181,190,209,239,217,238,237,244,235,262,253,263,254,260,244,245,237,255,234,247,248,253,269,275,263,267,325,347,345,371,439,464,450,477,508,527,531,539
TW,394,394,401,402,403,352,357,312,337,288,299,286,304,246,289,318,311,270,290,270,310,259,268,250,269,240,255,261,272,272,293,306,331,311,318,277,280,299,329,321,341,340,344,338,364,361,396,374,383
KR,331,341,362,356,365,340,353,309,323,308,314,319,323,356,370,388,398,371,371,342,394,318,336,337,355,329,349,354,351,320,352,342,433,379,535,333,357,400,416,415,485,451,462,439,494,502,551,479,495
CN,225,235,279,278,287,287,319,275,289,285,328,308,377,409,445,451,443,407,406,392,407,357,367,361,355,354,367,400,386,396,413,422,453,460,492,436,445,360,379,378,378,333,338,372,377,385,391,362,366
TR,74,73,83,81,81,67,80,55,63,50,53,49,49,45,45,47,46,47,46,44,50,43,40,42,40,32,38,40,37,36,40,42,42,43,61,41,40,48,44,41,52,64,101,87,89,113,127,106,108
MY,90,102,102,97,102,101,100,99,98,114,111,98,98,91,98,102,98,93,90,86,93,86,91,89,86,88,80,80,83,79,78,82,96,89,126,82,77,84,90,92,100,102,99,94,95,102,117,107,116
BR,145,160,156,156,155,150,150,146,148,137,134,116,123,110,109,106,107,106,105,105,106,113,109,115,114,113,119,123,125,126,126,129,130,133,135,118,125,110,105,106,116,123,120,112,117,123,122,123,117
TH,85,89,96,102,103,111,117,91,104,93,94,97,96,106,109,113,112,109,113,112,113,106,110,109,109,106,112,108,108,109,107,102,111,100,111,95,100,115,120,125,139,133,141,141,138,129,128,117,120
PL,36,35,39,39,39,34,36,35,35,41,42,41,41,38,36,38,41,39,39,40,42,35,35,34,35,34,34,34,34,33,35,34,38,40,52,35,36,37,40,35,43,37,39,39,42,39,46,47,47
CL,28,35,36,38,39,40,40,36,36,33,32,30,31,28,29,28,28,28,28,30,30,31,31,31,30,30,30,30,29,29,27,27,28,30,30,29,29,27,27,26,28,29,29,30,30,29,29,30,30
MX,34,37,40,41,43,46,46,49,49,53,51,53,53,54,55,55,53,54,54,56,56,57,55,55,54,52,54,52,50,48,48,49,49,47,50,46,45,36,34,36,35,36,35,34,35,35,36,37,37
HU,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,4,5
ID,67,77,80,83,87,87,88,80,83,74,78,75,71,61,63,68,70,66,64,62,69,64,61,61,61,60,63,66,68,72,64,60,61,54,58,54,52,56,65,67,70,78,76,77,76,77,75,76,79
MA,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,20,21,21,21,23,19,19,21,19,16,18,18,17,18,17,19,21,21,21,21,18,19,20,19,21,20,19,22,17,19,16,17,17,18,19,20,19,20,20,23,24,27,25,25
PK,,,,,,,,,,,,,,,,,,,,,,17,13,12,13,8,9,6,7,4,8,8,12,9,29,9,9,9,8,8,8,,,,,,,,
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31,27,28,28,29,30,30
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,68,78,69,77,82,86,87
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,19,19,19,18,18,19
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,24,24,24,23,26,26,26
