Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
CN,121,131,175,174,184,184,216,173,186,186,224,204,267,281,315,313,306,274,279,268,284,236,246,240,228,227,240,222,200,211,224,227,233,226,268,202,215,154,165,167,168,150,155,189,220,206,205,180,151
CO,1,4,4,3,3,3,2,3,1,1,2,3,4,4,3,3,4,2,3,3,3,2,2,3,3,2,2,3,3,2,3,1,2,2,2,2,4,2,2,3,3,2,2,2,2,1,1,1,1
ZA,38,54,56,56,57,53,57,53,52,51,57,56,57,53,54,52,55,52,56,54,54,53,52,55,53,45,47,46,46,45,47,44,46,40,45,37,39,39,39,38,42,37,38,37,36,38,43,43,40
CL,9,15,15,17,18,19,19,15,15,12,11,9,10,7,8,7,7,7,7,9,9,10,10,10,9,9,9,9,8,10,10,11,12,14,19,13,13,11,14,11,13,13,13,12,12,13,12,14,14
TH,48,49,56,57,56,69,72,56,63,50,51,50,61,62,65,68,68,56,60,71,64,54,58,58,59,56,61,57,57,57,57,52,63,55,65,49,52,68,71,71,86,88,89,90,87,93,88,84,86
PL,19,18,22,22,22,17,19,18,18,24,25,23,23,21,18,20,23,20,19,20,22,15,15,14,15,14,14,14,14,15,19,18,22,24,42,24,24,24,26,19,25,26,24,23,25,22,28,29,29
TW,290,313,309,306,304,253,280,222,247,198,209,196,214,178,210,234,246,200,219,196,233,182,191,173,193,164,179,185,196,197,218,231,256,238,245,204,207,226,257,249,268,266,268,261,285,280,311,289,299
MY,55,66,63,57,58,57,56,55,54,66,63,51,51,56,54,58,55,51,48,44,52,45,50,48,44,45,37,37,40,47,41,44,56,49,85,41,46,49,53,64,65,67,65,58,59,67,81,71,78
CZ,2,2,3,2,3,2,2,2,2,2,2,1,,,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,,,,,1,
TR,47,47,57,54,54,39,52,28,36,23,26,22,22,19,18,20,19,20,20,18,25,18,15,18,16,16,16,17,16,16,19,20,20,27,43,18,23,28,30,20,31,36,64,59,60,72,95,70,73
IN,112,125,154,145,167,109,126,92,128,119,134,111,117,136,165,142,164,153,156,150,174,163,168,159,164,149,149,143,162,138,153,153,157,180,185,169,169,217,238,226,250,286,309,293,323,343,359,359,363
RU,5,12,12,10,13,12,13,11,13,12,13,14,12,11,9,12,7,9,11,9,11,13,14,15,16,15,19,20,22,19,17,15,18,13,17,10,14,14,16,,,,,,,,,,
HU,1,2,1,2,1,2,,1,,1,1,1,1,1,,1,,1,,1,,1,,1,,1,,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2
KR,213,227,248,242,252,232,245,201,215,195,201,206,210,236,250,267,278,248,248,219,272,196,214,214,232,206,227,231,230,200,231,222,312,266,422,220,244,274,290,288,358,324,332,312,367,376,427,355,372
EG,12,12,19,17,15,13,13,9,16,17,14,17,15,13,14,11,11,9,11,10,11,6,11,9,13,8,8,7,7,11,10,7,9,9,13,6,5,4,7,4,7,6,7,7,8,13,20,13,8
PH,11,20,19,19,19,20,19,17,18,19,17,17,16,16,12,13,12,14,16,16,14,12,11,9,8,9,9,13,12,15,10,8,15,16,18,16,16,17,14,13,13,15,16,16,16,13,13,13,13
BR,49,67,66,66,68,66,67,63,65,58,55,40,50,58,57,55,56,56,55,55,57,62,60,65,63,61,66,65,67,70,69,72,73,78,81,64,71,61,56,57,68,75,72,64,69,75,74,74,68
MX,16,17,15,15,19,21,20,23,22,23,21,22,23,24,25,25,23,25,25,26,27,28,26,26,24,22,25,24,22,21,21,21,22,20,22,18,17,13,13,15,15,17,15,14,15,15,16,17,17
ID,39,49,52,53,54,55,57,49,52,42,46,44,40,31,34,39,41,37,35,33,40,35,33,33,33,31,34,36,38,43,34,30,32,25,29,23,24,30,39,41,45,49,47,45,46,46,44,43,47
MA,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,10,11,10,11,13,9,9,15,13,11,10,9,9,8,7,8,10,14,10,14,9,14,11,11,13,12,11,18,12,13,8,9,13,11,11,9,8,9,9,12,13,16,14,14
PK,,,,,,,,,,,,,,,,,,,,,,17,13,12,13,8,9,6,7,4,8,8,12,9,29,9,9,9,8,8,8,,,,,,,,
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,4,6,7,5,5,8
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,34,45,36,44,49,52,54
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,6,6,7
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,16,22,21,23,23,23
