Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
PL,19,20,26,26,26,20,21,20,21,24,26,23,23,21,19,20,23,21,20,21,23,17,18,17,17,16,15,15,15,15,18,17,21,27,47,25,25,24,26,20,26,28,28,27,29,29,30,30,34,52
CO,1,4,4,4,4,5,4,3,1,1,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,4,4,2,3,2,2,2,2,2,4,3,3,3,3,2,2,2,2,2,2,2,2,2
MX,16,18,17,16,19,21,20,23,22,23,22,24,25,29,30,29,27,26,27,28,30,32,31,28,28,26,28,25,25,23,22,22,23,21,23,20,21,15,13,14,15,17,15,16,16,15,16,17,17,17
TR,47,52,61,58,59,45,55,30,40,24,30,25,24,21,20,22,21,22,22,18,26,18,15,18,16,16,16,17,16,16,19,20,20,27,43,18,23,28,30,20,31,36,64,59,61,73,96,71,73,144
RU,5,15,14,14,15,15,16,16,16,13,14,16,15,14,10,11,7,10,12,9,10,14,16,17,17,14,22,21,22,19,18,16,19,14,17,10,14,16,15,,,,,,,,,,,
BR,49,69,69,70,71,67,69,66,68,60,57,43,51,59,58,57,60,61,60,60,62,64,62,67,65,61,65,66,68,71,72,75,74,79,81,64,71,61,56,57,68,75,72,64,69,75,74,74,68,75
TH,48,50,57,57,56,69,75,64,72,52,54,53,66,66,68,71,70,58,61,72,66,54,59,60,60,58,65,62,63,60,60,64,67,55,66,50,53,68,72,72,87,89,91,92,92,96,93,83,94,124
KR,213,230,254,248,258,233,246,201,216,195,201,206,210,236,250,268,278,248,248,220,273,197,215,214,234,209,230,234,232,202,233,224,315,269,425,223,247,277,293,291,362,329,337,316,370,380,431,359,376,594
ZA,38,63,63,64,64,58,62,58,58,56,61,59,59,56,57,55,58,53,56,55,55,54,54,56,53,44,48,47,46,46,47,44,47,41,46,38,40,39,40,38,42,41,43,40,39,40,46,43,40,41
PH,11,20,18,19,19,22,17,16,18,22,18,19,18,19,17,18,17,18,19,19,20,19,19,16,14,14,12,14,13,14,14,12,19,20,20,15,15,18,16,13,14,16,16,16,19,18,18,17,18,21
ID,39,52,54,55,54,55,57,51,54,45,49,45,39,33,36,45,48,43,41,35,41,39,38,37,35,31,34,37,39,42,35,29,32,26,32,23,24,32,40,43,46,49,46,45,48,50,50,47,48,64
CN,121,145,191,188,201,191,220,176,190,190,224,206,268,285,320,319,317,285,288,276,292,242,255,248,237,235,250,233,210,214,234,237,246,234,271,206,218,154,166,166,169,152,156,189,222,208,206,182,152,209
IN,112,130,159,152,173,110,132,94,134,122,134,110,117,139,172,147,172,157,159,153,175,168,174,162,167,149,151,145,166,141,156,155,158,181,185,169,169,218,238,226,250,291,314,300,331,352,362,360,363,425
CZ,2,2,4,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2
HU,1,2,1,2,1,2,,1,,1,1,1,1,1,,1,,1,,1,,1,,1,,1,,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,3
CL,9,18,18,19,19,20,20,15,15,13,12,11,12,10,11,11,10,8,8,9,9,10,10,11,9,10,12,11,10,13,12,13,16,15,20,14,14,13,18,16,16,13,13,13,14,14,13,14,14,15
EG,12,14,21,18,21,17,17,13,17,18,15,16,15,14,17,15,15,12,13,12,12,8,12,9,13,9,9,9,8,12,11,9,11,11,15,6,5,6,10,6,8,7,8,7,8,14,20,14,8,23
TW,290,321,314,311,311,260,288,224,252,202,235,220,235,177,216,242,254,206,228,201,240,185,196,179,201,167,183,193,206,207,228,234,258,238,245,204,207,226,258,249,270,268,273,268,292,287,317,292,302,361
MY,55,75,74,67,68,62,63,61,63,69,65,52,67,53,61,64,65,53,52,48,58,49,56,53,49,49,44,42,46,51,47,47,59,50,92,41,47,52,57,70,71,71,74,67,70,80,86,84,82,151
MA,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,12,10,10,11,13,9,9,15,13,13,12,10,10,9,8,10,11,14,10,14,10,15,12,11,13,13,11,18,12,13,8,9,13,11,11,9,8,9,9,12,13,16,14,14,18
PK,,,,,,,,,,,,,,,,,,,,,,22,17,15,18,10,12,9,9,6,9,9,13,9,32,9,9,10,9,9,9,,,,,,,,,
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,7,7,6,7,8,8
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,21,17,19,23,24,24,24,27
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,4,8,5,5,6,9,5
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,34,47,38,46,51,52,54,56
