Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
MY,35,31,34,34,39,40,38,38,37,41,42,42,39,33,38,39,38,40,41,41,40,38,38,38,37,41,41,40,39,28,32,33,35,34,35,35,28,29,31,25,32,33,32,33,33,33,34,34,35
TH,36,35,35,39,36,36,36,29,37,38,38,39,30,31,32,33,34,40,40,35,39,41,40,39,41,40,41,41,40,42,45,43,42,42,43,42,43,43,45,49,49,35,34,34,32,23,22,15,13
HU,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RU,30,30,29,29,27,27,25,23,24,25,23,22,22,21,21,19,21,22,25,24,24,22,22,21,21,21,21,21,20,20,21,21,20,24,23,24,24,23,21,,,,,,,,,,
BR,94,86,81,82,79,75,73,73,73,71,70,67,65,45,44,45,45,46,47,48,47,46,44,45,44,43,44,49,49,50,50,49,48,47,47,47,47,45,44,44,42,42,43,42,41,41,42,42,42
IN,78,75,73,75,75,59,56,52,49,44,45,44,46,48,51,50,52,59,60,61,61,64,66,65,66,66,67,66,65,65,64,66,66,73,74,73,77,91,91,97,100,124,127,125,125,132,132,137,142
CN,102,101,100,99,100,101,97,98,98,94,97,98,100,118,121,125,125,125,117,120,119,120,119,117,121,119,120,248,277,280,287,303,320,379,398,417,426,374,377,375,368,163,164,163,307,341,359,367,434
MX,18,20,24,26,24,25,25,24,25,26,27,27,26,25,26,26,26,25,25,24,25,25,25,26,25,24,24,24,24,24,23,24,24,24,24,24,24,20,19,19,18,18,18,18,19,19,19,19,19
ID,25,23,22,23,25,26,25,25,25,27,25,25,24,24,23,24,25,25,24,24,23,22,23,22,22,22,20,21,21,22,21,21,21,21,21,22,22,21,22,22,22,20,20,21,21,21,21,20,19
PL,17,16,16,16,16,15,15,17,17,16,17,17,17,16,18,18,18,19,19,19,19,19,19,19,20,20,20,19,19,17,15,15,15,15,10,11,11,11,11,15,17,11,12,13,15,16,16,15,15
TR,25,22,22,22,22,23,25,24,24,24,24,24,24,24,23,24,24,24,24,24,24,23,23,21,22,13,14,17,16,16,16,16,17,15,16,16,13,15,11,14,14,16,20,19,19,23,20,19,20
CO,4,10,9,10,14,12,10,9,11,12,10,11,10,9,8,9,10,10,11,11,11,9,9,10,10,11,11,11,11,10,10,10,9,8,8,8,6,6,6,5,5,3,4,3,3,3,3,4,4
PH,16,16,18,17,17,18,17,18,19,21,22,22,22,22,22,23,24,22,22,22,23,24,23,24,24,24,21,21,20,20,18,18,15,13,13,13,12,12,12,11,12,14,14,15,14,14,14,14,14
CZ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
EG,10,11,7,7,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ZA,48,46,48,47,47,47,47,47,47,46,46,45,45,45,45,44,44,44,44,44,43,43,45,44,44,44,43,43,43,42,41,41,30,30,30,30,30,34,35,34,34,34,33,33,33,31,31,29,30
TW,104,80,91,94,98,98,76,89,89,88,88,88,89,68,77,83,64,69,70,74,76,76,76,76,75,74,74,74,74,74,74,74,74,72,72,72,71,72,71,71,72,73,74,75,77,78,82,81,80
KR,105,103,101,101,99,99,101,101,102,102,102,101,100,109,108,108,108,109,109,108,108,110,110,110,110,106,107,107,107,107,107,106,105,104,103,103,103,102,100,100,99,100,98,100,99,99,97,94,94
CL,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,18,17,16,15,14,10,12,14,12,11,11,12,10,11,11,12,12,12,13,13
GR,,,,,,10,10,11,9,9,9,9,6,5,5,8,9,8,10,10,10,10,6,10,6,8,4,8,7,7,7,7,3,4,4,7,7,4,7,7,9,10,10,10,10,10,10,10,10
PK,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,12,12,12,12,12,11
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,8,6,6,6,7,7
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,15,13,12,12,13,13
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,29,29,30,30,29,28,28
