Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
TR,25,22,22,23,23,24,25,24,24,24,24,24,24,24,23,24,24,24,24,24,24,23,23,21,22,13,14,17,16,16,16,16,17,15,16,16,13,15,11,14,14,16,20,19,19,23,20,19,19,17
CZ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PL,17,16,16,16,16,15,15,17,17,16,17,17,17,16,17,18,18,17,18,17,18,17,17,16,18,18,18,18,18,17,16,16,16,15,10,11,11,11,11,15,17,11,12,13,15,16,18,16,16,17
CO,4,11,11,12,15,13,14,12,14,15,12,11,10,11,11,12,12,11,11,12,12,11,11,11,11,11,11,11,11,10,11,9,9,9,9,9,8,7,7,6,5,4,4,4,3,3,3,4,4,4
RU,30,30,29,26,27,27,24,24,24,25,24,22,22,20,21,20,21,22,25,27,26,23,22,22,23,24,23,22,21,21,21,21,20,25,24,25,25,21,22,,,,,,,,,,,
BR,94,86,81,83,80,76,74,74,74,73,72,66,65,45,44,44,44,45,46,46,45,46,44,45,44,43,44,49,49,50,50,49,48,47,47,47,47,45,44,44,42,42,42,42,41,41,41,41,41,41
MY,35,31,35,36,42,42,42,42,42,47,49,46,35,38,39,41,40,41,41,40,40,41,40,41,39,41,40,41,39,30,34,35,37,36,36,36,28,30,32,24,33,34,33,33,33,33,34,26,32,26
TW,104,80,92,96,99,99,76,91,91,91,70,74,78,78,80,85,65,71,73,75,77,77,77,77,76,75,75,75,75,75,75,75,75,73,73,73,73,73,72,72,72,73,75,76,78,78,83,83,82,82
HU,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CN,102,101,100,99,100,101,97,98,98,95,98,99,101,119,125,128,127,128,121,124,120,120,119,119,122,122,120,249,278,283,289,307,324,381,399,416,425,374,377,375,368,164,164,163,308,339,356,363,432,484
EG,10,10,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CL,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,18,17,16,15,14,10,12,14,12,9,9,10,10,11,11,12,12,12,13,13,12
ID,25,24,22,24,26,27,26,26,26,28,26,26,25,25,23,24,25,25,24,24,23,22,23,22,22,23,22,23,23,23,24,23,23,22,22,23,23,21,22,23,23,21,20,21,21,21,21,20,19,19
MX,18,22,24,26,24,25,25,24,25,26,27,27,26,26,26,26,26,26,25,25,26,25,25,26,25,24,24,24,24,24,23,24,24,24,24,24,24,20,20,20,19,18,18,18,18,19,19,20,20,19
TH,36,35,35,39,36,36,36,29,37,38,38,39,30,31,33,34,35,40,40,34,39,41,40,39,41,40,42,42,41,42,46,36,41,42,43,42,43,43,45,49,48,34,35,34,32,23,20,19,9,10
ZA,48,46,47,47,47,47,47,47,47,47,46,45,45,46,45,44,44,44,44,44,43,43,45,44,44,44,44,44,44,43,42,40,29,29,29,29,29,34,35,34,34,34,34,34,33,31,30,30,30,31
PH,16,19,18,18,18,19,17,19,19,20,20,21,21,21,21,22,22,21,21,21,21,21,23,23,21,22,22,22,22,22,21,21,15,14,14,14,14,13,13,12,13,14,14,15,15,14,15,14,14,14
IN,78,75,74,76,74,60,57,52,49,45,45,44,46,48,48,48,50,58,60,62,62,64,67,65,66,66,67,66,65,65,64,66,66,73,74,73,77,91,91,97,100,124,127,125,125,128,133,137,142,145
KR,105,103,101,101,99,99,101,101,102,102,102,101,100,109,108,108,108,109,109,108,108,109,109,109,108,104,105,105,106,106,106,105,103,102,101,101,100,99,98,96,96,98,96,98,97,96,94,92,92,93
MA,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,10,11,11,9,9,9,9,6,5,5,7,10,9,10,10,10,10,6,10,6,8,4,8,8,7,7,7,3,4,4,7,7,4,7,7,9,10,10,10,10,10,10,10,10,9
PK,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,29,28,29,29,29,28,28,29
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,12,12,12,12,12,11,11
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,9,8,7,7,7,7,6
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,14,13,13,13,14,14,14
