Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
TW,0.12636527938468442,0.12037216357672297,0.11728464233490549,0.11983202570655013,0.1375191140934038,0.1270117965069154,0.11856909091927827,0.12827339140453428,0.12920398591776738,0.1284100532459371,0.13306789008125527,0.14156423339681704,0.13630970864369127,0.13011808455042267,0.11652461582982038,0.12460612707125444,0.12631914607682196,0.11979104765546504,0.12960549141322553,0.12145901477967229,0.12210850159124977,0.12297222926722036,0.11587780468664777,0.11832668418058329,0.11976379497149077,0.12744995395385372,0.11910038957359209,0.11713538507540124,0.11944669701017364,0.12248515876947702,0.12895924536257777,0.13972551771451416,0.13473957836758774,0.13870337289974305,0.13958137721783767,0.1469918060552234,0.15224572675440873,0.17025743675940203,0.1809258081433454,0.18399350495364744,0.171909762743936,0.14977468301043584,0.14879877367483813,0.1640732013009131,0.16093900504950145,0.15463855825752512,0.1645017199387756,0.18320108968147925,0.19686501806973597
CN,0.16701318203400498,0.15328251493682626,0.16758153321916294,0.1620600082601817,0.16293457068213113,0.18905236834298406,0.18481464036129924,0.18229906522511163,0.17007746489568182,0.17970033745348762,0.2038452414416145,0.21500287417892638,0.2364207446330914,0.26035244133088437,0.29496532902894174,0.2669246145867449,0.2620589516846004,0.2754919360217506,0.23418638607999093,0.2731325981548413,0.281987092645154,0.29717765882942987,0.32362810411501586,0.33534922662034033,0.3624689456831595,0.32579822096865496,0.3085998528823502,0.32879050835069734,0.32454685299624764,0.3443450039451321,0.3486960218460675,0.42763672870645736,0.41698618382869634,0.41829712920903145,0.39947095940104654,0.3979957915790848,0.3733582711234192,0.3191272732283323,0.31493545726600386,0.300764890228424,0.3416567750868085,0.2519916124834306,0.2645544771254037,0.2589606375883375,0.27232015374354096,0.2669620048825726,0.24370040348482627,0.22404612259003315,0.23072420621912879
TR,0.015977900699889254,0.016457769872691215,0.018244910563640845,0.020768687890669543,0.01837982041127325,0.01708196453494376,0.015435992170535748,0.014133055150558835,0.01660437107834536,0.015246280979427712,0.01751553783518774,0.015159353492111846,0.014763866060371715,0.013261739146627899,0.014434969106806564,0.016562148782218383,0.01513770028589517,0.013233714436955141,0.012312477527335105,0.011594949913464136,0.0123960772750517,0.011872658124971356,0.010632899941178114,0.009689511518023726,0.006863312479419367,0.005187419520961646,0.006327073828656156,0.006749078039806306,0.005714678282602187,0.006105188117727855,0.005707440997306537,0.005786502671641734,0.005586639889582627,0.003843089002404719,0.004367484907671963,0.003612353871115022,0.0028261800707807113,0.003622784102118028,0.002288722880742117,0.0036722316475522217,0.003757853008972882,0.0048416773399641766,0.008544726248679668,0.008209964022328433,0.006313913677151642,0.008610006368271996,0.007906102285939421,0.007384407762817296,0.009118360583071047
KR,0.15944848928851066,0.15430090106616767,0.1531227996122552,0.14553126000335298,0.14807817756068056,0.15300224992569594,0.18951217381742885,0.18473790339382856,0.18060519422908355,0.17661972101786433,0.17210585633149414,0.1734382482363973,0.16399074063021982,0.19639561829841223,0.18679108756408358,0.17750743370125896,0.1768607649309742,0.178941722756469,0.19065576355738584,0.18436404881379964,0.19128226307661506,0.17586090849342925,0.17375389791113224,0.16616995036009805,0.16104329073421567,0.16820534740624046,0.1590264404901935,0.14504635882964592,0.14082016244937876,0.13814388466505836,0.1370788524272172,0.12824795696078883,0.13711575432780013,0.14416204266531615,0.15148468970623247,0.15222052887528917,0.15442748079056687,0.15397897846890032,0.153836438983455,0.14463478359203077,0.13240403045757343,0.12096270114700465,0.12584320040432528,0.1325171528543699,0.1347038108118291,0.1351021786700087,0.1343122485747914,0.1366079921072979,0.1291350060263806
IN,0.05469515930886207,0.06253657892336648,0.0607019466714343,0.06581608805923177,0.06620900753193323,0.05452993407180784,0.059465627021081525,0.06015892987081156,0.06169983023453438,0.06435536568435657,0.06715359304796935,0.068216101620615,0.06979258537442988,0.07046342347634685,0.07492938734609324,0.07123981107961826,0.07531400212670647,0.08401142378513159,0.08364462557768922,0.08409425439050085,0.07987518213878397,0.0840465881054215,0.07884376171216807,0.07288596952537944,0.08741956267342442,0.0808658381757052,0.08614431200510725,0.08606950462292237,0.08754411057295368,0.08474232559442554,0.08257597932736244,0.06951066694531353,0.07355217485110409,0.08670576817730428,0.08631754597645375,0.09186278417444463,0.09825082418116195,0.14499201585906016,0.14197632016088382,0.1679032660196715,0.16159464107191357,0.20334613719623917,0.19467976710348417,0.17586394040789347,0.17586677166128875,0.18801898939030637,0.19888376918466388,0.20462518615688863,0.21460640814213222
PH,0.007644744048168536,0.007993828669714358,0.010039291269959262,0.010958006007327551,0.01086877552068883,0.01088897395389702,0.009225441103920835,0.01184986059398254,0.011833673481402495,0.013222679038612411,0.014455872420125858,0.016397131341731954,0.015391121294788078,0.014997079132699605,0.01552391009013928,0.015737812071643112,0.016959022298003345,0.014968037559196451,0.014543332466293041,0.012750159358758305,0.012963564642379294,0.012259425467553316,0.011276184751014696,0.010296652235144208,0.009608517802286406,0.010813188731314828,0.011818106406779987,0.011466186921779193,0.01046902901249357,0.009893586633861117,0.008465257918682294,0.007133881535797719,0.008256334443552277,0.006337408236458061,0.006759895995971715,0.005595613146902374,0.005797276757220993,0.005020755177649813,0.00572344498567127,0.00557601008547973,0.0056602207989109666,0.0059539991719136,0.0060404811850992435,0.007606251492145906,0.006347201123501279,0.006132882668143514,0.006509768506984995,0.006763814485421645,0.005500344264190374
HU,0.0027561219560382896,0.0025995759458323133,0.002423676890032712,0.0024308750141226296,0.003056790547953244,0.0026366516460714327,0.002680743279683222,0.002407086179976232,0.0024444555222980033,0.002167574362309221,0.0019446562440433388,0.002233035517919775,0.002423987839808303,0.002526264897870672,0.002957916405112735,0.003263169613192559,0.0032572011813429796,0.0031846740888271012,0.003408364585599442,0.0029815795819197978,0.0032475334943476183,0.003338056693527198,0.0031631000176129387,0.003208141927593155,0.002714878801851582,0.003124758014534936,0.003733692107111787,0.0037066217759655655,0.003258977515790864,0.0032368857853024915,0.003447524259474579,0.002908171894807246,0.002791102931097622,0.002094564434277667,0.0024559188776323406,0.0023665270077732497,0.0027132419565791253,0.0030472652019239753,0.0027489906075384503,0.002234880068430813,0.001929941661682259,0.0019067096006285208,0.002190343093918803,0.002055224067360465,0.0023484356152382565,0.002589282030873447,0.002733451338148205,0.002726787423706119,0.002568564467184405
BR,0.1535560422144673,0.15777384754378262,0.14380383826888526,0.14706190151092693,0.1273349168129764,0.12701881994977038,0.10825584891300027,0.10851448134153352,0.11613241728619189,0.11208122439543264,0.10064040053281606,0.08010788719404137,0.08533304866417045,0.0586307680789372,0.05400608734382116,0.06685369331695745,0.06953776865444905,0.07374910863059059,0.07384163122190573,0.07558549910264616,0.06440874817411257,0.0715577449165579,0.06470517459990528,0.06942814510740104,0.052476740536672124,0.05806912655200029,0.07189583038738961,0.07837793354719405,0.07984550595301158,0.07710515961042229,0.07932860619845505,0.0511747778701107,0.05498111498597361,0.049693373519965785,0.05655237396242812,0.04896711264812297,0.05906486696306451,0.047694726656412216,0.0433207988024554,0.05911662926735408,0.05261686251688662,0.05661803025861809,0.05121247204940961,0.049903306784300556,0.05479840702959932,0.0551566057207295,0.05718608255779556,0.051589037666354184,0.04287870240463494
RU,0.07954681968018329,0.08130794159675939,0.07709771534497835,0.07707625839123569,0.07540466746031187,0.07568749444215282,0.0764020568534911,0.06166348334890989,0.06722788905269422,0.060495136429578274,0.04495061690951018,0.04729440730181401,0.052079238460361596,0.039634021048032556,0.03576564555478113,0.038910973024739455,0.04034402476562558,0.03518259520822481,0.04916335371482658,0.03577456697422951,0.03173711991075382,0.030903112506078655,0.02884846142125687,0.029493312785548502,0.027197391932650836,0.03297223027211141,0.04685800615986761,0.04736087280974402,0.049628324525435315,0.05295838494188193,0.05287824297027856,0.0430638902456206,0.04396594566415439,0.04253397933150664,0.0408481128292482,0.0408832905989404,0.0448735023686752,0.04686821796934632,0.04170041908527486,,,,,,,,,,
EG,0.0030161282099970513,0.0038604488267515846,0.0027877001232116247,0.002429574381349636,0.001962870031927199,0.001396400680557099,0.0016974402665758017,0.0022105625772585414,0.0017774533224927174,0.0022861614064450036,0.0024062777904128195,0.0022714949997380703,0.0020692536065108555,0.0019333524906951349,0.0018170512944908073,0.001716236588920113,0.001777410261129651,0.0019535054362059432,0.0014654177634327967,0.0013755100621375212,0.001357420174067358,0.0011926901964814428,0.0011165017826602229,0.0012732391183386152,0.0012957244520798983,0.0014019215218102406,0.0012489298898035613,0.001219629105019938,0.001423197692550161,0.001618690128445726,0.0015747808831598053,0.0016748379825814563,0.0012484910585764581,0.001140087765855772,0.0009195031784227737,0.0008024830280187985,0.0007604970610348782,0.0008616442211261765,0.0009906636729749526,0.0008505249629311725,0.0007756882096218049,0.0006817995093686029,0.0008538785307476434,0.0007496232360725877,0.0007586812768227693,0.00086414898294243,0.0010621942826038254,0.0009087207478587133,0.0007265338877244238
