Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
CZ,0.0031478809735434495,0.0030984839792756414,0.0028258188304472603,0.002449170118138224,0.0024466409649510647,0.002334775357772152,0.0023472343488120887,0.002687543501595598,0.002468788694184331,0.002433170297710296,0.0021896888384436127,0.00205589798690519,0.0018927106880688891,0.0018974256986989972,0.001741858681055856,0.0018636658800128404,0.0017316254344565138,0.0014905100622899688,0.001550346393869602,0.0015492835582699093,0.0015788871800120662,0.0016482498242625313,0.0016220627016926045,0.001650290063170081,0.0016317233096688082,0.001831484362247194,0.0017859968925651064,0.0017062936022715464,0.0016721423659018522,0.0014817817605526158,0.001410123556175924,0.001230665958490659,0.001189971600938222,0.0009669157820855777,0.0010534882385627733,0.0010889653668672901,0.001145271844629354,0.0013566108904397947,0.0015380701750355636,0.001646272262075818,0.001997637650523785,0.001554386217465119,0.0014141723207116372,0.0018239557946005227,0.0016768621374266175,0.0015303391468284018,0.0014941258057689934,0.001426050336030213,0.0013602049724585155,0.0
ZA,0.06572362849149078,0.06532653536399705,0.07021623215704263,0.0614117798374097,0.06054548808263263,0.061899801538109575,0.06305619790989456,0.06683486782091266,0.06708576781993857,0.06358916649861043,0.0675867011737823,0.06886529773579718,0.06575042726395591,0.06421391498527539,0.054299380519596034,0.056048037104362104,0.05603156574086399,0.05561887825182576,0.05534783163283551,0.05722001451676107,0.0538742203110715,0.05177680605962389,0.058403503640200055,0.05751177803618381,0.051017358839117156,0.052524480280809825,0.05295088668864074,0.05016720755561678,0.05196468827158851,0.042438397197366654,0.041571807421035153,0.030903185152202906,0.02992573267670051,0.0267418503708827,0.029133560207675734,0.02986751630572697,0.029033320724588706,0.02538595478698254,0.027002863597404163,0.03400454046375495,0.030678399321841777,0.027906876174631574,0.030112357585420284,0.02809060588175456,0.026447722036164984,0.023648547029377007,0.02335364700840326,0.021342159250194722,0.023418256896948618,0.0
CL,0.01885522409500813,0.01937412102161135,0.018845399153132696,0.020287706329417867,0.018852142394425904,0.0175349007227663,0.015795176505425754,0.015397048446055784,0.014889937075782442,0.013723271208383323,0.013641518537593903,0.013720135169965878,0.013304420869688721,0.012644083882046481,0.01326449046109363,0.01421391794192876,0.013409666048318293,0.01232693430795447,0.014205434527503594,0.013100768878759175,0.013165542923466377,0.013216829832704809,0.01328312772306,0.012649888290606728,0.011952532077938782,0.012374315347441187,0.01219102959053522,0.011932921519778093,0.011692335923428783,0.009938681901084646,0.007850039245940903,0.005910925555326792,0.0060423968133224756,0.004912799787463199,0.0046049116987276,0.005531993670667667,0.005190213737491433,0.004802090154295877,0.00391203885811252,0.005486701140856867,0.005077333647194957,0.00544057927984551,0.005024725202129099,0.0051447511105730155,0.005350268095502126,0.005246238967680816,0.005173022434095424,0.005242254684014936,0.004999626808716344,0.0
MX,0.04360072360209052,0.049071930588630526,0.05240606340672379,0.05426292453218138,0.05228261994022481,0.0528241358183721,0.05186488213786266,0.04711977040520035,0.04627934395407543,0.04977956768233691,0.04726318299507513,0.04765568936227845,0.04608104322677824,0.04428490076511849,0.04480377870333564,0.04483469720525775,0.042359470854699585,0.03517626948822269,0.03637305296143688,0.03509241100961222,0.03676251722292365,0.034164861076088446,0.02949760799022898,0.02739123567887366,0.024566656993176835,0.030656850786746636,0.027751109547226774,0.026113895417436358,0.026635372358893007,0.026462769499160575,0.024616953999159235,0.021084412825312426,0.01955144994869739,0.016964176275829704,0.01896693887299831,0.01796355897360476,0.01929463684954269,0.0186270195515398,0.019362729654745798,0.023713495424013926,0.02193503479978376,0.021786245662184803,0.022557631001248794,0.025343935271039425,0.025431967240572874,0.02510406433528322,0.027087299265271793,0.026942096476420905,0.021973955782431685,0.0
KR,0.15944848928851071,0.15347041395320815,0.15266429141849897,0.1444026952176176,0.1470902861526198,0.1521226066777506,0.18785751151766997,0.1830831058899844,0.17910838543619162,0.1750275335542755,0.17181490212370382,0.1728834335053822,0.16444896874744194,0.19512406646520447,0.186461397208829,0.17693794711721295,0.17547503242713536,0.17852644315856792,0.1903441563260999,0.1832388250218377,0.19064066263600835,0.17513100617710547,0.17259672344216742,0.16511758768754473,0.15998618117915128,0.16744591240909937,0.1583099825398501,0.1444328273675073,0.14016287426670496,0.13747695737682034,0.1362917966136125,0.12778911607115448,0.13661351115214013,0.14366324229904653,0.1510383590250021,0.15189088429213984,0.15384940815971648,0.15353460931823476,0.15338333896678746,0.1439614857308866,0.1320631559968884,0.11968221665479353,0.12494832881716954,0.13182596136521457,0.13361018669666747,0.13417797129252346,0.13310010327362176,0.13608780706160464,0.12872826268213455,0.0
TH,0.022482954752773288,0.022169437562096238,0.023054440191302074,0.02739627423711526,0.022551851858809754,0.022305420669697297,0.020894194391521147,0.020393347548716752,0.023470925669686123,0.02460255651178309,0.025536056255318428,0.024375576880379307,0.02157317579244005,0.020220969363572833,0.020258345749118268,0.022450670465119716,0.022780097502236273,0.02323854719079982,0.024826701600323665,0.020522938502352015,0.021830927119233845,0.021537281128919318,0.021773115767956125,0.02234400228404801,0.02126284315700336,0.02416255762651529,0.024905961997810575,0.023490414391567398,0.02555522118827096,0.02416519125997716,0.02396709206010886,0.018429948942241065,0.019503439940930022,0.016598299397771816,0.0172289872745277,0.01695214856192626,0.016489405421521428,0.017186416880602427,0.018378841812649396,0.02117116040443379,0.02054139103030289,0.015086835325760854,0.014368612170295019,0.01527782487208136,0.012972817479676794,0.011404371830667956,0.008171710907933243,0.0072853092502240336,0.005191051200196565,0.0
TR,0.01597790069988925,0.01636918992472667,0.01819027832723346,0.02111176535163628,0.018879227658264733,0.01749877708783478,0.015301217956354841,0.014006457717356507,0.016466758377134863,0.015108839150724213,0.017485926876307626,0.015110859963633483,0.014805119722144105,0.013175876799649286,0.014409491070595236,0.0165090134214181,0.015019093972461437,0.013203002250185837,0.01229235404949748,0.011524182789433284,0.012354498257146199,0.011823381223466774,0.010562086448698757,0.00962814735311457,0.006831438521535677,0.0051772488273915,0.006314126959275745,0.0067334097599823055,0.005688004612883282,0.006075713656622236,0.005674670992756628,0.0057657999322246875,0.005574359048401277,0.0038356104185631582,0.004359721731995617,0.0036088249911325966,0.0028212814920106463,0.003622902307824936,0.002285028765478552,0.0036693444124915784,0.003755666932685968,0.004797750293894856,0.008496316383534297,0.008177647134526313,0.006271605701463219,0.008578082589372519,0.007859605354246423,0.0073728763750193806,0.008832258645499295,0.0
PH,0.007644744048168537,0.009455550719780836,0.00981005367233318,0.01120399740006986,0.01106323655155032,0.011150251508000076,0.008992882975809812,0.012062844143953552,0.01173559907886505,0.012876709997644502,0.013665223194478887,0.015861820863087864,0.014970607360913029,0.014501300667809547,0.015223845694651966,0.01542179570737299,0.016146904898836648,0.014537056202476114,0.01419747043394978,0.012399248481947704,0.012442159476179932,0.011656377310225207,0.012632352530084193,0.011168431266050794,0.01003838143447028,0.011070704000211975,0.012361655270489344,0.011636213239778434,0.01227695888240512,0.011782036199857819,0.010810891095071126,0.009389510495598623,0.008535935193589507,0.0067063678416132795,0.0070804903115838135,0.005847412610696821,0.006174426524930486,0.00534214617838265,0.006092108249160785,0.005957889722785944,0.006013684192639895,0.005899980372733711,0.0060062590378854586,0.007576310998448512,0.006654014623630174,0.006141942647583397,0.0066488926119957934,0.006753252207398852,0.005494462777840142,0.0
ID,0.026902826540768376,0.02600103091245348,0.025034844772586745,0.027307630318938545,0.028747376000811335,0.02283251922767898,0.019928009568161986,0.025387258717983995,0.022466406608720547,0.025211244818204734,0.02576630685463133,0.025999075418322564,0.02231203950689067,0.023666818238803414,0.021930276784720037,0.024764924160171446,0.024089800552914487,0.02541643517305564,0.025241793676684634,0.022669418870424476,0.022919271986635393,0.020667867553517735,0.019195133929334772,0.018452904224938223,0.017523215412435802,0.01827812175490548,0.0216037061661238,0.021132043798489868,0.02115281761264149,0.02079151404563892,0.02010181211420966,0.014443024721047764,0.015991099354187747,0.013917945758623772,0.01528675394842304,0.013754832777212803,0.0124331859087681,0.013805078106756397,0.016269899507994075,0.01900271151817536,0.02008448563054549,0.02099542475464904,0.01937141278192319,0.019816485906070422,0.019575280940187283,0.019799009226143784,0.018778351656586156,0.018899186928532645,0.015572230059195705,0.0
TW,0.12636527938468442,0.11972428965039603,0.11710012798476632,0.11938713113203378,0.13676745411564523,0.12650243678485812,0.11753384447199822,0.1276963559198653,0.12867673975745056,0.12795455945784584,0.12727372368969697,0.13698296222850914,0.13387822684737768,0.13288220321365637,0.11702234698240759,0.12486256124025719,0.1258053769663365,0.12029236720854034,0.13056470564746642,0.12109445833464487,0.1220598536566659,0.12276984009600456,0.1159870387360922,0.118301267755209,0.11991997196141306,0.1278377808091565,0.11916771648670389,0.11718135382669306,0.11926900525780931,0.12248597839876801,0.12879753292515658,0.13981264719315925,0.13492456139879563,0.13850586731489622,0.13999590627536568,0.1471914428719597,0.1525890365250968,0.17058323251587568,0.18096863097816177,0.18423034046692519,0.17176652990098898,0.1484676709541285,0.1483139873529495,0.16365442359860552,0.16056402298092232,0.15402200811021038,0.16385939963788965,0.1834102654160994,0.1971988247728126,0.0
