Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
TW,0.12636527938468442,0.12037216357672292,0.11728464233490546,0.11983202570655017,0.1375191140934038,0.12701179650691535,0.11856909091927825,0.1282733914045343,0.1292039859177673,0.12841005324593713,0.13306789008125527,0.14156423339681695,0.13630970864369138,0.1301180845504227,0.11656082406842085,0.12461527050264017,0.12632820750686938,0.11984423458639278,0.12964381709586492,0.12151899208892417,0.12214021560358913,0.1230444410116104,0.11595287937203123,0.11847088122477627,0.11987541706330232,0.12755991283812324,0.11919537809340089,0.11720114357429527,0.11950516363645086,0.12251329041095779,0.1289873443444279,0.1397450605165011,0.13476670295161783,0.13873371245367028,0.13951487036538043,0.14695174234264535,0.15221144515850496,0.17010933462443198,0.18070945334918723,0.18406183468120682,0.17195515958077276,0.14980235194586783,0.14882600102907395,0.1641011369282831,0.16096995887777737,0.15470428547219586,0.16461301137104914,0.18331332764387614,0.19691797868993324
ID,0.02690282654076838,0.0258734438146545,0.025110033812217356,0.027147526003364657,0.02869394487743685,0.02281264505061711,0.019936335364503243,0.025324910224503706,0.022446554168726672,0.025204239620444942,0.025529283136667615,0.025790756653535373,0.021981917561015626,0.02357175956342567,0.02197587918959464,0.02484645478626383,0.02428178026966025,0.02548686874320034,0.0252905928079269,0.02281988916030092,0.023002379336511333,0.020766193232302162,0.01933634715914248,0.01859314289197135,0.017621382965087723,0.01819045625278966,0.021358551160679584,0.02086018651776438,0.020896055429845538,0.020897942840126114,0.019754568664212217,0.014336149676006625,0.015745665842427935,0.013804518468572793,0.015162271668916228,0.0136177961622148,0.012314113996070804,0.013792619427938808,0.016276715075174388,0.01872633715210876,0.019906632766761866,0.020986602012546127,0.019485350997499932,0.019898185166094394,0.01971112528708807,0.019881138908122292,0.018902222605156633,0.01894034246997985,0.015593092904147891
EG,0.003016128209997051,0.003860448826751584,0.002787700123211625,0.002429574381349636,0.001962870031927199,0.001396400680557099,0.0016974402665758017,0.0022105625772585414,0.0017774533224927174,0.002286161406445003,0.002406277790412819,0.0022714949997380703,0.0020692536065108555,0.0019333524906951349,0.001817615915333809,0.0017163625240716282,0.0017775377626149528,0.0019543727878214103,0.0014658511026032525,0.0013761892986069227,0.001357772723149438,0.0011933905679402518,0.001117225139650718,0.0012747907321498764,0.0012969320914485987,0.001403131045404321,0.0012499259738802146,0.00122031379119826,0.0014238943176531711,0.001619061899285715,0.0015751240127999443,0.0016750722349040757,0.0012487423937894626,0.001140337145186143,0.000919065059359613,0.0008022643052869261,0.0007603258177856374,0.0008608947011571092,0.0009894790170253897,0.0008508408226622766,0.0007758930484309937,0.0006819254630092521,0.000854034774328534,0.0007497508693193626,0.0007588271960171357,0.0008645162788248369,0.001062912895899223,0.0009092774747062707,0.000726729339845199
KR,0.15944848928851063,0.15430090106616756,0.15312279961225514,0.14553126000335292,0.1480781775606806,0.15300224992569592,0.18951217381742888,0.18473790339382862,0.18060519422908364,0.17661972101786433,0.17210585633149414,0.17343824823639722,0.1639907406302199,0.19639561829841232,0.18684913003192444,0.17752045895995733,0.17687345193448328,0.17902117244185548,0.19071214243614926,0.18445508906791908,0.19133194289392882,0.17596417752455926,0.17386646924655844,0.16605987638956932,0.16088244659019788,0.1679196091750146,0.15876110996584294,0.14485018638845754,0.1406303936419762,0.13793571753288625,0.13689083019123435,0.12812602878447943,0.13694204607879476,0.14397483927352647,0.15123521281760618,0.15199797091725203,0.1540818333659077,0.15339604882838553,0.15344759224939405,0.14412826736473053,0.13217492123165808,0.12080031037591199,0.12568324628472813,0.13236945245372217,0.13453738608688617,0.1347345645030678,0.13397809492852564,0.13638415670908735,0.12890072595650776
HU,0.00275612195603829,0.0025995759458323133,0.002423676890032712,0.00243087501412263,0.003056790547953244,0.0026366516460714327,0.002680743279683222,0.0024070861799762324,0.0024444555222980033,0.002167574362309221,0.0019446562440433388,0.002233035517919775,0.002423987839808303,0.002526264897870672,0.0029588355323048226,0.003263409060225859,0.003257434834764269,0.0031860880763003308,0.0034093724742159095,0.0029830519067280334,0.003248376943542149,0.003340016866959436,0.00316514932066369,0.0032120514817779453,0.002717409119556943,0.003127453934731304,0.0037366699133804847,0.003708702632094551,0.003260572716204362,0.0032376292134152626,0.0034482754419223553,0.002908578648193555,0.002791664811332876,0.0020950225929314845,0.002454748696927024,0.002365881993194601,0.002712631008302759,0.003044614472001014,0.0027457033081578915,0.0022357100365660593,0.0019304513084022674,0.001907061840564983,0.002190743885174291,0.0020555739963753943,0.0023488872961264836,0.00259038257331127,0.0027353006179890844,0.0027284579872647657,0.0025692554623065068
CN,0.16701318203400495,0.15328251493682624,0.1675815332191629,0.16206000826018171,0.16293457068213116,0.1890523683429841,0.18481464036129927,0.18229906522511163,0.17007746489568185,0.17970033745348762,0.20384524144161448,0.21500287417892638,0.23642074463309137,0.26035244133088437,0.29505698498452065,0.26694420115889833,0.2620777503301958,0.27561425376468,0.2342556374135072,0.27326747293820774,0.28206033031508804,0.2973521674747207,0.3238377756579261,0.3357578949404741,0.3628067735045267,0.32607930705588606,0.3088459767056518,0.3289750876754318,0.32470571180137586,0.3444240909977512,0.3487719993625421,0.42769654040047145,0.4170701278110042,0.41838862625084006,0.39928062200298203,0.3978873148589939,0.37327420099776865,0.3188496734277487,0.31455885098341163,0.30087658538317397,0.34174699763511085,0.25203816467446194,0.26460288557854794,0.2590047290537187,0.27237252980534427,0.26707547379486385,0.24386527572421438,0.22418338422055173,0.23078627563692433
TR,0.01597790069988925,0.016457769872691215,0.018244910563640845,0.02076868789066954,0.018379820411273243,0.017081964534943764,0.015435992170535748,0.014133055150558831,0.01660437107834536,0.01524628097942771,0.01751553783518774,0.015159353492111846,0.014763866060371717,0.0132617391466279,0.014439454552237024,0.016563364090602887,0.015138786179969659,0.013239590173660446,0.012316118454128194,0.011600675580661267,0.012399296783460521,0.011879629986495376,0.010639788763588552,0.009701319496336045,0.0068697092147256555,0.005191895025621062,0.0063321199866062435,0.006752866896952507,0.005717475496487598,0.006106590319962203,0.0057086845939214445,0.005787312004666643,0.005587764542672435,0.0038439296280045007,0.004365403916065822,0.0036113692971370143,0.0028255436919134465,0.003619632744560488,0.0022859859789544196,0.003673595405409194,0.0037588453588963647,0.004842571777228266,0.008546289771568169,0.008211361877028835,0.0063151280490166325,0.008613665945438649,0.007911451053401738,0.00738893181276835,0.009120813604112554
BR,0.15355604221446734,0.15777384754378262,0.14380383826888526,0.14706190151092693,0.1273349168129764,0.12701881994977032,0.1082558489130003,0.1085144813415335,0.11613241728619195,0.11208122439543262,0.1006404005328161,0.08010788719404141,0.08533304866417044,0.0586307680789372,0.05402286890780656,0.06685859895179336,0.06954275690560405,0.07378185305367971,0.07386346695504427,0.07562282374967097,0.06442547641013006,0.07159976505082595,0.06474709566182826,0.06951275267819221,0.05252564983811461,0.05811922634543353,0.07195317090939271,0.0784219340450211,0.07988458863569196,0.0771228686514871,0.07934589114037217,0.05118193546427821,0.05499218329931977,0.049704243297349106,0.056525428244695586,0.04895376629651635,0.05905156716185168,0.04765323836092821,0.04326899490226086,0.059138583429122385,0.052630757243308283,0.05662848970738488,0.051221842960764256,0.049911803480725075,0.05480894655344232,0.055180049356686564,0.05722477103495156,0.05162064363812955,0.042890237631639044
TH,0.022482954752773284,0.02228940486864495,0.0231236813323178,0.027610387071489734,0.022703315162539144,0.022434400925250265,0.021078231939257067,0.020577672915356126,0.02366707219757842,0.024826360625654964,0.025579299436940168,0.024453802589205282,0.021513063310123114,0.020352741989724383,0.02007485584312518,0.021845114373036337,0.022778557326791703,0.023344406675710395,0.024918677626627906,0.020847858675854997,0.021910088032341048,0.021639742971230256,0.02193329448886995,0.022513812578314054,0.02138196063778621,0.02423091238799764,0.024711851878638915,0.023290879228010847,0.025376661058318317,0.02428799831067925,0.02388627236026566,0.01953909540532714,0.019700290159523678,0.01663430011577797,0.017251442440947756,0.01696410022305693,0.016514316492034546,0.01717090664253751,0.01838654082953692,0.0211956875250362,0.02080264830186843,0.01552551305057784,0.014314318146444608,0.015340812174307461,0.013062843463128809,0.011451679118670052,0.008848710991227209,0.006707100792125401,0.0057993556927499225
IN,0.05469515930886206,0.06253657892336648,0.06070194667143428,0.06581608805923178,0.06620900753193323,0.05452993407180784,0.05946562702108153,0.06015892987081157,0.06169983023453437,0.06435536568435657,0.06715359304796933,0.068216101620615,0.0697925853744299,0.07046342347634688,0.0749526705048996,0.07124503856192468,0.07531940473259055,0.08404872465094296,0.08366936015752394,0.08413578072027587,0.07989592731605627,0.08409594193736628,0.07889484285424699,0.0729747909221885,0.08750103933716223,0.08093560608903488,0.08621301640411562,0.08611782308297533,0.08758696155940836,0.08476178869302309,0.08259397184071697,0.06952038910073877,0.07356698172649676,0.08672473393332314,0.086276417937677,0.09183774628777222,0.09822870076841596,0.14486589140005823,0.14180654196373788,0.16796562030998385,0.16163731395702113,0.2033837027649142,0.19471538980957617,0.1758938835641682,0.17590059658674906,0.18809890454611933,0.19901832133121147,0.20475054957033378,0.21466414155045926
