Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2017-09-18,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,1272202865.0,1.0
2017-12-18,E004YPESG,PK,PK219L,0.3481557,PK0055601014,6611570,MCB BANK,480340266.0,0.26041713475790323
2017-12-18,E004YSKJ7,PK,PK208J,1.0,PK0023901017,6677141,PAKISTAN OILFIELDS,548188159.0,0.29720096310849337
2017-12-18,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,815974881.0,0.44238190213360346
2018-03-19,E004YM4VI,PK,PK211D,1.0,PK0012101017,6317867,ENGRO,894288210.0,0.34239662551612715
2018-03-19,E004YPESG,PK,PK219L,0.3002768,PK0055601014,6611570,MCB BANK,444111383.0,0.1700371727952226
2018-03-19,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,1273449191.0,0.4875662016886503
2018-06-18,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,1008594225.0,0.34679235737432534
2018-06-18,E004YPESG,PK,PK219L,0.3002768,PK0055601014,6611570,MCB BANK,398876707.0,0.1371487066785833
2018-06-18,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,1500881007.0,0.5160589359470914
2018-09-24,E004YPESG,PK,PK219L,0.3795104,PK0055601014,6611570,MCB BANK,474315630.0,0.1766227559118897
2018-09-24,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,885584210.0,0.32976843660465854
2018-09-24,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,1325573091.0,0.49360880748345176
2018-12-24,E004YPESG,PK,PK219L,0.3795104,PK0055601014,6611570,MCB BANK,408416788.0,0.18670109939506657
2018-12-24,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,1030756841.0,0.4711937439351436
2018-12-24,E004YM4VI,PK,PK211D,1.0,PK0012101017,6317867,ENGRO,748369933.0,0.3421051566697898
2019-03-18,E004YM4VI,PK,PK211D,1.0,PK0012101017,6317867,ENGRO,681497344.0,0.30901524535896585
2019-03-18,E004YPESG,PK,PK219L,0.3795104,PK0055601014,6611570,MCB BANK,417444908.0,0.1892844364034248
2019-03-18,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,1106441962.0,0.5017003182376094
2019-06-24,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,922800465.0,0.5239601736664553
2019-06-24,E004YM4VI,PK,PK211D,1.0,PK0012101017,6317867,ENGRO,510612145.0,0.28992229449125956
2019-06-24,E004YPESG,PK,PK219L,0.3795104,PK0055601014,6611570,MCB BANK,327790839.0,0.1861175318422852
2019-09-23,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,827569741.0,0.48487211988187884
2019-09-23,E004YM4VI,PK,PK211D,1.0,PK0012101017,6317867,ENGRO,564758754.0,0.33089147742755437
2019-09-23,E004YPESG,PK,PK219L,0.3795104,PK0055601014,6611570,MCB BANK,314450895.0,0.18423640269056682
2019-12-23,E004YPESG,PK,PK219L,0.3795104,PK0055601014,6611570,MCB BANK,390587898.0,0.19252844822886897
2019-12-23,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,951602075.0,0.4690633574907172
2019-12-23,E004YM4VI,PK,PK211D,1.0,PK0012101017,6317867,ENGRO,686538257.0,0.3384081942804138
2020-03-23,E004YM4VI,PK,PK211D,1.0,PK0012101017,6317867,ENGRO,568842249.0,0.38468530611043145
2020-03-23,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,622734929.0,0.42113077432127016
2020-03-23,E004YPESG,PK,PK219L,0.3795104,PK0055601014,6611570,MCB BANK,287143844.0,0.1941839195682984
2020-06-22,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,719548799.0,0.49166362720258483
2020-06-22,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,475025573.0,0.32458228901187597
2020-06-22,E004YPESG,PK,PK219L,0.3795104,PK0055601014,6611570,MCB BANK,268923758.0,0.18375408378553923
2020-09-21,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,520256697.0,0.3214989027063902
2020-09-21,E004YPESG,PK,PK219L,0.3599666,PK0055601014,6611570,MCB BANK,382085643.0,0.2361144328803624
2020-09-21,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,715879970.0,0.4423866644132474
2020-12-21,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,706899227.0,0.33029670990064225
2020-12-21,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,503674204.0,0.235340379630978
2020-12-21,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,929621145.0,0.43436291046837977
2021-03-22,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,742928303.0,0.30151937018179376
2021-03-22,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,1195423234.0,0.4851656063726018
2021-03-22,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,525597305.0,0.2133150234456045
2021-06-21,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,505619362.0,0.20491336448209801
2021-06-21,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,676863124.0,0.27431366450065553
2021-06-21,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,1284996213.0,0.5207729710172465
2021-09-20,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,560435749.0,0.2889397148263406
2021-09-20,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,404650056.0,0.2086224370835108
2021-09-20,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,974542845.0,0.5024378480901486
2021-12-20,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,1011298582.0,0.522931132398241
2021-12-20,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,406454474.0,0.21017304101900874
2021-12-20,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,516150893.0,0.2668958265827503
2022-03-21,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,497181754.0,0.2960630784512666
2022-03-21,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,357961215.0,0.21315967134034391
2022-03-21,E004YQ9HR,PK,PK21GS,1.0,PK0071501016,6537557,LUCKY CEMENT,824167253.0,0.4907772502083894
2022-06-20,E004YSKH9,PK,PK20S3,1.0,PK0081801018,B02VH21,PAKISTAN PETROLEUM,295839117.0,0.33094463545182345
2022-06-20,E004YSKIO,PK,PK20Q1,1.0,PK0080201012,6732716,OIL & GAS DEVELOPMENT,419654685.0,0.4694526814145906
