Date;Internal_Number;Instrument_Name;ENTITY_QID;Country;Size;Shadow_Company;ISIN;SEDOL;Instrument_Name_right;Mcap_Units_Index_Currency;Weight;;;;;Date;Index_Symbol;Index_Name;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Exchange;ICB;Free_Float;Shares;Close_unadjusted_local;FX_local_to_Index_Currency;Cutoff;Currency;Close_unadjusted_local_Cutoff;Shares_Cutoff;FX_local_to_Index_Currency_Cutoff;ENTITY_QID;Capfactor;Free_Float_MCAP_USD_Cutoff;Full_MCAP_USD_Cutoff;;;
6/24/2024;B03NGS;PKO BANK;E004YPM69;PL;Standard;FALSE;PLPKO0000016;B03NGS5;PKO BANK; 13,163,297,106.00 ; 0.17 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;B03NGS;PLPKO0000016;B03NGS5;PKO.WA;PKO BANK;PL;Warsaw Stock Exchange;30101010;0.6861;1250000000;61.48;0.249651;5/31/2024;PLN;59.36;1250000000;0.25400098;E004YPM69;1; 12,930,839,380.63 ; 18,846,872,730.84 ;;;
6/24/2024;581006;ORLEN;E004YRE3Q;PL;Standard;FALSE;PLPKN0000018;5810066;ORLEN; 9,754,873,913.00 ; 0.13 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;581006;PLPKN0000018;5810066;PKN.WA;ORLEN;PL;Warsaw Stock Exchange;60101020;0.501;1160942049;67.18;0.249651;5/31/2024;PLN;63.57;1160942049;0.25400098;E004YRE3Q;1; 9,391,519,647.09 ; 18,745,548,197.78 ;;; 1,057,388,705.13 
6/24/2024;547311;PEKAO;E004YP34X;PL;Standard;FALSE;PLPEKAO00016;5473113;PEKAO; 7,232,488,818.00 ; 0.09 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;715363;PLBZ00000044;7153639;SPL1.WA;SANTANDER BANK POLSKA;PL;Warsaw Stock Exchange;30101010;0.3259;102189314;527.6;0.249651;5/31/2024;PLN;504.4;102189314;0.25400098;E004YR9WK;1; 4,266,780,628.35 ; 13,092,300,179.04 ;;;
6/24/2024;PL001B;PZU GROUP;E004YOH93;PL;Standard;FALSE;PLPZU0000011;B63DG21;PZU GROUP; 7,107,828,157.00 ; 0.09 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL001B;PLPZU0000011;B63DG21;PZU.WA;PZU GROUP;PL;Warsaw Stock Exchange;30302010;0.6581;863523000;50.1;0.249651;5/31/2024;PLN;50;863523000;0.25400098;E004YOH93;1; 7,217,240,827.63 ; 10,966,784,421.26 ;;;
6/24/2024;PL00OY;ALLEGRO.EU;E004YUBA9;PL;Standard;FALSE;LU2237380790;BMBQDF6;ALLEGRO.EU; 5,863,474,577.00 ; 0.08 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;547311;PLPEKAO00016;5473113;PEO.WA;PEKAO;PL;Warsaw Stock Exchange;30101010;0.672;262470034;164.25;0.249651;5/31/2024;PLN;160;262470034;0.25400098;E004YP34X;1; 7,168,105,288.15 ; 10,666,823,345.46 ;;;
6/24/2024;712797;LPP;E004YRYX5;PL;Standard;FALSE;PLLPP0000011;7127979;LPP; 5,452,055,078.00 ; 0.07 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL00OY;LU2237380790;BMBQDF6;ALEP.WA;ALLEGRO.EU;PL;Warsaw Stock Exchange;40201070;0.5907;1056904853;37.62;0.249651;5/31/2024;PLN;37.775;1056904853;0.25400098;E004YUBA9;1; 5,990,219,388.96 ; 10,140,882,662.88 ;;;
6/24/2024;526325;KGHM;E004YMSYY;PL;Standard;FALSE;PLKGHM000017;5263251;KGHM; 5,175,021,298.00 ; 0.07 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL704L;PLDINPL00011;BD0YVN2;DNP.WA;DINO POLSKA SA;PL;Warsaw Stock Exchange;45201010;0.4884;98040000;414.3;0.249651;5/31/2024;PLN;392.1;98040000;0.25400098;E004YRHZ6;1; 4,768,822,882.62 ; 9,764,174,616.34 ;;;
6/24/2024;PL704L;DINO POLSKA SA;E004YRHZ6;PL;Standard;FALSE;PLDINPL00011;BD0YVN2;DINO POLSKA SA; 4,952,531,921.00 ; 0.07 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;712797;PLLPP0000011;7127979;LPPP.WA;LPP;PL;Warsaw Stock Exchange;40204020;0.688;1855190;17110;0.249651;5/31/2024;PLN;17340;1855190;0.25400098;E004YRYX5;1; 5,621,617,838.39 ; 8,170,956,160.45 ;;;
6/24/2024;715363;SANTANDER BANK POLSKA;E004YR9WK;PL;Standard;FALSE;PLBZ00000044;7153639;SANTANDER BANK POLSKA; 4,386,599,888.00 ; 0.06 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;526325;PLKGHM000017;5263251;KGH.WA;KGHM;PL;Warsaw Stock Exchange;55102040;0.6821;200000000;151.95;0.249651;5/31/2024;PLN;151.7;200000000;0.25400098;E004YMSYY;1; 5,256,528,441.15 ; 7,706,389,739.27 ;;;
6/24/2024;PL106H;CD PROJECT SA;E004YSKWW;PL;Standard;FALSE;PLOPTTC00011;7302215;CD PROJECT SA; 2,508,316,002.00 ; 0.03 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;414305;PLBRE0000012;4143053;MBK.WA;MBANK;PL;Warsaw Stock Exchange;30101010;0.3088;42465167;622.4;0.249651;5/31/2024;PLN;626;42465167;0.25400098;E004YO5DY;1; 2,085,066,226.90 ; 6,752,157,470.52 ;;;
