Country,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
ID,0.021063977250658904,0.025329384952706212,0.02809944864115303,0.02341040791815686,0.014200780603919026,0.01599980676766625,0.014703731246059245,0.0189638953524722,0.016404881575438873,0.01084582297615649,0.015606183894050663,0.01849710701764215,0.018675940734846845,0.01846019938793953,0.020613812225244322,0.015573046176076105,0.01431226463254282,0.012923370101720556,0.012428284627810959,0.01018554237557285,0.011100964211247231,0.0115476817778715
GR,0.009079804400643706,0.00755280971175803,0.009158010168304935,0.00859169998311742,0.007206215234587017,0.006852341384623692,0.005172569163710788,0.0031801640250239092,0.002609014882350679,0.0029742264771882606,0.003488069935462016,0.004592746460869529,0.004002932664507184,0.004349550768277076,0.0028189594514301027,0.0037904097103071237,0.0032806924923830007,0.003355792385836134,0.0034452824362983386,0.003797418224467488,0.004252016276139836,0.004134918939197024
TW,0.12853909058371665,0.14412271701781898,0.1630922099805986,0.15421728872702625,0.1840947182096665,0.18760472260059044,0.16256544856134242,0.1699905265400605,0.17770677687446154,0.17941284562014906,0.19160191674900823,0.22102057579700576,0.20566905072197547,0.23864893128183978,0.2048271912477475,0.20609182855263466,0.2214935360543712,0.22285592615553915,0.20673381529621793,0.22229756754908844,0.22582975326668306,0.2297612328009064
MX,0.025554397628622466,0.02816009358448536,0.025707499067578982,0.02633891036928609,0.018956519151288445,0.0194310677728262,0.016436960192234198,0.02159970323950346,0.02025753429089078,0.016972366831157507,0.013492532237953795,0.014124250737051692,0.016464751638664343,0.019192640911442217,0.01987056718558811,0.018148322431335625,0.017403266180582678,0.02166609334247859,0.02030205288598221,0.023799706046263792,0.027238728438235674,0.022493480240089455
TH,0.025082585797387917,0.027381110457571786,0.025839841278940845,0.022884790743797113,0.02144217462040243,0.02559428925862483,0.020512603299649053,0.022568875791924983,0.020509310958543584,0.020268834431112725,0.025954051967606945,0.028143763065605756,0.027811523963503337,0.029905197761749637,0.01837079878888033,0.02013399087825695,0.017127633245499617,0.012492191345576076,0.010695519286239661,0.006786500169449146,0.005164986047567908,0.006276599080121764
PK,0.004540797967973074,0.004299901330171462,0.003849824005086421,0.005727454174478761,0.007142969634289384,0.005533686693906576,0.0056512107258060214,0.005636672238564949,0.006002294320473955,0.005709882866013981,0.005069324919926603,0.004782811307658229,0.0037951809285318994,0.003936637969521936,,,,,,,,
CN,0.30771209360557933,0.28378977094327046,0.28302296181869546,0.2992144316084321,0.3498799093536045,0.3227913740956686,0.302708350809822,0.28854409518411933,0.29547581887207225,0.2817030908850507,0.18102749042278665,0.16624999279201164,0.14939504578642812,0.1832652771112145,0.1484492223033154,0.1535437151647886,0.17239356338101552,0.15947735106139443,0.14254381560437904,0.12198620141594509,0.11685264269494017,0.10520782008915974
IN,0.09587924743704537,0.10132946857780206,0.10346525806098521,0.09238109790317757,0.08524579011096849,0.07426157714313192,0.1318476775134199,0.13339166965929178,0.1486755610506865,0.15258250538426463,0.20649130502849075,0.2033669079908398,0.2660505291910062,0.19599900011290783,0.24897405152285793,0.2474405269477296,0.22690593142992063,0.24418634468890194,0.2761944949778142,0.28920586338327164,0.2871175711581752,0.31226930005378767
MY,0.021239232332297926,0.024910913405537524,0.02232321757144411,0.020426199198173466,0.021748559918685507,0.021978208236740127,0.02255259793127575,0.024909657664402205,0.0224327575288325,0.018058316594093633,0.02617725176431905,0.02936951880231579,0.025585381550793426,0.025450484040699363,0.024288345250990905,0.02575040552912349,0.023178199610620107,0.019520301363354073,0.021242713147780336,0.01947853429090429,0.019308369080878025,0.023011771933066822
HU,0.0008315496189498066,0.0007343533859271359,0.0011328024849971263,0.0010834333157303693,0.0011084311277307247,0.0010530039623911733,0.0006507358216540616,0.0006448007570605301,0.0006383380872422598,0.0006419770583381824,0.0005767655806504913,0.0005603431558131275,0.0004930059799003601,0.000546385954606075,0.00038617553621212103,0.00046047048258222005,0.0005331544060694606,0.0004594206549810264,0.0009371343350034198,0.000770191291311163,0.0009912130508475036,0.0013481618166705169
