Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
CO,1,,,,,,,,1,1,,,,,,,,1,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,
KR,191,83,87,80,74,63,66,58,73,74,71,74,84,83,64,63,64,56,45,48,59,49,59,49,57,46,50,51,46,33,35,33,48,58,57,49,58,69,65,69,97,71,66,77,87,86,82,65,70
PH,9,14,12,10,6,4,6,4,4,6,7,7,9,6,5,5,5,5,6,4,5,3,3,2,2,2,2,3,4,4,3,2,2,2,3,2,3,3,3,4,4,4,4,4,4,3,3,3,3
CL,7,5,7,9,9,7,7,5,5,4,4,4,4,2,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,1,,3,2,2,1,1,1,,,,1,2,1,1,1,1,1
HU,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR,47,14,14,14,17,9,12,1,8,5,8,6,4,2,1,1,1,3,1,1,1,1,1,2,2,1,1,2,2,2,2,3,4,1,1,,,3,,3,5,6,19,18,15,23,24,19,20
MY,53,39,36,25,31,31,32,32,31,31,32,27,22,16,20,25,23,20,15,15,17,16,17,17,12,15,15,12,14,11,9,11,7,13,11,13,10,12,15,13,17,17,19,17,18,18,16,13,15
ZA,32,33,32,32,30,28,27,23,25,22,26,24,19,19,16,12,13,19,20,21,14,15,12,18,14,6,10,8,9,8,8,4,,1,3,2,3,2,3,3,6,5,6,3,2,2,4,,2
CZ,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,116,37,41,52,44,44,48,40,43,52,64,50,97,82,80,78,72,69,71,66,65,66,70,75,67,65,74,71,64,60,52,65,64,71,64,53,57,31,36,34,35,37,34,56,50,46,42,32,31
RU,3,2,3,3,2,1,1,1,1,1,1,,,,,,1,2,1,1,1,2,2,3,4,4,5,5,6,4,4,2,1,1,1,1,1,1,1,,,,,,,,,,
BR,36,30,28,28,26,20,20,11,11,11,5,2,2,2,1,3,1,2,2,2,2,4,3,3,2,2,5,4,5,5,6,9,4,7,8,5,9,7,8,6,12,16,16,13,16,16,16,14,13
TH,48,27,29,42,30,19,20,16,25,28,32,33,28,27,29,32,32,34,30,29,25,25,26,26,21,19,24,22,29,28,21,16,20,18,19,11,10,11,13,18,27,26,27,20,21,23,15,12,11
EG,12,4,3,3,2,2,2,3,5,4,5,5,4,1,1,2,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
TW,285,92,88,77,80,69,60,51,53,49,44,38,47,29,33,45,30,32,35,43,44,43,43,42,45,35,37,41,49,47,52,61,65,66,63,44,51,53,72,74,93,86,81,83,101,89,106,91,105
MX,9,6,6,7,6,9,9,9,11,12,12,9,10,10,11,11,12,11,8,10,11,11,8,9,8,7,7,7,8,7,7,7,7,7,9,7,5,4,4,6,6,6,7,7,7,6,5,5,4
ID,38,30,30,34,33,18,14,13,18,14,13,13,12,10,7,11,11,12,11,9,9,10,6,7,7,6,9,11,9,9,5,4,2,2,2,,,2,4,5,9,11,9,10,8,9,8,9,13
PL,18,6,9,9,9,7,8,6,6,6,9,7,7,7,8,7,8,8,7,7,6,6,3,3,3,1,3,3,3,2,2,2,1,4,3,2,3,4,4,3,3,3,3,4,7,7,9,8,7
IN,105,24,38,27,27,10,13,13,27,30,41,37,39,37,40,38,42,44,38,44,44,40,41,39,39,30,29,28,41,27,27,36,27,59,57,52,56,75,84,84,97,142,142,124,143,162,168,169,169
GR,,,,,,2,6,7,5,5,3,3,2,1,1,1,1,,1,1,2,2,2,2,2,2,2,2,3,3,2,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PK,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,1,1,1,1,,,,,,,,,,,,
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,4,6,5,5,5,5
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,7,7,6,6,6
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,9,10,9,9,9,10
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,27,33,30,37,39,40,42
