Country ,2012-06-18 ,2012-09-24 ,2012-12-24 ,2013-03-18 ,2013-06-24 ,2013-09-23 ,2013-12-23 ,2014-03-24 ,2014-06-23 ,2014-09-22 ,2014-12-22 ,2015-03-23 ,2015-06-22 ,2015-09-21 ,2015-12-21 ,2016-03-21 ,2016-06-20 ,2016-09-19 ,2016-12-19 ,2017-03-20 ,2017-06-19 ,2017-09-18 ,2017-12-18 ,2018-03-19 ,2018-06-18 ,2018-09-24 ,2018-12-24 ,2019-03-18 ,2019-06-24 ,2019-09-23 ,2019-12-23 ,2020-03-23 ,2020-06-22 ,2020-09-21 ,2020-12-21 ,2021-03-22 ,2021-06-21 ,2021-09-20 ,2021-12-20 ,2022-03-21 ,2022-06-20 ,2022-09-19 ,2022-12-19 ,2023-03-20 ,2023-06-19 ,2023-09-18 ,2023-12-18 ,2024-03-18 ,2024-06-24
CN      ,       121 ,       131 ,       175 ,       174 ,       184 ,       184 ,       217 ,       174 ,       188 ,       188 ,       224 ,       204 ,       267 ,       281 ,       315 ,       313 ,       306 ,       275 ,       279 ,       269 ,       285 ,       237 ,       247 ,       241 ,       228 ,       227 ,       240 ,       227 ,       204 ,       215 ,       231 ,       230 ,       236 ,       231 ,       269 ,       212 ,       226 ,       167 ,       172 ,       171 ,       173 ,       176 ,       182 ,       211 ,       225 ,       212 ,       212 ,       190 ,       170
CZ      ,         2 ,         2 ,         2 ,         3 ,         3 ,         2 ,         2 ,         2 ,         2 ,         2 ,         2 ,         2 ,         1 ,         1 ,         1 ,         2 ,         2 ,         2 ,         1 ,         1 ,         2 ,         1 ,         1 ,         1 ,         1 ,         1 ,         1 ,         1 ,         1 ,         1 ,         2 ,         2 ,         2 ,         2 ,         2 ,         2 ,         2 ,         2 ,         1 ,         2 ,         3 ,         3 ,         2 ,           ,         1 ,         1 ,         1 ,         2 ,         1
RU      ,         5 ,        12 ,        13 ,        10 ,        13 ,        12 ,        13 ,        12 ,        14 ,        12 ,        14 ,        16 ,        12 ,        11 ,         9 ,        12 ,         7 ,         9 ,         9 ,         9 ,        11 ,        14 ,        15 ,        15 ,        16 ,        17 ,        20 ,        21 ,        23 ,        20 ,        18 ,        15 ,        18 ,        13 ,        17 ,        10 ,        14 ,        15 ,        17 ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          
IN      ,       112 ,       125 ,       156 ,       148 ,       171 ,        93 ,       114 ,        81 ,       118 ,       110 ,       126 ,       110 ,       117 ,       136 ,       165 ,       143 ,       167 ,       153 ,       157 ,       150 ,       175 ,       163 ,       168 ,       160 ,       166 ,       152 ,       152 ,       146 ,       166 ,       143 ,       157 ,       158 ,       162 ,       180 ,       185 ,       169 ,       169 ,       217 ,       238 ,       226 ,       250 ,       286 ,       309 ,       294 ,       324 ,       349 ,       359 ,       359 ,       363
MY      ,        55 ,        66 ,        63 ,        57 ,        58 ,        57 ,        56 ,        55 ,        55 ,        66 ,        63 ,        51 ,        51 ,        56 ,        54 ,        58 ,        55 ,        51 ,        49 ,        45 ,        53 ,        45 ,        51 ,        48 ,        44 ,        45 ,        37 ,        37 ,        41 ,        39 ,        41 ,        44 ,        56 ,        49 ,        85 ,        41 ,        46 ,        49 ,        53 ,        64 ,        65 ,        67 ,        65 ,        58 ,        59 ,        67 ,        81 ,        71 ,        78
PL      ,        19 ,        18 ,        22 ,        22 ,        22 ,        17 ,        19 ,        18 ,        18 ,        24 ,        25 ,        23 ,        23 ,        21 ,        18 ,        20 ,        23 ,        20 ,        19 ,        20 ,        22 ,        15 ,        15 ,        14 ,        15 ,        14 ,        14 ,        14 ,        14 ,        15 ,        19 ,        18 ,        22 ,        24 ,        42 ,        24 ,        24 ,        24 ,        26 ,        19 ,        25 ,        26 ,        24 ,        23 ,        25 ,        22 ,        28 ,        29 ,        29
HU      ,         1 ,         2 ,         1 ,         2 ,         1 ,         2 ,           ,         1 ,           ,         1 ,         1 ,         1 ,         1 ,         1 ,           ,         1 ,           ,         1 ,           ,         1 ,           ,         1 ,           ,         1 ,           ,         1 ,           ,         1 ,         1 ,         2 ,         2 ,         2 ,         2 ,         2 ,         2 ,         1 ,         1 ,         1 ,         1 ,         1 ,         1 ,         1 ,         1 ,         2 ,         2 ,         2 ,         1 ,         1 ,         2
CL      ,         9 ,        15 ,        15 ,        17 ,        18 ,        19 ,        19 ,        15 ,        15 ,        13 ,        13 ,        11 ,        12 ,         9 ,        10 ,         9 ,         9 ,         9 ,         9 ,        11 ,        11 ,        12 ,        12 ,        12 ,        12 ,        12 ,        12 ,        12 ,        11 ,        11 ,        10 ,        11 ,        12 ,        14 ,        19 ,        13 ,        13 ,        11 ,        14 ,        11 ,        13 ,        13 ,        13 ,        12 ,        12 ,        13 ,        12 ,        14 ,        14
CO      ,         1 ,         4 ,         4 ,         3 ,         3 ,         3 ,         2 ,         3 ,         1 ,         1 ,         2 ,         3 ,         4 ,         4 ,         4 ,         4 ,         5 ,         4 ,         4 ,         5 ,         5 ,         4 ,         4 ,         5 ,         5 ,         3 ,         3 ,         4 ,         4 ,         3 ,         4 ,         2 ,         2 ,         2 ,         2 ,         2 ,         4 ,         2 ,         2 ,         3 ,         3 ,         2 ,         2 ,         2 ,         2 ,         1 ,         1 ,         1 ,         1
PH      ,        11 ,        20 ,        19 ,        19 ,        19 ,        20 ,        20 ,        19 ,        18 ,        19 ,        18 ,        18 ,        16 ,        16 ,        13 ,        14 ,        13 ,        15 ,        18 ,        18 ,        16 ,        16 ,        16 ,        14 ,        13 ,        12 ,        11 ,        15 ,        15 ,        18 ,        15 ,        13 ,        13 ,        14 ,        18 ,        16 ,        16 ,        17 ,        14 ,        13 ,        13 ,        15 ,        16 ,        16 ,        17 ,        14 ,        14 ,        14 ,        13
TR      ,        48 ,        47 ,        57 ,        54 ,        54 ,        40 ,        53 ,        29 ,        37 ,        24 ,        27 ,        23 ,        23 ,        19 ,        19 ,        21 ,        20 ,        21 ,        20 ,        18 ,        25 ,        18 ,        15 ,        18 ,        16 ,        16 ,        16 ,        17 ,        16 ,        16 ,        19 ,        20 ,        20 ,        27 ,        43 ,        18 ,        23 ,        30 ,        32 ,        22 ,        33 ,        38 ,        66 ,        54 ,        64 ,        73 ,        96 ,        71 ,        74
TH      ,        48 ,        50 ,        57 ,        57 ,        56 ,        69 ,        72 ,        57 ,        63 ,        50 ,        51 ,        50 ,        61 ,        62 ,        65 ,        68 ,        68 ,        56 ,        60 ,        71 ,        64 ,        54 ,        58 ,        58 ,        59 ,        56 ,        61 ,        57 ,        58 ,        58 ,        58 ,        52 ,        63 ,        55 ,        65 ,        49 ,        52 ,        68 ,        71 ,        71 ,        86 ,        82 ,        90 ,        91 ,        88 ,        93 ,        88 ,        84 ,        86
EG      ,        12 ,        12 ,        19 ,        17 ,        13 ,        12 ,        12 ,         9 ,        16 ,        17 ,        14 ,        18 ,        15 ,        13 ,        14 ,        11 ,        11 ,         9 ,        12 ,        11 ,        12 ,         6 ,        11 ,         9 ,        13 ,         8 ,         7 ,         7 ,         7 ,        11 ,        11 ,         8 ,        10 ,        10 ,        14 ,         6 ,         6 ,         5 ,         9 ,         6 ,         9 ,         8 ,         9 ,         9 ,         9 ,        14 ,        20 ,        13 ,         8
ZA      ,        38 ,        54 ,        56 ,        57 ,        58 ,        54 ,        58 ,        54 ,        53 ,        52 ,        58 ,        57 ,        58 ,        54 ,        55 ,        53 ,        56 ,        53 ,        56 ,        54 ,        54 ,        53 ,        52 ,        55 ,        53 ,        45 ,        47 ,        46 ,        46 ,        45 ,        47 ,        44 ,        46 ,        42 ,        46 ,        38 ,        40 ,        40 ,        40 ,        39 ,        42 ,        37 ,        38 ,        37 ,        36 ,        38 ,        43 ,        43 ,        40
KR      ,       213 ,       227 ,       248 ,       242 ,       252 ,       232 ,       245 ,       201 ,       215 ,       195 ,       201 ,       207 ,       211 ,       236 ,       250 ,       267 ,       279 ,       249 ,       249 ,       220 ,       272 ,       196 ,       214 ,       216 ,       235 ,       210 ,       230 ,       234 ,       232 ,       202 ,       234 ,       224 ,       315 ,       268 ,       424 ,       222 ,       246 ,       278 ,       296 ,       298 ,       367 ,       333 ,       344 ,       324 ,       379 ,       387 ,       437 ,       366 ,       382
BR      ,        49 ,        68 ,        66 ,        66 ,        68 ,        66 ,        68 ,        64 ,        66 ,        58 ,        55 ,        41 ,        50 ,        58 ,        58 ,        57 ,        59 ,        58 ,        57 ,        57 ,        59 ,        64 ,        62 ,        68 ,        66 ,        66 ,        69 ,        68 ,        70 ,        72 ,        72 ,        76 ,        77 ,        80 ,        82 ,        64 ,        71 ,        61 ,        56 ,        57 ,        68 ,        75 ,        72 ,        64 ,        69 ,        75 ,        74 ,        74 ,        68
ID      ,        39 ,        49 ,        52 ,        53 ,        54 ,        55 ,        57 ,        49 ,        52 ,        43 ,        47 ,        45 ,        41 ,        31 ,        34 ,        39 ,        41 ,        37 ,        35 ,        33 ,        40 ,        35 ,        33 ,        34 ,        34 ,        32 ,        35 ,        38 ,        40 ,        44 ,        38 ,        33 ,        34 ,        29 ,        33 ,        27 ,        27 ,        33 ,        40 ,        42 ,        45 ,        49 ,        47 ,        45 ,        46 ,        46 ,        44 ,        44 ,        47
