Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
KR,191,205,212,208,226,210,223,179,193,174,180,186,190,223,237,254,266,236,236,208,261,185,203,205,223,198,214,220,220,191,247,235,322,271,279,182,196,195,210,204,262,232,286,267,332,337,362,304,322
IN,105,120,135,136,145,112,133,98,135,124,109,94,104,127,158,136,160,155,160,154,178,166,173,165,171,156,156,150,171,109,129,111,123,131,122,97,87,124,132,127,163,188,224,210,241,269,296,290,303
TH,48,50,53,55,56,77,74,59,63,50,51,54,53,74,72,72,81,58,62,73,66,58,60,60,58,57,60,55,58,56,56,50,61,51,54,46,49,52,57,59,65,57,92,78,85,84,75,74,73
CZ,2,2,1,3,2,2,2,2,2,2,2,2,1,1,1,2,3,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,,2,1,3,1,2,,1,1,1,2,1
CO,1,4,4,3,2,3,2,3,1,1,2,4,4,4,4,4,5,4,4,5,5,4,4,5,5,3,3,4,4,,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1
MY,53,63,63,55,60,56,55,54,54,65,62,50,51,56,56,57,54,50,59,46,53,44,52,48,44,45,38,37,40,38,49,45,52,47,47,35,31,32,35,37,41,45,57,49,52,57,70,59,72
RU,3,10,11,12,11,12,13,12,14,12,9,11,13,12,13,12,9,9,9,10,12,14,15,15,18,17,21,21,23,10,12,7,10,6,6,5,4,3,6,,,,,,,,,,
ZA,32,48,50,51,52,48,52,48,47,46,50,49,50,46,50,48,51,48,52,50,50,49,48,51,49,40,43,42,42,42,42,40,32,29,31,23,27,29,31,31,32,29,39,34,41,42,42,38,38
PH,9,16,17,18,15,18,19,18,18,19,12,12,11,11,10,11,10,12,15,15,13,13,13,11,10,9,9,13,13,11,9,8,9,10,13,10,10,10,10,10,9,12,19,12,15,12,14,14,15
TR,47,46,49,51,51,39,53,30,38,25,27,23,23,20,20,22,21,22,21,19,26,19,16,19,17,16,16,17,21,19,18,17,17,17,17,14,13,18,15,9,19,23,60,47,56,60,75,62,70
ID,38,48,49,51,50,54,64,49,52,43,47,45,41,33,35,40,42,38,36,34,41,36,34,35,35,33,36,39,41,43,37,32,35,28,25,17,18,21,32,33,37,41,39,34,36,45,43,39,41
PL,18,17,21,17,20,16,18,17,17,23,24,23,23,21,20,20,23,21,20,21,23,16,16,15,16,15,15,15,15,14,23,19,22,24,24,17,19,17,17,14,18,16,21,21,24,23,24,24,26
CN,116,127,148,158,170,180,213,170,184,185,213,193,261,292,326,324,317,286,290,279,295,247,257,248,234,232,245,234,216,148,171,168,182,163,178,123,121,70,81,89,106,110,123,131,229,213,212,186,168
HU,1,2,1,2,1,2,1,,1,1,,1,1,1,1,,1,,1,,1,,1,,1,1,1,1,1,1,2,1,2,1,2,,1,,1,,1,1,1,1,2,2,1,1,2
EG,12,12,17,15,11,12,13,10,17,17,15,16,16,14,15,12,12,10,12,11,12,6,12,9,13,8,7,8,7,7,11,5,8,7,6,3,2,2,2,2,4,4,8,3,9,10,15,12,9
TW,285,284,287,310,313,263,268,224,249,200,211,198,216,179,217,243,236,195,216,197,237,186,196,178,198,168,183,187,200,198,216,226,253,225,224,167,165,159,191,180,200,199,228,203,231,226,256,222,245
CL,7,11,13,15,16,17,17,14,14,12,12,10,11,8,10,9,9,9,9,11,11,12,12,12,12,12,12,12,11,11,11,11,12,11,11,10,9,5,6,6,7,7,13,11,13,12,17,14,14
BR,36,56,59,63,67,67,69,65,67,59,55,41,52,59,60,57,59,58,57,57,59,65,63,68,66,65,72,71,73,53,53,57,58,61,62,47,52,36,34,36,48,54,66,48,59,62,65,60,70
MX,9,14,13,16,14,19,20,23,23,25,17,20,23,25,26,26,24,27,27,28,29,30,28,28,27,25,28,26,24,18,18,19,19,18,19,16,12,9,11,10,9,13,13,9,12,13,14,14,15
GR,,,,,,10,11,10,11,13,9,9,15,13,14,10,9,9,8,9,9,10,14,11,12,9,14,13,11,12,12,8,11,5,6,4,4,4,5,5,6,5,8,7,9,11,13,8,9
PK,,,,,,,,,,,,,,,,,,,,,,18,14,13,14,9,8,7,8,5,9,6,9,6,7,4,6,4,6,5,7,,,,,,,,
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,35,27,35,40,44,46
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17,16,18,21,23,23,23
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4,6,6,6,6,7
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,1,6,7,5,5,8
