Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
TR,16,21,22,22,24,23,25,24,24,24,24,24,24,23,22,22,22,22,22,22,21,20,21,21,22,13,18,19,14,15,16,19,19,18,19,19,19,18,20,20,20,22,16,23,16,25,19,21,17
BR,85,95,89,87,84,79,76,76,76,73,74,72,68,48,48,48,47,46,47,47,46,46,44,45,45,44,44,49,49,71,71,69,70,71,70,70,73,69,69,65,62,60,46,54,52,51,51,53,41
MX,20,22,26,25,28,27,25,24,23,23,31,31,28,27,28,28,27,25,24,24,25,25,25,26,24,24,25,25,25,27,25,25,25,25,25,26,29,24,21,22,22,20,19,23,22,21,21,21,21
CN,86,102,103,102,103,104,98,99,99,96,106,107,105,110,114,119,118,114,109,107,106,106,106,107,116,114,114,284,309,567,566,604,601,783,769,820,862,766,786,770,733,270,255,277,307,403,416,405,518
CO,3,11,10,11,15,13,13,12,14,14,12,11,12,12,11,11,12,11,12,11,11,10,10,10,10,10,10,10,10,13,11,10,10,9,10,9,9,8,7,6,6,8,4,4,4,4,4,4,4
RU,25,33,32,31,32,29,27,25,26,27,28,27,24,23,22,22,24,25,28,28,26,25,24,24,21,22,20,22,21,31,28,33,30,34,34,33,34,33,31,,,,,,,,,,
KR,97,124,126,127,127,123,126,128,129,133,133,130,128,132,130,130,128,131,131,131,131,132,133,133,131,128,130,129,128,127,102,101,109,106,120,137,149,161,159,161,160,159,122,124,98,117,119,92,108
HU,3,3,4,3,4,3,3,4,3,3,4,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,3,3,3,3,3
ID,17,21,23,25,29,28,21,25,25,25,24,23,23,24,24,24,24,24,22,23,23,22,23,21,21,20,21,21,21,23,21,20,20,20,24,25,26,24,24,24,28,29,27,28,26,20,19,19,19
PL,10,16,16,16,16,15,15,17,17,17,17,17,17,16,15,17,17,17,18,17,17,16,16,16,18,18,18,18,18,18,12,15,16,15,14,15,16,18,18,18,18,15,13,15,15,15,15,14,15
IN,40,67,68,71,74,62,55,49,48,46,64,55,59,62,65,64,62,62,61,59,59,62,65,67,68,66,67,66,65,85,87,92,95,113,127,146,161,173,179,178,178,200,195,195,193,198,197,197,197
CZ,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,2,3,2,3,2,3,2,2,2,2,2
TH,18,32,32,38,34,28,32,25,36,39,39,39,38,28,32,34,29,45,42,33,42,42,41,40,43,40,42,42,40,43,47,45,44,44,46,45,47,48,51,53,60,56,27,33,25,26,23,13,12
CL,14,21,20,20,20,20,20,20,21,21,20,20,20,20,19,19,19,19,19,19,19,19,19,18,17,17,17,17,17,17,16,16,15,17,17,16,17,18,19,19,19,18,13,15,13,14,10,11,11
PH,7,17,18,17,19,21,20,19,19,21,27,26,26,27,28,27,27,26,26,25,25,24,23,24,21,23,21,21,19,22,20,19,19,18,18,18,17,16,16,17,15,18,13,20,16,14,14,14,14
ZA,38,52,53,51,51,51,51,51,51,51,52,51,52,53,48,47,47,48,48,48,47,47,48,48,48,48,48,47,47,47,46,45,45,43,43,43,43,42,41,41,40,39,30,36,25,27,30,29,29
MY,22,29,31,33,36,40,40,40,39,44,45,45,42,33,39,41,40,40,29,39,38,38,37,39,38,40,40,40,39,37,25,33,40,38,41,40,39,40,40,40,39,38,31,31,31,33,33,33,33
EG,3,9,7,7,6,4,4,5,2,3,4,3,3,3,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,6,2,4,2,2,4,4,4,3,3,3,2,2,1,2,1,1,1,2,1
TW,87,106,108,85,113,88,91,70,88,89,89,87,88,68,74,79,61,80,61,81,85,85,84,84,83,82,79,79,80,80,80,80,84,85,89,101,108,112,114,116,116,115,89,108,106,105,106,106,105
MA,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,10,10,11,9,9,9,9,6,5,2,8,9,8,10,8,9,10,6,9,8,8,4,6,7,8,7,10,10,11,11,11,11,11,11,11,11,11,10,12,11,10,10,10,10
PK,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,3,1,,,,,,,,
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,27,42,41,40,39,36,36
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,15,13,13,12,12,11
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,7,6,6,6,7,6
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,20,16,12,13,14,13
