Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
KR,97,124,126,127,127,123,126,128,129,133,133,130,128,132,129,129,128,130,130,129,129,130,131,131,129,127,129,128,127,125,101,100,99,92,93,94,94,102,101,103,114,113,106,107,107,107,105,105,105
MY,22,32,32,33,38,39,38,38,37,42,43,43,40,33,41,42,39,40,40,40,39,38,37,38,38,41,41,40,38,34,32,35,37,35,36,35,28,31,34,25,34,34,32,33,33,33,34,34,35
PH,7,17,18,17,17,18,18,17,19,21,21,21,22,22,22,23,23,21,21,21,21,20,19,17,16,17,17,16,17,17,16,16,16,15,14,14,13,13,15,14,15,17,17,17,15,14,14,15,15
PL,10,16,16,16,16,15,15,17,17,17,17,17,17,16,18,18,18,19,19,19,19,19,19,19,20,20,20,19,19,17,15,15,15,15,10,11,12,12,13,16,17,11,14,15,16,16,16,15,15
CZ,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2
TR,16,21,22,22,24,23,25,24,24,24,24,24,24,24,23,24,24,24,24,24,24,23,23,21,22,13,18,19,17,16,16,16,17,15,16,17,13,15,11,16,15,18,24,22,18,29,20,21,21
CO,3,11,10,11,15,13,13,12,14,14,12,12,12,12,11,11,12,11,12,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,7,7,7,5,5,3,4,4,4,4,4,4,4
ZA,38,52,53,51,51,51,51,51,51,51,50,49,50,49,48,47,47,48,48,48,47,47,48,48,48,48,48,47,47,47,46,45,33,30,30,30,30,34,35,34,34,34,34,34,33,31,31,29,30
RU,25,30,29,32,29,29,27,25,26,27,25,23,25,24,25,22,25,25,28,28,27,25,24,24,24,22,22,22,21,21,22,23,22,26,24,27,25,24,22,,,,,,,,,,
CN,86,101,101,100,102,103,97,99,98,95,98,98,100,118,121,127,126,126,118,119,118,118,117,117,125,122,123,298,340,335,340,361,383,471,466,470,471,416,417,418,406,190,186,190,329,402,421,424,546
IN,40,67,68,71,74,60,55,48,46,42,47,44,46,50,54,51,50,59,60,63,63,65,69,67,67,66,67,66,65,65,64,66,65,73,75,76,79,95,94,102,102,130,132,128,127,129,135,140,144
CL,14,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,17,17,17,17,17,16,15,14,10,15,15,13,12,12,13,11,12,13,13,12,13,13,13
MX,20,22,24,25,24,25,25,24,25,26,27,28,27,26,27,27,27,26,26,25,26,26,26,27,25,25,25,25,25,24,23,22,22,22,23,23,23,17,16,15,15,16,16,18,18,18,18,18,18
TW,87,82,90,94,98,98,76,89,89,88,88,88,89,68,78,83,64,69,70,74,76,76,75,75,74,73,73,73,73,73,73,73,73,71,71,71,71,71,70,70,72,73,74,75,77,78,82,81,80
ID,17,21,22,24,27,27,26,26,25,25,24,23,23,25,25,25,25,25,24,24,24,23,24,23,22,22,22,22,22,22,21,19,19,21,21,20,21,20,22,22,23,22,20,21,21,21,21,20,20
HU,3,3,4,3,4,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
EG,3,9,7,7,5,4,4,6,2,3,5,2,4,3,2,3,3,3,2,2,2,2,3,4,2,3,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,3,2
BR,85,95,89,87,84,80,77,77,76,74,74,72,70,48,47,48,47,46,47,47,46,47,45,45,45,44,47,51,51,52,52,51,51,49,50,51,51,46,46,47,44,44,44,44,43,43,43,44,44
TH,18,32,32,38,34,35,36,28,37,40,40,42,30,36,35,35,35,42,41,35,42,44,41,40,41,40,41,41,39,42,45,43,42,43,44,43,45,44,46,50,50,38,39,35,33,23,25,15,13
MA,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,10,10,11,9,9,9,9,6,5,5,8,9,8,10,10,10,10,6,10,6,8,4,8,7,7,7,7,3,4,5,7,7,4,7,7,10,10,10,10,10,10,10,10,10
PK,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,12,12,12,12,12,11
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,15,12,12,13,13,13
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,6,6,6,7,7
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,28,26,28,29,29,28,28
