Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
IN,0.06203193253132186,0.042204451850336555,0.06253279837414803,0.04729712495996584,0.05210977296547123,0.023718188484461406,0.029796181457492393,0.03695645052645162,0.07737285121975541,0.07298283027367279,0.1018039617495085,0.09794855037042244,0.09740442815311068,0.03819351031554017,0.11758787752498466,0.09636570597142116,0.12947174564944475,0.14978932703764974,0.13435876945037173,0.06252980282109669,0.15556751256611037,0.1579945838521068,0.1324222531459445,0.09753802517492204,0.13597021084893068,0.08630434759048587,0.06970575546601639,0.06100982267260351,0.09913019010018984,0.07173739832643837,0.058527051711179015,0.06179933452027067,0.03384177050438406,0.15274984529834026,0.15282164972408435,0.17827359858577743,0.18912635537586295,0.26724237713378507,0.2680668331922632,0.271737721092516,0.22692222413321012,0.2955611313369385,0.3429060044827586,0.28704590721085566,0.32255045579228114,0.35536449870359454,0.3732822394039748,0.3962430144734636,0.4330008835173714
CL,0.012124475540459964,0.0269190976422584,0.021410623225003048,0.021399668094395665,0.017435486402450708,0.029458100116433912,0.016706149822424257,0.011435481031648483,0.009540640936135728,0.00545227049987374,0.003290678898462798,,,,,,,,,0.0048501897805184845,,,,0.005399711727778521,0.00547550527207497,,,,,,,,,0.003947623744089242,,,,,,0.004800292662577259,,,,,,0.004111027874357422,0.0039716358787816085,0.004068576280886497,0.0034792494661443755
EG,0.00794251388890315,0.010555756416833765,0.0031340130689957537,0.0025849370483691627,0.0013909121068323008,0.0018614265244919288,,0.007614809726061048,0.011959100749486055,0.005531475905916933,0.008378801476432112,0.012034689035502902,0.009739520794068323,0.0013577537779143173,,0.0035274533807232106,,,,,,,,,,0.010885884280701636,,,,,,,,,,,,,,,,,,,,,,,
CN,0.10573247046985593,0.07588015588484627,0.09420180371953357,0.1439086967177181,0.13447206159283462,0.1423771660080646,0.1807430591426545,0.1947840468327538,0.17665954754749658,0.20449372483343164,0.25555717283283547,0.25718974197897226,0.3377793509114365,0.6373399101204489,0.40293660574157614,0.3669896471196846,0.32138517929763144,0.3166591560495963,0.35434445528842584,0.7269223105055997,0.30057542188670144,0.27512515437590135,0.31596116705844296,0.3239522804693552,0.2888108529529293,0.31363371737046414,0.33923356697750945,0.39211824502515674,0.3148135157652717,0.3434208160295892,0.3264481615784686,0.4060317955065066,0.3225352160977981,0.29398852687248567,0.25447890891229386,0.35970300052215803,0.2987409472545829,0.1652896060726938,0.15092452197963996,0.14378268453685852,0.18371219461132113,0.09129180997103635,0.10970620446122788,0.13036354933687913,0.0938099721476457,0.06408689249774255,0.056255887170129776,0.04216811435005099,0.057127299070214556
ZA,0.0685762668785241,0.09349720782941462,0.11926111876827179,0.11190449423247122,0.09306982543994088,0.10617446212252817,0.10503501421359258,0.09655170340854038,0.08883556941321741,0.07367320102627374,0.09227157377536524,0.0944655988209804,0.06901934624031943,0.03424032016415989,0.049996461701401054,0.03544193441800106,0.04982342544415498,0.07165777643273127,0.09021519512589829,0.03757375243245738,0.060046932101300445,0.09749394984445968,0.0611682245627591,0.08705997931084455,0.0696586189985172,0.0328833983373647,0.057163773699825164,0.048818882489513514,0.03511561127623162,0.034715907346533986,0.04309521626268206,0.00460889310950307,,0.002350359817699062,0.008927589739061539,0.008899039983989193,0.011872151941111556,0.009040087077847503,0.010031492307495903,0.010726984476300855,0.014696289651856825,0.008639308992947037,0.0054620217618873805,0.0019558855610193023,,,0.0032871490544553223,,
TH,0.03960571506021185,0.03879184129698781,0.04908898889533815,0.06359061238155496,0.03531559643612129,0.01974132341141134,0.02323141328882241,0.008253843569257988,0.029717152230618604,0.02658594620830465,0.040814350724829446,0.038444986487501075,0.02132963336443082,0.010562916791121368,0.03663279973837904,0.037774199645621766,0.04084595016908011,0.03496637151238833,0.043665313724233434,0.015756714907135726,0.028173795265636334,0.03281918753435289,0.03697873988794503,0.030405826065106736,0.02066591065463502,0.029041562962227586,0.04218464228273148,0.03320115509998901,0.050675505473396595,0.056380052646459615,0.04687095610930844,0.030525038987135707,0.04416850517359635,0.033256058874652765,0.0342973411153579,0.021005563933988967,0.015038984217056434,0.02409029798562129,0.029499233493618025,0.03367531890367746,0.014011574957272593,0.006754513569159933,0.008856371921108299,0.004653338639349598,0.006782037458064869,0.00439876812274505,0.008033836853102312,0.004219360365480092,0.0036654408706049964
PL,0.016329736977311694,0.011640883818121495,0.015400675352357413,0.014507267150848784,0.014708008865479858,0.010520141732716662,0.0162356549707397,0.008919671273903546,0.009173854707797292,0.038867223423226675,0.012951319446829913,0.009419720264919704,0.005809027391931353,0.00334987135860498,0.011384933024175599,0.00798207688824409,0.012991531985492386,0.015537858426478863,0.010661576627002522,0.004001410901599355,0.007062394914473653,0.00560404975054834,,0.008573118865920408,,,0.003567759260162101,0.003089230235430611,0.00341844853941934,,,,,0.00411446885119149,0.005117219384808241,0.003198804044693381,0.002561416908205,0.00908748898767153,0.007959049415007417,0.005934023876855057,0.009092460544675201,0.005303418134602588,0.006479962253815319,0.00644796436189488,0.006481472982475503,0.010061474256266896,0.011990600947306198,0.019415755699652804,0.01825967131900024
MY,0.06062639328806504,0.07161514436926975,0.06293048034161133,0.048872450078779155,0.07105935706820256,0.06216443385327426,0.06581299747509416,0.0662956402115097,0.06450977221204558,0.06797353082615167,0.0620525009847193,0.05991548967525792,0.034883976695414674,0.005029809310433023,0.028202981841612053,0.04430273597996578,0.03460438686163307,0.02321778222568993,0.014267146756629323,0.006858120710778766,0.021778834905541423,0.014139567521612061,0.024600189979234143,0.025931491493606566,0.014761238051270806,0.06623755902776202,0.022304021943425414,0.01543318243267706,0.0238844318927243,0.011161275716482618,0.007419002796030317,0.008692554292570473,0.00381181913049587,0.01622946852575734,0.017689502779975202,0.027280483014435822,0.01609197668586115,0.023911607707384104,0.02757653858461421,0.016612442930140213,0.010296102567942937,0.0035403924124325745,0.013106088689168991,0.013157681167508189,0.007128036973401438,0.006844273717919433,0.005997270134519497,0.007868311162143406,0.008421813327462105
ID,0.047758901142162025,0.04534337492397138,0.049954566718989485,0.057934502872539574,0.05074816359909963,0.0165816347800252,0.005686313849339248,0.013402962904681877,0.020322121359976485,0.02184841403911967,0.010631753860960776,0.01385239929654608,0.007162121148494387,0.0055694525117322155,0.0032606068935653165,0.010831596086726377,0.014118862667686458,0.03713601468996687,0.0219601550895384,0.002813323710195173,0.010198603163746496,0.019743728825335045,,0.005065471133511126,0.010208793368075108,0.04821516057454107,0.01878983704528067,0.016643345574030823,0.015575196312368506,0.014779566666242628,,0.0022553853717922636,,0.01335353344772498,,,,0.0025631988447936704,0.005160250915898293,0.008706724860455494,0.01090871322043185,0.014421962128431734,0.004723956322446345,0.0044882177830921615,,0.0030360259944633536,0.0034936718765967044,,0.007083231320930198
MX,0.013380520633796128,0.014469422370649802,0.02266593382228646,0.02276408267383348,0.029159770165970506,0.06396018477966937,0.05167633284457031,0.055459497410392376,0.04215892814778639,0.062631830156261,0.03586070052147338,0.029774283538200164,0.029288902630089632,0.014626962046190408,0.02859236394789794,0.03854629423412483,0.048699988478961745,0.03184332156276859,0.027058322604977467,0.009938466721421513,0.03485373274174322,0.027415531405591213,0.02405861040539633,0.025774797285392174,0.017724527305970128,0.026280743321281965,0.019555102090339053,0.017008124990085468,0.020969552321312233,0.01861710966403096,0.023300597919404455,0.016572429791835618,0.01752013666653292,0.014141511247136971,0.02821669624058256,0.021162298760179145,0.0057782079393784115,0.005135483737500113,0.005452958189391138,0.011585313464999709,0.008476413198926249,0.009986221608735139,0.014408358521571595,0.018305151442705017,0.030293895111729627,0.030897954152464102,0.031649256934630735,0.03343926308930654,0.016188922532536114
