Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
PH,0.01725813035738637,0.01904425024347978,0.018530353486260927,0.019706716319179474,0.016515496354070566,0.014905318604593747,0.012933243777602656,0.015753593773479985,0.016027421042900294,0.017781489646159672,0.019060958656068674,0.01916578894824884,0.014037902148640896,0.011916371355865235,0.009578391196976874,0.011423023322888956,0.012554087173232446,0.014284166824847854,0.017290597278747724,0.01415836657068276,0.011632081521619079,0.013971164703689498,0.011909092795001243,0.00939361784828022,0.008083387711955103,0.008193774206402786,0.00816872874190324,0.011535907300278191,0.01355700113592354,0.01408309816760549,0.01053761866598558,0.007827725945875916,0.008345981598811811,0.007406935224611488,0.009294060173677864,0.008463269873225064,0.008760619743160976,0.008233529519718803,0.007281109404431844,0.0070912300065386685,0.006808682519845049,0.007347689956929642,0.007389597965451174,0.008402333038423235,0.006825756473563517,0.0056969132259004586,0.005515809984426559,0.00552822536511117,0.004692700478938817
KR,0.18500570036561895,0.1648730865913539,0.1617573009295325,0.161130446505746,0.16095456678276063,0.16349581937851826,0.17704258925806127,0.18137580884097085,0.1750030558694409,0.18191043279100147,0.1736399939367242,0.18443281137586143,0.18549753426831234,0.2365150033863503,0.18228759363100783,0.18856817994457672,0.18932050298145647,0.17896764343312557,0.1703496359906504,0.15483175903835833,0.16732957668068132,0.13268095028827107,0.14916357795432958,0.1558621880442978,0.164428024396014,0.17663251871147476,0.1717368918511914,0.17930551543918094,0.16917426257368814,0.14317523410949753,0.14797321888257656,0.14012485078826567,0.17715935762245957,0.18598120348534578,0.1932406482232336,0.16711292114027962,0.17142436644395792,0.18852174588320483,0.17886525619239405,0.177375996129339,0.1769746973987356,0.15139501741234235,0.15965798012104568,0.16070351307985886,0.16148534502357173,0.16272113980272396,0.16348854665547274,0.1567938968987569,0.15066012541405435
ZA,0.07636359372489833,0.08230756060395666,0.08605138377523333,0.0796066628948567,0.08060990647375522,0.07933348324909141,0.07125127484394708,0.07107096248613007,0.07043507629601387,0.07235105656687994,0.07940465917711739,0.07888726721618557,0.06621780454971049,0.058376300144207596,0.045848083123443635,0.050286692468474864,0.05170964480565342,0.05848596193078735,0.06080828607550605,0.06305962050803686,0.05585876515884153,0.055578219148587654,0.06018646546565781,0.058157800155844014,0.04671663549334808,0.04660903343897221,0.04466834196750317,0.04481055752778772,0.04550515220316714,0.042571031185994423,0.040844718572730324,0.027838300162305304,0.03920272119909507,0.03562142200546289,0.03689235432630418,0.03946772912330717,0.04009865251133678,0.030955602945185928,0.03122612574041479,0.03429676418569766,0.034730677417506066,0.02790554820548274,0.027007563980368764,0.025307094995266684,0.02267567313167014,0.023180260638087632,0.025248911999214505,0.025680989098803623,0.025608920766378513
CO,0.0006192749447974923,0.004098577332825657,0.006636607736635767,0.003937010271047582,0.0011562247877857884,0.005827952585665426,0.0026637361592662884,0.005017712250236817,0.0012174998345451543,0.0010934871363278273,0.0030791867529638244,0.003964004276245042,0.004634146095587351,0.0036307684705411507,0.003017589272551672,0.005166973465757966,0.00585191742688914,0.005731426086885569,0.006037506061830826,0.006361863911021433,0.0064507673185711925,0.0038903815931722596,0.0035075085865300545,0.005116808712583788,0.005566437979215945,0.004418006977389314,0.002993771852258383,0.0040457015780615835,0.004061272360280826,0.004896455818592352,0.004887228636769514,0.0027775019829818243,0.0025519653411645747,0.0017664261786757354,0.0018859072964353095,0.0015630184044282108,0.003306198613171317,0.0014586282792730105,0.0014724889603535802,0.002212844890618943,0.0023086097723346837,0.0011741504112498004,0.0009636080615203369,0.0008132674164060022,0.000811472433453387,0.00042661219976210387,0.0006226625830384047,0.0008021764553649388,0.0007350678053092225
IN,0.06065688181601752,0.06181706219220715,0.06874741681280361,0.06739845539046435,0.06211547589754837,0.04128783150582785,0.048490591797825666,0.045644170565337594,0.07183076350359548,0.07731089127044875,0.0852225993735096,0.08244019018786326,0.08650919176752318,0.08189997810309829,0.10110103457353933,0.08182183423998955,0.09184784613438036,0.09504116617840465,0.09385718044188429,0.09988696204924855,0.10902121387956937,0.10939878296122177,0.10817940276874474,0.09583099623001738,0.11354502712147874,0.09882952602976773,0.1025717400712437,0.10657910471688468,0.11351152704106585,0.10273523465970236,0.10591337797921357,0.0996771909121957,0.09167604773745514,0.15059947816343852,0.14367697261258502,0.17065025666848518,0.15849856881304533,0.19709476902071324,0.19973922177450298,0.20148702979514901,0.1949116336399107,0.21498162764304998,0.209945998674842,0.20206961817614907,0.2147523325368977,0.25131462855862907,0.2580700031554109,0.25582696267753763,0.299301098320697
PL,0.0173372070699634,0.015473835599442534,0.01970244694221826,0.019074562299334234,0.02013983157791002,0.018158242070825885,0.019643402036971434,0.02016617172394699,0.018845411791479843,0.022803006721433004,0.023174741403952155,0.020880901683097246,0.019166762149897095,0.017343480885342363,0.014992663458723458,0.01731328780552519,0.017011421875145174,0.015488816166897674,0.01501328666323561,0.01644784006656272,0.01635902499032048,0.014812666102421719,0.01261448471893698,0.011600267022933305,0.009467063894113292,0.009344617147287813,0.009565366626164466,0.009998194087560038,0.010436666977251013,0.010060738767049923,0.012139716781172509,0.01192057581381845,0.01274441526047156,0.010914269513256449,0.017355663503050282,0.01486954407601046,0.01440418405484429,0.019494936313520308,0.01811853404209369,0.011057235508798165,0.011555494320411554,0.013064893504360986,0.010539812100148276,0.011078836774772966,0.011758652599419226,0.011129649436667038,0.013288102401451446,0.01484046733468193,0.014519633457032145
TR,0.02737401451316157,0.024116239831359392,0.02847626960458001,0.0296013052252278,0.025781815266460745,0.021212756930440262,0.018773985421656546,0.013725567580159855,0.0179231245497392,0.012789262805900451,0.015311975049272068,0.012589477473817015,0.010775975829471585,0.007309838759971037,0.008177702838713982,0.009058913975532525,0.008005921275520342,0.009403433465654714,0.008316584627104254,0.007559909170875685,0.009819043415833555,0.008332216696898483,0.007278417733666882,0.009454424606411976,0.007732020202989628,0.011608796956456661,0.00848161561893376,0.00892699271155661,0.008966885097196007,0.010127740158147188,0.010636802718429102,0.010628261029672044,0.009747491810197456,0.010940074730053206,0.011616982924564277,0.007585898226893346,0.010606417036121057,0.010035004098263052,0.0103190447995029,0.0068207358541903865,0.010324941897051555,0.011803783353795023,0.021367328349201818,0.01819861643664139,0.0168549018202126,0.01920533710439156,0.023413779592982492,0.021159972927946344,0.022956910608501944
TH,0.03267387853650188,0.029386000992935285,0.03354732430975246,0.04133964569558136,0.02789600151978694,0.03542047601647628,0.02725832857737137,0.0375532589349966,0.03519632090087108,0.03196214816073142,0.031948157377239585,0.030456553131415324,0.035116847774074963,0.02875508507162367,0.029585409580512312,0.03451644803036569,0.03692134297982207,0.029325119674516183,0.0358507693729352,0.03910845986316796,0.03094104050934096,0.02762500700457939,0.02744999559256504,0.02794301340985926,0.028268080641727332,0.03262933162653453,0.03074118996203562,0.029274838564831058,0.03428846244237672,0.033116672026488825,0.029869396380904134,0.025792961077386163,0.02844327145396496,0.02487532895123817,0.024491584107345477,0.025284143713438997,0.0239843973346157,0.028141029024543344,0.028567827665184217,0.028801741274345503,0.034118398922886976,0.029506754183376945,0.029102258458917785,0.03011019682039811,0.02311684173259845,0.030100885420193707,0.022105108451477916,0.025198148473654668,0.02228728183357737
ID,0.04360868754304918,0.04135171233040093,0.043118916461806385,0.04426101271088484,0.040921746197125686,0.03291344543661078,0.024682009968810602,0.03389661363743846,0.028033150124869077,0.027266891260034933,0.029714176306811443,0.0292454444891529,0.022044907642648583,0.01981219863466497,0.01761218253670568,0.021989789128539185,0.02229416271536559,0.02444930515432206,0.02626118171162018,0.022433571005617367,0.0217169595964625,0.021278806214005942,0.019055260555030963,0.02012374896228941,0.020012855595230538,0.01932293720802351,0.021624775193314162,0.023665104205837652,0.025907304125332525,0.02704720610445499,0.021994807645297765,0.013779278504566209,0.014872900555183866,0.012599370406580768,0.016184798282927727,0.016916421598722205,0.013706813590287963,0.01554043675772322,0.01704753904330264,0.019653566060030242,0.02164883144699681,0.023192426715747033,0.020033640209367615,0.02000156724948015,0.01836707200130715,0.018665688485752726,0.01625163387357959,0.01725587548416475,0.01717346806881557
CN,0.09690776754199909,0.08299940962464475,0.11389364448827849,0.12873023703325007,0.1345814791220852,0.17092623656868125,0.19168563457479118,0.18905924309070368,0.17296439674911387,0.20608550075737606,0.219733015135969,0.21903380886267884,0.28034048840324083,0.24863770762594062,0.2974702506526942,0.26943893792904083,0.24295934587667642,0.2537013884066035,0.24618677693094426,0.25920335408035183,0.24551914007484704,0.2594685429299261,0.2559483367539375,0.2744036766961528,0.2638137771156363,0.2685646375979589,0.2603165620996455,0.23585556256076423,0.1955291663150259,0.2226593770587237,0.22528143421517027,0.27278942358571595,0.22403693626856983,0.19078891961947092,0.18908653361157293,0.20662725095137496,0.2043965777277605,0.15240796706216678,0.1449179788433388,0.13527125368913856,0.1558674204926644,0.14437883039890345,0.1706001606822088,0.17370931158798444,0.16141566182355443,0.12196582508958864,0.10161206372672466,0.0924409658311093,0.06581042781189445
