Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
IN,0.06203193253132188,0.07087672110554707,0.07447813372269534,0.06729269505855673,0.061964323346630844,0.06102279325693995,0.07071125940664745,0.06828995587450028,0.10079071184288671,0.10411841884070175,0.0725339363058621,0.0721318443225152,0.07468379872146311,0.07047201144254482,0.08835931215502488,0.07299923489866433,0.08451359778773972,0.09966503028286587,0.0992163641022253,0.10515341521666312,0.11077561197932394,0.11093383920139144,0.1136510685312598,0.10085412683307377,0.11930741723975229,0.10768131650378023,0.11045551328744674,0.11108676847333465,0.11588158350618413,0.07760177918103063,0.07918728774040835,0.0589658094599079,0.06605193005871626,0.10731621882085939,0.09539498707981331,0.10726444075953935,0.0916858074518145,0.149467336044382,0.1296242126325302,0.1368174479739263,0.1516153260282368,0.17452709654551496,0.15402807038431493,0.16562553940852778,0.15212747773474428,0.18775567155389805,0.20813935572851847,0.215323012769389,0.2517331516852389
CZ,0.0029025286208621826,0.002285171793266973,0.0011625026857721337,0.0016034564926445897,0.0013524409979223649,0.0019879014243535673,0.0013123970687120567,0.0013255417928875015,0.0010712178756293045,0.0009260787933629399,0.0012515248439513762,0.0012388900427540283,0.00032886102057551493,0.0003107293115342739,0.0003409316807904612,0.0008867861628540225,0.0016456299085716786,0.0003553465263568566,0.0011544341400856872,0.0019224385957582483,0.00036482230038622143,0.000381438172966366,0.00038806713637823745,0.0004191411221809592,0.00035978782683381434,0.0003881171172237735,0.0003708694176489366,0.00036604706186267545,0.002752496187782335,0.0004569624260535667,0.003346657355484314,0.0005811932785922867,0.0004233133863168917,0.00044014281190985394,0.0004533960500004613,0.0005573345320396217,0.0030042484599863703,,0.0033102166684985095,0.0005933404708933588,0.0026423653841579796,0.0004970454880824381,0.001600770601644027,,0.0010589795670532679,0.0009499536314533681,0.0009827082948884553,0.0012552517050016768,0.0009350088474063021
KR,0.16225596766486972,0.15274902252007225,0.1412467043980957,0.1290620203991986,0.1307945464279662,0.12568186692070032,0.13738250880121478,0.13761831007158967,0.1334345517345925,0.1392655545711735,0.15112379194630687,0.1725955247488924,0.17062686426174287,0.21764864257463215,0.1613741944874393,0.1714248070161995,0.1747727656682425,0.16148301048171124,0.15136032413861417,0.13393363144247278,0.14842811457057353,0.11680620785045559,0.1313428628230111,0.13802877728031263,0.1453118342783913,0.15261653449454185,0.14560656299110736,0.15362273290224226,0.14592929190190798,0.17050192113076337,0.20594576912735194,0.20823067540837803,0.2549242173556086,0.2639295176452318,0.24733406367137045,0.22060299934532282,0.23064641235668137,0.24399886548056526,0.23549229358654922,0.2185074124589988,0.20826994946674107,0.16765547596427444,0.17730560240608018,0.20627449900306954,0.19741943095212064,0.1974959182754752,0.19245687564312985,0.1843928563379111,0.1723855952795179
TW,0.29729705403357276,0.2454400868740719,0.22137589995613277,0.24450632624770757,0.278491385456467,0.23171650535099586,0.21454723608803408,0.20801325863115278,0.2027968048257942,0.17555337935742157,0.19675963075866867,0.1979847137007515,0.16938714005491984,0.16487384100231817,0.1633087914247995,0.17624692305655504,0.16814122483298785,0.1603301069636278,0.16913971777913592,0.16638729907156868,0.17344388223385598,0.16741251996094095,0.16608217314203533,0.15859677401297503,0.1723345967888802,0.16057786784060987,0.15673919781164328,0.16674178289650016,0.17519490678794725,0.25072639658595786,0.22542579392422205,0.2800404959841093,0.26202295652215646,0.24745286674840758,0.23297727740717383,0.24371392032432132,0.24443965410730223,0.24769560491693043,0.27077781841601356,0.25913045214999214,0.236160162200313,0.19774213710383304,0.19919057328143822,0.20675534526879374,0.16430209090797013,0.16607381043010033,0.17922829586409383,0.1837459880333768,0.18816664113495782
CN,0.10573247046985589,0.09583875297820812,0.11774021397720055,0.12382525297558286,0.13570594381577203,0.1655783465026612,0.19533307981207632,0.1900547319876672,0.17004394205063025,0.20480864582897126,0.22862340648458276,0.2221861684616254,0.28867266828118787,0.2755447360645573,0.31018324825474597,0.28590163083983894,0.26228962207050016,0.2738846762113388,0.2573004076084986,0.27762929225937427,0.2673192090163507,0.2804169661562089,0.27442933154639676,0.2918228500738079,0.2815263735665093,0.28343771631121695,0.27213896438657714,0.2516244087525849,0.221822709289007,0.16267711568513812,0.16014752669844393,0.2000709262952796,0.17173957265947706,0.13730122285583135,0.15751649985919267,0.13915025057723512,0.12839767530762874,0.08128567801461781,0.08402221185685754,0.10120633686547259,0.12452787782289393,0.1125640385714634,0.11456207787153938,0.11829012841436048,0.21100760497445073,0.1566204578940985,0.12840981618083624,0.11595495136443673,0.08277168853702489
RU,0.00263068470112608,0.00870589069278784,0.012967262268256058,0.014600576396974006,0.0117183516830761,0.013363766366235054,0.013978452689778167,0.012417273867151088,0.01675227606094608,0.009536047993477157,0.004668027824141312,0.008047856316232303,0.010687597788102575,0.007845294790245518,0.011944936740451715,0.010832255776760199,0.0076101539104640615,0.006042963729401257,0.00812401822374879,0.007996245894288202,0.011616045136375167,0.01151106592207904,0.01171652194053598,0.01316044897735384,0.015307397621198865,0.015590691216357897,0.019526279094520996,0.020771010536742237,0.025803470653040474,0.008241081648310465,0.010073814977088636,0.005678619342191407,0.007818062701052128,0.005038775124314984,0.00507734651937873,0.007350236519475909,0.005819672184330013,0.004275427033263077,0.006300676616697423,,,,,,,,,,
HU,0.0009024402549040062,0.003149679897465353,0.0007750916684809703,0.0023102689780256543,0.0008908431947540655,0.0020014421323174296,0.0011917746166142838,,0.0011682187320770602,0.0010789820004890854,,0.001182228832492053,0.0010683535024440685,0.0009133310943315272,0.0009841451241490004,,0.001141768295571005,,0.0011702732849556599,,0.0009651540761326831,,0.0008893640297034497,,0.0007702398328514333,0.0008227422746696333,0.0009343753505205919,0.0009577280444060339,0.0008455062421108119,0.0005255999587263311,0.0013404471276331827,0.0002800412627664653,0.0012453943943887377,0.0002642359816823206,0.001169681933486807,,0.001125080481005317,,0.0009842322657389237,,0.0007276633311420331,0.0005003568962313504,0.00043771091831363744,0.0003018058023471825,0.0005974509739160521,0.0008196247279722993,0.0006705622721592893,0.0008752790490630226,0.0011761783757508592
CL,0.012124475540459962,0.018947995415990248,0.019164710624902964,0.020394239458400548,0.01908869350692411,0.018831837490127564,0.015522368731711422,0.014429638701095673,0.01294813342048647,0.011459944762549691,0.011405126188294432,0.010690623444906644,0.008558127036954712,0.006018565765903812,0.007474028775915212,0.008213893443694702,0.008284084126184485,0.008896208390959299,0.00973791479532795,0.010659096839934448,0.010490470591907183,0.011964935926189763,0.012312636800655476,0.011809490563937241,0.011862137376307683,0.011608438728825924,0.01160301528535087,0.012435731086061445,0.01212367891529955,0.015446449284418441,0.011725231426884607,0.010960385556112626,0.011258278631783199,0.009361846604805943,0.008908099416800114,0.011918467535148506,0.008911758100529797,0.005498031987586825,0.005693913996478499,0.006494429275538428,0.005917454902000933,0.005734872912689675,0.008835938262578481,0.009285883987403282,0.00839275401022999,0.00742204207833497,0.01118886415804865,0.00940120757669335,0.008329339277109883
ZA,0.0685762668785241,0.07693658379155859,0.07850441530626237,0.06784828333604306,0.07022357475698753,0.06728129269151902,0.06205428714997836,0.060102939918901865,0.05837352775830728,0.05738562671386001,0.06667508124356367,0.06403804418893205,0.0517310581556983,0.0397501713645118,0.036772732263234326,0.040849471617927506,0.042890411940293395,0.04786273202886576,0.050819317853229025,0.05193214577559335,0.04589982303803754,0.04677568545641565,0.04901113463482428,0.049478615316206113,0.04039968984641402,0.040255992274571155,0.0373069512901601,0.036579322088097874,0.03578020445725862,0.05001405462017667,0.04159084660670569,0.029158200161545106,0.023180291277025877,0.02190783664649262,0.026984135227274043,0.030672506015652832,0.038690390578054554,0.042069437173377605,0.04562458824614974,0.049670205947417584,0.04562795607386765,0.03408640337742055,0.04319084765485047,0.03485423598263484,0.04019626886364932,0.0344550557696364,0.03045514848834784,0.029500964243613922,0.030487353345898385
TR,0.03116762976045991,0.02784371407940869,0.03061664997201209,0.029915465958267197,0.02570964850044003,0.020963339319292024,0.020151836307305587,0.015101241259499559,0.01948226909010535,0.013692487521622818,0.01752330165354912,0.014352071195819325,0.011862003948986472,0.007765791555336784,0.008385111616264956,0.010405183782679545,0.009743531766111821,0.010427166195729197,0.009339418223929715,0.008405999962487256,0.01063685552957121,0.00914964950767587,0.008228113224979905,0.010092084961871996,0.008228326597579898,0.011481055811405546,0.008356624277290723,0.00872084775899769,0.012726361839729796,0.016692310633997058,0.01211053359772596,0.010627807283228308,0.010044431726807685,0.008764322012904566,0.009209163501304147,0.010129578807670627,0.009177168321481263,0.010929067967630674,0.0065938560010758585,0.005568821982918477,0.010132989301550698,0.011297892661694748,0.033378083627671244,0.027000212143512045,0.021038439891625373,0.022760773649341166,0.02661194222978914,0.023866934483204188,0.029637580405303808
MY,0.060626393288065024,0.06211764033717267,0.05274208326056305,0.0448167026022385,0.059579950142193916,0.04590451906596779,0.041229713295786376,0.04408483593355746,0.043251205226340024,0.04672833139746139,0.04456612534365647,0.04020107919295729,0.0321291547570469,0.03377157119695464,0.03608604265755259,0.03525226746734833,0.031729243201022043,0.031266323783464896,0.04228047608464334,0.02758015441647172,0.02997203818599064,0.02619284198303855,0.030103507319866843,0.026876936219112146,0.02627627069551539,0.030117585498977875,0.026736886971223957,0.026320969851441084,0.026889431836688345,0.03343282156603696,0.041953526483615264,0.032369988856382204,0.027541300335001136,0.033524845253405405,0.03227571398129699,0.03522214271670032,0.0314247691848711,0.03448109583961632,0.03443644626495568,0.0339126055750012,0.03256017624499512,0.03235792346863471,0.033736250469113084,0.035550978951369896,0.024316168347847732,0.027774819332676254,0.029707777923964764,0.029565095254687656,0.03208774827405894
PL,0.016329736977311694,0.01759663636216646,0.021689838103204757,0.017685850647800525,0.020051050354187923,0.017501776848213885,0.020101872995490315,0.020119213927934636,0.01859669819293403,0.022580928629420984,0.025453325281680626,0.023804338838683648,0.021098433395661434,0.01772081457176434,0.017852767287068343,0.017306461611675795,0.01741227719834323,0.0173347702376563,0.01666525531870106,0.018490852095403198,0.017758352382860807,0.01626663970855831,0.014500550823722312,0.013563492621601987,0.011259721495557054,0.01127194863077044,0.011224184521709979,0.011722451100304418,0.011634638095875843,0.011906490129789532,0.021630856192109634,0.01625694284685586,0.014711529552439878,0.015230787772401416,0.015602368824840823,0.015891785958965794,0.020344408773528125,0.02393891805425819,0.021539736645858138,0.01722332909751978,0.01764723617985871,0.01336087989332153,0.013577202913021365,0.016185891449053885,0.014734023559840844,0.014797868831277906,0.01655297293663993,0.01869887916354578,0.01632471253979212
MX,0.013380520633796128,0.026844706682253066,0.026417188284314424,0.0311521978843424,0.020162175397859496,0.03719261952394861,0.041940959541130945,0.04859024698524346,0.0500023239089209,0.05526874623789924,0.0232183137225647,0.025549989101111743,0.027908306304202442,0.026779174393765533,0.028720161535771352,0.030223916865999602,0.027791940722135904,0.02800654794262384,0.02800860370494482,0.028503200181448047,0.029929641181023533,0.030387923349866168,0.02497601155764592,0.025435096414293593,0.024920040226675606,0.03114179066606871,0.031046333828060234,0.027552756010434467,0.027858598810733895,0.030031917095016125,0.02629555342539216,0.01993515237333107,0.019072571716010317,0.02006360684522511,0.02501557678658141,0.028027840347522114,0.017855801176106585,0.015393392604351248,0.018761186772112814,0.019050112207904365,0.015116012448412026,0.01960387697486005,0.017251309644703446,0.01283008308993469,0.015719571132775875,0.016856117816481615,0.018661873910492496,0.022578910814585483,0.01852072191256095
TH,0.03960571506021186,0.036181720102123706,0.03904556203923841,0.04387694854188713,0.030333763203334554,0.04816498422670109,0.03149079498090333,0.0426580649084869,0.03645435895427216,0.03265519889485293,0.036562050107510104,0.03804760585575444,0.030770929848983712,0.039956686508629484,0.03391405431137119,0.03734329681349542,0.05076407959364031,0.03011981226943874,0.035744650333469775,0.040632604169960104,0.03109231518035728,0.029584948634708237,0.027023748775462958,0.02763268278440506,0.025200461189331547,0.03254919065003572,0.029232488482404985,0.027694848665742594,0.032286469612663876,0.04040835277022241,0.031432324399984946,0.02939165370640654,0.03271808362975388,0.03124215754660065,0.03373710501577633,0.041346356247513795,0.04449171422281627,0.04543356526563764,0.045639022648583764,0.048309999937965885,0.04462131667531341,0.03164437198340743,0.04794972728596123,0.04385307043744131,0.033654006532668285,0.031964952812081664,0.02513445868978165,0.029381212540510824,0.024818925130845333
CO,0.0007506555115633905,0.005046402125585512,0.0078251564713035,0.004206940412408514,0.0011550047309382746,0.006034245660886622,0.0028592317423163666,0.0052466870953064735,0.0012610174830568039,0.0011171977473535132,0.0035238771057403634,0.0070917661954833944,0.0051011862086491845,0.003709761335963675,0.002966808278102645,0.00516493625810058,0.005989811382415064,0.005754932140402038,0.005969738673051195,0.006224900926059566,0.006232915229072823,0.0037706171501726477,0.0033863847197956763,0.005016313398879665,0.0054612896260368025,0.004369392011320703,0.002949653422798834,0.0039522769515580375,0.003890868180585423,,0.0035847340592811954,0.002485000947006885,0.002338486349697323,0.002465035539973292,0.0016991599342917106,0.002836524450375722,0.0027641493518893,0.0016588156289036068,0.0029240087518267953,0.0028646248227969925,0.002919137166334403,0.0012412618527619186,0.0012372752342979206,0.0012512323620701461,0.0009692222820850924,0.000516464800725712,0.0007392314853619201,0.0009631709542778773,0.0008495802751047128
