Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
PH,0.016044856505914234,0.015245242221783062,0.017773788041308632,0.020183101084899575,0.016564959756388723,0.01634042853021012,0.01364303526508411,0.01657886192380177,0.016694089528534614,0.018622215749580347,0.01992988483870245,0.02007266115861004,0.014616938937155849,0.012314771059231086,0.009826231658443386,0.01170506683360746,0.012877384230560986,0.014685159415851001,0.017734637790820174,0.014536320212088557,0.011888517065220075,0.01424854517624871,0.012175743841187107,0.009611242142864612,0.00827226925721424,0.00844366841904359,0.00842814936515797,0.011878848235010581,0.01389730011210733,0.014338089327081943,0.010325061613815058,0.007685732562023932,0.008127985696425274,0.007231242634358149,0.009065047525056744,0.00827532188180444,0.008566578560266921,0.008040591673130447,0.007128113910298714,0.006969126039558958,0.006817270675327669,0.007351394052710047,0.007378477551003304,0.008389875722155363,0.006812085172971091,0.005683293312852304,0.005500949850548505,0.005521176217181529,0.004685133197168959
CN,0.1057324704698559,0.0903608417031621,0.11753812936482377,0.13157090185986975,0.1397662025290665,0.17216963388755324,0.19538276316616074,0.1921262090670802,0.1737813207324179,0.2099399675882778,0.23110012496980586,0.22946115893413513,0.2919040008409911,0.25695040500717675,0.30516728063175697,0.2760915991229912,0.24921611632031918,0.2608234262773242,0.25250910927907255,0.26612271522629927,0.2509317426286144,0.2646199750816885,0.26167915881904225,0.2807608553185829,0.2699782165385474,0.27675533787418344,0.2685836360737145,0.24286710703498796,0.20043721157104916,0.22669088859466596,0.22073722369822557,0.2678410779740028,0.21818512201382295,0.18626340421220752,0.18442729888834467,0.20203857808960815,0.19986934622079397,0.14883656249047486,0.14187286627183757,0.13294201649354165,0.1560640244080274,0.1444516142288684,0.1703434289221687,0.1734517698048595,0.16109236256117057,0.1216742349131727,0.10133831084639192,0.09232309255354454,0.0657043042583281
PL,0.016329736977311694,0.01646670890443687,0.020197065927945693,0.018983991330664005,0.020005372143936183,0.017829457498596754,0.019755221907113603,0.020249143991109705,0.018701771145154845,0.023146676281100943,0.023255187908428187,0.02186892829211485,0.019957354667496374,0.017923324986680367,0.01538059798277953,0.0177407666206096,0.017449505708507045,0.015923626303358106,0.0153988434713875,0.016886910563528795,0.016719668565451762,0.01510675356116211,0.012896929872845936,0.011869013310958918,0.009688277291404932,0.009629609836325607,0.009869141356630227,0.010295421686289184,0.010698641366094183,0.01024290034917258,0.011894843390420547,0.01170433895154557,0.012411532870041805,0.01065538291261014,0.016928006871488196,0.014539328806464573,0.01408514213833974,0.019038107802406137,0.017737815402287128,0.01086684084973221,0.011570069883541858,0.013071479739924086,0.010523951010099224,0.011062411268553164,0.011735101206270178,0.011103041192592913,0.013252302948383192,0.014821543965485112,0.01449621961290177
TR,0.031167629760459923,0.026055794137439605,0.029482430233132486,0.030357191750478865,0.025711261016595165,0.021355829791654735,0.019804323615812424,0.014444595500510561,0.018668645758012622,0.013393951574861363,0.01600999744511372,0.01318517678443768,0.011220464355701705,0.007554228390560323,0.008389300548976906,0.00928258575039763,0.008212092441441379,0.009667411560839043,0.008530163165599989,0.0077617188348341,0.010035509551434587,0.008497642719271632,0.0074413854539347665,0.009673457626373332,0.007912691473001283,0.01196284273585754,0.008750972832227413,0.00919237549811703,0.009191965982528959,0.010311114879750881,0.010422244998889793,0.010435466499242629,0.00949288865201749,0.010680576029362333,0.01133073170832237,0.007417434458607225,0.010371492822047823,0.009799851958881356,0.010102214194386476,0.006703289528976079,0.01033796529858371,0.011809733842230153,0.021335173210587,0.018171635130431286,0.016821143154761756,0.0191594218848595,0.023350700570984737,0.021132991433975845,0.022919891111536462
BR,0.051939256536115946,0.07464971565893312,0.07606127839392446,0.08485420528792781,0.07649269572478772,0.0754257755828,0.0630400527917758,0.06051497224815367,0.06459045168742249,0.05336196762546644,0.04836577537821899,0.03464380349646969,0.037373135392787506,0.041668343381701375,0.0448281431556409,0.053933350398907974,0.061394475383955725,0.07277422910179066,0.06795538403272477,0.0753947054849666,0.0710086969115052,0.09242447924959382,0.08250748399852316,0.08687596709006541,0.06724115866426936,0.06925501437069065,0.08479851224541715,0.08586153393928604,0.09366820289712871,0.09710794482333698,0.09922129275620922,0.07357123796681816,0.07292549925237028,0.07151094930613107,0.06847613875582959,0.06264002426294783,0.07239415246823949,0.053634623557797474,0.0420793838287534,0.050563353734823006,0.05264701080774158,0.05796534862183503,0.04278173485865507,0.04056071516831043,0.05151326098595004,0.053332112597822987,0.05391758360234948,0.050624829762534206,0.039031245113096816
KR,0.16225596766486972,0.1429405960040892,0.13375672522057624,0.13209374169094698,0.13110817634740635,0.12803497176548692,0.13501338647064645,0.13850705034671634,0.13418846848548877,0.14275474501819035,0.13807281132241622,0.15856265447455645,0.16139875326357656,0.2201358937523477,0.16838335588406086,0.17572670615729366,0.1751464404960048,0.16533815157259463,0.1570097550486837,0.14053448426752813,0.15700250287844478,0.12290897562024267,0.13908674660095124,0.1440558142027651,0.15157040211070244,0.15902088022567248,0.15357092707069345,0.16281701483897928,0.1568318338393414,0.1335910868188085,0.1712932422494537,0.16048755651674224,0.20217178096273558,0.20923306756021745,0.215690074343942,0.18802843362152755,0.19165368888585166,0.2075573980763197,0.19706454448949337,0.19238107205233673,0.17663770054287778,0.15219464159267773,0.16092258904601103,0.16194785577994777,0.16316480516014942,0.16472286684695905,0.16574219067553947,0.1578690854381838,0.15202974066612784
ID,0.04775890114216201,0.04260607934935705,0.04261916053787385,0.047539632642912416,0.044016065957355084,0.03471653010032682,0.02603658743375662,0.03567232247194152,0.029199202834864157,0.02855609636588474,0.031068747514601355,0.030629258166663786,0.022954218192711356,0.020474579306041983,0.018067897004570302,0.022532734472382198,0.022868289460068233,0.025135658817246515,0.02693559615704761,0.023032428918285452,0.02219572174484749,0.021701271015496553,0.019481918172853545,0.02058996088862548,0.02048048862541223,0.019912249295209593,0.022311529869058957,0.024368623464933434,0.026557612330011464,0.027536927780970586,0.021551144648530463,0.01352932514704823,0.014484422418820123,0.012300513193014473,0.015785992652997634,0.016540750314557803,0.013403217908618974,0.015176274778842005,0.016689324859884874,0.019315151091256887,0.021676138276172947,0.023204118413469546,0.020003492103466688,0.019971912884681642,0.0183302846117621,0.01862106343283738,0.016207850375638138,0.017233872180950835,0.01714577474544544
TH,0.03960571506021185,0.03385839431588561,0.03683297017167517,0.04440186632857554,0.030005372618426136,0.037360902375358475,0.028754297409312526,0.03952052487986385,0.036660329233345605,0.033473349573821656,0.033404568407392546,0.0318976731256326,0.036565351014983906,0.029716453009956338,0.03035093078468116,0.035368686523174354,0.03787215376943048,0.030148349749042198,0.0367714543980914,0.040152449276866536,0.0316231525223841,0.028173467899565346,0.028064615880487153,0.028590376191707585,0.02892861047691296,0.03362446292139459,0.03171746165760979,0.030145124727872678,0.0351491490018208,0.03371628856665185,0.029266893002666338,0.025325081919599594,0.02770033707841889,0.02428528585725712,0.02388809301297584,0.02472264631386235,0.023453160850639445,0.02748159499594449,0.027967541545697444,0.02830580377658022,0.03416143428456139,0.02952162904123088,0.029058463224461813,0.030065555380578445,0.023070541034163342,0.030028921634571763,0.02204555511807713,0.025166017823326108,0.02225134215614092
CO,0.0007506555115633905,0.0047223590410387555,0.007286601236735642,0.004228643009583621,0.0012436533444968871,0.006147223077972769,0.0028099251032973273,0.005280570247411463,0.0012681423408338248,0.0011451882703475,0.003219556712268966,0.004151570012755359,0.004825295816128595,0.003752155849169771,0.0030956692655740533,0.005294550140940938,0.0060026179643106695,0.005892321673229838,0.006192555493618301,0.006531692091362348,0.006592977981461313,0.003967620385186844,0.0035860436059646774,0.005235351100041372,0.005696506886531681,0.00455274761671442,0.003088847375553869,0.004165972714497927,0.004163215762981069,0.004985111946075723,0.004788647074346089,0.0027271186522487174,0.002485308354108009,0.0017245265290349993,0.0018394371190381654,0.0015283076869317582,0.003232968783708251,0.0014244479683259473,0.0014415480468771599,0.0021747418902641085,0.0023115217453361743,0.0011747423204905778,0.0009621579527242274,0.000812061664459466,0.0008098471361543732,0.00042559227531606777,0.0006209850688798438,0.0008011535845291675,0.000733882461128896
EG,0.00794251388890315,0.007342339291367957,0.012113650229036672,0.00979570057079633,0.005573274740212341,0.007575705907796769,0.007275343962290062,0.008869833907328387,0.01362442923804254,0.014315291347764875,0.009915705343279834,0.016134950403588016,0.00917802047585595,0.006128449983127391,0.008050755669177933,0.005909970918165767,0.005238106842792056,0.004279842761590514,0.005118980513802378,0.004570904845317045,0.004492676941884731,0.002656557326317453,0.004477187904321161,0.003856558915498623,0.006140477906133172,0.003570477344615906,0.003249973381095828,0.003279610493206409,0.003603405868854377,0.005222164728108951,0.005035425845258702,0.003818477218629265,0.003030504283773738,0.003177568749264588,0.0031695769942344976,0.002199768242836286,0.0028750934491722584,0.0021091840959285343,0.003454934518240215,0.0026516445388252217,0.003207846301196854,0.0028104849841524924,0.003543568885004028,0.0026458495201453778,0.0028704882620206656,0.003909800297271931,0.005281186343695781,0.0018887305646715711,0.0017271762600724024
