Country ,2012-06-18            ,2012-09-24            ,2012-12-24            ,2013-03-18            ,2013-06-24            ,2013-09-23            ,2013-12-23            ,2014-03-24            ,2014-06-23            ,2014-09-22            ,2014-12-22            ,2015-03-23            ,2015-06-22            ,2015-09-21            ,2015-12-21            ,2016-03-21            ,2016-06-20            ,2016-09-19            ,2016-12-19            ,2017-03-20            ,2017-06-19            ,2017-09-18            ,2017-12-18            ,2018-03-19            ,2018-06-18            ,2018-09-24            ,2018-12-24            ,2019-03-18            ,2019-06-24            ,2019-09-23            ,2019-12-23            ,2020-03-23            ,2020-06-22            ,2020-09-21            ,2020-12-21            ,2021-03-22             ,2021-06-21            ,2021-09-20            ,2021-12-20            ,2022-03-21             ,2022-06-20            ,2022-09-19             ,2022-12-19            ,2023-03-20            ,2023-06-19            ,2023-09-18            ,2023-12-18            ,2024-03-18            ,2024-06-24
MX      ,0.04429511182152601   ,0.04779169748338694   ,0.052360219387113625  ,0.053866008557066504  ,0.05248737859498673   ,0.05369347784815513   ,0.052535393424410375  ,0.0490930542439819    ,0.048084943060991994  ,0.05023306781220948   ,0.04663903677269326   ,0.04662871539085756   ,0.04443686385375501   ,0.042125706666478704  ,0.0434573601995565    ,0.043543311767676215  ,0.041516878644446954  ,0.03450426198863998   ,0.03604884710953248   ,0.034947268511220306  ,0.036198486323113635  ,0.033831828189087504  ,0.029326384986716914  ,0.027267417494575247  ,0.024281192537486552  ,0.031076134385570386  ,0.02844153484278958   ,0.0267064615048861    ,0.02743202299081133   ,0.027190585785845652  ,0.025584994991390747  ,0.021217821912052254  ,0.01968602813716418   ,0.01709879318825289   ,0.019165898696945093  ,0.01816051472944104    ,0.019440419203270005  ,0.018450738788168754  ,0.01875928174308507   ,0.023374958537902973   ,0.021843112724838507  ,0.02205662215051914    ,0.02306629046449723   ,0.025318231689742392  ,0.025690832341927428  ,0.0247062926374333    ,0.02699466319298429   ,0.027000994067203073  ,0.022017588422955807
CO      ,0.003428793536156963  ,0.011053352283498028  ,0.011708594552526045  ,0.011113235729187536  ,0.013496891750396615  ,0.013184897950213192  ,0.010060426078974533  ,0.01005450180677899   ,0.010360941212917325  ,0.009143454901145858  ,0.007185998106443613  ,0.006176199204293505  ,0.006266288678836621  ,0.0059919038056355034 ,0.004963468306130753  ,0.006686916933929144  ,0.006490968118404276  ,0.005775022132305794  ,0.006744563784948384  ,0.005436996225239824  ,0.0057042693434586865 ,0.004626502670782464  ,0.004251515144664055  ,0.004425020696431696  ,0.00506970045561411   ,0.005417453914362411  ,0.004506800345090705  ,0.005456555707919806  ,0.004747061778351423  ,0.004603503106904039  ,0.00451998844599931   ,0.0027253901072433577 ,0.0031004814105008707 ,0.002643973579999055  ,0.0030133876147574686 ,0.002372485106594644   ,0.002010758834099055  ,0.0019478017366932501 ,0.0020560274501885134 ,0.002311270720072142   ,0.0023001182912495326 ,0.0020834391967045934  ,0.0014487418928318925 ,0.001053789484507972  ,0.0007519253342952377 ,0.0007806862535695913 ,0.0008643249423960892 ,0.0011179898027986893 ,0.0013761190865381203
TR      ,0.01586803787312415   ,0.01666930845277029   ,0.018488181457266335  ,0.021208445108655185  ,0.018772444124474777  ,0.016953429749022     ,0.015087709686592253  ,0.013732191463584993  ,0.01628794335412558   ,0.014850710352149327  ,0.01712374112355409   ,0.014810199093331734  ,0.014257537074070188  ,0.01257139021764894   ,0.014084045381166735  ,0.015998954318796183  ,0.014692205661086023  ,0.012944610977384358  ,0.011927320692605556  ,0.011172281318895059  ,0.011954297188629691  ,0.011562772751761798  ,0.010205355745031217  ,0.00976542991109605   ,0.006921891569467594  ,0.005967284866296194  ,0.007468300723683527  ,0.007374934003980426  ,0.006405682327432033  ,0.006756420679115215  ,0.006457035951851112  ,0.006564954811754147  ,0.006138119355189025  ,0.004401327732646722  ,0.004715416941998496  ,0.004065968937693453   ,0.0034905484973005428 ,0.003957345334817886  ,0.0029766628912740395 ,0.0039651822284283225  ,0.003299259683130796  ,0.0036389520493562985  ,0.006533668485967767  ,0.007740141555794893  ,0.005993645065829067  ,0.008069587620695155  ,0.007816746082509325  ,0.007120748197072864  ,0.009320864947687335
BR      ,0.15464807263404656   ,0.15748338646920879   ,0.14378978180045904   ,0.14761553061980495   ,0.12749466948158628   ,0.126580888239417     ,0.1058912912801107    ,0.10632136871238146   ,0.11400239826591049   ,0.10895946623256894   ,0.09856408880111747   ,0.07857724923613081   ,0.08283708877208151   ,0.058749958269276675  ,0.054656279659093546  ,0.06701712201421046   ,0.07073443586645196   ,0.07583813408237221   ,0.0760077444881292    ,0.07723307242856323   ,0.06687778569233493   ,0.07608885387805023   ,0.06860227420824473   ,0.07256632657590065   ,0.055337225723819466  ,0.05999406937775627   ,0.07471094362229605   ,0.08091993555378918   ,0.08307977061073447   ,0.0808769664498498    ,0.08357399846310798   ,0.054882967617343514  ,0.058570119756444924  ,0.053962713656481164  ,0.05986257976985751   ,0.052315316145795265   ,0.06311649612274844   ,0.05069786552392813   ,0.04508494976310883   ,0.06074918346787179    ,0.055039096620890036  ,0.058053784912876036   ,0.05162827775711904   ,0.050326260805703266  ,0.05666389985464809   ,0.05766985274202324   ,0.059633610062999436  ,0.053901820995307215  ,0.04438960000468222
EG      ,0.0029532097769735667 ,0.0035219447775012413 ,0.0030661258485274174 ,0.002693679350090064  ,0.002410261681233263  ,0.0018293186064345696 ,0.002156546827459536  ,0.0029726399980939677 ,0.002690619960351189  ,0.0035073544667533147 ,0.0032659800535479425 ,0.003188160591249452  ,0.002563412099367171  ,0.0023278851204730686 ,0.0021406289959048763 ,0.002007563068307457  ,0.0021251059183085004 ,0.002184440644691727  ,0.0015454806095959058 ,0.001433515313209339  ,0.0014180907978431753 ,0.0011641577369819129 ,0.001361181740077374  ,0.0014534955101439399 ,0.0015350536927346194 ,0.0015624173355738517 ,0.0013054527105341737 ,0.0012871138607343773 ,0.0015785726805141896 ,0.0017529206558296547 ,0.0016761709682276418 ,0.0016834082665719665 ,0.0011600105841651951 ,0.0010714105831939398 ,0.0009257065405447421 ,0.0008239871708771712  ,0.0008282804726276386 ,0.0007943505633338978 ,0.0009835558363313491 ,0.0009420124469254339  ,0.0005640202376375085 ,0.00047448365898580954 ,0.0006178706062951845 ,0.000567708274338614  ,0.0005439608678324701 ,0.0006360901662598611 ,0.001037587826663795  ,0.0008596592587583247 ,0.00060345219714105
CN      ,0.1646149818173697    ,0.14878054236905147   ,0.16413836952948313   ,0.1594458209654121    ,0.15967756252643459   ,0.1879959176139303    ,0.1854350345808554    ,0.18280472400298753   ,0.16948927162638086   ,0.18150604088579256   ,0.20494842790458595   ,0.21592421420116042   ,0.24009960247140316   ,0.25582159351457595   ,0.29165669225710594   ,0.26471387150757936   ,0.2591463193211141    ,0.271674732023996     ,0.23276210957170304   ,0.269373554242852     ,0.2775106558974054    ,0.293056938394        ,0.31761632542357693   ,0.33122706275295166   ,0.3577582834464078    ,0.32449768055129746   ,0.3067906291920019    ,0.3210620299045293    ,0.31295741074337674   ,0.32988724269190656   ,0.3354653176191512    ,0.4120154824327007    ,0.3994176223982445    ,0.39686328438869845   ,0.3778324977852082    ,0.3768255852843471     ,0.35043936037308854   ,0.3030329980214541    ,0.30089670624956055   ,0.2884525638291261     ,0.3295453243314102    ,0.2577709292756715     ,0.2731213343726526    ,0.26760824058756666   ,0.27141807747154223   ,0.26702527351249766   ,0.24120605792570904   ,0.21902305208845466   ,0.22247497777979508
IN      ,0.05548661979689399   ,0.06354579957853958   ,0.06184475362737448   ,0.06677820781910133   ,0.06609072128957806   ,0.055444736084957175  ,0.06082798936415418   ,0.062062230447867135  ,0.06690327863310706   ,0.06973396922123477   ,0.07281683158949961   ,0.07333483460052194   ,0.07457787867098573   ,0.07518284049775963   ,0.0795422213889897    ,0.07428914634575919   ,0.07742547239208343   ,0.0876374224142718    ,0.08747187835199127   ,0.08779298570002703   ,0.08458357682041998   ,0.08913522328554019   ,0.08439536090057478   ,0.07790624735417517   ,0.09198476596890165   ,0.08474495399615613   ,0.08992893209706881   ,0.09044394095208276   ,0.09265694872377053   ,0.0893172171035444    ,0.08783185684353283   ,0.07487197412259225   ,0.0780414512729411    ,0.09504025240827649   ,0.09445394943985438   ,0.10222705966714672    ,0.10689839526945855   ,0.1513327316756344    ,0.1474501656117257    ,0.17070213581988491    ,0.16503675100112525   ,0.20070384920648343    ,0.19104353561072931   ,0.17262266771598103   ,0.1753058616082983    ,0.18573702403069714   ,0.19810233221894472   ,0.2051474574334398    ,0.21680338005873045
MY      ,0.03272133341633324   ,0.03220399577086005   ,0.028742645110402646  ,0.028146894294602553  ,0.03349029316590609   ,0.030625042558860536  ,0.03070611813299823   ,0.0342421831201372    ,0.032675680028825836  ,0.03369372857268487   ,0.03272100378256531   ,0.031053382770328392  ,0.02876093282432808   ,0.02577449014298082   ,0.028440810017423015  ,0.03098982012127874   ,0.029402729307337838  ,0.02655589704019798   ,0.026325692332304564  ,0.024072960607332154  ,0.025170348680250747  ,0.022765428342211715  ,0.02273180016065499   ,0.0222906625099763    ,0.021180658898305595  ,0.0241773038978328    ,0.0243303149714391    ,0.020242549536591808  ,0.019358292875777113  ,0.018377120406943573  ,0.016654297453977108  ,0.01779173673275814   ,0.016674626256812028  ,0.015948458487360664  ,0.015248593203592868  ,0.013681160778876413   ,0.012712540170433557  ,0.013173641628227671  ,0.01378885584215446   ,0.015215446406540304   ,0.014163630036911751  ,0.013725598064001573   ,0.014537907927021037  ,0.01327568908507981   ,0.011238286596398658  ,0.012762504048148157  ,0.012558232000528247  ,0.013420882843184795  ,0.013440201164506206
TW      ,0.12474561218206674   ,0.12255568925346516   ,0.11677902930292353   ,0.11867940525386754   ,0.13620717271245536   ,0.12535103869188918   ,0.12187413777647266   ,0.12721978159534436   ,0.127853811767423     ,0.12709672497137262   ,0.13143595887362372   ,0.1401143446242288    ,0.13330177911152502   ,0.13240933517934753   ,0.11701767192482901   ,0.12428605571947954   ,0.1295493011644166    ,0.12130621621600673   ,0.13062423942999427   ,0.12229170320860636   ,0.12322097092885045   ,0.1237107742385373    ,0.11684346758332306   ,0.11904854562971974   ,0.12039216085387697   ,0.12764904051696035   ,0.11900425186885388   ,0.11798300264127755   ,0.1212451686416934    ,0.1253013178278174    ,0.1311856746827432    ,0.14409173415450305   ,0.1389115007324237    ,0.14256118411643245   ,0.1431660901977924    ,0.1497490745808371     ,0.15546003333987635   ,0.17249114985891956   ,0.18375491039656683   ,0.18662242481855917    ,0.1783278023403502    ,0.15429087288724383    ,0.1541650704485091    ,0.16832889214256824   ,0.16789079313361846   ,0.16052284156000357   ,0.16943076209219954   ,0.18900099299158438   ,0.20403183360872118
PH      ,0.007874388814860224  ,0.0084280205604525    ,0.010710645128477216  ,0.012802324393981332  ,0.01253088556326479   ,0.012081655907728268  ,0.01056765040498176   ,0.013103021310638022  ,0.013076768715514081  ,0.014493500719624993  ,0.015306697388632015  ,0.017494684385332818  ,0.016220927454668556  ,0.015535891554568372  ,0.016027256434453647  ,0.01625622218558761   ,0.01707434307954163   ,0.01581377324938926   ,0.015307661557953342  ,0.013557695701896364  ,0.013291973370136052  ,0.012097347566815415  ,0.011084427076284648  ,0.00989915456560681   ,0.009034239939382927  ,0.010308435891742705  ,0.011255838943075743  ,0.011565999816839772  ,0.010670916723952973  ,0.010230613678471247  ,0.008676574146330569  ,0.007149090559706591  ,0.00874959162038697   ,0.006928910263325216  ,0.0073499357503004166 ,0.006027312727370021   ,0.006446274976364712  ,0.005520247573354918  ,0.006869054431259467  ,0.006861234504333874   ,0.0056623212249511026 ,0.005909012266825295   ,0.005577714929376001  ,0.00735378865106248   ,0.0064233588640646416 ,0.005982240293694223  ,0.006200754113943338  ,0.006249107923170424  ,0.005155122080665265
