Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
ID,0.026695161337919375,0.025467306759559324,0.024851558228444946,0.02731071069179665,0.029034700762617823,0.022872972070655563,0.01993966608684668,0.025338499152010776,0.022287543665542024,0.024632374951420937,0.02515640125395217,0.02538843309826031,0.02177656953839959,0.0238846570914758,0.022403469281818456,0.025104077214613725,0.024324596420368307,0.025541940011677082,0.0252542418783672,0.0227050870714826,0.023119901218551606,0.020839163974609345,0.019419986627116134,0.018697804581493033,0.017598665149453338,0.018238641686403052,0.02167985573208388,0.020894060584290837,0.020921044323194284,0.020621923380124658,0.01964720755311891,0.013872974313454044,0.015245907362436232,0.013705393280996153,0.015071267783478141,0.0132351438115222,0.011938016825027072,0.013523014296380548,0.016172804920484098,0.01857399592056662,0.019962752965224557,0.021252819364645945,0.019379903087754318,0.019758406197031633,0.019659484941047974,0.01980077070333779,0.0187690222227406,0.018820115013036487,0.015603512052050341
PL,0.014762009877793282,0.013297893556315386,0.014268134102060587,0.013231451815011723,0.014465154778028625,0.013915998723668827,0.014688517482014406,0.015326850407652975,0.014539572654106232,0.01497843313214588,0.014458344290694234,0.013719235215299053,0.013289936077274404,0.012678589901999647,0.01137407913449853,0.01190245570956606,0.010730724524501866,0.010265081694448824,0.011314248771689506,0.01172892872862128,0.01221658394822376,0.012947769562527066,0.012548899813143407,0.011307985390216282,0.01087433263432336,0.012273636416471468,0.012735705000623283,0.011434064328117893,0.011529073832325869,0.0096292533570329,0.008689548789803497,0.007561228667416548,0.007641059317675593,0.006700698861741412,0.00561883614427329,0.005603237327189733,0.006718022642496001,0.0075278266502188775,0.007431015255000167,0.007949434270213471,0.00702873697518301,0.005180625785603083,0.0070048774620283406,0.007088949566446508,0.00854747970160471,0.0077382988306209195,0.010151214455054618,0.009966430057985814,0.01007279793411159
PH,0.007578345943338065,0.007443027837594096,0.009755777220955122,0.011170396319723143,0.010844857471239717,0.01084646193675741,0.009172714144948512,0.011431983645263051,0.0117498442058417,0.013142837351459512,0.013999632723899962,0.016015060643662895,0.015343579695784388,0.014924648668467893,0.015385666701519288,0.015635767869121207,0.016487946721914483,0.014565176954022629,0.014212852104091976,0.01243484070313637,0.012458631664096734,0.011046147053078425,0.01034344467408739,0.009127796920455799,0.008443697162210093,0.009638209950965055,0.011023599581094772,0.010382220632524307,0.009812960867124756,0.009267025582784397,0.008122231332485711,0.006811878005674627,0.008377576537687618,0.006555273542302843,0.006870815563175249,0.00568860943622875,0.005900226552272827,0.005117829654205764,0.006095522753426391,0.005905094708696023,0.005994598329725268,0.006296417965290627,0.006341510234735787,0.007788551868107752,0.006456589303237855,0.006110687059553668,0.0064682684630737244,0.006876083378777251,0.005578120690061621
TR,0.017585258521165197,0.01633434060222094,0.01823432884450264,0.020734018450104447,0.018339373402994734,0.017015274250610047,0.01534776951356957,0.014047879092674874,0.016486746369430767,0.01515422030150836,0.017404151645641186,0.015140708785170178,0.014718261988612234,0.01319768974644732,0.014358472473233458,0.016501036272951863,0.015122158760272973,0.013228542382986751,0.012305671699013995,0.011557263121959671,0.012370854390283625,0.011847659971700541,0.010609586339964193,0.009677485276561822,0.0068486658286792765,0.0051939921816162105,0.006971765064809303,0.0069893039019972535,0.005805279748354016,0.006063463150322467,0.005677659329269885,0.005751424580397828,0.005553312895130517,0.0038163277781989606,0.004339202781661729,0.003675344082994715,0.002813666492851986,0.00360006400587173,0.002271392299849274,0.0039163828861627495,0.0038722221919751426,0.005068029973412136,0.009015096029741028,0.008606778223275513,0.006159622415442586,0.009260029398590885,0.0078557005563416,0.007566572557856695,0.00924104667480819
BR,0.14845558795893918,0.15820598984597492,0.1438764801737382,0.14693778106931546,0.12729271192562,0.12697835593591336,0.10835838916660609,0.10922809932942149,0.11661315159378129,0.1121013803017108,0.1013908919084564,0.08110586891010195,0.08620005718821157,0.05881469800024168,0.054220040562113124,0.0669054796241618,0.06953692091589106,0.07316265719742956,0.07344836185465009,0.07450054373686336,0.06349498146536783,0.07158263807061704,0.06468173373042851,0.06882967328235466,0.05239463946236427,0.05819006435919455,0.07250903617061863,0.07823060369386653,0.07966445059240398,0.07683240003487778,0.07918939956415391,0.05106124129763826,0.05508948787868634,0.04958083226385214,0.05658654513335455,0.04895753362953133,0.05922156733474728,0.04742498349595141,0.043247480197502866,0.05909542063136256,0.05262450293796683,0.05666374369051366,0.05096821680384005,0.049872972167584906,0.055034092040498084,0.05532177206506484,0.056841612240509105,0.05151274363132733,0.04278871273856755
IN,0.0500896491889302,0.06111703298633573,0.059622889693108944,0.06481125567349319,0.06504289080090406,0.05549889642595634,0.061224416080735054,0.06286390619569107,0.06565139038409175,0.06783210575497121,0.06976937113296858,0.06984884752497723,0.071432688353224,0.07202367979954952,0.07584647486322635,0.07146626743809485,0.07475701036474605,0.08417345172354214,0.08339025895372378,0.0843200938991588,0.08018814482294219,0.08383218219780263,0.0794120022402911,0.0731721038349617,0.08730344788571247,0.08047399968237795,0.08558981581049124,0.08510349819389931,0.08676507425835484,0.08394175348721185,0.08194299371361123,0.06868806288852207,0.0729408187838111,0.08592903915669152,0.08577364479980058,0.0922309454367481,0.09809966008874861,0.14507746051266396,0.14127343554529118,0.16753593461169808,0.1605150110269559,0.20374155110890355,0.19479312200329746,0.1753264397858147,0.175933185541051,0.1857737957759897,0.1992362349797485,0.20453654923236567,0.21383912060427504
HU,0.0014259252288350876,0.0026061714503012806,0.0026024696169026857,0.0024268171228746627,0.0032329202256183853,0.0026263578038376685,0.0028263104157875913,0.0023925793299276626,0.002586539490969799,0.00215448603175149,0.0019322896326928868,0.002230289075411946,0.0024165003893709515,0.0025140639527595613,0.003112444610244698,0.003251128875855472,0.003445877156521201,0.00318342944157877,0.003598927502687214,0.002971888624313564,0.0033978727415579515,0.0033310283388004723,0.0032948292996008927,0.003204160107726021,0.0028247682157743347,0.0031287172034870107,0.0038741247831078525,0.00368531838513886,0.0032399657463967595,0.003214763788194075,0.003429534932367661,0.0028905423999520965,0.002774452659424767,0.002079979003546284,0.002440015306438288,0.0023527484353201454,0.002701228438751947,0.0030281544416014836,0.0027281748047610676,0.0022175222394771217,0.0019171283171598523,0.0018956106645024542,0.0021788883449015365,0.0020411341863300456,0.0023427335453378054,0.0025799111210426566,0.002716025472629217,0.002711138576820865,0.002552098696588999
RU,0.07893116023485947,0.08189349187000818,0.07711856007229102,0.07729518764921539,0.07552633708924147,0.07566510025319251,0.07625075833405169,0.061522039248505495,0.06699420119824938,0.06036970795475985,0.04482382772235724,0.04629784275889135,0.05232839614625554,0.03984662310246719,0.03627174287057021,0.039215768005804015,0.04113736928651469,0.03558037766162469,0.04967669740924644,0.03981849971192388,0.034851126509739636,0.03395216184785177,0.03154354553380379,0.03232075024718245,0.029821152320815808,0.03325052882830466,0.04704316790461378,0.0473254080696146,0.049623874258250975,0.052895140740222925,0.05290618960252624,0.04327176351330096,0.044232625188524506,0.042609745839852414,0.040711612970891986,0.041249009434076604,0.04480721625499487,0.04670365708657961,0.04151534935260872,,,,,,,,,,
CZ,0.0035901627489179997,0.003123154908945677,0.002832661979240856,0.002464190977397765,0.0024576528662461385,0.0023391081230142797,0.0023543754413967942,0.00269549138894231,0.002471785406000306,0.0024404786069101196,0.0019966271573932572,0.001948836301840348,0.0018065227392058123,0.0018563723120878914,0.001604229656883777,0.0017192669163088072,0.0016154800179696898,0.001372819626469336,0.0014207630913065663,0.00155373079901762,0.0013113691750851887,0.001651634426497144,0.0016293574537598547,0.0016587467144671875,0.0016358381382719522,0.001837407429199642,0.0017883235924828057,0.0017004345052034444,0.0016701833548191506,0.0014787940330495681,0.0010843207306170985,0.000978616481365885,0.0009623286804869367,0.0007772044640130644,0.0008315398557896782,0.0008397272327699015,0.0009697835577633593,0.0011438743321958238,0.0015288913667010008,0.0014167859158515752,0.0018272747411566285,0.0014173314397926248,0.001254922264263473,0.0018186100020946196,0.0015314974131036398,0.0013923831139827628,0.0013478798508827947,0.0012735766116703682,0.0012150533900985383
CN,0.184282468331305,0.1533962192669412,0.1670740302518111,0.16160516653681573,0.1624372894122925,0.1883142824996981,0.18317964625957178,0.18069313267606812,0.1680414982508038,0.17861526399126892,0.20378666759563824,0.21537310581846655,0.23569046514128428,0.2590950332701147,0.29340219061662215,0.2664155819892513,0.26201412653348716,0.275677238087385,0.2343335079643992,0.27184512837473246,0.28099277450749477,0.29608452984312417,0.32241985712834953,0.33519873893079183,0.36377368061698623,0.32759226595002994,0.3095905487808488,0.33421479731559783,0.3296569626160409,0.34858440484236797,0.35271512265898414,0.43229806417899863,0.4206369616185668,0.42318039045265676,0.4031083399849873,0.4002084603685483,0.37559591404115533,0.322844302088046,0.31876107394137676,0.3057996815148656,0.3446579138376863,0.25547431880808036,0.2664371931379704,0.26289287091062746,0.274202756601922,0.2709466148502786,0.24655363510725914,0.22698429754150218,0.23464157179341213
EG,0.000396680152151789,0.00364705130280439,0.0027860833074074315,0.0024255186612648573,0.0022882034947410024,0.00154653720128274,0.0018458443699280699,0.0025471717845752194,0.0014936821405548046,0.002272357019054113,0.0025151278579310407,0.001962571770263659,0.00219120774387825,0.0019240150979144795,0.0016069614171945214,0.001709903864475775,0.001775585435258297,0.0019527419592855562,0.0013347183675744743,0.0012574190106328061,0.0012650118317763003,0.0010666419630787603,0.0010681779280530986,0.0014153897960944254,0.0011471118774335376,0.0014036978104620366,0.001111369448088098,0.0010733643407893655,0.0013048407039096775,0.0013995744876176344,0.0013790574444257017,0.0015817972501712824,0.0011868485637845615,0.0010813294624701683,0.0008581667391743113,0.000797810750665688,0.0006596848852192,0.0007479461633172113,0.0007982528887740541,0.000685753372228769,0.0005989003984670845,0.0005070316733955071,0.0006549817586686863,0.0006036312017857912,0.0005764586813213953,0.000673000080281874,0.0008487526948467391,0.0009035056615189917,0.000630511519164101
CL,0.01596321436785404,0.019528382776824515,0.018891036144821648,0.020412131651781646,0.01893699257645997,0.017567441158882712,0.015843230854099586,0.01544258222307129,0.014908011061004114,0.013764490645147894,0.013494163424594367,0.013494758602349822,0.013012227419975753,0.012422024188282565,0.013015666275537524,0.013985743647098571,0.013274245257685831,0.0121552885649686,0.014009939976109304,0.012935997938919929,0.01298208196124137,0.013039735695095048,0.013140252279939316,0.012072957650381482,0.011429633494669536,0.011838283294752403,0.011602038929838175,0.01133447376275654,0.011114647175656835,0.009748577103912486,0.007854173152371618,0.005896188374800411,0.0060195835699788465,0.004888101827778741,0.004583238766314347,0.005924451658306306,0.00528540917488672,0.004833499795026105,0.004235468689486986,0.005832753566522402,0.005430799199645143,0.005596334041738647,0.005132578801642094,0.005409921436172741,0.0055035578620260504,0.005246705714788728,0.00527897657763403,0.005220321723567947,0.004972894211319229
CO,0.0007135429744365238,0.011270764944293167,0.011553125623676882,0.011271631368747238,0.014162014198396742,0.01319493950960587,0.010429339439013242,0.010091153861744966,0.01107028957231895,0.009790452269480712,0.0073549818672889265,0.005981870378788394,0.005971868917360203,0.0055581656378684745,0.0045131382775420986,0.006152029181406379,0.006201112909210715,0.0054572173168962014,0.006410305667435192,0.004989458200161514,0.00524815185132762,0.004529257058166501,0.004177892843620527,0.004240716647312636,0.004892505068599806,0.005302766417588126,0.00459218239287565,0.005393108392078235,0.004624426647034853,0.004314563361958534,0.004258046927893808,0.0024957834669003176,0.002891716879410847,0.002576841435667923,0.002948406263984565,0.002441788508396007,0.0017876396424385712,0.0019960538837848862,0.0021212475049519077,0.002254846023537055,0.0022725584816874417,0.001037325906799824,0.0013944285146022905,0.0011204702163339787,0.0011678578053651747,0.0012816549485737555,0.0013297470896062665,0.0014035367512883954,0.0013125442925026388
MY,0.037433095494458335,0.03151987907926233,0.029227575234912435,0.028570942232696003,0.03447435927089288,0.031387983100304134,0.031166561200372804,0.03469212863759082,0.03339131426013769,0.0348586541154711,0.03396628553214666,0.03243254677215726,0.0298907869718503,0.025544910169884163,0.02898302814161341,0.03193822910941465,0.030310345695264918,0.02734635939516936,0.027301760211986263,0.024936957603940636,0.02565783268925958,0.02321510070487822,0.02318260806851031,0.02297919325047447,0.021359811415167004,0.02466730184853886,0.024799629153224742,0.019555151918217266,0.018466074354564828,0.01688157308035019,0.015204114680393331,0.01689339985601158,0.015895780272900298,0.015073485693634339,0.014477308546234092,0.012941585744595351,0.011110223212728653,0.012448111554735023,0.01334720578742068,0.013269951756490761,0.014737737871138544,0.01434719468341564,0.014717867558180947,0.013920732489294886,0.011811470669376063,0.013163459660083027,0.013072658048818376,0.013479683988353124,0.0134645535628784
TW,0.14332082047910782,0.12067756536507322,0.11721661935720526,0.11976197414324039,0.137216486721551,0.1265159253906012,0.11789142277074617,0.12750032275838158,0.1282887099845522,0.12763468274283327,0.13222167426038714,0.14139012150962615,0.1358886618996283,0.12948966129643194,0.11607997598298841,0.1241463441532624,0.12618945714070556,0.11974423043220125,0.12953385085818098,0.12106423941621655,0.12186004164730949,0.12271330842549157,0.11540550174089381,0.11794984974080043,0.11925733781425642,0.12735428772741983,0.11879987253755707,0.11625734337737886,0.11855960467037105,0.12149572944387974,0.1281466183667026,0.1387428169248315,0.13369265699153743,0.13715012939166785,0.13852146399208964,0.14576007042110464,0.15158689984792845,0.16883059097745248,0.17919659783072195,0.18220385030807915,0.1710361597075794,0.14906955361298668,0.14811446848255924,0.16295353597493167,0.16046554376921826,0.15403571113199088,0.16330955055286597,0.18214971113370063,0.19560301578510972
ZA,0.057474261369076005,0.06591962523629467,0.07072825037561728,0.061479631278859616,0.06041991295366296,0.06168900426916944,0.06291229529709409,0.06675442311040952,0.06699642358379934,0.06319798159960774,0.06681276885645013,0.06845674331890395,0.06476487860662761,0.0633450612789321,0.05416004366794871,0.05609429793640294,0.05641767669193315,0.05578958955361262,0.05598708487823137,0.05789052812042585,0.05376712383319069,0.05209982741469777,0.0586661562975045,0.058272983580588335,0.05135396414883332,0.052979879027327946,0.05296174244063455,0.049927966720889755,0.05178559836881198,0.0422996643744837,0.041605674292343596,0.03128724087726355,0.030113744879273808,0.026267787008989324,0.028984583591146983,0.029738196116088612,0.028983899576168363,0.025352024789805038,0.026853673977705675,0.03372548399775807,0.03050693898804561,0.02779274418655143,0.03012555554511866,0.028008275733812656,0.026561488168865784,0.02365065099204442,0.023648519729611572,0.02104156106641289,0.02329304138440738
