Country,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
TH,0.03680228698384102,0.05529874255597393,0.03230393627923717,0.02559856144788749,0.034291740464789805,0.02924099246355146,0.026117754010680564,0.024602726631859213,0.02301293894869731,0.036544345841598325,0.02997362469335231,0.030218701623615493,0.032123338506554744,0.035165334493057344,0.043343037980706496,0.038412520245455516,0.04065608784503402,0.0399707474515749,0.034715379832688714,0.02917119853153628,0.029175283781516858,0.02686600042453643,0.031610084143446994
PK,0.00430793379396795,0.004470800459017534,0.0041086566679407925,0.004200588465420933,0.005159815600731064,0.0037094407989836232,0.0037616526882824726,0.0033455588416626382,0.003414966524084591,0.0035731220516275575,0.003115303437662305,0.00284156395402944,0.002848219360335194,0.0025843860837634035,,,,,,,,,
TW,0.19424219186483097,0.2069831702361752,0.2187730024616407,0.18924035022492489,0.21295198430520132,0.20280612907516868,0.19068388355338053,0.18244257288757787,0.19732364184839815,0.21210783666316432,0.22996372326332779,0.22916226995398498,0.24850843618986523,0.2252123654542238,0.20923583231683976,0.18940468877435268,0.22512889098478406,0.22580131386759061,0.19242568813855232,0.19575732412621905,0.20293197664341947,0.21617536956020278,0.19084950750348562
TR,0.009900938891013508,0.010359232599871765,0.011580516435342235,0.010990889557854511,0.011382535236784189,0.014489060839256449,0.010853039550540722,0.010881636198725205,0.00806743386671457,0.011582967788475191,0.009681274856963252,0.009330957763858092,0.007702200815783131,0.00832192015953268,0.010420690795591681,0.0241228136000861,0.023845608679869654,0.017964351537921,0.023651789416566846,0.027357436168621123,0.02409242349047547,0.02688691501531427,0.024290260698817602
EG,0.005616781218895056,0.005205033130791692,0.004354739387580308,0.0033570899871682327,0.003832484980340394,0.00327850933422471,0.00305810445158296,0.0030040834460769794,0.0023210442451487095,0.002214863532212786,0.002744118062137548,0.0026787269572190416,0.00286754067059646,0.002238990463223166,0.0020850755786338236,0.0024632626031670917,0.0019122399973934712,0.002361110756497992,0.0025164825039629348,0.004618893174138509,0.0021951729428557297,0.0018401319875954566,0.0017264493171110782
MY,0.033681848968429774,0.0335306427387987,0.04164530885065358,0.026585871406968282,0.02307953588441545,0.0356780737174246,0.027796262481118723,0.02509967121745423,0.02367783159204533,0.03138343028658269,0.02938926630693784,0.026902452008773756,0.029679187610623402,0.03061021391520019,0.03295742021494016,0.03138031934865277,0.03353319326636836,0.028601822784749757,0.0278784482477708,0.02702072052403852,0.03471862099556015,0.02885663864996247,0.03145202560489246
CO,0.006039560165832098,0.006157023741178053,0.004918913569233713,0.004506855761837086,0.0028812742209852354,0.004522907868314734,0.0028562598698917523,0.0033277983191554793,0.002969632953472117,0.0047106212324819555,0.0025645473535316596,0.0024821796541289456,0.005021108911759382,0.005734031782016649,0.003867077399815757,0.0009319178738901594,0.0008571107023539221,0.0008764815670865883,0.0007965024465740988,0.0010051154085962406,0.0013874403671282765,0.0011237612413533787,0.0011234847046717885
IN,0.13168331522613425,0.13631126943044558,0.12466641766384527,0.1109622180426337,0.09626820205346723,0.08615307396284405,0.1404618978420069,0.1451391212572511,0.17349001587183954,0.18260100145537073,0.23277381688360568,0.20134827335384237,0.2462032066073373,0.22241544446930248,0.30765672127539445,0.27025191999818726,0.272426667208131,0.28039366787240444,0.29494326390040876,0.2940345180628393,0.29076079940285976,0.33142179139251315,0.32938826980941016
CZ,0.0004605837458540389,0.00044142127241653275,0.00040775359059654076,0.0011767521234336425,0.001441633761283082,0.0010833620562112113,0.0009409751469936359,0.0009752999485082472,0.0009036057471474252,0.000891528624001647,0.0003200618101440231,0.00027958047022817023,0.0003119096576190602,0.0005089819310426702,0.0005090597626744491,0.00047945025589178755,0.0005633499264102745,0.0005066450642826376,0.00027135993349973984,0.00024849600792407667,0.0003973565335888509,0.000409515022389344,0.0004275959905272258
PL,0.014749935188373501,0.01458277441753731,0.011804771448862758,0.010971609411770479,0.010457939951810276,0.011494287802755809,0.011313967685605502,0.017637371789721006,0.015773363031816347,0.014226429371283912,0.015225727174594087,0.012627732844266786,0.011385019477796859,0.011666171404463417,0.01783692743940157,0.01144467440057387,0.013364917364303576,0.014599926018926521,0.01467208429120936,0.014160462723821253,0.013699010444846671,0.015380684158438355,0.012622037455217673
BR,0.10073563409001793,0.10823719471059583,0.1153215381455435,0.10745626676976015,0.0771008667645215,0.07278818561724906,0.06852096187697913,0.06834075712533341,0.06832184038941959,0.08696476215861358,0.07234117839686363,0.05106433848143005,0.06597969354197741,0.05487419835963634,0.0631911930200392,0.04426319624059963,0.046393447711579994,0.058175798527090865,0.051044709318554676,0.053008382493551595,0.04759857692214581,0.03826484713401094,0.033812874103650664
PH,0.012745900657459418,0.01206429663980687,0.010876459556641021,0.008215466599468306,0.007095805337718811,0.012852538985182687,0.010335320204661408,0.011538426203090504,0.010608488094551246,0.011539838477940951,0.011028813289740824,0.010284129197946133,0.009133505167695366,0.013984410675209476,0.009601668381393412,0.008606338132079193,0.009135884210197445,0.008980349353491134,0.008354729031335538,0.008625281081634817,0.007126507361888808,0.006849802715404566,0.007612010169491049
RU,0.025503173428400396,0.025785499326822465,0.02574815251328096,0.02111979922991466,0.016577608217169987,0.021321606022751516,0.020188904368450812,0.018643565184236967,0.011637444267567675,0.015948047596547228,0.01716918002352911,0.01923776634761578,,,,,,,,,,,
ID,0.02854132897466589,0.030015304511672735,0.03359686970620369,0.022730266701128227,0.015086212911198658,0.019879397382049236,0.0178332158154855,0.022441334046445657,0.022279946138086048,0.01888077689361149,0.015950428681561987,0.015592840715663634,0.020041370257563734,0.022078602748346363,0.028706853024078344,0.02175338001644829,0.025899653745174063,0.024068714725451947,0.022961347529882617,0.020008976524016855,0.021812578038816238,0.01911605170062566,0.021385092100610903
HU,0.0012050744730946119,0.0010597516395196027,0.0014846298953511518,0.0011782969130831,0.0011243768641856868,0.000983099663491235,0.000769571521140368,0.0007549666150583578,0.0005742818460135592,0.0006006905846660321,0.0006051616170585034,0.0004973977926384664,0.00048265854196356047,0.0004029538894203914,0.0003146207102496066,0.00032968463044103446,0.000628705800424165,0.0005402834577315007,0.0009013422933131505,0.0008394713213754153,0.0009287696239994958,0.0009927966075099477,0.0009553869906703829
CL,0.011206514552284084,0.009873858430525118,0.013662445233465858,0.009759865206555736,0.009539131564056353,0.015459313158302727,0.011347590550415173,0.010311472287347691,0.008339109638197074,0.007609617374567816,0.007157321581405751,0.008826872493164557,0.008968310644892178,0.007410937096191611,0.008453706801635562,0.00763222200043319,0.00938937603544655,0.008574330055726732,0.006906074275359675,0.00789310070330884,0.007847567191033406,0.0074128898982592705,0.007119374865494444
MX,0.0329436149867694,0.03416360246942321,0.030999735958561557,0.02620903465310123,0.018434295868136562,0.017597957567458397,0.015890142753308367,0.018889592239254828,0.01951562068805046,0.01992845389672383,0.016173213580116873,0.02323196831735165,0.02568119910331524,0.02165940371588955,0.024023057365099534,0.02362747996660585,0.027731303604353663,0.02804369122760221,0.023439671695546754,0.02566730909716316,0.02741125819581985,0.022419452851629777,0.020750584669753075
CN,0.05867176621634527,0.03267817176357098,0.07211043588382127,0.2119729710661398,0.2795624381874201,0.23951094801110204,0.22515041983741346,0.21189631729827116,0.17990929972017985,0.09365969205553207,0.03537572331939518,0.12767158232357986,0.04716012295555522,0.13359811000566657,0.03695217490964287,0.13039429108592535,0.05158834433817871,0.028853399805616894,0.0874837251132293,0.0763177278884985,0.07646068802034219,0.03961007316510709,0.06837556091420192
KR,0.22772517175840024,0.20774759383397967,0.17592384679923725,0.1501535288883916,0.13842546465850955,0.15533772759371925,0.17145864689578674,0.1757178245445491,0.1825708666121502,0.19512183754164308,0.2202120930708545,0.1855262767268214,0.192105451820063,0.16191676791794024,0.1613465547396728,0.15085162082184236,0.16848069079134392,0.16846201395923105,0.15258884312516907,0.15280787459668088,0.14598049101926738,0.1429024401329799,0.13088274066249195
GR,0.008504423562695188,0.010562567939514284,0.011065788945805764,0.009504150244083487,0.006848192177478147,0.01288274307160633,0.009838591848226545,0.010069837509703231,0.005638570150465425,0.006188006267429158,0.012559087006173308,0.008161909391363761,0.00757068513633509,0.004400332508193935,0.008291686678279165,0.004838454255912695,0.006790339547774981,0.007878920665731981,0.006191758362255351,0.006608529545867383,0.004965539889721661,0.0052262418416522075,0.005201466853939399
ZA,0.0547320212526954,0.0544720481523628,0.05464608100715514,0.04410956729847449,0.028458460989796576,0.03893064500835218,0.030822837048048658,0.03494006640871708,0.03965005782595476,0.04372213030592595,0.0356763355910435,0.03203247962847744,0.03622683502236819,0.035216442927679496,0.031206641605911477,0.02796371006260023,0.029604494313489414,0.04152253030862938,0.027887378276522577,0.025962724211798578,0.024294120844815057,0.024538720324783686,0.02635963668601653
KW,,,,,,,,,,,,,,,,0.010848055686854426,0.012069693927388414,0.011691307206436461,0.010666745258172619,0.010149195610752879,0.010819639058110144,0.010617706906253936,0.011134533242715173
SA,,,,,,,,,,,,,,,,,,0.0021325937862257663,0.009702677009425018,0.018737262197616754,0.022030321795448712,0.02544305965211283,0.03128852417597273
QA,,,,,,,,,,,,,,,,,,,,,0.0025438149741916554,0.003915153263075396,0.004670876712755994
AE,,,,,,,,,,,,,,,,,,,,,0.0008220424621485317,0.0037299563542888526,0.006961622624655295
