Date,ENTITY_QID,Country,Internal_Number,Instrument_Name,Free_Float,Capfactor,Free_Float_MCAP_USD_Cutoff,Full_MCAP_USD_Cutoff,Status_TOR,FOR_FF,Shadow_Company,Mcap_Units_Index_Currency,ISIN,SEDOL
2019-03-18,E004YP0VM,IN,IN70FR,INDIABULLS VENTURES,0.5556,1.0,1318019894.2270885,2372246029.9263654,Pass,0.5556,,1346415181.0,INE274G01010,B2QP4C2
2019-03-18,E004YU0SA,MX,MX303P,MACQUARIE MEXICO REAL ESTATE,1.0,1.0,898181928.7445036,898181928.7445036,Pass,1.0,,867741952.0,MXCFFI0U0002,B80RZK1
2019-03-18,E004YMJY0,KR,KR149P,HANMI SEMICONDUCTOR,0.619,1.0,260763924.08102298,421266436.31829244,Pass,0.619,,259344678.0,KR7042700005,B0CSXQ8
2019-03-18,E004YQKT8,KR,KR14JZ,Hansol Chemical,0.8005,1.0,723513640.7813812,903827159.0023501,Pass,0.8005,,681973850.0,KR7014680003,6988155
2019-03-18,E004YND84,IN,IN50W6,SUNDRAM FASTENERS,0.5047,0.47553,366499357.8360409,1527080714.915697,Pass,0.23999999100000002,,418178106.0,INE387A01021,6730895
2019-03-18,E004YTEVF,KR,KR16EW,Koh Young Tech,0.8067,1.0,790189819.7980665,979533680.1761084,Pass,0.8067,,870641861.0,KR7098460009,B39Q399
2019-03-18,E004YO1J8,CN,CN8AIZ,TOWNGAS CHINA,0.3255,1.0,729417097.8757713,2240912743.0899267,Pass,0.3255,,732899375.0,KYG8972T1067,6345460
2019-03-18,E004YRD0U,RU,EV006,SISTEMA,0.383,1.0,556334119.851,1452569503.527415,Pass,0.383,,564640630.0,RU000A0DQZE3,B5B6XH9
2019-03-18,E004YSKJ7,PK,PK208J,PAKISTAN OILFIELDS,0.4158,1.0,398823209.2007549,959170777.2985928,Pass,0.4158,,307278420.0,PK0023901017,6677141
2019-03-18,E004YO8B1,IN,IN829O,VINATI ORGANICS,0.2819,0.8513657,253869396.4135318,1057789192.1394113,Pass,0.23999999082999998,,291251980.0,INE410B01029,B03F993
2019-03-18,E004YPA8O,KR,KR1A4Q,SAMYANG CORP,0.3802,1.0,219829208.3178708,578193604.2027112,Pass,0.3802,,221824230.0,KR7145990008,B6X62Y4
2019-03-18,E004YPFQC,IN,IN12V3,BIRLASOFT,0.56,1.0,229460924.45085952,409751650.8051062,Pass,0.56,,223578953.0,INE836A01035,B1LQJY0
2019-03-18,E004YSBB5,CN,HK913E,WISDOM ED.INTL.HDG.,0.27,1.0,239991949.73746586,888859073.1017253,Pass,0.27,,267434833.0,KYG972281037,BDQZ7T7
2019-03-18,E004YQZRN,KR,KR81J3,FEELUX,0.7619,1.0,428434379.52540267,562323637.6498263,Pass,0.7619,,463774306.0,KR7033180001,6166155
2019-03-18,E004YTC5D,BR,BR705E,AREZZO INDUSTRIA E ON,0.4886,1.0,634959696.1842166,1299549112.1248803,Pass,0.4886,,614091589.0,BRARZZACNOR3,B3NS1W0
2019-03-18,E004YMLK8,KR,KR16XF,KOLON LF SCIENCE,0.6525,1.0,566268599.2533267,867844596.5568227,Pass,0.6525,,561849338.0,KR7102940004,B3SHRR9
2019-03-18,E004YU0CE,TH,TH606M,TAOKAENOI FOOD & MKTG.,0.396,1.0,189024218.67027605,477333885.531,Pass,0.396,,165574368.0,TH6927010004,BZ1K6K5
2019-03-18,E004YME42,CN,CN09IQ,BEIJING NORTH STAR 'H',1.0,1.0,223369276.54350603,223369276.54350603,Pass,1.0,,233272553.0,CNE100000262,6084268
2019-03-18,E004YOVU2,CN,HK90CM,CAR,0.31,1.0,577345281.6369396,1862404134.3127084,Pass,0.31,,590722293.0,KYG190211071,BQQP9S1
2019-03-18,E004YQUTA,BR,BR03JO,CIA HERING,0.8534,1.0,1111865668.1276972,1302865793.447032,Pass,0.8534,,1113234877.0,BRHGTXACNOR9,B010V16
2019-03-18,E004YO9SS,RU,521620,AEROFLOT RUSS.AIRL.,0.488,1.0,798628515.7517426,1636533843.753571,Pass,0.488,,839935703.0,RU0009062285,B58X588
2019-03-18,E004YQR9E,KR,KR80L4,HLB LIFE SCIENCE,0.9424,1.0,577867403.5822005,613186973.240875,Pass,0.9424,,563454782.0,KR7067630004,B3FQK14
2019-03-18,E004YSMXL,TW,TW06JE,GUC,0.6516,1.0,600089352.8016315,920947441.3775805,Pass,0.6516,,582205294.0,TW0003443008,B056381
2019-03-18,E004YMR2H,KR,KR04JY,Posco ICT,0.3462,1.0,270955253.84870684,782655268.1938382,Pass,0.3462,,279847312.0,KR7022100002,B123VB1
2019-03-18,E004YNHLB,IN,IN82AP,ADITYA BIRLA FIN. SERVICES,0.3575,0.6713287,683010956.7144172,2845878864.7673287,Pass,0.24000001024999998,,771707672.0,INE674K01013,BYVKT10
2019-03-18,E004YM8DE,RU,RU107T,MECHEL OAO PREF.,1.0,1.0,210569953.3277457,210569953.3277457,Pass,1.0,,208862273.0,RU000A0JPV70,B52XJB5
2019-03-18,E004YSH6S,IN,IN05IS,INDRAGAS,0.442,0.678733,862574132.8528168,2875247243.687594,Pass,0.299999986,,886369917.0,INE203G01027,BD9PXD0
2019-03-18,E004YMMPB,CN,CN8AK1,GOME RETAIL HOLDINGS,0.5088,1.0,992078834.3762895,1949840476.3684933,Pass,0.5088,,1061924365.0,BMG3978C1249,B01Z8S7
2019-03-18,E004YSLHT,ZA,ZA801I,CASHBUILD,0.8034,1.0,368408784.53066427,458562091.7732939,Pass,0.8034,,361623675.0,ZAE000028320,6178860
2019-03-18,E004YO7D1,KR,KR11AN,LOTTE FOOD,0.6801,1.0,451028394.2016764,663179523.89601,Pass,0.6801,,472507723.0,KR7002270007,6535454
2019-03-18,E004YO60O,CN,CN659J,GENERTEC UNIVERSAL MED.GRP.,0.6227,1.0,1002053896.9491841,1609208121.003989,Pass,0.6227,,1006119981.0,HK0000255361,BYW7534
2019-03-18,E004YNXYD,TW,TW111S,Hung Sheng Const,0.7693,1.0,522315772.5450156,678949398.8626226,Pass,0.7693,,530792425.0,TW0002534005,6432889
2019-03-18,E004YPCO2,KR,KR18TD,CRYSTALGENOMICS,0.8219,1.0,549085815.6084714,668068883.8161229,Pass,0.8219,,545438592.0,KR7083790006,B0W9LL2
2019-03-18,E004YO1FV,IN,IN11HO,SUPREME INDUSTRIES,0.4697,0.6387056,615586063.9368255,2051953407.470441,Pass,0.30000002032,,616930965.0,INE195A01028,6136073
2019-03-18,E004YQXZH,KR,KR82K5,AEKYUNG IND,0.3168,1.0,344132225.2358075,1086275963.496867,Pass,0.3168,,374123716.0,KR7018250001,BZ14KS3
2019-03-18,E004YSJR2,KR,KR02FS,Namyang Dairy,0.4832,1.0,193943892.48537603,401373949.68000007,Pass,0.4832,,198493698.0,KR7003920006,6621201
2019-03-18,E004YNX4T,CN,CN8CDW,UNI-PRESIDENT CHINA HDG.,0.2942,1.0,1131557049.8895907,3846217028.8565283,Pass,0.2942,,1201144524.0,KYG9222R1065,B29MKF5
2019-03-18,E004YQXY0,KR,KR02U7,Lotte Chilsung,0.3718,1.0,420929256.399322,1132138935.985266,Pass,0.3718,,480341449.0,KR7005300009,6535443
2019-03-18,E004YNI3F,TW,TW19DC,HOLIDAY ENTERTAINMENT,0.51,1.0,157458285.09529692,308741735.4809744,Pass,0.51,,155763390.0,TW0009943001,6304319
2019-03-18,E004YSSX7,IN,IN403C,KAJARIA CERAMICS,0.5932,0.6743088,490754663.1569694,1226886718.7460048,Pass,0.39999998016,,534307516.0,INE217B01036,BDB5J63
2019-03-18,E004YNCMJ,CN,CN31IL,CHINA GALAXY SECURITIES 'H',1.0,1.0,2510865988.811682,2510865988.811682,Pass,1.0,,2529627760.0,CNE100001NT6,B92NYF2
2019-03-18,E004YMZSH,ZA,ZA20W7,NETCARE,0.8306,1.0,2210752200.1314197,2661632795.7276907,Pass,0.8306,,2167136573.0,ZAE000011953,6636421
2019-03-18,E004YU30D,CN,HK1AHT,AK MEDICAL HOLDINGS,0.37,1.0,207038305.17291665,559562986.9538288,Pass,0.37,,214393571.0,KYG020141019,BFD6SZ0
2019-03-18,E004YPT7G,KR,KR015H,Lotte Non-Life,0.4753,1.0,161156056.55011633,339061764.2544,Pass,0.4753,,166849784.0,KR7000400002,B13RD05
2019-03-18,E004YQ3IE,KR,KR06FW,CJ CGV,0.6098,1.0,504240883.7034069,826895512.796666,Pass,0.6098,,548188461.0,KR7079160008,B04S946
2019-03-18,E004YNVLJ,KR,KR622L,JEJUAIR,0.3531,1.0,312360282.83774954,884622721.1491065,Pass,0.3531,,323847621.0,KR7089590004,BYRPKQ1
2019-03-18,E004YSMX7,TW,TW106W,Genius Elec,0.7532,1.0,781350687.0911521,1037374783.7110357,Pass,0.7532,,841150859.0,TW0003406005,B059SR4
2019-03-18,E004YQHC7,CN,CN8FPB,LUYE PHARMA GROUP,0.5368,1.0,1312371398.9786377,2444805139.6770444,Pass,0.5368,,1350418965.0,BMG570071099,BNQ4GF3
2019-03-18,E004YNZ5N,ZA,ZA210C,MURRAY & ROBERTS,0.36,1.0,161130108.14911687,447583633.7475469,Pass,0.36,,150862933.0,ZAE000073441,B0N3K50
2019-03-18,E004YM8OA,CN,CN88CR,GREENLAND HONG KONG HOLDINGS,0.28,1.0,231038041.38933784,825135862.1047779,Pass,0.28,,240992202.0,KYG4587S1049,BFH1P83
2019-03-18,E004YRA92,TW,TW02WN,Macronix,1.0,1.0,1398232128.9027574,1398232128.9027574,Pass,1.0,,1261634773.0,TW0002337003,6574101
2019-03-18,E004YQI2T,RU,EV052,FED.GRID CO.OF UNG.SY.,0.1987,1.0,641877304.6858319,3230384019.556275,Pass,0.1987,,658770561.0,RU000A0JPNN9,B59RSV3
2019-03-18,E004YN5FL,CN,CN1TSL,EVERBRIGHT SECURITIES 'H',0.42,1.0,319833864.9960342,761509202.3715101,Pass,0.42,,310410246.0,CNE1000029M4,BDCSC73
2019-03-18,E004YPRO8,CN,CN8DL5,CHINA LESSO GROUP HDG.,0.3159,1.0,546844787.1987888,1731069285.2130063,Pass,0.3159,,555574184.0,KYG2157Q1029,BCDBKF8
2019-03-18,E004YQH6W,CN,B018L7,COSCO SHIPPING DEVELOPMENT 'H',1.0,1.0,496958866.30447197,496958866.30447197,Pass,1.0,,496949735.0,CNE100000536,B018L76
2019-03-18,E004YR30Q,BR,BR05AH,Totvs,0.7415,1.0,1193737666.721225,1609895706.9740052,Pass,0.7415,,1214941270.0,BRTOTSACNOR8,B10LQP6
2019-03-18,E004YNBTP,TW,TW10D3,Kings Town Bank,0.7851,1.0,969133785.2814956,1234408082.1315699,Pass,0.7851,,997028347.0,TW0002809001,6575159
2019-03-18,E004YNPDJ,TW,TW17TQ,Kung Long,0.8171,1.0,344160747.74658775,421197831.0446552,Pass,0.8171,,359914160.0,TW0001537009,6432566
2019-03-18,E004YO7R6,CN,CN1RQH,RISE EDUCATION CAYMAN SPN.ADR 1:2,0.32,1.0,211865271.6827712,662078974.00866,Pass,0.32,,193307712.0,US76761L1026,BF07X17
2019-03-18,E004YRCWK,CN,699076,ZHEJIANG EXPRESSWAY 'H',1.0,1.0,1495991153.2334917,1495991153.2334917,Pass,1.0,,1464912075.0,CNE1000004S4,6990763
