Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2019-03-18,E004YQI4F,KR,KR152J,1.0,KR7053800009,6406271,Ahnlab Inc,348767979.0,0.00040163638795347997
2019-03-18,E004YSMVN,TW,TW10J9,1.0,TW0003533006,B1GJFG8,Lotes,571542248.0,0.0006581801595080839
2019-03-18,E004YO0B8,CN,CN87P3,1.0,KYG2110A1114,BC9S4J5,CHINASOFT INTERNATIONAL,1310371419.0,0.0015090056292256006
2019-03-18,E004YRPRC,KR,KR404J,1.0,KR7192820009,BKF2806,COSMAX,1018007382.0,0.0011723232419122355
2019-03-18,E004YNNF3,ID,ID20NK,1.0,ID1000115702,B3Z3L12,BANK PMBGN.DJB.DAN BAT.,701794369.0,0.0008081767032037413
2019-03-18,E004YO7GM,IN,IN10DJ,0.5188179,INE484J01027,BGQL729,Godrej Prop,441495348.0,0.0005084199454818203
2019-03-18,E004YNX4T,CN,CN8CDW,1.0,KYG9222R1065,B29MKF5,UNI-PRESIDENT CHINA HDG.,1201144524.0,0.001383221445422494
2019-03-18,E004YO9K0,TH,TH20YA,0.6281407,TH0278A10Z08,BV7KP04,DYNASTY CERAMIC,152873084.0,0.00017604653227946976
2019-03-18,E004YQO4B,MY,MY21AX,1.0,MYL5218OO002,B7GJ601,SAPURA ENERGY,1208762007.0,0.0013919936336439852
2019-03-18,E004YOSJG,KR,KR172L,1.0,KR7005500004,6771258,SAMJIN Pharma,410342949.0,0.00047254527302387195
2019-03-18,E004YRFHJ,CN,CN259F,1.0,CNE000000GG0,6835422,SHAI.BAOSIGHT SOFTWARE 'B',510681600.0,0.0005880938777877423
2019-03-18,E004YNLZL,CN,HK90W6,1.0,KYG8572D1135,B89X6B8,SUNCITY GROUP,319336633.0,0.00036774365636171565
2019-03-18,E004YRD36,IN,IN11BI,0.6185567,INE371A01025,B1KMXR0,GRAPHITE INDIA,315199101.0,0.0003629789316519339
2019-03-18,E004YSMU1,TW,TW0683,1.0,TW0003189007,6687872,Kinsus,346367904.0,0.00039887249472973465
2019-03-18,E004YU0GX,TH,TH50S7,1.0,TH4100010Z04,BXQ1KK7,BEAUTY COMMUNITY,484839693.0,0.0005583346945764024
2019-03-18,E004YO14D,CN,CN8ATA,1.0,KYG4364T1013,BF5JNV8,HC GROUP,354899257.0,0.0004086970830222169
2019-03-18,E004YQGWS,KR,KR60DU,1.0,KR7039200001,B1L3VL2,OSCOTEC,588071465.0,0.0006772149775284024
2019-03-18,E004YQU4H,TH,TH602I,1.0,TH6838010002,BD4DC87,STAR PTL.REFN.,572097107.0,0.0006588191274695994
2019-03-18,E004YR9RY,IN,IN028F,0.6530612,INE465A01025,B0C1DM3,Bharat Forge,1407385747.0,0.00162072598953326
2019-03-18,E004YQFRT,KR,KR02AN,1.0,KR7003530003,6496142,HANWHA INVEST SEC,261975931.0,0.0003016878641189422
2019-03-18,E004YTMOB,IN,IN50IS,0.8278717,INE398R01022,BYXXQB6,SYNGENE INTERNATIONAL,394851637.0,0.00045470569206755834
2019-03-18,E004YSN02,TH,TH50KZ,0.922961,TH0788010005,B02YT24,WORKPOINT ENTERTAINMENT,163753736.0,0.00018857654085533966
2019-03-18,E004YQNYA,TR,550391,1.0,TRAKRDMR91G7,B03MV32,KARDEMIR (D),378350080.0,0.0004357027269212412
2019-03-18,E004YQ9S8,IN,IN02Z6,0.8806614,INE486A01013,6304728,CESC,694383789.0,0.0007996427816196148
