Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2012-06-18,E004YMCG0,IN,IN05HR,0.8078603,INE039A01010,6121983,,,
2012-06-18,E004YQ4LK,IN,IN01TZ,0.5202237,INE438A01022,6168902,,,
2012-06-18,E004YMOQ8,TW,TW12UM,1.0,TW0001701001,6190938,,,
2012-06-18,E004YQ201,IN,IN05S2,0.4161465,INE571A01020,6433473,,,
2012-06-18,E004YSJIX,KR,KR191M,1.0,KR7089470009,B1CCJ14,,,
2012-06-18,E004YSLH2,ZA,ZA126I,1.0,ZAE000117792,6197810,,,
2012-06-18,E004YNYMM,KR,KR194P,1.0,KR7097780001,B2NV5M0,,,
2012-06-18,E004YO9GI,EG,EG0082,1.0,EGS3C251C013,6162614,,,
2012-06-18,E004YR9CW,TW,TW062X,1.0,TW0003059002,6580841,,,
2012-06-18,E004YN13J,TH,TH20X9,0.5348148,TH0285010Z07,6712901,,,
2012-06-18,E004YQXWK,TW,TW10TJ,1.0,TW0002905007,6580454,,,
2012-06-18,E004YPM40,IN,IN10HN,1.0,INE695A01019,B61BJY0,,,
2012-06-18,E004YRC78,IN,IN0AIX,0.3647971,INE092A01019,6101167,,,
2012-06-18,E004YQ07P,KR,KR042H,1.0,KR7015750003,6203869,,,
2012-06-18,E004YOEB7,TW,TW11B2,1.0,TW0001477008,6580432,,,
2012-06-18,E004YN3CZ,IN,IN03BJ,0.8049943,INE067A01029,B1B90H9,,,
2012-06-18,E004YOC88,PL,B1Z774,1.0,PLLCCRP00017,B1Z7745,,,
2012-06-18,E004YP0VH,IN,IN02OV,0.4620206,INE463A01020,B02GHJ3,,,
2012-06-18,E004YOOOL,TW,TW11KB,1.0,TW0008926007,6245775,,,
2012-06-18,E004YSLEV,ZA,ZA20AL,1.0,ZAE000047353,6622710,,,
2012-06-18,E004YQXD3,IN,IN091F,0.8812649,INE013A01015,6101082,,,
2012-06-18,E004YPO8G,PL,PL90K3,1.0,PLZATRM00012,B3B61Y8,,,
2012-06-18,E004YRDTS,MX,MX00RA,1.0,MX01HO000007,B01RQ23,,,
2012-06-18,E004YP3YP,KR,KR10JV,1.0,KR7036830008,B0105T2,,,
2012-06-18,E004YOEX2,TW,TW12C4,1.0,TW0002538006,6485292,,,
2012-06-18,E004YPCED,CL,CL02JI,1.0,CL0000002544,B284N31,,,
2012-06-18,E004YPJ4B,KR,KR06UB,1.0,KR7095660007,B1WGT83,,,
2012-06-18,E004YSMRU,TW,TW08FC,1.0,TW0008131004,B1HNZN6,,,
2012-06-18,E004YQKPC,KR,KR12Q4,1.0,KR7001680008,6352716,,,
2012-06-18,E004YOI9K,TW,TW115W,1.0,TW0002908001,6876454,,,
2012-06-18,E004YMXLU,BR,BR3027,1.0,BREVENACNOR8,B1VD2Z3,,,
2012-06-18,E004YNJQ0,KR,KR056M,1.0,KR7035720002,6194037,,,
2012-06-18,TW06NI,TW,TW06NI,1.0,TW0003514006,B28TNP8,,,
2012-06-18,E004YQ0YG,TW,TW15YT,1.0,TW0001604007,6771924,,,
2012-06-18,E004YNNH3,TW,TW07TP,1.0,TW0006120009,6426246,,,
2012-06-18,E004YM8HE,KR,KR031F,1.0,KR7006120000,6859916,,,
2012-06-18,E004YSMHU,TW,TW044X,1.0,TW0002495009,6510321,,,
2012-06-18,E004YRDX8,IN,IN06DO,0.5159608,INE700A01033,B10SSN9,,,
2012-06-18,KR05YE,KR,KR05YE,1.0,KR7064420003,6518369,,,
2012-06-18,E004YNNIN,TW,TW12E6,1.0,TW0001909000,6524236,,,
2012-06-18,E004YMF8Z,KR,KR06WD,1.0,KR7097230007,B23S952,,,
2012-06-18,E004YO5OQ,BR,BR129E,1.0,BRPOSIACNOR9,B1J04K5,,,
2012-06-18,E004YR9PN,MY,MY22G4,1.0,MYL5005OO003,B05MGY6,,,
2012-06-18,E004YR8OI,KR,KR10IU,1.0,KR7010690006,6334275,,,
2012-06-18,E004YOBKC,TW,TW13XQ,1.0,TW0002514007,6531010,,,
2012-06-18,E004YPUPT,KR,KR12N1,1.0,KR7009420001,B13G6L4,,,
2012-06-18,E004YRDKJ,TW,TW03JB,1.0,TW0002388006,6146823,,,
2012-06-18,E004YM8VV,TW,TW04LE,1.0,TW0002607009,6324511,,,
2012-06-18,E004YRDTM,IN,IN075H,0.4238663,INE743C01013,6327372,,,
2012-06-18,E004YSJCU,KR,KR062J,1.0,KR7067280008,B1FYZJ7,,,
2012-06-18,E004YQK1Y,PL,591913,1.0,PLBRSZW00011,B07DNZ7,,,
2012-06-18,E004YNWAV,CL,CL00OL,1.0,CLP3064M1019,2196338,,,
2012-06-18,E004YNQ3S,KR,KR11V8,1.0,KR7000430009,6249636,,,
2012-06-18,E004YM9PE,KR,KR044J,1.0,KR7016380008,6273130,,,
2012-06-18,E004YP22B,TR,778920,1.0,TREULKR00015,B03MYX3,,,
2012-06-18,E004YP8NL,TW,TW016W,1.0,TW0001312007,6381237,,,
2012-06-18,E004YM2X9,KR,KR1A0M,1.0,KR7041140005,6270380,,,
2012-06-18,E004YQ7VW,TW,TW11C3,1.0,TW0002345006,6005214,,,
2012-06-18,E004YMUI8,TW,TW019Z,1.0,TW0001319002,6898845,,,
2012-06-18,E004YP5V4,IN,IN05LV,1.0,INE562A01011,B1SFSX2,,,
2012-06-18,E004YP0AE,KR,KR10P1,1.0,KR7036710002,6203085,,,
2012-06-18,E004YQVTK,ID,ID2030,0.3227632,ID1000070402,6216113,,,
2012-06-18,E004YP0VR,IN,IN11KR,0.651289,INE690A01010,6907484,,,
2012-06-18,IN03Y6,IN,IN03Y6,0.8487856,INE039E01020,6406635,,,
2012-06-18,E004YPIFV,TH,TH50DS,1.0,TH0551010Y03,6059512,,,
2012-06-18,E004YPW5X,KR,KR03ES,1.0,KR7008770000,6440332,,,
2012-06-18,E004YRBAH,ZA,ZA20S3,1.0,ZAE000097580,B0KS490,,,
2012-06-18,E004YQKIF,ID,ID10D9,0.9156667,ID1000110505,6334468,,,
2012-06-18,E004YOI9G,TH,TH20CO,0.390625,TH0530010Z06,6713658,,,
2012-06-18,E004YPZXM,IN,IN035D,0.3796267,INE055A01016,6099905,,,
2012-06-18,E004YRBI8,ZA,ZA00W5,0.74,ZAE000058723,6267780,,,
2012-06-18,E004YO1FV,IN,IN11HO,0.1756,INE195A01028,6136073,,,
2012-06-18,E004YQVSO,IN,IN131A,1.0,INE068D01021,B0JGGT9,,,
2012-06-18,E004YNVPS,IN,IN03W4,0.4190676,INE548C01032,6741035,,,
2012-06-18,E004YNCFW,MY,MY217U,1.0,MYL8583OO006,B1YYNJ4,,,
2012-06-18,E004YM4DU,MX,MX10VF,1.0,MXP001161019,B1TV969,,,
2012-06-18,E004YP18W,TH,TH202E,0.8032787,TH0436010Z06,B04H5P6,,,
2012-06-18,E004YMECQ,KR,KR00V6,1.0,KR7000060004,B0YCFG2,,,
2012-06-18,E004YP6SW,TR,597763,1.0,TRAZOREN91L8,B03MZP2,,,
2012-06-18,E004YQPBE,TW,TW124W,1.0,TW0009938001,6320832,,,
2012-06-18,E004YN2V2,TW,TW05QK,1.0,TW0003010005,6290355,,,
2012-06-18,E004YNPX2,ID,ID1163,1.0,ID1000088701,6307374,,,
2012-06-18,E004YPBLE,ZA,ZA106G,1.0,ZAE000149936,B59KXT5,,,
2012-06-18,E004YMI8H,KR,KR122G,1.0,KR7082850009,B0F1WG7,,,
2012-06-18,E004YRW09,KR,KR13KZ,1.0,KR7108230004,B3VVQ71,,,
2012-06-18,E004YNXYD,TW,TW111S,1.0,TW0002534005,6432889,,,
2012-06-18,E004YTFC7,KR,KR102E,1.0,KR7115390007,B5LG7S8,,,
2012-06-18,E004YQ7Y5,TW,TW02XO,1.0,TW0002340007,6664723,,,
2012-06-18,E004YNXYG,TW,TW130T,1.0,TW0002836004,6116462,,,
2012-06-18,E004YQ0C7,KR,KR075N,1.0,KR7108670001,B55SJJ5,,,
2012-06-18,E004YNI57,TW,TW10WM,1.0,TW0002492006,6089694,,,
2012-06-18,E004YODIL,TH,TH21W9,0.5444444,TH0083A10Y04,6625559,,,
2012-06-18,E004YQBMA,KR,KR00W7,1.0,KR7000070003,6771816,,,
2012-06-18,E004YNZXI,TW,TW121T,1.0,TW0003686002,B58MWR3,,,
2012-06-18,E004YO9G5,MY,MY20M8,1.0,MYL3565OO008,6506104,,,
2012-06-18,E004YQVG0,IN,IN12NV,0.3552792,INE522D01027,6570400,,,
2012-06-18,E004YRUY8,ZA,ZA803K,1.0,ZAE000109088,B28XTY1,,,
2012-06-18,E004YPCEV,KR,KR077P,1.0,KR7114090004,B4347P0,,,
2012-06-18,E004YQMWE,KR,KR02CP,1.0,KR7003570009,B11NWF3,,,
2012-06-18,E004YQLHA,TW,TW03YQ,1.0,TW0002457009,6214140,,,
2012-06-18,E004YNQ9U,KR,KR059P,1.0,KR7036490001,6199571,,,
2012-06-18,E004YNI5H,TW,TW1381,1.0,TW0004306006,6261481,,,
2012-06-18,E004YSLE3,ZA,ZA12AM,1.0,ZAE000093183,B1TQ2V0,,,
2012-06-18,E004YP1DS,IN,IN09ES,1.0,INE109A01011,6101242,,,
2012-06-18,E004YM276,ZA,ZA211D,1.0,ZAE000006284,6777007,,,
2012-06-18,E004YMKTX,KR,KR03AO,1.0,KR7007310006,6658373,,,
2012-06-18,E004YNR9X,TH,TH212F,0.98,TH0297010Z02,6367646,,,
2012-06-18,E004YMS28,KR,KR02N0,1.0,KR7004800009,6896838,,,
2012-06-18,E004YSMHE,TW,TW042V,1.0,TW0002485000,6199731,,,
2012-06-18,E004YOLKH,TW,TW11TK,1.0,TW0001447001,6501712,,,
2012-06-18,E004YN57A,TW,TW11E5,1.0,TW0006209000,6570950,,,
2012-06-18,E004YTUMQ,EG,EG20NJ,1.0,EGS675S1C011,B5YLBJ9,,,
2012-06-18,E004YME43,IN,IN09T7,0.76911,INE087H01022,B0LNXC0,,,
2012-06-18,E004YMO7Z,TR,TR107S,1.0,TREBZMT00017,B459RS6,,,
2012-06-18,E004YQ55M,TW,TW01D3,1.0,TW0001440006,6871824,,,
2012-06-18,E004YSN3I,TR,401344,1.0,TRAALARK91Q0,B03MNK3,,,
2012-06-18,E004YN99W,TR,430508,1.0,TRAECZYT91Q5,B03MRR8,,,
2012-06-18,E004YMY5O,TW,TW04B4,1.0,TW0002524006,6953131,,,
2012-06-18,E004YSN2I,TR,B03MVN,1.0,TRAKONYA91F6,B03MVN2,,,
2012-06-18,E004YND6M,IN,IN10W2,0.4950495,INE224A01026,6135887,,,
2012-06-18,E004YQ12X,KR,KR00Y9,1.0,KR7000100008,6988337,,,
2012-06-18,E004YSH7O,IN,IN0A8N,0.5216257,INE152A01029,B10SSP1,,,
2012-06-18,E004YNY0B,BR,BR14Y5,1.0,BRGPIVBDR003,B15Q9D5,,,
2012-06-18,E004YQXHT,TW,TW14B5,1.0,TW0009911008,6874027,,,
2012-06-18,E004YOOOM,TW,TW08MJ,1.0,TW0009914002,6584445,,,
2012-06-18,E004YN43X,MY,MY20PB,1.0,MYL5085OO005,B012521,,,
2012-06-18,E004YR9K9,IN,IN0B0G,0.4606526,INE703A01011,6929820,,,
2012-06-18,E004YRB11,IN,IN01PV,0.8178997,INE130C01021,B02ZJ27,,,
2012-06-18,KR03CQ,KR,KR03CQ,1.0,KR7008000002,6189776,,,
2012-06-18,BR12UZ,BR,BR12UZ,1.0,BRCTAXACNPR0,2817220,,,
2012-06-18,E004YRB4R,TW,TW02UL,1.0,TW0002331006,6307341,,,
2012-06-18,E004YQJMK,EG,EG00A4,1.0,EGS655L1C012,B2R2W06,,,
2012-06-18,E004YNHDS,KR,KR12JX,1.0,KR7005290002,6219297,,,
2012-06-18,E004YP5YN,KR,KR10LX,1.0,KR7091700005,B1GN4B8,,,
2012-06-18,TW01WM,TW,TW01WM,1.0,TW0001729002,6338857,,,
2012-06-18,E004YNTLZ,BR,BR20CG,1.0,BRVLIDACNOR5,B13NPP2,,,
2012-06-18,E004YNCMA,IN,IN06HS,0.5181895,INE614B01018,6130064,,,
2012-06-18,E004YOQJV,TW,TW16FB,1.0,TW0005388003,6156770,,,
2012-06-18,E004YN4VT,KR,KR03P3,1.0,KR7011160009,6489261,,,
2012-06-18,E004YR89T,TW,TW13QJ,1.0,TW0003013009,6543372,,,
2012-06-18,E004YQNR1,TW,TW082Z,1.0,TW0006271000,B1L8PB5,,,
2012-06-18,E004YNOL6,KR,KR104G,0.8279824,KR7057050007,B691DP1,,,
2012-06-18,E004YM8RM,KR,KR17ZI,1.0,KR7060310000,6599461,,,
2012-06-18,E004YSJD0,KR,KR10Q2,1.0,KR7039030002,6285919,,,
2012-06-18,E004YSMC7,TW,TW01B1,1.0,TW0001419000,6811693,,,
2012-06-18,E004YMW3B,MY,MY23C1,1.0,MYL3522OO009,B1L0JB9,,,
2012-06-18,E004YM5RF,TH,TH214H,0.5833333,TH0307010Z09,6541406,,,
2012-06-18,E004YNOPV,TH,TH20W8,0.455625,TH0256A10Z04,B00PN05,,,
2012-06-18,E004YOO0C,TH,TH21HU,0.7903226,TH0168A10Z01,B0166D1,,,
2012-06-18,E004YO2CC,KR,KR106I,1.0,KR7122900004,B3MDMR8,,,
2012-06-18,E004YQ3C8,KR,KR03V9,1.0,KR7011810009,6743310,,,
2012-06-18,E004YML2R,BR,BR14OV,1.0,BRVIVRACNOR4,B1XLN52,,,
2012-06-18,E004YR7Z2,KR,KR148O,1.0,KR7002030005,6057152,,,
2012-06-18,E004YMMFQ,KR,KR12HV,1.0,KR7007860000,6172691,,,
2012-06-18,E004YSN2H,TR,ET015,1.0,TRESNGY00019,B1YLGL8,,,
2012-06-18,E004YQ1HE,KR,KR10NZ,1.0,KR7009970005,6150493,,,
2012-06-18,E004YMS6S,KR,KR02Q3,1.0,KR7005180005,6098236,,,
2012-06-18,E004YMNQP,KR,KR11LY,1.0,KR7080160005,B0FBSF8,,,
2012-06-18,E004YNEHL,TW,TW01XN,1.0,TW0001736007,6579292,,,
2012-06-18,E004YN3N0,IN,IN072E,0.2923434,INE018I01017,B1LHCW2,,,
2012-06-18,E004YNDFD,BR,BR11TX,1.0,BRPMAMACNOR3,B092PF6,,,
2012-06-18,E004YTM1Z,KR,KR074M,1.0,KR7104700000,B3CTCD2,,,
2012-06-18,E004YO52Y,KR,KR05K0,1.0,KR7044490001,6542119,,,
2012-06-18,E004YOBKP,TW,TW0773,1.0,TW0005305007,6290764,,,
2012-06-18,E004YMYGA,MY,MY24A0,1.0,MYL1651OO008,6557867,,,
2012-06-18,E004YRCOB,TW,TW02VM,1.0,TW0002332004,6254878,,,
2012-06-18,E004YSJJO,KR,KR111E,1.0,KR7014830004,B04H0M8,,,
2012-06-18,E004YQ3IE,KR,KR06FW,1.0,KR7079160008,B04S946,,,
2012-06-18,E004YPMAT,ID,ID0140,1.0,ID1000122500,B4KWQ72,,,
2012-06-18,E004YQTH9,TW,TW11SJ,1.0,TW0003022000,6343798,,,
2012-06-18,E004YSMTJ,TW,TW12XP,1.0,TW0001560001,B00P963,,,
2012-06-18,E004YPCIT,IN,IN0AVA,1.0,INE694A01020,B17MRV5,,,
2012-06-18,E004YR9CC,ID,ID2074,1.0,ID1000099807,B03VZ37,,,
2012-06-18,E004YOQOT,TW,TW16D9,1.0,TW0003305009,B019W10,,,
2012-06-18,E004YMXD8,CL,CL00MJ,1.0,CL0000001173,B0D6PM1,,,
2012-06-18,E004YSNGP,TR,B03MNY,1.0,TRAANHYT91O3,B03MNY7,,,
2012-06-18,E004YTG6T,KR,KR18CW,1.0,KR7033170002,B4LCZV8,,,
2012-06-18,E004YNXYE,TW,TW04C5,1.0,TW0002536000,6447678,,,
2012-06-18,TW053X,TW,TW053X,1.0,TW0002837002,6227256,,,
2012-06-18,E004YRCZ9,IN,IN03AI,1.0,INE112A01015,6100993,,,
2012-06-18,E004YOSAN,TW,TW01J9,1.0,TW0001532000,6038834,,,
2012-06-18,E004YNWHY,KR,KR11FS,1.0,KR7065680001,6718073,,,
2012-06-18,E004YMD0C,MY,MY232R,1.0,MYL3042OO008,6321590,,,
2012-06-18,E004YN22V,IN,IN11Y5,0.9267841,INE346H01014,B0Z3SK9,,,
2012-06-18,E004YMY2Z,KR,KR01O0,1.0,KR7001510007,6616348,,,
2012-06-18,E004YNW9G,TH,TH224I,0.765625,TH0128B10Z09,B018C06,,,
2012-06-18,E004YNDE6,TW,TW17EB,1.0,TW0003356002,B01KLY9,,,
2012-06-18,E004YNQ9P,IN,IN03RZ,0.5023242,INE066A01013,6099819,,,
2012-06-18,E004YPMGL,KR,KR125J,1.0,KR7005950001,6467568,,,
2012-06-18,E004YTWBL,MY,MY22UI,1.0,MYL5200OO000,B41LHL9,,,
2012-06-18,E004YO9K3,TH,TH20AM,0.4105263,TH0456010Z04,B00Q6Z4,,,
2012-06-18,KR079R,KR,KR079R,1.0,KR7117930008,B4W5613,,,
2012-06-18,E004YPMP3,KR,KR116J,1.0,KR7096530001,B679Q36,,,
2012-06-18,E004YMWKZ,TW,TW05F9,1.0,TW0002889003,6518392,,,
2012-06-18,E004YRAEO,KR,KR02IV,1.0,KR7004150009,6192945,,,
2012-06-18,E004YQVR3,KR,KR01BN,1.0,KR7000880005,6496755,,,
2012-06-18,E004YT70I,IN,IN12QY,0.6942436,INE725E01016,B3BDX32,,,
2012-06-18,E004YRAO2,TW,TW03LD,1.0,TW0002393006,6094922,,,
2012-06-18,E004YQ4B9,TW,TW05LF,1.0,TW0002913001,6871073,,,
2012-06-18,E004YPQKQ,ZA,ZA401E,1.0,ZAE000071072,6126773,,,
2012-06-18,E004YQVWW,TW,TW05YS,1.0,TW0003041000,6174761,,,
2012-06-18,TH213G,TH,TH213G,0.5285838,TH0303A10Z07,6710154,,,
2012-06-18,E004YMIAE,TW,TW07IE,1.0,TW0005531008,6355287,,,
2012-06-18,E004YNWB7,TH,TH223H,0.5176471,TH0121010001,6491084,,,
2012-06-18,E004YR9MM,MY,MY214R,1.0,MYL5185OO003,6009454,,,
2012-06-18,E004YQ8FV,MY,MY00SC,1.0,MYL1562OO007,6331566,,,
2012-06-18,E004YOR2J,KR,KR04AP,1.0,KR7017940008,6133698,,,
2012-06-18,E004YNGYT,MY,MY22I6,1.0,MYL5161OO004,B62JK51,,,
2012-06-18,E004YRBFD,IN,IN093H,1.0,INE293A01013,6143318,,,
2012-06-18,E004YQBI3,KR,KR119M,1.0,KR7003030004,6709549,,,
2012-06-18,E004YQR6V,KR,KR13YD,1.0,KR7067310003,B0M2M63,,,
2012-06-18,KR06Q7,KR,KR06Q7,1.0,KR7091690008,B1ZPFV2,,,
2012-06-18,E004YPJ9H,MX,MX01BV,1.0,MX01BM1B0000,B39VVF6,,,
2012-06-18,E004YPV3I,ID,ID1174,1.0,ID1000116403,6093673,,,
2012-06-18,E004YR8HM,CL,CL011Z,1.0,CLP1663V1009,2094788,,,
2012-06-18,E004YMNOX,ID,ID4054,1.0,ID1000113202,B58PM83,,,
2012-06-18,E004YOGXP,KR,KR124I,1.0,KR7033530007,6178633,,,
2012-06-18,E004YQTTU,KR,KR04GV,0.9004043,KR7020560009,6200202,,,
2012-06-18,E004YQOWD,TW,TW03XP,1.0,TW0002455003,6441573,,,
2012-06-18,ZA10W6,ZA,ZA10W6,1.0,ZAE000128179,B09RFM8,,,
2012-06-18,E004YQ8GJ,IN,IN11JQ,0.35,INE491A01021,6313940,,,
2012-06-18,E004YRWO1,EG,EG2040,1.0,EGS3G0Z1C014,B15Q010,,,
2012-06-18,E004YOCJ3,TW,TW04E7,1.0,TW0002545001,6156037,,,
2012-06-18,E004YSMC8,TW,TW01H7,1.0,TW0001507002,6988694,,,
2012-06-18,E004YSJS0,MY,MY20G2,1.0,MYL5071OO005,B03GWH5,,,
2012-06-18,E004YOZD9,KR,KR066N,1.0,KR7069620003,6562979,,,
2012-06-18,E004YN7UE,ID,ID001W,1.0,ID1000111800,6875730,,,
2012-06-18,E004YOE2X,MY,MY220O,1.0,MYL3417OO002,6468754,,,
2012-06-18,E004YPJG2,KR,KR034I,1.0,KR7006350003,6471796,,,
2012-06-18,E004YN8SZ,TW,TW13SL,1.0,TW0002478005,6176079,,,
2012-06-18,E004YTQ0V,IN,IN03HP,0.7560008,INE947J01015,B56ZWH4,,,
2012-06-18,E004YMP4P,KR,KR04Q5,0.595,KR7028150001,6204828,,,
2012-06-18,E004YNNE8,KR,KR10MY,1.0,KR7004710000,6495451,,,
2012-06-18,E004YQ1G4,TW,TW02NE,1.0,TW0002312006,6161031,,,
2012-06-18,E004YQXWM,TW,TW045Y,1.0,TW0002499001,6440956,,,
2012-06-18,E004YP553,TW,TW13F8,1.0,TW0002486008,6224785,,,
2012-06-18,E004YSN3N,TR,B01GVS,1.0,TREDOTO00013,B03MRJ0,,,
2012-06-18,E004YMBN4,KR,KR19WH,1.0,KR7031430002,B6SKWR4,,,
2012-06-18,E004YNGT2,BR,BR305A,1.0,BREQTLACNOR0,B128R96,,,
2012-06-18,E004YSLHF,ZA,ZA217J,1.0,ZAE000009932,6662404,,,
2012-06-18,E004YSNGN,TR,B03MVQ,1.0,TREKOZA00014,B03MVQ5,,,
2012-06-18,E004YOD5B,TW,TW04HA,1.0,TW0002601002,6339991,,,
2012-06-18,E004YPCOH,TW,TW04VO,1.0,TW0002704004,6028653,,,
2012-06-18,E004YRDYZ,ZA,ZA20KV,1.0,ZAE000081949,B17BBR6,,,
2012-06-18,E004YQ4OB,KR,KR06S9,1.0,KR7093370005,B1LCKX4,,,
2012-06-18,E004YPW5H,KR,KR10W8,1.0,KR7034230003,6560939,,,
2012-06-18,E004YRBT1,IN,IN08ZC,0.8470182,INE343B01030,B0JJVB5,,,
2012-06-18,E004YQS9Q,TW,TW01I8,1.0,TW0001513000,6194811,,,
2012-06-18,E004YOK8P,EG,EG2073,1.0,EGS44012C010,B1TR8S2,,,
2012-06-18,E004YS6ZF,BR,BR11Z3,1.0,BRFESAACNPR5,B07C6Z5,,,
2012-06-18,E004YTBWN,IN,IN12OW,0.8441787,INE490G01020,B4NRBT1,,,
