Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
CL,19,19,19,20,19,20,20,20,20,20,21,20,20,20,20,20,20,20,19,20,20,20,19,19,18,19,19,19,19,18,17,17,15,12,12,12,14,12,11,10,10,9,11,10,11,11,11,8,11,11
TR,25,22,22,23,23,24,24,24,23,24,23,24,23,24,23,24,24,24,24,24,24,23,23,21,22,13,14,17,16,16,16,16,15,14,14,16,13,15,11,13,12,14,16,19,20,21,17,19,20,17
HU,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CO,4,12,8,11,12,11,11,10,9,12,9,10,10,10,9,11,10,9,9,10,9,10,9,11,9,11,11,11,10,10,10,8,6,6,6,7,4,5,3,3,3,4,3,3,3,3,3,3,3,3
ID,25,24,22,24,25,27,26,26,26,27,25,25,24,25,24,24,25,25,24,24,23,22,22,21,21,21,20,21,21,22,20,21,18,18,18,19,17,18,19,20,20,20,18,18,18,19,19,20,20,19
CN,104,104,102,101,101,102,102,111,110,115,117,115,137,153,150,159,155,154,142,143,143,139,141,143,147,146,147,262,354,372,385,393,392,380,412,434,450,425,439,451,458,442,455,477,490,540,566,598,535,546
TW,104,80,87,95,96,96,94,92,92,91,70,72,75,76,78,82,80,79,78,79,79,79,79,79,78,77,77,77,77,77,77,77,77,75,75,74,75,75,74,73,73,72,73,74,78,80,84,84,83,83
EG,10,10,7,5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MY,36,38,36,38,40,40,39,39,40,45,45,44,34,35,39,40,38,40,41,40,40,38,38,39,40,40,39,39,38,36,25,32,31,26,32,34,28,30,25,25,23,28,28,28,28,28,30,30,32,32
TH,36,36,36,42,40,37,37,29,38,41,36,38,34,34,35,36,31,40,40,39,36,41,40,45,46,47,37,42,36,47,40,43,34,39,39,44,37,42,43,46,44,31,31,34,26,22,21,13,11,10
PH,17,19,15,18,16,19,17,20,19,21,18,21,21,24,23,23,24,22,23,23,22,23,22,25,21,21,19,20,19,20,19,20,13,13,12,13,9,12,10,13,11,11,11,15,11,12,11,12,10,10
BR,94,86,79,82,76,77,73,74,73,73,71,67,66,47,46,47,47,46,47,48,47,46,44,45,46,45,46,49,49,50,50,48,48,47,47,47,47,45,44,43,43,42,42,42,41,42,42,42,42,43
PL,17,16,15,15,14,14,14,16,16,16,17,16,16,16,17,18,18,17,18,18,18,17,17,17,18,18,18,18,18,17,16,16,15,15,10,12,13,14,16,17,11,11,11,12,12,12,16,15,15,16
CZ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ZA,48,46,47,47,47,47,46,47,46,47,47,47,46,46,45,44,44,45,44,45,44,46,47,46,46,46,45,44,44,44,43,41,30,30,30,30,30,34,35,34,34,34,34,33,24,27,30,29,30,31
IN,78,75,73,75,74,66,65,66,61,59,59,51,58,60,61,60,60,63,62,63,63,68,68,66,66,67,68,67,65,65,64,66,67,75,74,75,76,88,90,94,94,110,109,110,114,116,124,128,139,146
RU,30,30,28,28,26,22,24,21,24,25,23,21,20,20,19,18,19,22,22,27,24,22,20,23,21,21,22,21,19,17,20,18,18,20,21,25,24,22,21,,,,,,,,,,,
KR,105,102,100,100,98,97,100,101,101,102,102,101,101,107,104,105,106,108,108,107,107,106,106,105,106,101,102,102,103,103,103,102,100,99,98,98,97,96,96,95,101,101,98,98,98,98,97,93,92,94
MX,18,22,23,27,27,25,25,25,25,25,26,26,26,27,27,28,27,26,24,26,26,26,26,26,25,25,25,25,24,24,23,25,18,21,22,22,22,18,18,18,16,16,17,17,17,17,17,17,17,16
MA,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,10,11,11,11,8,9,9,6,5,4,7,9,9,9,10,9,11,6,10,8,8,4,8,8,7,7,7,3,3,4,7,7,4,5,6,8,6,7,8,8,9,9,10,10,10
PK,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,
AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,13,12,14,14,14,11,12
SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,27,26,28,29,28,31,30,32
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,11,11,11,12
KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,6,6,6,6,6,6,6
