Country,2012-06-18,2012-09-24,2012-12-24,2013-03-18,2013-06-24,2013-09-23,2013-12-23,2014-03-24,2014-06-23,2014-09-22,2014-12-22,2015-03-23,2015-06-22,2015-09-21,2015-12-21,2016-03-21,2016-06-20,2016-09-19,2016-12-19,2017-03-20,2017-06-19,2017-09-18,2017-12-18,2018-03-19,2018-06-18,2018-09-24,2018-12-24,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
TW,0.12620243387607732,0.1193215913288617,0.11693065491166209,0.11875349914934337,0.1364536750713568,0.12612202354109295,0.11752355416296559,0.12760959394123073,0.1285513758726367,0.1273838735740778,0.12712182901469543,0.1369845902191035,0.13331560566671588,0.1315126619335561,0.11695311558640235,0.12496905023490766,0.12629698204297574,0.12005850793092901,0.13026481600662157,0.12085067408606756,0.12157649876697449,0.12244844865210588,0.11576476946953762,0.11803800772733225,0.11973550972849348,0.12742692174905,0.11896758697405226,0.11594389452881702,0.11840139353389788,0.12186550670467665,0.12863344075108243,0.13967188045452145,0.13599265114177847,0.13941321396457612,0.14097609501722275,0.14540210664164058,0.15248836534791094,0.1673047447244537,0.1794352925875652,0.18267934296437277,0.17113873474916746,0.1445934624170185,0.14402979168099916,0.1585424053013527,0.1599448675265621,0.15300564557739915,0.16232730066961523,0.17971667808227232,0.19521540316935265,0.18626031055322803
PL,0.012926758236662202,0.013141087711774392,0.014213065462368247,0.013081001261745287,0.014367303354449067,0.013606483123192415,0.014381327776501817,0.015271274910186386,0.014507797281852282,0.015230147977923682,0.014508941967048564,0.013692351453436917,0.013312184401835547,0.012527179872826637,0.011097834246900192,0.01182373115783811,0.010593265847588613,0.009783435586304116,0.01098158303731234,0.011182248906101292,0.01189436148583076,0.012512821999750014,0.012017464305832526,0.010543643994305145,0.010190063884824204,0.011508612229756836,0.01229421759942195,0.011072316870974187,0.0112307092654925,0.009609949190948899,0.008831278253102497,0.007690506051075543,0.007730735080623029,0.00677867308846449,0.005684932754399247,0.006179141971458374,0.007512027615425015,0.008154685492148298,0.008388736308913857,0.008227004531884186,0.00696512348648432,0.004465652926719605,0.0061711693856310035,0.006442273202744053,0.00782783906352139,0.0069629108972736956,0.010005245560503815,0.00977568057901604,0.009987263879609945,0.009104065109393909
CO,0.0034973315420326377,0.012097500678121254,0.012542516544096771,0.012609591266021892,0.014066213408752108,0.014958720440555521,0.013167575835850948,0.011075990525311682,0.011544520360586558,0.010843921269353568,0.008141104999940321,0.005863040246145942,0.005631014744517297,0.0053904872194306935,0.004985455590268976,0.007032461506008022,0.006820752131579317,0.00605779584023018,0.006340416403651577,0.005567492665977981,0.005807702370510666,0.0052032651805062015,0.0048170956013778845,0.0048594903688813345,0.005541235927998578,0.005568101049113075,0.0048702709594869425,0.005652197065780199,0.004833263507805106,0.0044260597642881774,0.004510238033653243,0.002659982805352046,0.0029102994338639212,0.0027466720489177352,0.0030994244810200237,0.002559950361789287,0.0019169425304091218,0.002089622360641678,0.0022826436370263084,0.0019747250580820037,0.0014395916601340352,0.0013759316010765403,0.0013551917276800143,0.0010869311608304108,0.0009593289316831772,0.0010440398471040974,0.0009910234841360047,0.0013766741834014445,0.0013013987065606683,0.0011597975920550998
ZA,0.06563893119361498,0.0650702324750296,0.07011461176729375,0.0610858446428041,0.0604065814581774,0.06171365884481441,0.0630506772212297,0.06678945755581817,0.06702040921289366,0.06330555456766329,0.06750603990520619,0.0688661161737633,0.06547411210885279,0.0635520986908256,0.05426725655342606,0.05599433024119384,0.056067787559553314,0.05711970319256935,0.05680645328985414,0.057406307675660115,0.05404328450577524,0.052011425049849035,0.05866817674096531,0.05851638623506301,0.05118000460874963,0.05255727281237496,0.05259697441268055,0.04971269409839012,0.05167737822021631,0.042482885823173076,0.04132107945399312,0.0307541603785092,0.030162630746198432,0.027100197564689812,0.029592367507454854,0.02974476156266675,0.029234407086205415,0.0248980548825475,0.026774069650154057,0.03364012786616333,0.030424315072993282,0.026961062740168476,0.029277874942304723,0.026976721498544576,0.02397097749983878,0.022415217955711414,0.023165785356966763,0.02063884246137808,0.02309524646344149,0.025452955673733825
IN,0.054624674274686785,0.06187387056885425,0.060604306987461665,0.06512394747127188,0.0651098530312444,0.05443615537354113,0.05922731023033121,0.05952412625260333,0.061514575306481106,0.06394860865344218,0.06696005739887902,0.06799869203557403,0.06969348020858604,0.06928568768860723,0.07299889125259566,0.0702999297654573,0.0740389507664146,0.08329665805387808,0.08331611054208497,0.08378372179866085,0.07963053203003075,0.08463458680025508,0.07935847254874978,0.07255558359643063,0.08687973161549054,0.08076133476857884,0.08615976531423175,0.08525056209295272,0.08650163282023168,0.08390600596916901,0.0819972583579547,0.06919223957901112,0.07445898188835422,0.0874834359207618,0.08682867317064809,0.09103306596022542,0.09767621545618278,0.1405466257794426,0.14112019237616766,0.16610001301469862,0.1602082517145698,0.18781841703763058,0.18176701945300486,0.16578216755040462,0.1731961011231164,0.18590397881398535,0.19753778373459377,0.2071738126712976,0.21878871231217462,0.23103981256022282
PH,0.007779600784430702,0.009418452702064843,0.00979585607945451,0.011144533611809353,0.011037854695798682,0.011116720902165426,0.008992095631999776,0.012535729005851358,0.012102924825747085,0.013128685259904255,0.0136489144500203,0.01586200937481775,0.015175179449346946,0.015017995482788418,0.015729874591471266,0.015672289332784653,0.016837022959844117,0.014904268745127205,0.014486213394386492,0.012646830045881418,0.012868918854189004,0.012367508076603612,0.012839231272363402,0.011519519763512003,0.010324971073353013,0.011411248029078629,0.012486041664657277,0.011696552246146295,0.012376246169809823,0.011722352470696829,0.010797117674236278,0.009380056910415845,0.008603507359342864,0.006750301001345599,0.007130064738971647,0.005776328402037718,0.006170352924356894,0.0052394739475454845,0.0060404901128704395,0.006167219199490953,0.00584366047850604,0.005581062362452685,0.005750560910058313,0.007327988566924557,0.006645526648073149,0.006043491070634382,0.006380704956974428,0.006423611892490084,0.00526144306348876,0.006457161612281772
CN,0.16773519802707004,0.15299277362663868,0.16723218513957194,0.16045666745195536,0.1618021041220202,0.1882899118113261,0.1831575752758066,0.18048500911183168,0.16832813517059156,0.1787556848273703,0.20523255771589186,0.2169676911756815,0.239525942578308,0.2599552831409629,0.2969074565186213,0.2684139875049408,0.2615972406084323,0.2759627183863359,0.23442543627353266,0.27299500136637567,0.28243547866762686,0.29609733429131957,0.3217627362568108,0.3341268498475155,0.36101093962016706,0.326989232921869,0.30903315275059917,0.3361135341040013,0.32848872623819214,0.346122970747972,0.34863097291439915,0.42856642054699484,0.4162025262526114,0.41751833514746006,0.39746522541862905,0.4040093977654599,0.37344961642553615,0.32968037947157497,0.32066808324262885,0.30697309599273476,0.34655409666965203,0.2802905471254989,0.29011642252437064,0.2878127689128969,0.2785071923672048,0.27401790351653404,0.24985448453477668,0.23221017139107963,0.23121639654830023,0.23530847940445046
EG,0.003012241359631406,0.0036427503576123193,0.002114755588792705,0.0018171327079988032,0.0019453016300771462,0.0013841974089216739,0.0016824723168631873,0.0021892728800938814,0.0017610049124953313,0.002255447656300756,0.0023993429338709433,0.002264255583037564,0.0020663152754439363,0.001901038159283583,0.0018127710738861573,0.0017090912169126686,0.001764623977127845,0.0019451828538732878,0.0014596623217005352,0.0013643627105180862,0.001347509774742468,0.0011846306828490923,0.001106940716144953,0.0012623601903886392,0.0012877231274293726,0.0013946760349870376,0.0013161061029412341,0.00123735482098795,0.0015150365409091536,0.0016027153211445075,0.001563744275096169,0.001706262656619675,0.0013095907148172356,0.001187960611436938,0.000943744529763268,0.0007852788439954601,0.0007915617208597506,0.0008351728651122637,0.0009916070526641253,0.0008473086724913634,0.0007688163065670314,0.0006527160065330633,0.0008255120348826774,0.000722199431495676,0.0007526362390288397,0.0008471445120802072,0.001040246349945154,0.0008862132877022612,0.0006893470636989299,0.0006994695405804539
CZ,0.0031438243348791946,0.003086327351178304,0.0028217291662472853,0.0024361714598809476,0.002441027753323611,0.0023277543114596324,0.0023470288440323402,0.0026857174777424873,0.0024663834658418134,0.0024223181956235045,0.002187075556889278,0.0020559224204736515,0.0018847566006339957,0.0018778700113500054,0.0017408281829395305,0.0018618800610336163,0.0017327448503017683,0.0014876123754746842,0.0015467854558585434,0.0015461645804629954,0.0015726348143417239,0.001643934974699225,0.0016189542967282263,0.0016466176138694207,0.0016292133747489992,0.0018255981372289737,0.0017829975006304103,0.0016882747894307252,0.0016599785156410955,0.0014742755655475807,0.001408327013689505,0.001229426894380172,0.0011993916535085337,0.0009732500104645341,0.001060864292181705,0.0010757273338235255,0.0011445162473241854,0.0013305377988678947,0.0015250381814018263,0.0016286298430581124,0.0019810928413706093,0.0015017053169722426,0.0013749823551747072,0.0017641735155995474,0.0016747231032284609,0.0015058087480739706,0.0014719094609660609,0.001392904646355137,0.0013414435249372173,0.0012597541307290496
RU,0.07944430859191623,0.08092802531787674,0.07713164438821023,0.07504500050120416,0.07463954326937446,0.07501269072438278,0.07577757374825363,0.0616418763267803,0.06660576757788289,0.06086656472441309,0.04549639058702156,0.047143676649930216,0.05160550021504975,0.038573392336027794,0.03568139650055446,0.03818341046570793,0.03928150418212775,0.03503270566101904,0.048970264191327544,0.04066962161928509,0.034854558486579,0.03348517417542055,0.03132400924901041,0.03238434803849157,0.03016944806463145,0.033568156906951835,0.047298560060487466,0.04699712295975049,0.049795137771228244,0.053138983043942274,0.05250765398929873,0.04286661518329907,0.04421657555473995,0.041785868762791216,0.04056184681448795,0.04087556263057225,0.04564684864282769,0.04596894416754977,0.0412803571525659,,,,,,,,,,,
