Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2019-03-18,E004YOI5E,TW,TW05E8,1.0,TW0002888005,6452586,Shin Kong Finanl,3655609361.0,0.0007504128132640689
2019-03-18,E004YRAJL,CN,CN8BDV,1.0,KYG011981035,B0PR2F4,AGILE GROUP HDG.,2353274848.0,0.00048307338795854836
2019-03-18,E004YP3A5,RU,EV075,1.0,RU0006944147,B5B1TJ8,TATNEFT PREF,1237495921.0,0.0002540295485036154
2019-03-18,E004YR97B,TW,TW002R,1.0,TW0002317005,6438564,Hon Hai Precision Industry Co,29077217395.0,0.005968886265600323
2019-03-18,E004YV2H9,TH,TH004E,0.5978857,TH0015010000,6889924,Siam Commercial Bank PCL,6430689436.0,0.0013200731463211418
2019-03-18,E004YMW8J,CN,CN88N2,1.0,BMG2109G1033,6460794,CHINA GAS HOLDINGS,7619022914.0,0.0015640107721067147
2019-03-18,E004YQG8L,IN,IN0AFU,0.8347826,INE685A01028,B0XPSB8,Torrent Pharm,1095343921.0,0.00022484900110455376
2019-03-18,E004YR9YX,KR,KR001C,1.0,KR7024110009,6462972,Industrial Bank of Korea,3491571412.0,0.0007167395821731285
2019-03-18,E004YQRFC,CN,CN2078,0.0334299,CNE1000008M8,B29WFR2,CHINA PAC.IN.(GROUP) 'A',939874471.0,0.00019293468646366905
2019-03-18,E004YTOAD,KR,KR71EX,1.0,KR7091990002,BYZ6DH8,CELLTRION HEALTHCARE,2374839921.0,0.0004875002031622791
2019-03-18,E004YOKL8,CL,CL002Z,1.0,CLP7847L1080,2196026,Empresas COPEC SA,6751310635.0,0.0013858893296640668
2019-03-18,E004YO5DY,PL,414305,1.0,PLBRE0000012,4143053,MBANK,1514627456.0,0.00031091830063402655
2019-03-18,E004YSHLA,IN,IN03JR,0.5550416,INE361B01024,6602518,Divis Lab,1964092033.0,0.0004031830763202476
2019-03-18,E004YNCJB,ID,ID00MH,1.0,ID1000125107,B7311V6,Kalbe Farma Tbk PT,2194083901.0,0.0004503951352822933
2019-03-18,E004YNBTM,TW,TW00OD,1.0,TW0002885001,6424110,Yuanta Financial Holding Co Lt,6711007136.0,0.001377615945097423
2019-03-18,E004YRCYP,CN,626383,1.0,HK0000049939,6263830,China Unicom (Hong Kong) Ltd.,8057708080.0,0.0016540627817845821
2019-03-18,E004YR8A2,BR,BR00MO,1.0,BREGIEACNOR9,BD1WX84,Engie Brasil Energia SA,1973666068.0,0.00040514840626367275
2019-03-18,E004YO1NM,KR,KR03FT,1.0,KR7008930000,6146083,HANMI SCIENCE,2155020991.0,0.0004423764152023769
2019-03-18,E004YNAXW,KR,KR50EU,1.0,KR7002791002,6667498,AMOREPACIFIC GROUP PF 1P,180407287.0,0.000037033480988235246
2019-03-18,E004YQP2T,CO,CO0033,1.0,COT13PA00086,BMSK715,Grupo de Inversiones Surameric,2981644657.0,0.0006120633071694199
2019-03-18,E004YU4RW,KR,KR71H0,1.0,KR7282330000,BD95QN1,BGF RETAIL,1686582345.0,0.00034621669804640827
2019-03-18,E004YN1BP,GR,710725,1.0,GRS419003009,7107250,OPAP,2142076865.0,0.00043971928282096525
2019-03-18,E004YRAMH,RU,EV048,1.0,RU0009084396,B5B1RP0,MMK,1263857948.0,0.0002594410684147587
2019-03-18,E004YQ0D8,PH,PH04JT,1.0,PHY2088F1004,6272483,DMCI Holdings Inc,948239405.0,0.0001946518156850449
2019-03-18,E004YRDHG,KR,KR009K,0.8179959,KR7015760002,6495730,Korea Electric Power Corp,7812944177.0,0.0016038183626200905
2019-03-18,E004YN489,PL,EW059,1.0,PLPGER000010,B544PW9,PGE,2223316692.0,0.00045639595724316875
2019-03-18,E004YPM5J,MY,MY21K7,1.0,MYL5681OO001,6695938,PETRONAS DAGANGAN,973465796.0,0.00019983021555478126
2019-03-18,E004YM6GN,TW,TW003S,0.9272137,TW0002412004,6287841,Chunghwa Telecom Co Ltd,16309237900.0,0.0033479127242917613
2019-03-18,E004YRC5Y,KR,KR048N,0.6692161,KR7017670001,6224871,SK TELECOM,8805842052.0,0.001807637538599782
2019-03-18,E004YR9W4,CN,CN20CD,0.05,CNE000001Q93,B1LBS82,CHINA LIFE INSURANCE 'A',661162802.0,0.00013572156904058616
2019-03-18,E004YRDVD,IN,IN00UZ,0.8055854,INE752E01010,B233HS6,Power Grid Corp of India Ltd,4503668140.0,0.0009244998426255962
2019-03-18,E004YRA9W,TW,TW007W,1.0,TW0001303006,6621580,Nan Ya Plastics Corp,14538808147.0,0.0029844840752110205
2019-03-18,E004YP8DY,PL,B0L911,1.0,PLPGNIG00014,B0L9113,POLISH OIL AND GAS,2776034554.0,0.0005698562657185965
2019-03-18,E004YMVPX,PH,PH04IS,0.941398,PHY603051020,B1L8838,Metro Pacific Investments Corp,1172806092.0,0.0002407502093358816
2019-03-18,E004YP8J8,KR,KR00FQ,1.0,KR7034220004,B01VZN9,LG Display Co Ltd,4101588263.0,0.0008419620597663514
2019-03-18,E004YRCOC,TR,486993,1.0,TRAISCTR91N2,B03MYS8,TURKIYE IS BANKASI,1703525027.0,0.0003496946423255477
2019-03-18,E004YR9FL,ZA,ZA00AJ,0.5965847,ZAE000018123,6280215,Gold Fields Ltd,1786925500.0,0.00036681484784837297
2019-03-18,E004YOWDK,TR,ET001,1.0,TRETHAL00019,B1WTMP0,TURK. HALK BANKASI,846551678.0,0.00017377765606979968
2019-03-18,E004YRDGD,CN,608039,1.0,CNE1000001W2,6080396,ANHUI CONCH CEMENT H,7168523682.0,0.0014715336054638476
2019-03-18,E004YS7LN,IN,IN00V0,1.0,INE584A01023,6148119,NMDC Ltd,806173377.0,0.00016548891636705842
2019-03-18,E004YR9Z4,KR,KR18H1,1.0,KR7005382007,6148272,HYUNDAI MOTOR PF.2,2519888094.0,0.0005172752684963847
2019-03-18,E004YRC3N,BR,BR04U0,1.0,BRSBSPACNOR5,B1YCHL8,CIA DE SANEAMENTO BASICO SP,3926997894.0,0.0008061226587166007
2019-03-18,E004YNL02,BR,BR0046,0.7228916,BRBBASACNOR3,2328595,Banco do Brasil SA,12138083372.0,0.002491670304817434
2019-03-18,E004YSKR7,PH,PH20HP,1.0,PHY0927M1046,B7RLFB0,BLOOMBERRY RESORTS,915641017.0,0.0001879601138013781
2019-03-18,E004YM6IJ,IN,IN08T6,0.4706993,INE089A01023,6410959,Dr Reddys Lab,2284831217.0,0.0004690234792793924
2019-03-18,E004YOSHE,RU,50058A,1.0,RU0009029524,B5BHR47,SURGUTNEFTEGAS PREF.,4762170155.0,0.0009775643812987098
2019-03-18,E004YRAAF,CN,691316,1.0,HK0270001396,6913168,Guangdong Investment Ltd.,5522544470.0,0.0011336517999765091
2019-03-18,E004YPELI,IN,IN032A,0.4617122,INE059A01026,B011108,Cipla Ltd,2139969081.0,0.00043928660307731773
2019-03-18,E004YRDZX,CN,CN88T8,1.0,KYG3777B1032,6531827,GEELY AUTOMOBILE HDG.,10089188873.0,0.0020710792259459013
2019-03-18,E004YOCU4,BR,BR00PR,1.0,BRVIVTACNPR7,B3ZCNF7,TELEFONICA BRASIL PREF.,5774832164.0,0.0011854406809839305
