STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
KR152J;6406271;KR7053800009;20190318;1;1.0
TW10J9;B1GJFG8;TW0003533006;20190318;1;1.0
CN87P3;BC9S4J5;KYG2110A1114;20190318;1;1.0
KR404J;BKF2806;KR7192820009;20190318;1;1.0
ID20NK;B3Z3L12;ID1000115702;20190318;1;1.0
IN10DJ;BGQL729;INE484J01027;20190318;1;0.5188179
CN8CDW;B29MKF5;KYG9222R1065;20190318;1;1.0
TH20YA;BV7KP04;TH0278A10Z08;20190318;1;0.6281407
MY21AX;B7GJ601;MYL5218OO002;20190318;1;1.0
KR172L;6771258;KR7005500004;20190318;1;1.0
CN259F;6835422;CNE000000GG0;20190318;1;1.0
HK90W6;B89X6B8;KYG8572D1135;20190318;1;1.0
IN11BI;B1KMXR0;INE371A01025;20190318;1;0.6185567
TW0683;6687872;TW0003189007;20190318;1;1.0
TH50S7;BXQ1KK7;TH4100010Z04;20190318;1;1.0
CN8ATA;BF5JNV8;KYG4364T1013;20190318;1;1.0
KR60DU;B1L3VL2;KR7039200001;20190318;1;1.0
TH602I;BD4DC87;TH6838010002;20190318;1;1.0
IN028F;B0C1DM3;INE465A01025;20190318;1;0.6530612
KR02AN;6496142;KR7003530003;20190318;1;1.0
IN50IS;BYXXQB6;INE398R01022;20190318;1;0.8278717
TH50KZ;B02YT24;TH0788010005;20190318;1;0.922961
550391;B03MV32;TRAKRDMR91G7;20190318;1;1.0
IN02Z6;6304728;INE486A01013;20190318;1;0.8806614
CN1DP2;6388700;CNE100000379;20190318;1;1.0
MY707Y;BYVNW76;MYL5279OO004;20190318;1;1.0
B03MWQ;B03MWQ2;TRAOTKAR91H3;20190318;1;1.0
TW01ZP;6870865;TW0001802007;20190318;1;1.0
BR02JN;2200154;BRCPLEACNPB9;20190318;1;1.0
IN50DN;6211204;INE670A01012;20190318;1;0.4329785
TW1AHH;6987602;TW0002014008;20190318;1;1.0
CN3103;B0M6DX9;KYG2198S1093;20190318;1;1.0
CN659J;BYW7534;HK0000255361;20190318;1;1.0
589866;5898664;GRS393503008;20190318;1;1.0
KR18WG;6346689;KR7036420008;20190318;1;0.4428698
KR01U6;6407780;KR7002320000;20190318;1;1.0
CN0SRI;BFZCJC0;CNE100001QN2;20190318;1;1.0
BR05AH;B10LQP6;BRTOTSACNOR8;20190318;1;1.0
KR01Q2;B04PZG1;KR7001740000;20190318;1;1.0
ZA209K;6588577;ZAE000044897;20190318;1;1.0
TW142W;6431875;TW0004532007;20190318;1;1.0
KR308M;6219888;KR7032500001;20190318;1;1.0
KR401G;BFPM3C8;KR7064350002;20190318;1;1.0
KR144K;6145916;KR7025540006;20190318;1;1.0
KR623M;BZ8TP86;KR7240810002;20190318;1;1.0
KR1J3Y;BP9DKY8;KR7200130003;20190318;1;1.0
KR51K1;B636JW1;KR7115450009;20190318;1;1.0
KR149P;B0CSXQ8;KR7042700005;20190318;1;1.0
HK009A;6797458;CNE1000004C8;20190318;1;1.0
CN8BL3;6750848;BMG760581097;20190318;1;1.0
KR19BW;6726430;KR7034310003;20190318;1;1.0
MX204P;BG1Z6X0;MX01R0000006;20190318;1;1.0
HK13KP;BH35L96;KYG210AW1064;20190318;1;1.0
645514;6455143;HK0165000859;20190318;1;1.0
TW17TQ;6432566;TW0001537009;20190318;1;1.0
TW03JB;6146823;TW0002388006;20190318;1;1.0
CN8CXG;B4JMX94;KYG211411098;20190318;1;1.0
BR1609;BZ4F3Q2;BRCAMLACNOR3;20190318;1;1.0
ZA13V8;BCDYGW6;ZAE000180915;20190318;1;1.0
ZA00T2;6688068;ZAE000005443;20190318;1;1.0
TW082Z;B1L8PB5;TW0006271000;20190318;1;1.0
IN04U3;B0YVBS3;INE246F01010;20190318;1;0.4302617
TH20HT;6578170;TH0699010003;20190318;1;0.7833733
B1B59T;B1B59T2;PLFAMUR00012;20190318;1;1.0
ZA20JU;BN8SXL8;ZAE000190724;20190318;1;1.0
CN1G4K;B4YX1N2;CNE100000X69;20190318;1;1.0
IN061C;6312345;INE175A01038;20190318;1;0.8533637
ID20DA;6538527;ID1000092406;20190318;1;1.0
MY30H4;B1KL2D6;MYQ0138OO006;20190318;1;1.0
TW11F6;6105136;TW0002404001;20190318;1;1.0
CN0PBZ;6623360;CNE100000239;20190318;1;1.0
KR51FW;B1LJQC6;KR7092730001;20190318;1;1.0
TH204G;BYYH5C1;TH0420010Y01;20190318;1;0.3308629
BR02X1;B5720R0;BRECORACNOR8;20190318;1;1.0
KR51HY;B3XSP95;KR7095700001;20190318;1;1.0
610573;6105738;BMG2154F1095;20190318;1;1.0
IN12V3;B1LQJY0;INE836A01035;20190318;1;1.0
CN8BK2;BDDLRK9;KYG9891U1334;20190318;1;1.0
EV006;B5B6XH9;RU000A0DQZE3;20190318;1;1.0
PK506K;6859251;PK0061701014;20190318;1;1.0
TH50WB;BB968V2;TH4547010009;20190318;1;0.8274232
MX402P;BFNXZM7;MX01LA040003;20190318;1;1.0
BR2037;2599131;BRPOMOACNPR7;20190318;1;1.0
669377;6693772;KYG5427W1309;20190318;1;1.0
PK208J;6677141;PK0023901017;20190318;1;1.0
IN07MY;B1JRSG0;INE870H01013;20190318;1;0.9227872
TW16FB;6156770;TW0005388003;20190318;1;1.0
635425;6354251;BMG2442N1048;20190318;1;1.0
IN05GQ;B0C5QR1;INE043D01016;20190318;1;0.5195766
KR30CQ;BGCB6C6;KR7183190008;20190318;1;1.0
MY22F3;6093167;MYL7052OO003;20190318;1;1.0
KR14CS;6290719;KR7049770001;20190318;1;1.0
656099;6560995;CNE1000002P4;20190318;1;1.0
KR05HX;6419008;KR7041960006;20190318;1;1.0
KR075N;B55SJJ5;KR7108670001;20190318;1;1.0
IN0B5L;B07PYG1;INE191B01025;20190318;1;1.0
BR02TX;B27WY88;BRDTEXACNOR3;20190318;1;1.0
KR10ZB;6149383;KR7008060006;20190318;1;1.0
CN8BEW;B17N9P6;KYG4100M1050;20190318;1;1.0
TW1APP;B5T7VM5;KYG898431096;20190318;1;1.0
CN8E1M;B3ZNGT5;KYG407691040;20190318;1;1.0
KR81J3;6166155;KR7033180001;20190318;1;1.0
KR02V8;6489302;KR7005440003;20190318;1;1.0
IN60LW;BD2X4V6;INE988K01017;20190318;1;0.5317417
KR12JX;6219297;KR7005290002;20190318;1;1.0
TW1594;6146629;TW0002428000;20190318;1;1.0
KR04Q5;6204828;KR7028150001;20190318;1;0.7668232
KR05JZ;6211679;KR7042670000;20190318;1;1.0
CN0X40;BSBND71;CNE100001T72;20190318;1;1.0
IN0AKZ;B6Z1L73;INE245A01021;20190318;1;0.3687619
TH706N;BZ2YMZ3;TH6678010005;20190318;1;0.5450581
BR05V2;B23GH52;BRBEEFACNOR6;20190318;1;1.0
MX11M7;BYMXF65;MX01Q0000008;20190318;1;1.0
TH50T8;B7Y5QF6;TH4101010007;20190318;1;0.9825546
IN035D;6099905;INE055A01016;20190318;1;0.4786598
KR04R6;B24FX49;KR7028670008;20190318;1;1.0
IN617J;BD0F6Q3;INE951I01027;20190318;1;0.462431
BR902D;2211747;BRGUARACNOR4;20190318;1;1.0
IN806J;BF93XC7;INE149A01033;20190318;1;0.384
BR907I;B82CQN4;BRLCAMACNOR3;20190318;1;1.0
KR15BS;B012WC0;KR7066700006;20190318;1;1.0
IN60FQ;BYY2W03;INE600L01024;20190318;1;0.6066734
IN11U1;6099875;INE042A01014;20190318;1;0.8787661
CN88U9;BP1QK56;KYG2161T1004;20190318;1;1.0
KR62P8;BYMM0G7;KR7065660003;20190318;1;1.0
HK00LM;6579010;CNE1000004F1;20190318;1;1.0
IN01HN;B01VRK0;INE423A01024;20190318;1;0.6962576
KR02R4;6497134;KR7005250006;20190318;1;1.0
CN0OH4;6208422;CNE100000221;20190318;1;1.0
CN0OK7;B04KP88;CNE1000004Y2;20190318;1;1.0
IN712F;6399887;INE545A01016;20190318;1;0.4348592
CN8A1I;B0MSW50;KYG5636C1078;20190318;1;1.0
487454;4874546;CS0008418869;20190318;1;1.0
CN8BUC;B1YBF00;KYG532241042;20190318;1;1.0
KR02JW;6638115;KR7004370003;20190318;1;1.0
IN40CL;B0VX289;INE769A01020;20190318;1;0.2734731
KR64CX;BD0M3Q3;KR7237690003;20190318;1;1.0
IN01TZ;6168902;INE438A01022;20190318;1;0.6098387
TW01VL;6136318;TW0001723005;20190318;1;1.0
KR01HT;6276117;KR7001230002;20190318;1;1.0
TW010Q;6384344;TW0001210003;20190318;1;1.0
TW07D9;6328933;TW0005469001;20190318;1;1.0
PH808M;B3MM015;PHY4092J1026;20190318;1;1.0
TW12SK;6683416;TW0006269004;20190318;1;1.0
KR302G;B8GNS93;KR7037560000;20190318;1;1.0
CN40HK;BGY6SV2;CNE100001QS1;20190318;1;1.0
KR076O;B622C10;KR7111770004;20190318;1;1.0
TW12E6;6524236;TW0001909000;20190318;1;1.0
KR04CR;6036021;KR7018670000;20190318;1;1.0
CN1E0E;B59GZJ7;CNE100000PP1;20190318;1;1.0
BR1159;2835545;BRSTBPACNOR3;20190318;1;1.0
TW0830;6676450;TW0006282007;20190318;1;1.0
KR01CO;6407757;KR7000990002;20190318;1;1.0
635467;6354671;HK0639031506;20190318;1;1.0
TW03ZR;6241513;TW0002458007;20190318;1;1.0
TW03KC;6175667;TW0002392008;20190318;1;1.0
CN91MV;B7TWG07;HK0000145638;20190318;1;1.0
RU704W;BTSTNQ8;RU000A0JSQ90;20190318;1;1.0
CN1RTK;BYWRSY6;US69354V1089;20190318;1;1.0
CN8AQ7;B0N6Y91;KYG521051063;20190318;1;1.0
IN126E;B0XTD15;INE226H01026;20190318;1;0.8948137
PH502D;B60HTZ0;PHY5953G1032;20190318;1;1.0
IN82AP;BYVKT10;INE674K01013;20190318;1;0.6713287
690580;6905808;CNE1000004K1;20190318;1;1.0
HK00PQ;B1528Y7;KYG886801060;20190318;1;1.0
TW02G7;6988597;TW0002201001;20190318;1;1.0
KR014G;6805801;KR7000370007;20190318;1;1.0
699076;6990763;CNE1000004S4;20190318;1;1.0
KR1J50;BYP4Z21;KR8840120008;20190318;1;1.0
KR50P5;6235936;KR7025980004;20190318;1;1.0
TH20JV;B7361H7;TH0747A10Z01;20190318;1;1.0
601564;6015644;CNE1000001V4;20190318;1;1.0
ID5022;B7VW3S2;ID1000126105;20190318;1;1.0
KR712L;B058V49;KR7049950009;20190318;1;1.0
KR11DQ;6276162;KR7003620002;20190318;1;1.0
HK196H;BYZWFF8;KYG1146W1050;20190318;1;1.0
TW08VS;6748423;TW0009945006;20190318;1;1.0
TW1IKS;6568041;TW0003016002;20190318;1;1.0
KR10GS;B53YZC0;KR7108320003;20190318;1;1.0
CN089G;6587057;CNE1000001B6;20190318;1;1.0
RU503T;B5B5C35;RU0007976965;20190318;1;1.0
ID00KF;6092498;ID1000066004;20190318;1;1.0
