STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CN1IBT;B544N70;CNE100000X85;20120618;1;1.0
635425;6354251;BMG2442N1048;20120618;1;1.0
663094;6630940;HK0257001336;20120618;1;1.0
CN0OCZ;B0PH5N3;CNE100000312;20120618;1;1.0
HK01IK;6728793;HK1208013172;20120618;1;1.0
681001;6810010;HK0363006039;20120618;1;1.0
CN8D6Q;B4YSQ09;KYG614131038;20120618;1;1.0
CN0P2Q;6718255;CNE100000338;20120618;1;1.0
CN0OK7;B04KP88;CNE1000004Y2;20120618;1;1.0
B1TLR6;B1TLR65;HK0606037437;20120618;1;1.0
642539;6425395;CNE1000001T8;20120618;1;1.0
HK00RS;6181482;BMG1368B1028;20120618;1;1.0
CN8D8S;B56KLY9;KYG5635P1090;20120618;1;1.0
CN0OTG;6536651;CNE100000296;20120618;1;1.0
CN00ED;6559335;CNE1000002V2;20120618;1;1.0
CN1B1C;6013693;CNE1000002T6;20120618;1;1.0
CN00BA;B1DYPZ5;CNE1000002M1;20120618;1;1.0
HK0157;B01YCG0;BMG0957L1090;20120618;1;1.0
653611;6536112;HK2388011192;20120618;1;1.0
CN8CAT;B28XTR4;KYG3774X1088;20120618;1;1.0
CN0Q2R;B0Y91C1;CNE1000002N9;20120618;1;1.0
622098;6220987;HK0119000674;20120618;1;1.0
CN57P0;6054175;CNE000000TH1;20120618;1;1.0
691316;6913168;HK0270001396;20120618;1;1.0
CN8CM5;B39Z8W4;KYG2116M1015;20120618;1;1.0
CN1IDV;B4Q1Y57;CNE100000X44;20120618;1;1.0
CN8BZH;B1Z69H9;KYG650071098;20120618;1;1.0
CN0021;B1G1QD8;CNE1000003G1;20120618;1;1.0
CN8DL5;B5M86D1;KYG2159F1046;20120618;1;1.0
CN0054;B0B8Z29;CNE100000205;20120618;1;1.0
PH227;B41XC98;KYG2113L1068;20120618;1;1.0
641613;6416139;HK0144000764;20120618;1;1.0
634007;6340078;BMG5320C1082;20120618;1;1.0
CN0OQD;B3ZVDV0;CNE100000FN7;20120618;1;1.0
CN0065;6226576;CNE1000003W8;20120618;1;1.0
CN1022;B433995;CNE100000Q35;20120618;1;1.0
HK0102;B0BM5T8;KYG216771363;20120618;1;1.0
HK00UV;6535517;BMG2113B1081;20120618;1;1.0
