STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
KR00FQ;B01VZN9;KR7034220004;20190318;1;1.0
TW00UJ;6411877;TW0002880002;20190318;1;1.0
ZA209K;6588577;ZAE000044897;20190318;1;1.0
TW00H6;6444066;TW0002886009;20190318;1;1.0
MX005O;2967084;MX01EL000003;20190318;1;1.0
CN0313;B249NZ2;CNE100000734;20190318;1;0.022867
405180;B03MP18;TRAARCLK91H5;20190318;1;1.0
CN8D8S;B56KLY9;KYG5635P1090;20190318;1;1.0
CN04IL;B193HF0;CNE000001NG4;20190318;1;0.078329
CL00C9;2309255;CLP3615W1037;20190318;1;1.0
KY00GY;B0FXT17;US0567521085;20190318;1;1.0
CL0030;2299453;CLP371861061;20190318;1;1.0
656099;6560995;CNE1000002P4;20190318;1;1.0
KR70VD;BYX9GP8;KR7241560002;20190318;1;1.0
CN52TZ;BTG8088;CNE100001WS9;20190318;1;0.0603622
CN0QF4;6104780;CNE000000V89;20190318;1;0.1
TW00I7;6141011;TW0002382009;20190318;1;1.0
IN00EJ;6171900;INE001A01036;20190318;1;1.0
BR00SU;2945422;BRWEGEACNOR0;20190318;1;1.0
ID0072;B01C1P6;ID1000109507;20190318;1;1.0
CN7208;BDC68B3;CNE100002G76;20190318;1;0.0381388
CN1I6O;B57JY24;CNE100000HF9;20190318;1;1.0
469876;B03MWY0;TRAPETKM91E0;20190318;1;1.0
CN20JK;B466322;CNE100001526;20190318;1;0.0686185
MX00EX;2043423;MXP000511016;20190318;1;1.0
CN20NO;B3NBFQ1;CNE1000010M4;20190318;1;0.0811908
B0N6YC;B0N6YC4;TREVKFB00019;20190318;1;1.0
CN2089;B281JM3;CNE100000767;20190318;1;0.1
CN71FM;BD5BP36;CNE100002FM5;20190318;1;0.0322621
TW04TM;6186023;TW0002618006;20190318;1;0.8897766
CN0OQD;B3ZVDV0;CNE100000FN7;20190318;1;1.0
PH222;B42SRM0;CNE100000FF3;20190318;1;1.0
IN04T2;BYQKH33;INE047A01021;20190318;1;0.836463
CN70TZ;BYNGG26;HK0000311099;20190318;1;1.0
BR00RT;B2QY968;BRHYPEACNOR0;20190318;1;1.0
IN028F;B0C1DM3;INE465A01025;20190318;1;0.6530612
IN07BN;B1S34K5;INE196A01026;20190318;1;0.6486286
TW006V;6372480;TW0002454006;20190318;1;1.0
CL002Z;2196026;CLP7847L1080;20190318;1;1.0
BR305A;B128R96;BREQTLACNOR0;20190318;1;1.0
TH004E;6889924;TH0015010000;20190318;1;0.5978857
ZA215H;6040958;ZAE000049433;20190318;1;1.0
KR20LY;B7T5KQ0;KR7161390000;20190318;1;1.0
IN00AF;B0166K8;INE018A01030;20190318;1;0.3456221
610989;6109893;CNE1000004Q8;20190318;1;1.0
KR05BR;6264189;KR7036570000;20190318;1;1.0
KR00Y9;6988337;KR7000100008;20190318;1;1.0
CN1I9R;B2PFVH7;CNE100000981;20190318;1;1.0
KR039N;6249658;KR7006800007;20190318;1;1.0
BR10KN;B00FM86;BRBBDCACNOR1;20190318;1;1.0
KR00S3;6175076;KR7033780008;20190318;1;1.0
MX001K;2667470;MXP001691213;20190318;1;1.0
KR50AQ;6186153;KR7001041003;20190318;1;1.0
KR18H1;6148272;KR7005382007;20190318;1;1.0
ID0083;B3BQFC4;ID1000111305;20190318;1;1.0
ZA00R0;6113485;ZAE000028296;20190318;1;1.0
ID00C7;6454861;ID1000061302;20190318;1;1.0
IN00MR;BPFJHC7;INE238A01034;20190318;1;0.8295034
IN005A;B01NPJ1;INE467B01029;20190318;1;0.8577555
IN006B;6205122;INE009A01021;20190318;1;1.0
CN01QQ;6783941;CNE000000C82;20190318;1;0.0360295
CN04UX;B3CPT84;CNE100000CP9;20190318;1;0.0761615
CN8E4P;BF5L8M0;KYG4387E1070;20190318;1;1.0
MY103O;B03J9L7;MYL5099OO006;20190318;1;0.7237054
TW104U;B1YMYT5;TW0002049004;20190318;1;1.0
EG2051;6298177;EGS37091C013;20190318;1;1.0
KR209M;B0P5XC2;KR7084990001;20190318;1;1.0
CN1B1C;6013693;CNE1000002T6;20190318;1;1.0
KR71H0;BD95QN1;KR7282330000;20190318;1;1.0
CN1BMX;6171375;CNE1000002K5;20190318;1;1.0
ZA008H;6606996;ZAE000066304;20190318;1;1.0
715363;7153639;PLBZ00000044;20190318;1;1.0
CL0052;B00R3L2;CL0000000100;20190318;1;1.0
CN89HX;6333937;KYG3066L1014;20190318;1;1.0
ZA903L;BD9FS46;ZAE000248498;20190318;1;1.0
609967;6099671;CNE1000006Z4;20190318;1;1.0
CN0616;B292YZ3;CNE100000866;20190318;1;0.0773794
HK00UV;6535517;BMG2113B1081;20190318;1;1.0
KR19F0;6662932;KR7000151001;20190318;1;1.0
MX00O7;B292SM8;MX01ME090003;20190318;1;1.0
B0L911;B0L9113;PLPGNIG00014;20190318;1;1.0
ZA00LU;6418801;ZAE000084992;20190318;1;1.0
KR04R6;B24FX49;KR7028670008;20190318;1;1.0
CN20BC;6073062;CNE000000TK5;20190318;1;0.0475737
CN2067;B1G2JY3;CNE000001P37;20190318;1;0.1
TH224I;B018C06;TH0128B10Z09;20190318;1;0.6420335
CN07U0;6731133;CNE000001GL8;20190318;1;0.0350058
IN309H;B92P9G4;INE121J01017;20190318;1;1.0
PH1018;B725S29;PHY716171079;20190318;1;1.0
CN20FG;B3Y2110;CNE1000015Y8;20190318;1;0.0595356
KR05IY;6211732;KR7042660001;20190318;1;1.0
CN20QR;B3WXMX4;CNE1000018V8;20190318;1;0.1
CN14MQ;6773511;CNE000000KB3;20190318;1;0.0596066
KR058O;6182076;KR7036460004;20190318;1;0.5620082
ZA216I;6134464;ZAE000146932;20190318;1;1.0
CN8B8Q;BPYM749;BMG0171W1055;20190318;1;1.0
CN86KX;BFMFKK7;US44332N1063;20190318;1;1.0
CN0YC9;6316057;CNE0000016S0;20190318;1;0.1
PH044E;6055112;PHY0488F1004;20190318;1;0.7514559
MY00G0;6868398;MYL4863OO006;20190318;1;1.0
CN03NP;B1WLHY0;CNE1000000T0;20190318;1;0.0552283
TH00CM;6492827;TH0150010Z03;20190318;1;0.5564211
IN01Y4;BCRWL65;INE021A01026;20190318;1;0.3822143
BR0024;2196286;BRVALEACNOR0;20190318;1;1.0
TH303G;BX8ZRM8;TH3871010Z01;20190318;1;0.6913214
TW003S;6287841;TW0002412004;20190318;1;0.9272137
PH04CM;6068411;PHY0001Z1040;20190318;1;0.9111617
IN00PU;B037HF1;INE733E01010;20190318;1;0.814664
PH227;B41XC98;KYG2113L1068;20190318;1;1.0
710725;7107250;GRS419003009;20190318;1;1.0
BR00BD;BG36ZK1;BRB3SAACNOR6;20190318;1;1.0
KR01W8;6490917;KR7002380004;20190318;1;1.0
IN02EL;B2QKWK1;INE918I01018;20190318;1;0.5273566
BR00PR;B3ZCNF7;BRVIVTACNPR7;20190318;1;1.0
ZA00DM;6801575;ZAE000012084;20190318;1;1.0
KR04DS;B00LR01;KR7018880005;20190318;1;1.0
608039;6080396;CNE1000001W2;20190318;1;1.0
CN24Y3;6001096;CNE000000R44;20190318;1;1.0
CN634C;BYNK383;CNE100002367;20190318;1;1.0
ZA20DO;B038WK4;ZAE000058517;20190318;1;1.0
KR18K4;6346924;KR7051911006;20190318;1;1.0
KR70SA;BD4HFT1;KR7267250009;20190318;1;1.0
405196;B03MP41;TRAASELS91H2;20190318;1;1.0
CO2013;B4ZRC96;COT13PA00060;20190318;1;1.0
PH04JT;6272483;PHY2088F1004;20190318;1;1.0
KR17VE;6346935;KR7051901007;20190318;1;1.0
EG004Y;6243898;EGS60121C018;20190318;1;1.0
BR01UX;BG7ZWY7;BRABEVACNOR1;20190318;1;1.0
