STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CN8BDV;B0PR2F4;KYG011981035;20190318;1;1.0
TW207Z;B58J1S8;KYG202881093;20190318;1;1.0
CN0SE5;6086974;CNE000000TY6;20190318;1;0.1
KR17TC;6406066;KR7010951002;20190318;1;1.0
CN09LT;6984045;CNE0000008X7;20190318;1;0.0769231
BR0024;2196286;BRVALEACNOR0;20190318;1;1.0
ZA602H;BZBFKT7;ZAE000216537;20190318;1;1.0
TH00GQ;B5VSK29;TH1027010004;20190318;1;1.0
CN8BTB;B6WY993;KYG211081248;20190318;1;1.0
CN0P0O;B3NFC51;CNE100000F20;20190318;1;1.0
CN2045;B620Y41;CNE100000RJ0;20190318;1;0.1
CN20HI;B4TH690;CNE1000017G1;20190318;1;0.0983929
KR19F0;6662932;KR7000151001;20190318;1;1.0
PH047H;B1Z9Q99;PHY0005M1090;20190318;1;1.0
TH302F;BF5SY12;TH3740010Z08;20190318;1;1.0
MY009T;B5387L5;MYL6012OO008;20190318;1;1.0
CN14MQ;6773511;CNE000000KB3;20190318;1;0.0596066
HK0067;B1VRCG6;CNE100000114;20190318;1;1.0
CN8EF0;B3MPN59;HK0000083920;20190318;1;1.0
IN00KP;6133405;INE129A01019;20190318;1;0.5114
TW030S;6868439;TW0002347002;20190318;1;1.0
KR048N;6224871;KR7017670001;20190318;1;0.6692161
MX00I1;2491914;MXP606941179;20190318;1;1.0
BR708H;BF7LBH4;BRCRFBACNOR2;20190318;1;1.0
CN40HK;BGY6SV2;CNE100001QS1;20190318;1;1.0
CO1012;BJ62LW1;COB07PA00086;20190318;1;1.0
CN04IL;B193HF0;CNE000001NG4;20190318;1;0.078329
CN8D4O;BD3DS68;KYG2119W1069;20190318;1;1.0
KR03Q4;6440020;KR7011170008;20190318;1;1.0
B03NGS;B03NGS5;PLPKO0000016;20190318;1;1.0
MX00AT;2822398;MXP370641013;20190318;1;1.0
MX01O8;2242059;MXP320321310;20190318;1;1.0
CN8BR9;B1YBT08;KYG8586D1097;20190318;1;1.0
RU201O;B3ZQM29;RU000A0JRKT8;20190318;1;1.0
CL002Z;2196026;CLP7847L1080;20190318;1;1.0
TW004T;6425663;TW0002882008;20190318;1;1.0
ZA001A;6563206;ZAE000042164;20190318;1;1.0
ID0061;6719764;ID1000111602;20190318;1;1.0
KR80Q9;B233991;KR7096771001;20190318;1;1.0
IN08CP;B00KT68;INE347G01014;20190318;1;0.8
HK11JM;B63DLB5;HK0000077468;20190318;1;1.0
MY22MA;6188193;MYL5014OO005;20190318;1;1.0
416441;B03MNV4;TRAAEFES91A9;20190318;1;1.0
KR056M;6194037;KR7035720002;20190318;1;1.0
MY23K9;B00MRS2;MYL7277OO006;20190318;1;1.0
IN08AN;B058J56;INE140A01024;20190318;1;0.7499138
ZA702I;BYX3N48;ZAE000210688;20190318;1;1.0
MY21OB;6436450;MYL1082OO006;20190318;1;1.0
710725;7107250;GRS419003009;20190318;1;1.0
CN8E4P;BF5L8M0;KYG4387E1070;20190318;1;1.0
MY005P;6904612;MYL5347OO009;20190318;1;1.0
IN056G;6100476;INE094A01015;20190318;1;0.8181632
KR03T7;6499323;KR7011780004;20190318;1;1.0
IN06U5;6143761;INE326A01037;20190318;1;0.8980938
B058LB;B59HPK1;RU000A0DKVS5;20190318;1;1.0
IN01U0;6702634;INE406A01037;20190318;1;0.7370638
B04QR1;B04QR13;PLCCC0000016;20190318;1;1.0
