STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
BR152A;B27WYK0;BRSULACDAM12;20190318;1;1.0
BR028C;B1RYG58;BRBRMLACNOR9;20190318;1;1.0
BR02Z3;B0D7494;BRENBRACNOR2;20190318;1;1.0
BR2059;B7XL4M8;BROIBRACNOR1;20190318;1;1.0
BR902D;2211747;BRGUARACNOR4;20190318;1;1.0
BR049F;B1H6R62;BRODPVACNOR4;20190318;1;1.0
BR11IM;B1G8KX7;BRTAEECDAM10;20190318;1;1.0
BR701A;BGSH2S6;BRCVCBACNOR1;20190318;1;1.0
BR209D;B23PBF7;BRESTCACNOR5;20190318;1;1.0
BR02TX;B27WY88;BRDTEXACNOR3;20190318;1;1.0
BR02LP;B0YBZJ2;BRCSMGACNOR5;20190318;1;1.0
BR3049;B03L0B0;BRGRNDACNOR3;20190318;1;1.0
BR602A;2440972;BRTRPLACNPR1;20190318;1;1.0
BR309E;B1NXMK6;BRIGTAACNOR5;20190318;1;1.0
BR10DG;B01NTS8;BRGOLLACNPR4;20190318;1;0.9477852
BR4017;BR17H74;BRRLOGACNOR4;20190318;1;1.0
BR30BG;B1P3R43;BRSMTOACNOR3;20190318;1;1.0
BR02OS;2189855;BRCYREACNOR7;20190318;1;1.0
BR15RZ;B8DWT90;BRALUPCDAM15;20190318;1;1.0
BR026A;B01SCS4;BRBRAPACNPR2;20190318;1;1.0
BR02X1;B5720R0;BRECORACNOR8;20190318;1;1.0
BR1047;B4X4D29;BRFLRYACNOR5;20190318;1;1.0
BR05AH;B10LQP6;BRTOTSACNOR8;20190318;1;1.0
BR045B;B235JN1;BRMRVEACNOR2;20190318;1;1.0
BR5018;BF2JKY3;BRSMLSACNOR1;20190318;1;1.0
BR907I;B82CQN4;BRLCAMACNOR3;20190318;1;1.0
BR05LS;2386009;BRUSIMACNPA6;20190318;1;1.0
BR10TW;B17MHG0;BRCESPACNPB4;20190318;1;1.0
BR10BE;B23F8S9;BRBRSRACNPB4;20190318;1;1.0
BR804E;BFB3ZZ2;BRBKBRACNOR4;20190318;1;1.0
BR03JO;B010V16;BRHGTXACNOR9;20190318;1;1.0
BR705E;B3NS1W0;BRARZZACNOR3;20190318;1;1.0
BR5029;B9DL3B4;BRLINXACNOR0;20190318;1;1.0
BR03DI;2648862;BRGOAUACNPR8;20190318;1;1.0
BR703C;2762085;BRSAPRACNPR6;20190318;1;1.0
BR02JN;2200154;BRCPLEACNPB9;20190318;1;1.0
BR10AD;BZ8W2L7;BRTIETCDAM15;20190318;1;1.0
BR20AE;B1YW5V4;BREZTCACNOR0;20190318;1;1.0
BR307C;B07C796;BRALPAACNPR7;20190318;1;1.0
BR20BF;B4LHBQ0;BRQUALACNOR6;20190318;1;1.0
BR0428;B3PRVV4;BRMPLUACNOR3;20190318;1;1.0
BR3016;B23FNB7;BRALSCACNOR0;20190318;1;1.0
BR03TY;B0W1X34;BRLIGTACNOR2;20190318;1;1.0
BR1148;B1Y4WK8;BRSLCEACNOR2;20190318;1;1.0
BR107A;B1FLW42;BRBRPRACNOR9;20190318;1;1.0
BR10VY;B3M5360;BRQGEPACNOR8;20190318;1;1.0
BR044A;B1YWHR4;BRMRFGACNOR0;20190318;1;1.0
BR11JN;B0HZY49;BRLEVEACNOR2;20190318;1;1.0
BR10GJ;B06YX28;BRMYPKACNOR7;20190318;1;1.0
BR12V0;B01SCT5;BRBRAPACNOR5;20190318;1;1.0
BR1609;BZ4F3Q2;BRCAMLACNOR3;20190318;1;1.0
BR05U1;BF2VKB6;BROMGEACNOR0;20190318;1;1.0
BR13EK;2906786;BRTUPYACNOR1;20190318;1;1.0
BR15T1;BFH4PZ9;BRSEERACNOR5;20190318;1;1.0
BR1159;2835545;BRSTBPACNOR3;20190318;1;1.0
BR15Y6;BD83SP2;BRPARDACNOR1;20190318;1;1.0
BR2037;2599131;BRPOMOACNPR7;20190318;1;1.0
BR05V2;B23GH52;BRBEEFACNOR6;20190318;1;1.0
BR906H;B67HNG2;BRSSBRACNOR1;20190318;1;1.0
BR10HK;B010V49;BRRAPTACNPR4;20190318;1;1.0
BR12HM;2905879;BRUNIPACNPB8;20190318;1;1.0
BR1519;B23DMP8;BRABCBACNPR4;20190318;1;1.0
BR13QW;B1XFXM1;BRVULCACNOR2;20190318;1;1.0
CL2032;B6ZJ069;CL0001892547;20190318;1;1.0
CL0096;2174312;CLP256251073;20190318;1;1.0
CL00MJ;B0D6PM1;CL0000001173;20190318;1;1.0
CL00SP;B0LD0L8;CL0000001256;20190318;1;1.0
CL00TQ;B1GBXT3;CL0000001934;20190318;1;1.0
CL8016;2411547;CLP3698K1338;20190318;1;1.0
CL00OL;2196338;CLP3064M1019;20190318;1;1.0
CL02HG;B031CM5;CL0000000449;20190318;1;1.0
CL011Z;2094788;CLP1663V1009;20190318;1;1.0
CN8GK7;BG1VQ38;CNE1000031T5;20190318;1;0.1
