,frm_currency,to_currency,date,exchange_rate,cutoff_date
0,AED,USD,1997-02-28,0.27233115468409586,1997-02-28
0,ARS,USD,1997-02-28,1.0004001601,1997-02-28
0,AUD,USD,1997-02-28,0.7781,1997-02-28
0,ATS,USD,1997-02-28,0.0840760047,1997-02-28
0,BEF,USD,1997-02-28,0.0287273772,1997-02-28
0,BRL,USD,1997-02-28,0.951475058,1997-02-28
0,CAD,USD,1997-02-28,0.7311010382,1997-02-28
0,CHF,USD,1997-02-28,0.6759,1997-02-28
0,CLP,USD,1997-02-28,0.002419698,1997-02-28
0,CNY,USD,1997-02-28,0.120548742,1997-02-28
0,CZK,USD,1997-02-28,0.034299435,1997-02-28
0,DKK,USD,1997-02-28,0.1554098157,1997-02-28
0,EGP,USD,1997-02-28,0.29476787,1997-02-28
0,ESP,USD,1997-02-28,0.0069827526,1997-02-28
0,FIM,USD,1997-02-28,0.1990168567,1997-02-28
0,FRF,USD,1997-02-28,0.1753002016,1997-02-28
0,GBP,USD,1997-02-28,1.6291951776,1997-02-28
0,GRD,USD,1997-02-28,0.0037857278,1997-02-28
0,HKD,USD,1997-02-28,0.1291489087,1997-02-28
0,HUF,USD,1997-02-28,0.005696545,1997-02-28
0,ILS,USD,1997-02-28,0.29907898,1997-02-28
0,IDR,USD,1997-02-28,0.000417101,1997-02-28
0,ITL,USD,1997-02-28,0.0005910165,1997-02-28
0,INR,USD,1997-02-28,0.027870688,1997-02-28
0,JPY,USD,1997-02-28,0.0083104795,1997-02-28
0,JOD,USD,1997-02-28,1.4104372355,1997-02-28
0,KWD,USD,1997-02-28,3.2981542308607037,1997-02-28
0,KRW,USD,1997-02-28,0.001156939,1997-02-28
0,MAD,USD,1997-02-28,0.1066132202,1997-02-28
0,MXN,USD,1997-02-28,0.12547054,1997-02-28
0,MYR,USD,1997-02-28,0.402738639,1997-02-28
0,NLG,USD,1997-02-28,0.5262880901,1997-02-28
0,NOK,USD,1997-02-28,0.1486944626,1997-02-28
0,NZD,USD,1997-02-28,0.6944,1997-02-28
0,PTE,USD,1997-02-28,0.0058983131,1997-02-28
0,PKR,USD,1997-02-28,0.024950165,1997-02-28
0,QAR,USD,1997-02-28,0.27701828480217866,1997-02-28
0,RUB,USD,1997-02-28,0.175947938,1997-02-28
0,SAR,USD,1997-02-28,0.2666454345795292,1997-02-28
0,SEK,USD,1997-02-28,0.13345077,1997-02-28
0,SGD,USD,1997-02-28,0.7010656197,1997-02-28
0,THB,USD,1997-02-28,0.038617509,1997-02-28
0,TRY,USD,1997-02-28,8.134379957,1997-02-28
0,TWD,USD,1997-02-28,0.036337223,1997-02-28
0,USD,USD,1997-02-28,1.0,1997-02-28
0,ZAR,USD,1997-02-28,0.223139589,1997-02-28
0,AED,USD,1997-05-30,0.2722645492253352,1997-05-30
0,ARS,USD,1997-05-30,1.0005002701,1997-05-30
0,AUD,USD,1997-05-30,0.7598,1997-05-30
0,ATS,USD,1997-05-30,0.0837731423,1997-05-30
0,BEF,USD,1997-05-30,0.0284026358,1997-05-30
0,BRL,USD,1997-05-30,0.933271202,1997-05-30
0,CAD,USD,1997-05-30,0.7263746641,1997-05-30
0,CHF,USD,1997-05-30,0.7068,1997-05-30
0,CLP,USD,1997-05-30,0.002388631,1997-05-30
0,CNY,USD,1997-05-30,0.120596713,1997-05-30
0,CZK,USD,1997-05-30,0.03077871,1997-05-30
0,DKK,USD,1997-05-30,0.1539290387,1997-05-30
0,EGP,USD,1997-05-30,0.295011358,1997-05-30
0,ESP,USD,1997-05-30,0.0069492703,1997-05-30
0,FIM,USD,1997-05-30,0.1944012442,1997-05-30
0,FRF,USD,1997-05-30,0.1735056823,1997-05-30
0,GBP,USD,1997-05-30,1.6414970453,1997-05-30
0,GRD,USD,1997-05-30,0.0036660923,1997-05-30
0,HKD,USD,1997-05-30,0.1290655653,1997-05-30
0,HUF,USD,1997-05-30,0.005470011,1997-05-30
0,ILS,USD,1997-05-30,0.294446882,1997-05-30
0,IDR,USD,1997-05-30,0.0004111,1997-05-30
0,ITL,USD,1997-05-30,0.0005909467,1997-05-30
0,INR,USD,1997-05-30,0.027952497,1997-05-30
0,JPY,USD,1997-05-30,0.0086021505,1997-05-30
0,JOD,USD,1997-05-30,1.4104372355,1997-05-30
0,KWD,USD,1997-05-30,3.305786216788832,1997-05-30
0,KRW,USD,1997-05-30,0.001121705,1997-05-30
0,MAD,USD,1997-05-30,0.1062439766,1997-05-30
0,MXN,USD,1997-05-30,0.126326451,1997-05-30
0,MYR,USD,1997-05-30,0.397978555,1997-05-30
0,NLG,USD,1997-05-30,0.5210504377,1997-05-30
0,NOK,USD,1997-05-30,0.1406865504,1997-05-30
0,NZD,USD,1997-05-30,0.6892,1997-05-30
0,PTE,USD,1997-05-30,0.0057917294,1997-05-30
0,PKR,USD,1997-05-30,0.024783406,1997-05-30
0,QAR,USD,1997-05-30,0.27463488974983685,1997-05-30
0,RUB,USD,1997-05-30,0.173370328,1997-05-30
0,SAR,USD,1997-05-30,0.2666240139344109,1997-05-30
0,SEK,USD,1997-05-30,0.1290922235,1997-05-30
0,SGD,USD,1997-05-30,0.699056274,1997-05-30
0,THB,USD,1997-05-30,0.040128413,1997-05-30
0,TRY,USD,1997-05-30,7.084661707,1997-05-30
0,TWD,USD,1997-05-30,0.035880881,1997-05-30
0,USD,USD,1997-05-30,1.0,1997-05-30
0,ZAR,USD,1997-05-30,0.223763711,1997-05-30
0,AED,USD,1997-08-29,0.2722645492253352,1997-08-29
0,ARS,USD,1997-08-29,1.00020007,1997-08-29
0,AUD,USD,1997-08-29,0.732,1997-08-29
0,ATS,USD,1997-08-29,0.0789639924,1997-08-29
0,BEF,USD,1997-08-29,0.0268312316,1997-08-29
0,BRL,USD,1997-08-29,0.91575167,1997-08-29
0,CAD,USD,1997-08-29,0.7204610951,1997-08-29
0,CHF,USD,1997-08-29,0.6698,1997-08-29
0,CLP,USD,1997-08-29,0.00240877,1997-08-29
0,CNY,USD,1997-08-29,0.120650552,1997-08-29
0,CZK,USD,1997-08-29,0.029787614,1997-08-29
0,DKK,USD,1997-08-29,0.145137881,1997-08-29
0,EGP,USD,1997-08-29,0.294290777,1997-08-29
0,ESP,USD,1997-08-29,0.0065565172,1997-08-29
0,FIM,USD,1997-08-29,0.1834828719,1997-08-29
0,FRF,USD,1997-08-29,0.1643385374,1997-08-29
0,GBP,USD,1997-08-29,1.62022035,1997-08-29
0,GRD,USD,1997-08-29,0.0035193918,1997-08-29
0,HKD,USD,1997-08-29,0.1290489095,1997-08-29
0,HUF,USD,1997-08-29,0.005109209,1997-08-29
0,ILS,USD,1997-08-29,0.284171785,1997-08-29
0,IDR,USD,1997-08-29,0.000338983,1997-08-29
0,ITL,USD,1997-08-29,0.0005660591,1997-08-29
0,INR,USD,1997-08-29,0.027525471,1997-08-29
0,JPY,USD,1997-08-29,0.0082815735,1997-08-29
0,JOD,USD,1997-08-29,1.4094433494,1997-08-29
0,KWD,USD,1997-08-29,3.2851514407179474,1997-08-29
0,KRW,USD,1997-08-29,0.001108033,1997-08-29
0,MAD,USD,1997-08-29,0.1022599615,1997-08-29
0,MXN,USD,1997-08-29,0.128551254,1997-08-29
0,MYR,USD,1997-08-29,0.342994376,1997-08-29
0,NLG,USD,1997-08-29,0.4915212583,1997-08-29
0,NOK,USD,1997-08-29,0.1336273134,1997-08-29
0,NZD,USD,1997-08-29,0.6387,1997-08-29
0,PTE,USD,1997-08-29,0.0054501853,1997-08-29
0,PKR,USD,1997-08-29,0.024703876,1997-08-29
0,QAR,USD,1997-08-29,0.27558189801757993,1997-08-29
0,RUB,USD,1997-08-29,0.171218221,1997-08-29
0,SAR,USD,1997-08-29,0.2666240139344109,1997-08-29
0,SEK,USD,1997-08-29,0.1267057765,1997-08-29
0,SGD,USD,1997-08-29,0.6602839221,1997-08-29
0,THB,USD,1997-08-29,0.029248328,1997-08-29
0,TRY,USD,1997-08-29,5.966231488,1997-08-29
0,TWD,USD,1997-08-29,0.034818958,1997-08-29
0,USD,USD,1997-08-29,1.0,1997-08-29
0,ZAR,USD,1997-08-29,0.213151453,1997-08-29
0,AED,USD,1997-11-28,0.2722645492253352,1997-11-28
0,ARS,USD,1997-11-28,1.0004001601,1997-11-28
0,AUD,USD,1997-11-28,0.6809,1997-11-28
0,ATS,USD,1997-11-28,0.0805023346,1997-11-28
0,BEF,USD,1997-11-28,0.0274800769,1997-11-28
0,BRL,USD,1997-11-28,0.901469639,1997-11-28
0,CAD,USD,1997-11-28,0.702938282,1997-11-28
0,CHF,USD,1997-11-28,0.7007,1997-11-28
0,CLP,USD,1997-11-28,0.002285714,1997-11-28
0,CNY,USD,1997-11-28,0.120778793,1997-11-28
0,CZK,USD,1997-11-28,0.02902295,1997-11-28
0,DKK,USD,1997-11-28,0.1488870692,1997-11-28
0,EGP,USD,1997-11-28,0.294074539,1997-11-28
0,ESP,USD,1997-11-28,0.006709158,1997-11-28
0,FIM,USD,1997-11-28,0.1877652184,1997-11-28
0,FRF,USD,1997-11-28,0.1693193363,1997-11-28
0,GBP,USD,1997-11-28,1.6891891892,1997-11-28
0,GRD,USD,1997-11-28,0.003615329,1997-11-28
0,HKD,USD,1997-11-28,0.1293694533,1997-11-28
0,HUF,USD,1997-11-28,0.005013914,1997-11-28
0,ILS,USD,1997-11-28,0.282573801,1997-11-28
0,IDR,USD,1997-11-28,0.00027416,1997-11-28
0,ITL,USD,1997-11-28,0.0005790388,1997-11-28
0,INR,USD,1997-11-28,0.025916822,1997-11-28
0,JPY,USD,1997-11-28,0.0078247261,1997-11-28
0,JOD,USD,1997-11-28,1.4098407079,1997-11-28
0,KWD,USD,1997-11-28,3.290557295035546,1997-11-28
0,KRW,USD,1997-11-28,0.000855066,1997-11-28
0,MAD,USD,1997-11-28,0.1043297014,1997-11-28
0,MXN,USD,1997-11-28,0.121795265,1997-11-28
0,MYR,USD,1997-11-28,0.286451013,1997-11-28
0,NLG,USD,1997-11-28,0.5029169181,1997-11-28
0,NOK,USD,1997-11-28,0.1389178301,1997-11-28
0,NZD,USD,1997-11-28,0.616,1997-11-28
0,PTE,USD,1997-11-28,0.0055561729,1997-11-28
0,PKR,USD,1997-11-28,0.022724176,1997-11-28
0,QAR,USD,1997-11-28,0.2763098187598504,1997-11-28
0,RUB,USD,1997-11-28,0.168563003,1997-11-28
0,SAR,USD,1997-11-28,0.2666240139344109,1997-11-28
0,SEK,USD,1997-11-28,0.1295957907,1997-11-28
0,SGD,USD,1997-11-28,0.6275494195,1997-11-28
0,THB,USD,1997-11-28,0.02484472,1997-11-28
0,TRY,USD,1997-11-28,5.112344277,1997-11-28
