Date;MSCIPriceUSD;SAMCO;STOXX
3-15-2019;1000.00;1000.00;1000.00
3-18-2019;1007.54;1007.87;1007.89
3-19-2019;1005.48;1007.63;1007.45
3-20-2019;1006.18;1007.10;1006.72
3-21-2019;1004.52;1004.98;1004.82
3-22-2019;996.87;992.00;992.44
3-25-2019;985.59;982.09;982.26
3-26-2019;990.90;986.61;986.24
3-27-2019;987.32;981.91;981.03
3-28-2019;985.15;980.50;978.66
3-29-2019;994.03;991.69;990.58
4-1-2019;1004.71;1001.94;1001.30
4-2-2019;1005.28;1003.20;1001.62
4-3-2019;1010.06;1009.42;1007.76
4-4-2019;1009.47;1008.32;1007.37
4-5-2019;1011.82;1011.09;1009.87
4-8-2019;1010.47;1010.79;1009.02
4-9-2019;1014.56;1014.29;1012.96
4-10-2019;1017.50;1017.39;1016.94
4-11-2019;1014.06;1012.04;1012.88
4-12-2019;1013.85;1012.84;1013.49
4-15-2019;1017.03;1013.44;1013.92
4-16-2019;1018.29;1015.13;1014.72
4-17-2019;1019.96;1016.01;1015.91
4-18-2019;1013.31;1010.70;1009.70
4-19-2019;1016.04;1012.94;1012.30
4-22-2019;1012.36;1010.86;1010.14
4-23-2019;1009.98;1007.55;1007.38
4-24-2019;1005.62;1003.67;1003.35
4-25-2019;999.48;995.92;995.98
4-26-2019;996.64;994.17;993.32
4-29-2019;995.61;995.16;993.19
4-30-2019;994.45;994.92;992.41
5-1-2019;995.14;995.45;992.79
5-2-2019;995.01;980.69;982.01
5-3-2019;996.88;983.87;984.95
5-6-2019;982.57;965.41;968.03
5-7-2019;980.24;962.21;964.77
5-8-2019;973.74;955.56;958.50
5-9-2019;955.98;937.46;938.55
5-10-2019;960.09;942.37;942.89
5-13-2019;939.74;924.13;923.39
5-14-2019;940.27;922.69;923.07
5-15-2019;943.19;927.46;929.36
5-16-2019;937.44;922.91;924.02
5-17-2019;926.58;911.30;910.73
5-20-2019;928.96;910.31;907.93
5-21-2019;932.64;916.81;914.41
5-22-2019;933.83;917.86;915.56
5-23-2019;923.97;906.05;904.81
5-24-2019;928.34;909.02;906.36
5-27-2019;934.76;915.39;911.87
5-28-2019;938.15;919.44;916.10
5-29-2019;932.33;914.35;910.30
5-30-2019;938.85;921.12;915.16
5-31-2019;942.84;925.23;918.67
6-3-2019;945.77;927.48;920.11
6-4-2019;946.76;927.74;920.79
6-5-2019;949.13;929.63;923.11
6-6-2019;945.16;925.71;919.29
6-7-2019;948.80;929.90;923.90
6-10-2019;955.71;938.87;931.84
6-11-2019;963.56;947.23;940.05
6-12-2019;960.10;942.45;935.65
6-13-2019;960.26;943.65;937.19
6-14-2019;953.10;935.73;929.63
6-17-2019;948.09;931.07;925.64
6-18-2019;952.77;937.30;931.24
6-19-2019;959.08;946.38;940.02
6-20-2019;973.59;960.80;954.90
6-21-2019;973.18;960.35;954.21
