,Date,Internal_Number,Capfactor,Mcap_Units_Index_Currency
0,2024-09-23,AAPL,1.0,3443280906390.0
1,2024-09-23,MSFT,1.0,3222296468547.0
2,2024-09-23,NVDA,1.0,2859996000000.0
3,2024-09-23,AMZN,1.0,1854997070079.0
4,2024-09-23,US20PD,1.0,1233082779186.0
5,2024-09-23,GOOG,1.0,948279150000.0
6,2024-09-23,US40C2,1.0,910745950000.0
7,2024-09-23,BRCM,1.0,805015593996.0
8,2024-09-23,LLY,1.0,783940606876.0
9,2024-09-23,TW001Q,1.0,740643461884.0
10,2024-09-23,US10YL,1.0,694527195268.0
11,2024-09-23,CHL,1.0,601581629877.0
12,2024-09-23,BRKB,1.0,596653894067.0
13,2024-09-23,UNH,1.0,529497201392.0
14,2024-09-23,XON,1.0,521430480000.0
15,2024-09-23,U0401,1.0,482140530248.0
16,2024-09-23,MACA,1.0,410160149309.0
17,2024-09-23,PG,1.0,409063440011.0
18,2024-09-23,PCCW,1.0,406573683810.0
19,2024-09-23,465191,1.0,398391386822.0
20,2024-09-23,JNJ,1.0,392910311328.0
21,2024-09-23,HD,1.0,388673096345.0
22,2024-09-23,WMT,1.0,352532803157.0
23,2024-09-23,US20SG,1.0,342370408093.0
24,2024-09-23,546078,1.0,319512447767.0
25,2024-09-23,CN89O4,1.0,307206061838.0
26,2024-09-23,NFLX,1.0,302719844483.0
27,2024-09-23,MRK,1.0,293100000747.0
28,2024-09-23,KO,1.0,280458015425.0
29,2024-09-23,NB,1.0,273332239512.0
30,2024-09-23,ORCL,1.0,267220821218.0
31,2024-09-23,461669,1.0,256106911290.0
32,2024-09-23,SFC,1.0,256019490000.0
33,2024-09-23,AMD,1.0,253697029204.0
34,2024-09-23,CHV,1.0,252325916690.0
35,2024-09-23,KR002D,1.0,241599860312.0
36,2024-09-23,098952,1.0,239746992552.0
37,2024-09-23,PEP,1.0,236405545764.0
38,2024-09-23,476361,1.0,234990113081.0
39,2024-09-23,477408,1.0,234693455373.0
40,2024-09-23,ADBE,1.0,234057558000.0
41,2024-09-23,TMO,1.0,233150993708.0
42,2024-09-23,DE70FD,1.0,229474742993.0
43,2024-09-23,690064,1.0,224942968506.0
44,2024-09-23,474577,1.0,222733026255.0
45,2024-09-23,B09CBL,1.0,217296350797.0
46,2024-09-23,MCD,1.0,214528671448.0
47,2024-09-23,ACN,1.0,212475856055.0
48,2024-09-23,CSCO,1.0,210263843159.0
49,2024-09-23,GE,1.0,204576959389.0
50,2024-09-23,IBM,1.0,203113176998.0
51,2024-09-23,ABT,1.0,199757575029.0
52,2024-09-23,US30ZO,1.0,190663300000.0
53,2024-09-23,U0414,1.0,188270917752.0
54,2024-09-23,NOB,1.0,187581778257.0
55,2024-09-23,BEL,1.0,186313355023.0
56,2024-09-23,TXN,1.0,186124419558.0
57,2024-09-23,DHR,1.0,185396698390.0
58,2024-09-23,CN1KCW,1.0,184992673834.0
59,2024-09-23,QCOM,1.0,184879440000.0
60,2024-09-23,AMGN,1.0,180333059524.0
61,2024-09-23,CAT,1.0,179979633716.0
62,2024-09-23,INTU,1.0,179460787590.0
63,2024-09-23,RY,1.0,174427860835.0
64,2024-09-23,FPL,1.0,174265451061.0
65,2024-09-23,ISRG,1.0,173475976366.0
66,2024-09-23,454005,1.0,169307857513.0
67,2024-09-23,DIS,1.0,168609218719.0
68,2024-09-23,PFE,1.0,166090832326.0
69,2024-09-23,490541,1.0,165804305555.0
70,2024-09-23,040054,1.0,164899027558.0
71,2024-09-23,091321,1.0,164002741696.0
72,2024-09-23,621503,1.0,163247279444.0
73,2024-09-23,MHP,1.0,163098040000.0
74,2024-09-23,UTX,1.0,159987888549.0
75,2024-09-23,AMAT,1.0,159967369236.0
76,2024-09-23,CMCSA,1.0,157342321711.0
77,2024-09-23,GS,1.0,157081856653.0
78,2024-09-23,US9MHY,1.0,156961020379.0
79,2024-09-23,SBC,1.0,154088540917.0
80,2024-09-23,483410,1.0,152731821074.0
81,2024-09-23,PGR,1.0,150867732904.0
82,2024-09-23,AXP,1.0,149493992969.0
83,2024-09-23,LOW,1.0,149462094280.0
84,2024-09-23,UNP,1.0,148644221232.0
85,2024-09-23,480710,1.0,140218672000.0
86,2024-09-23,LK,1.0,138369204322.0
87,2024-09-23,614469,1.0,138309221845.0
88,2024-09-23,PCLN,1.0,137352099587.0
89,2024-09-23,ALD,1.0,132692071984.0
90,2024-09-23,TJX,1.0,132374370642.0
91,2024-09-23,STRY,1.0,132285009266.0
92,2024-09-23,477518,1.0,132080587393.0
93,2024-09-23,BLK,1.0,131386858176.0
94,2024-09-23,ETN,1.0,131289399000.0
95,2024-09-23,401632,1.0,128594557546.0
96,2024-09-23,P,1.0,127377489465.0
97,2024-09-23,DWD,1.0,127138588326.0
98,2024-09-23,ATH,1.0,123803868129.0
99,2024-09-23,BSX,1.0,123700595340.0
100,2024-09-23,IN0027,1.0,122744015146.0
101,2024-09-23,REGN,1.0,120373900977.0
102,2024-09-23,659668,1.0,120178630646.0
103,2024-09-23,TRV,1.0,119389825181.0
104,2024-09-23,VRTX,1.0,118727013380.0
105,2024-09-23,IN00CH,1.0,118695380335.0
106,2024-09-23,642910,1.0,118441530301.0
107,2024-09-23,AMB,1.0,117248109930.0
108,2024-09-23,682150,1.0,116092370990.0
109,2024-09-23,MDT,1.0,115224762700.0
110,2024-09-23,US07B4,1.0,113203262881.0
111,2024-09-23,AUD,1.0,113195792449.0
112,2024-09-23,DE,1.0,112694481546.0
113,2024-09-23,ADI,1.0,112149971851.0
114,2024-09-23,TDpD,1.0,111806341351.0
115,2024-09-23,US20QE,1.0,111442246000.0
116,2024-09-23,MMC,1.0,110433624260.0
117,2024-09-23,AMT,1.0,110357383099.0
118,2024-09-23,ACL,1.0,110099476616.0
119,2024-09-23,401140,1.0,109793980186.0
120,2024-09-23,SCH,1.0,109065599582.0
121,2024-09-23,SBUX,1.0,108197936000.0
122,2024-09-23,511938,1.0,104610347913.0
123,2024-09-23,GILD,1.0,104566884883.0
124,2024-09-23,MU,1.0,103754282874.0
125,2024-09-23,NKE,1.0,103565997850.0
126,2024-09-23,US610T,1.0,103467472693.0
127,2024-09-23,FISV,1.0,103233283819.0
128,2024-09-23,KLAC,1.0,102333736498.0
129,2024-09-23,LRCX,1.0,102225998160.0
130,2024-09-23,BMY,1.0,101390032852.0
131,2024-09-23,U0026,1.0,99782325064.0
132,2024-09-23,KFT,1.0,99610434936.0
