"",validDate,stoxxId,freeFloat
16387,20240624,KR90EY,0.6968
1188,20240923,CPT,1.0
18177,20240624,JP1A7Q,0.9312
14447,20240624,474574,0.2745
19708,20240624,RO302K,0.1994
8132,20240923,ED,1.0
7157,20240624,AE2291,0.6365
28863,20240923,CNF5N6,0.3156
10616,20240923,IT502I,0.5621
20717,20240923,HK30LP,0.4069
5416,20240624,680560,0.9253
4163,20240923,CA111P,0.8009
805,20240624,CN16PV,0.4788
17408,20240624,JP1XU0,0.499
19419,20240624,CA32E5,1.0
1588,20240923,B01BN5,0.7015
6584,20240923,PS042,0.6879
6904,20240923,KR615N,0.7972
3511,20240624,HK50QW,0.5728
23637,20240923,CN383D,0.7242
24578,20240923,CN2W74,0.6931
30603,20240923,CA410R,1.0
4531,20240923,US301Q,1.0
4191,20240923,CN0DZB,0.6969
7617,20240923,US01PC,0.947
14089,20240624,CN8Y5A,0.4981
10182,20240624,CN7D2L,0.5087
33374,20240923,SE38K1,0.6412
3411,20240624,US01H4,1.0
8609,20240624,CN13DG,0.3695
18607,20240624,SE90JY,1.0
13957,20240624,ZA00W5,0.499
19519,20240624,CA903Y,1.0
19783,20240624,CNEBWK,0.6324
17871,20240624,CN92X7,0.4771
12151,20240624,US17KE,0.7955
26399,20240923,CN28IR,0.5949
20298,20240624,US9544,0.7374
15281,20240624,JP1WW1,1.0
12951,20240624,TR30J6,0.4993
30497,20240923,CN2R4W,0.8442
4021,20240624,CN0SJA,0.6342
15334,20240923,US0KW2,1.0
8989,20240923,JP00GO,0.7903
17146,20240624,CN7GQC,0.4474
12556,20240624,NO111E,0.519
28417,20240923,JP039K,0.6516
31100,20240923,US9331,1.0
32955,20240923,AU42T3,0.8207
27699,20240923,CNEBNB,0.2758
8708,20240624,US135V,0.3931
7469,20240923,CN0GM1,0.6807
33197,20240923,TR00FZ,0.35
4326,20240624,TWFT,0.8455
8420,20240624,CN2157,0.4542
16543,20240624,CN1MDZ,0.1305
18315,20240923,BR171B,0.3477
21266,20240923,MY00VF,0.3833
5975,20240624,607575,1.0
15500,20240624,GB1EY4,0.8242
3197,20240624,IN1107,0.2716
16422,20240624,FR37FV,0.9411
531,20240923,648891,0.4994
1411,20240923,618549,1.0
19956,20240923,CN0CDO,0.5017
11878,20240923,656952,0.8992
20587,20240923,CN2P3T,0.8195
26173,20240923,CN4BGU,0.6696
18644,20240923,SA228E,1.0
10492,20240624,CN7KQG,0.8546
20396,20240624,JP43ZE,0.8328
17992,20240624,VN301M,0.5322
7880,20240923,TH217K,1.0
9570,20240624,IN802F,0.2919
9810,20240624,CN6ZDH,0.5354
1430,20240624,EB402,0.7862
13759,20240624,CN7ZOT,0.6663
99,20240624,EG20OK,0.4262
21442,20240923,665778,0.8962
27013,20240923,CNEB9X,0.5238
19266,20240624,CNEITO,0.7219
13922,20240624,TW00PE,0.7839
17378,20240923,KR19BW,0.4189
556,20240624,471310,0.7922
13119,20240923,IN60Y9,0.4198
14470,20240624,TDpD,1.0
712,20240923,CN0VJD,0.3368
12187,20240624,CN2GAR,0.6179
15993,20240624,AU41MV,0.8416
13383,20240624,CN65R1,0.5742
19365,20240624,US90GB,1.0
5169,20240923,CN0F4I,0.7908
2583,20240624,SRE,1.0
14914,20240624,TR10I3,0.3246
29905,20240923,IN11SZ,0.6108
3386,20240624,664286,0.6108
11016,20240624,CN364C,0.5037
9872,20240624,WU,1.0
31020,20240923,SE38N4,0.6062
5298,20240624,IN138H,0.4235
15471,20240624,CN79HW,0.2844
11536,20240624,CN733C,0.5346
6489,20240923,408930,0.38
215,20240624,IN019F,0.3142
19673,20240624,AU40PX,0.5437
12096,20240624,US9GS3,1.0
22664,20240923,619632,1.0
19423,20240624,CNE57P,0.6463
9161,20240624,PK30HT,0.4765
12844,20240624,CN7BZG,0.5032
18156,20240624,VN902T,0.2006
10350,20240624,CN2Z11,0.2743
27005,20240923,CNE6K3,0.3606
1756,20240624,CN04EH,0.4945
3893,20240624,CN0UHA,0.5714
14805,20240624,WPO,0.861
20089,20240923,WRE,1.0
6124,20240624,062152,0.7982
