Date;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Segment;Size
6/18/2012;TW026X;TW0002023009;6987668;2023.TW;Yieh Phui;TW;Emerging;SMALL
6/18/2012;KR00W7;KR7000070003;6771816;000070.KS;SAMYANG HDGS;KR;Emerging;SMALL
6/18/2012;TW01VL;TW0001723005;6136318;1723.TW;China Steel Chem;TW;Emerging;SMALL
6/18/2012;TW15HC;TW0001203008;6927835;1203.TW;Ve Wong Corp;TW;Emerging;SMALL
6/18/2012;KR02JW;KR7004370003;6638115;004370.KS;Nongshim;KR;Emerging;SMALL
6/18/2012;578424;PLNETIA00014;5784246;NTIA.WA;NETIA;PL;Emerging;SMALL
6/18/2012;KR031F;KR7006120000;6859916;006120.KS;SK CHEMICALS;KR;Emerging;SMALL
6/18/2012;MY22PD;MYL5180TO003;B3RZ1Q1;CAMA.KL;CAPITAMALLS MAL.TRUST;MY;Emerging;SMALL
6/18/2012;TW111S;TW0002534005;6432889;2534.TW;Hung Sheng Const;TW;Emerging;SMALL
6/18/2012;BR12UZ;BRCTAXACNPR0;2817220;1CTAX4.SA;CONTAX PARTICIPACOES PN;BR;Emerging;SMALL
6/18/2012;BR03BG;BRGFSAACNOR3;2479619;GFSA3.SA;Gafisa;BR;Emerging;SMALL
6/18/2012;B03MPM;TRABAGFS91E2;B03MPM9;BAGFS.IS;BANDIRMA GUBRE FABRIKALARI;TR;Emerging;SMALL
6/18/2012;BR2026;BRMILSACNOR2;B5LGRJ9;MILS3.SA;MILLS;BR;Emerging;SMALL
6/18/2012;BR14RY;BRTGMAACNOR7;B1ZBDK5;TGMA3.SA;TEGMA GESTAO LOGISTICA ON;BR;Emerging;SMALL
6/18/2012;TW1AHH;TW0002014008;6987602;2014.TW;CHUNG HUNG STEEL;TW;Emerging;SMALL
6/18/2012;KR04U9;KR7030000004;6093231;030000.KS;Cheil Worldwide;KR;Emerging;SMALL
6/18/2012;TW02F6;TW0002107000;6351597;2107.TW;Formosan Rubber;TW;Emerging;SMALL
6/18/2012;TW022T;TW0001907004;6988616;1907.TW;YFY;TW;Emerging;SMALL
